,Participants,Masks,Target Location Straight,Correlation
0,01,premotor,153,1.0
1,01,premotor,207,0.9999999999999998
2,01,premotor,45,1.0
3,01,premotor,99,0.9999999999999999
4,01,motor,153,1.0
5,01,motor,207,1.0
6,01,motor,45,1.0
7,01,motor,99,1.0
8,01,v1,153,1.0
9,01,v1,207,1.0
10,01,v1,45,0.9999999999999998
11,01,v1,99,0.9999999999999998
12,01,sup_parietal,153,1.0
13,01,sup_parietal,207,0.9999999999999999
14,01,sup_parietal,45,1.0
15,01,sup_parietal,99,1.0
16,01,inf_parietal,153,1.0
17,01,inf_parietal,207,1.0
18,01,inf_parietal,45,0.9999999999999998
19,01,inf_parietal,99,1.0
20,01,v5,153,1.0
21,01,v5,207,1.0
22,01,v5,45,1.0
23,01,v5,99,1.0
24,02,premotor,153,1.0
25,02,premotor,207,0.9999999999999999
26,02,premotor,45,1.0
27,02,premotor,99,1.0
28,02,motor,153,0.9999999999999998
29,02,motor,207,1.0
30,02,motor,45,1.0
31,02,motor,99,1.0
32,02,v1,153,1.0
33,02,v1,207,1.0
34,02,v1,45,1.0
35,02,v1,99,1.0
36,02,sup_parietal,153,1.0
37,02,sup_parietal,207,1.0
38,02,sup_parietal,45,1.0
39,02,sup_parietal,99,1.0
40,02,inf_parietal,153,0.9999999999999998
41,02,inf_parietal,207,1.0
42,02,inf_parietal,45,1.0
43,02,inf_parietal,99,0.9999999999999999
44,02,v5,153,1.0
45,02,v5,207,1.0
46,02,v5,45,0.9999999999999999
47,02,v5,99,0.9999999999999999
48,03,premotor,153,1.0
49,03,premotor,207,1.0
50,03,premotor,45,1.0
51,03,premotor,99,1.0
52,03,motor,153,1.0
53,03,motor,207,0.9999999999999999
54,03,motor,45,1.0
55,03,motor,99,1.0
56,03,v1,153,1.0
57,03,v1,207,1.0
58,03,v1,45,1.0
59,03,v1,99,1.0
60,03,sup_parietal,153,1.0
61,03,sup_parietal,207,1.0
62,03,sup_parietal,45,1.0
63,03,sup_parietal,99,1.0
64,03,inf_parietal,153,1.0
65,03,inf_parietal,207,1.0
66,03,inf_parietal,45,0.9999999999999999
67,03,inf_parietal,99,1.0
68,03,v5,153,1.0
