,Participants,Masks,Target Location Straight,Correlation
0,01,premotor,153,-0.8830079305617617
1,01,premotor,207,-0.7768565058114486
2,01,premotor,45,-0.7882877815410076
3,01,premotor,99,-0.8792062739918082
4,01,motor,153,-0.8709075078407871
5,01,motor,207,-0.7773884292385651
6,01,motor,45,-0.7888840096588648
7,01,motor,99,-0.8630595571234364
8,01,v1,153,-0.8553587425904492
9,01,v1,207,-0.8482214679320792
10,01,v1,45,-0.8346115239137446
11,01,v1,99,-0.8651525205789022
12,01,sup_parietal,153,-0.8453676242173156
13,01,sup_parietal,207,-0.845272796362547
14,01,sup_parietal,45,-0.8516811271442317
15,01,sup_parietal,99,-0.8566759320805031
16,01,inf_parietal,153,-0.8700117426310587
17,01,inf_parietal,207,-0.8402298164006514
18,01,inf_parietal,45,-0.8413514167554819
19,01,inf_parietal,99,-0.8441125355722643
20,01,v5,153,-0.8011706426857668
21,01,v5,207,-0.7840356804353932
22,01,v5,45,-0.7165355827150377
23,01,v5,99,-0.7003538347428663
24,02,premotor,153,-0.8805201973078086
25,02,premotor,207,-0.8830475594649834
26,02,premotor,45,-0.8806376034581118
27,02,premotor,99,-0.8812021290375811
28,02,motor,153,-0.8437253553008117
29,02,motor,207,-0.8656829527040424
30,02,motor,45,-0.8784856295618704
31,02,motor,99,-0.8820071960858116
32,02,v1,153,-0.8202594741342905
33,02,v1,207,-0.8366953627404099
34,02,v1,45,-0.8286269362488301
35,02,v1,99,-0.8442066311812697
36,02,sup_parietal,153,-0.8221186121515094
37,02,sup_parietal,207,-0.820156215717555
38,02,sup_parietal,45,-0.8043882746413296
39,02,sup_parietal,99,-0.8354954900659781
40,02,inf_parietal,153,-0.8413581387511458
41,02,inf_parietal,207,-0.874743557814285
42,02,inf_parietal,45,-0.8722194712708466
43,02,inf_parietal,99,-0.854545596487055
44,02,v5,153,-0.8031128166329786
45,02,v5,207,-0.7491916629566437
46,02,v5,45,-0.7534935605019271
47,02,v5,99,-0.7701495018456948
48,03,premotor,153,-0.8682648370679877
49,03,premotor,207,-0.8819498949070892
50,03,premotor,45,-0.8658840150346554
51,03,premotor,99,-0.8786567717186256
52,03,motor,153,-0.8561571760934297
53,03,motor,207,-0.8694046106830442
54,03,motor,45,-0.8512917925805095
55,03,motor,99,-0.8692805628662241
56,03,v1,153,-0.7890617152781292
57,03,v1,207,-0.7348431059509917
58,03,v1,45,-0.7697258751011106
59,03,v1,99,-0.7749825252026423
60,03,sup_parietal,153,-0.8026648932271845
61,03,sup_parietal,207,-0.8147984580809264
62,03,sup_parietal,45,-0.8025703291634105
63,03,sup_parietal,99,-0.8252911573863284
64,03,inf_parietal,153,-0.8590778283164562
65,03,inf_parietal,207,-0.8510411791841297
66,03,inf_parietal,45,-0.8475298559494291
67,03,inf_parietal,99,-0.854925852788871
68,03,v5,153,-0.8093943868328265
69,03,v5,207,-0.8304809669374705
70,03,v5,45,-0.8174810264266672
71,03,v5,99,-0.8504559574128956
72,04,premotor,153,-0.8947292539248302
73,04,premotor,207,-0.8808768482484113
74,04,premotor,45,-0.8681266089815597
75,04,premotor,99,-0.870704400363931
76,04,motor,153,-0.8658406418289628
77,04,motor,207,-0.8737156591927606
78,04,motor,45,-0.8645480966982794
79,04,motor,99,-0.8656066630350129
80,04,v1,153,-0.8314880032705553
81,04,v1,207,-0.8072613000237973
82,04,v1,45,-0.8274594732010724
83,04,v1,99,-0.7750765132099515
84,04,sup_parietal,153,-0.801285989344684
85,04,sup_parietal,207,-0.8044357597311926
86,04,sup_parietal,45,-0.8273324541175973
87,04,sup_parietal,99,-0.8026142625333248
88,04,inf_parietal,153,-0.8661622689677226
89,04,inf_parietal,207,-0.8539771255473667
90,04,inf_parietal,45,-0.8502219897539167
91,04,inf_parietal,99,-0.8577841440038165
92,04,v5,153,-0.8077843678362548
93,04,v5,207,-0.8429789667944773
94,04,v5,45,-0.8094568396831979
95,04,v5,99,-0.860977489965985
96,05,premotor,153,-0.7154014267366949
97,05,premotor,207,-0.7820989343191551
98,05,premotor,45,-0.5519147107259477
99,05,premotor,99,-0.8532465954413176
100,05,motor,153,-0.7083727955826514
101,05,motor,207,-0.776712310511085
102,05,motor,45,-0.5881817339974956
103,05,motor,99,-0.8634544950726714
104,05,v1,153,-0.7094885410126712
105,05,v1,207,-0.7584171723275509
106,05,v1,45,-0.5455617223787037
107,05,v1,99,-0.8332894182603436
108,05,sup_parietal,153,-0.807446633896282
109,05,sup_parietal,207,-0.7802084064797237
110,05,sup_parietal,45,-0.6825736197676322
111,05,sup_parietal,99,-0.8022131049583074
112,05,inf_parietal,153,-0.818808082509381
113,05,inf_parietal,207,-0.7897292125747164
114,05,inf_parietal,45,-0.636620621831499
115,05,inf_parietal,99,-0.8574418769975033
116,05,v5,153,-0.839933845443176
117,05,v5,207,-0.8300708225641029
118,05,v5,45,-0.7964780383693388
119,05,v5,99,-0.8408763113982428
120,06,premotor,153,-0.800788521815714
121,06,premotor,207,-0.8549566781255034
122,06,premotor,45,-0.8435578330967449
123,06,premotor,99,-0.8566091987886028
124,06,motor,153,-0.7952883470673537
125,06,motor,207,-0.8282205600110486
126,06,motor,45,-0.8269197206034828
127,06,motor,99,-0.8509421457366464
