,Participants,Masks,Straight Train Accuracy,Rotated Train Accuracy,Straight Test Accuracy,Rotated Test Accuracy
0,01,premotor,0.8812500000000001,0.7875,0.85,0.925
1,01,motor,0.66875,0.7875,0.85,0.7
2,01,v1,0.73125,0.81875,0.875,0.75
3,01,sup_parietal,0.725,0.7374999999999999,0.675,0.65
4,01,inf_parietal,0.6499999999999999,0.73125,0.75,0.8
5,01,v5,0.4625,0.53125,0.525,0.575
6,02,premotor,0.90625,0.88125,0.925,0.925
7,02,motor,0.83125,0.8875,0.725,0.875
8,02,v1,0.8875,0.84375,0.95,0.875
9,02,sup_parietal,0.7,0.6812499999999999,0.775,0.85
10,02,inf_parietal,0.83125,0.825,0.825,0.85
11,02,v5,0.75,0.65625,0.675,0.8
12,03,premotor,0.84375,0.83125,0.85,0.95
13,03,motor,0.74375,0.88125,0.725,0.8
14,03,v1,0.95625,0.9437500000000001,0.975,0.9
15,03,sup_parietal,0.65,0.725,0.775,0.75
16,03,inf_parietal,0.65625,0.75625,0.8,0.9
17,03,v5,0.5499999999999999,0.59375,0.525,0.6
18,04,premotor,0.8,0.8062500000000001,0.9,0.925
19,04,motor,0.725,0.7250000000000001,0.7,0.9
20,04,v1,0.925,0.88125,0.925,0.925
21,04,sup_parietal,0.6000000000000001,0.7250000000000001,0.625,0.675
22,04,inf_parietal,0.6875,0.7625000000000001,0.775,0.825
23,04,v5,0.54375,0.60625,0.8,0.6
24,05,premotor,0.6749999999999999,0.8875,0.85,0.95
25,05,motor,0.7875,0.775,0.8,0.825
26,05,v1,0.925,0.96875,0.95,0.975
27,05,sup_parietal,0.6125,0.6875,0.725,0.75
28,05,inf_parietal,0.7312500000000001,0.75,0.8,0.925
29,05,v5,0.6312500000000001,0.6812499999999999,0.75,0.75
30,06,premotor,0.8,0.85,0.925,0.9
31,06,motor,0.69375,0.7875,0.675,0.875
32,06,v1,0.89375,0.8125,0.975,0.925
33,06,sup_parietal,0.625,0.61875,0.55,0.725
34,06,inf_parietal,0.68125,0.80625,0.775,0.725
35,06,v5,0.5375,0.58125,0.675,0.6
36,07,premotor,0.75625,0.7812499999999999,0.75,0.9
37,07,motor,0.68125,0.6125,0.7,0.775
38,07,v1,0.8749999999999999,0.8,1.0,0.85
39,07,sup_parietal,0.7124999999999999,0.6375,0.6,0.6
40,07,inf_parietal,0.625,0.59375,0.8,0.75
41,07,v5,0.53125,0.6,0.575,0.675
42,08,premotor,0.85625,0.8500000000000001,0.875,0.875
43,08,motor,0.8062499999999999,0.76875,0.725,0.825
44,08,v1,0.80625,0.8125,0.925,0.9
45,08,sup_parietal,0.625,0.7687499999999999,0.775,0.75
46,08,inf_parietal,0.6875,0.84375,0.825,0.85
47,08,v5,0.5187499999999999,0.7062499999999999,0.675,0.675
48,09,premotor,0.8187500000000001,0.9125000000000001,0.925,0.975
49,09,motor,0.75,0.8062499999999999,0.9,0.85
50,09,v1,0.875,0.8937499999999999,0.925,0.95
51,09,sup_parietal,0.6812499999999999,0.7,0.85,0.8
52,09,inf_parietal,0.81875,0.78125,0.85,0.975
53,09,v5,0.71875,0.61875,0.625,0.75
54,11,premotor,0.84375,0.84375,0.85,0.9
55,11,motor,0.75,0.8187500000000001,0.85,0.85
56,11,v1,0.90625,0.8812499999999999,0.95,0.9
57,11,sup_parietal,0.7375,0.78125,0.85,0.8
58,11,inf_parietal,0.71875,0.75625,0.9,0.875
59,11,v5,0.58125,0.55,0.475,0.65
60,12,premotor,0.8375,0.78125,0.9,0.825
61,12,motor,0.63125,0.7437499999999999,0.75,0.75
62,12,v1,0.9375,0.825,0.85,0.925
63,12,sup_parietal,0.6625,0.625,0.7,0.725
64,12,inf_parietal,0.8125,0.74375,0.6,0.775
65,12,v5,0.55,0.5750000000000001,0.6,0.5
66,13,premotor,0.7749999999999999,0.7124999999999999,0.85,0.875
67,13,motor,0.7562500000000001,0.6062500000000001,0.8,0.75
68,13,v1,0.85,0.7749999999999999,0.975,0.775
69,13,sup_parietal,0.6,0.6125,0.525,0.6
70,13,inf_parietal,0.7124999999999999,0.5875,0.725,0.775
71,13,v5,0.6437499999999999,0.5375,0.375,0.55
72,14,premotor,0.78125,0.86875,0.95,0.975
73,14,motor,0.76875,0.8125,0.7,0.9
74,14,v1,0.9125,0.88125,0.825,0.875
75,14,sup_parietal,0.7125,0.7,0.8,0.7
76,14,inf_parietal,0.76875,0.79375,0.675,0.925
77,14,v5,0.65625,0.6375,0.7,0.875
78,15,premotor,0.8375,0.75,0.85,0.95
79,15,motor,0.6312500000000001,0.7125,0.75,0.675
80,15,v1,0.8125,0.76875,0.775,0.85
81,15,sup_parietal,0.65625,0.64375,0.6,0.85
82,15,inf_parietal,0.7625,0.71875,0.8,0.75
83,15,v5,0.50625,0.58125,0.65,0.65
84,16,premotor,0.81875,0.7999999999999999,0.85,0.9
85,16,motor,0.6125,0.65,0.6,0.8
86,16,v1,0.9249999999999999,0.8562500000000001,0.9,0.875
87,16,sup_parietal,0.4625,0.625,0.6,0.675
88,16,inf_parietal,0.64375,0.66875,0.6,0.625
89,16,v5,0.5375000000000001,0.5562499999999999,0.45,0.575
90,17,premotor,0.7375,0.85625,0.925,0.85
91,17,motor,0.725,0.6187499999999999,0.725,0.775
92,17,v1,0.9624999999999999,0.93125,0.95,0.95
93,17,sup_parietal,0.69375,0.8187500000000001,0.85,0.625
