,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,-0.018369101928133024
1,01,premotor,153,207,-0.003013759175612157
2,01,premotor,153,45,0.004255604656114788
3,01,premotor,153,99,0.026025221240849557
4,01,premotor,207,153,-0.007952345052865985
5,01,premotor,207,207,-0.0034961396876355914
6,01,premotor,207,45,0.01688936078659378
7,01,premotor,207,99,0.011816616559550438
8,01,premotor,45,153,0.0009894169803659932
9,01,premotor,45,207,-0.009992068965462736
10,01,premotor,45,45,0.005544902022254775
11,01,premotor,45,99,-0.01300972723245647
12,01,premotor,99,153,0.04551055481539128
13,01,premotor,99,207,0.0009204794183280442
14,01,premotor,99,45,-0.024375616170552658
15,01,premotor,99,99,-0.032098941408285064
16,01,motor,153,153,-0.02720656587862864
17,01,motor,153,207,-7.746660557309167e-05
18,01,motor,153,45,0.04431880393448327
19,01,motor,153,99,-0.02790221883651807
20,01,motor,207,153,0.009515232452419708
21,01,motor,207,207,0.04767680902566129
22,01,motor,207,45,-0.06341942458650078
23,01,motor,207,99,0.01556035901414013
24,01,motor,45,153,0.0161142448515327
25,01,motor,45,207,-0.04100164995826176
26,01,motor,45,45,0.016209476207498925
27,01,motor,45,99,0.017752686756604526
28,01,motor,99,153,-0.019789398509205122
29,01,motor,99,207,-0.02139518252728586
30,01,motor,99,45,0.012660309758893781
31,01,motor,99,99,0.017953432836051407
32,01,v1,153,153,0.014685944459820466
33,01,v1,153,207,-0.02199762822719942
34,01,v1,153,45,-0.03421888881728408
35,01,v1,153,99,0.0527721951194708
36,01,v1,207,153,-0.021704953281850917
37,01,v1,207,207,0.017343230562254744
38,01,v1,207,45,0.001262943380030193
39,01,v1,207,99,-0.020640387775816213
40,01,v1,45,153,-0.00883753618689452
41,01,v1,45,207,0.0008960442146548481
42,01,v1,45,45,0.042052146207592
43,01,v1,45,99,-0.04119588590503376
44,01,v1,99,153,-0.026379308195309627
45,01,v1,99,207,0.017428936583328267
46,01,v1,99,45,-0.0016835143314785812
47,01,v1,99,99,0.02442948571283073
48,01,sup_parietal,153,153,-0.015117944203089428
49,01,sup_parietal,153,207,0.08828128854131004
50,01,sup_parietal,153,45,0.004712840054632508
51,01,sup_parietal,153,99,-0.05907793998735453
52,01,sup_parietal,207,153,-0.02393314181862386
53,01,sup_parietal,207,207,0.007530940198277693
54,01,sup_parietal,207,45,0.054863549406982605
55,01,sup_parietal,207,99,-0.02088493122158637
56,01,sup_parietal,45,153,0.023773433084590907
57,01,sup_parietal,45,207,-0.005115740567780379
58,01,sup_parietal,45,45,-0.04240808125553579
59,01,sup_parietal,45,99,-0.0043344743868521975
60,01,sup_parietal,99,153,0.015224422979783114
61,01,sup_parietal,99,207,-0.1258503240166497
62,01,sup_parietal,99,45,0.003436340859408398
63,01,sup_parietal,99,99,0.1025245673475236
64,01,inf_parietal,153,153,-0.03013734073634315
65,01,inf_parietal,153,207,0.03452079787064705
66,01,inf_parietal,153,45,0.02632120202440058
67,01,inf_parietal,153,99,-0.015690276538683705
68,01,inf_parietal,207,153,-0.003283703727922669
69,01,inf_parietal,207,207,0.024795814034521243
70,01,inf_parietal,207,45,-0.028070612584700207
71,01,inf_parietal,207,99,0.02058354869555387
72,01,inf_parietal,45,153,-0.010403275138941862
73,01,inf_parietal,45,207,-0.018031880143351792
74,01,inf_parietal,45,45,-0.0057136012025806905
75,01,inf_parietal,45,99,0.03944640137355647
76,01,inf_parietal,99,153,0.042350502206713186
77,01,inf_parietal,99,207,-0.047885726996710044
78,01,inf_parietal,99,45,0.0026285543207096307
79,01,inf_parietal,99,99,-0.03506091475008428
80,01,v5,153,153,0.05530551159255814
81,01,v5,153,207,-0.016252391133795424
82,01,v5,153,45,-0.15780898615192313
83,01,v5,153,99,0.16265316957878587
84,01,v5,207,153,-0.06342543898576844
85,01,v5,207,207,-0.07293460240159558
86,01,v5,207,45,0.10859843354910083
87,01,v5,207,99,-0.03676547769475735
88,01,v5,45,153,0.04682927528145311
89,01,v5,45,207,0.011816909611580894
90,01,v5,45,45,0.030594663593868768
91,01,v5,45,99,-0.07863114298452985
92,01,v5,99,153,-0.06605816796781548
93,01,v5,99,207,0.14320344197620766
94,01,v5,99,45,-0.01763960680908304
95,01,v5,99,99,-0.08084336177498294
96,02,premotor,153,153,-0.009565480931848652
97,02,premotor,153,207,0.0389097939118367
98,02,premotor,153,45,-0.002656724142614743
99,02,premotor,153,99,-0.025861618121499466
100,02,premotor,207,153,-0.06139674682050213
