,Participants,Masks,Target Location Straight,Target Location Rotate,Layers,Kl Div
0,01,premotor,153,153,0,488.8355175815141
1,01,premotor,153,153,1,16.595950382152935
2,01,premotor,153,153,2,6.1494683700669635
3,01,premotor,153,153,3,0.2438785108311185
4,01,premotor,153,207,0,526.5006870320627
5,01,premotor,153,207,1,19.066652583078916
6,01,premotor,153,207,2,5.810586541575452
7,01,premotor,153,207,3,1.6403842104772433
8,01,premotor,153,45,0,504.6330719036646
9,01,premotor,153,45,1,19.287325525672728
10,01,premotor,153,45,2,6.52209598251401
11,01,premotor,153,45,3,1.1189824521448575
12,01,premotor,153,99,0,493.57309980786994
13,01,premotor,153,99,1,20.434473474417743
14,01,premotor,153,99,2,5.833517051852379
15,01,premotor,153,99,3,1.7474114858132168
16,01,premotor,207,153,0,491.10872095620044
17,01,premotor,207,153,1,18.160353246636497
18,01,premotor,207,153,2,5.5831819100359255
19,01,premotor,207,153,3,1.7295967285203964
20,01,premotor,207,207,0,528.6585289695876
21,01,premotor,207,207,1,17.10188771898526
22,01,premotor,207,207,2,8.148927032717413
23,01,premotor,207,207,3,0.16428397368602865
24,01,premotor,207,45,0,497.24994105818706
25,01,premotor,207,45,1,15.06343437541085
26,01,premotor,207,45,2,3.4914653399650004
27,01,premotor,207,45,3,0.011541396149850381
28,01,premotor,207,99,0,488.95525340177903
29,01,premotor,207,99,1,17.86999691401273
30,01,premotor,207,99,2,5.623418915321274
31,01,premotor,207,99,3,2.0124656857427627
32,01,premotor,45,153,0,494.4836299215978
33,01,premotor,45,153,1,15.190152816693617
34,01,premotor,45,153,2,8.018423944817883
35,01,premotor,45,153,3,0.3224677541541715
36,01,premotor,45,207,0,544.1543952611112
37,01,premotor,45,207,1,16.624819418283955
38,01,premotor,45,207,2,8.722638994649945
39,01,premotor,45,207,3,0.17378993205718046
40,01,premotor,45,45,0,511.72671398395056
41,01,premotor,45,45,1,15.384661508554018
42,01,premotor,45,45,2,3.6493481064990094
43,01,premotor,45,45,3,0.2110070206911554
44,01,premotor,45,99,0,501.4650289615699
45,01,premotor,45,99,1,17.34571183583443
46,01,premotor,45,99,2,5.365926439044615
47,01,premotor,45,99,3,0.48028127925245784
