,Participants,Masks,Target Location Straight,Target Location Rotate,Kl Div
0,01,premotor,153,153,1.643861238492009
1,01,premotor,153,207,1.8337343215765496
2,01,premotor,153,45,1.58228419030621
3,01,premotor,153,99,1.5898409150510697
4,01,premotor,207,153,1.747681905633868
5,01,premotor,207,207,1.7519792349478205
6,01,premotor,207,45,1.6078811012774086
7,01,premotor,207,99,1.674248866462631
8,01,premotor,45,153,1.7185173762612789
9,01,premotor,45,207,1.6077554884714127
10,01,premotor,45,45,1.5929669877988935
11,01,premotor,45,99,1.6465502050142358
12,01,premotor,99,153,1.7776255422263225
13,01,premotor,99,207,1.8214432989256635
14,01,premotor,99,45,1.6211103369307334
15,01,premotor,99,99,1.6003281694541525
16,01,motor,153,153,2.3032875894940865
17,01,motor,153,207,1.8044626874015288
18,01,motor,153,45,1.8775268161614638
19,01,motor,153,99,2.1776963489644308
20,01,motor,207,153,1.892786420766122
21,01,motor,207,207,1.6443694211301376
22,01,motor,207,45,1.7577519296585074
23,01,motor,207,99,2.0113634570689243
24,01,motor,45,153,2.2952264073410285
25,01,motor,45,207,1.8304606953627696
26,01,motor,45,45,1.7122161035062309
27,01,motor,45,99,1.9645676622562618
28,01,motor,99,153,2.010098994693527
29,01,motor,99,207,1.9115274538269902
30,01,motor,99,45,2.0650988971851056
31,01,motor,99,99,2.0830986776123
32,01,v1,153,153,2.086996993399013
33,01,v1,153,207,1.884608425540839
34,01,v1,153,45,1.6794861391676887
35,01,v1,153,99,2.021045116496396
36,01,v1,207,153,2.0824500444492138
37,01,v1,207,207,1.891089124042975
38,01,v1,207,45,1.8756000837061715
39,01,v1,207,99,1.863950259340308
40,01,v1,45,153,2.000005739933013
41,01,v1,45,207,1.8258569298569998
42,01,v1,45,45,1.5884374550300615
43,01,v1,45,99,2.156793836319557
44,01,v1,99,153,1.8034921379878113
45,01,v1,99,207,1.8464260030095383
46,01,v1,99,45,1.540169077070988
47,01,v1,99,99,2.0040753158677784
48,01,sup_parietal,153,153,2.4349163955123987
49,01,sup_parietal,153,207,2.657594488869502
50,01,sup_parietal,153,45,2.3996276935639056
51,01,sup_parietal,153,99,2.8433199253989807
52,01,sup_parietal,207,153,2.158858420337217
53,01,sup_parietal,207,207,2.5723774136258264
54,01,sup_parietal,207,45,2.5662987441276726
55,01,sup_parietal,207,99,2.0593661948271644
56,01,sup_parietal,45,153,2.5113215883171347
57,01,sup_parietal,45,207,2.4599522049882117
58,01,sup_parietal,45,45,1.851998016020123
59,01,sup_parietal,45,99,2.759126902163576
60,01,sup_parietal,99,153,2.4733074650459597
61,01,sup_parietal,99,207,2.692262310963419
62,01,sup_parietal,99,45,2.9156587012269592
63,01,sup_parietal,99,99,2.6899040961324556
64,01,inf_parietal,153,153,1.7958663323724955
65,01,inf_parietal,153,207,2.0263127238471115
66,01,inf_parietal,153,45,1.7371552326938695
67,01,inf_parietal,153,99,2.2702431465626978
68,01,inf_parietal,207,153,2.6351628389514428
69,01,inf_parietal,207,207,2.2341242896718145
70,01,inf_parietal,207,45,2.1613159701868825
71,01,inf_parietal,207,99,2.1835458123193527
72,01,inf_parietal,45,153,1.934163204929497
73,01,inf_parietal,45,207,2.1484709543422014
74,01,inf_parietal,45,45,1.8982304271957384
75,01,inf_parietal,45,99,2.719770370801015
76,01,inf_parietal,99,153,2.5622124702586753
77,01,inf_parietal,99,207,2.6874564963823415
78,01,inf_parietal,99,45,2.5098545145700975
79,01,inf_parietal,99,99,2.7189291254438137
80,01,v5,153,153,4.111174210442302
81,01,v5,153,207,5.1780392646678335
82,01,v5,153,45,2.900878574105978
83,01,v5,153,99,5.887506563178519
84,01,v5,207,153,4.937889926821092
85,01,v5,207,207,6.531939017529502
86,01,v5,207,45,3.9807987306163684
87,01,v5,207,99,3.739614666195554
88,01,v5,45,153,5.82111493610251
89,01,v5,45,207,4.235201615539795
90,01,v5,45,45,1.9088886531796296
91,01,v5,45,99,2.5437779434357615
92,01,v5,99,153,4.925735780845394
93,01,v5,99,207,4.822007270778817
94,01,v5,99,45,3.633602395866217
95,01,v5,99,99,4.766298613185624
96,02,premotor,153,153,1.390332197983965
97,02,premotor,153,207,1.4719046065828578
98,02,premotor,153,45,1.3414704664061516
99,02,premotor,153,99,1.394465389417672
100,02,premotor,207,153,1.4781346256787002
101,02,premotor,207,207,1.455230312511938
102,02,premotor,207,45,1.3851480606325124
103,02,premotor,207,99,1.4292441248636092
104,02,premotor,45,153,1.6834313756331578
105,02,premotor,45,207,1.442513811942085
106,02,premotor,45,45,1.4334362479870908
107,02,premotor,45,99,1.411239262218599
108,02,premotor,99,153,1.5657854099074502
109,02,premotor,99,207,1.5135932124597828
110,02,premotor,99,45,1.287421213163963
111,02,premotor,99,99,1.4330758551145217
112,02,motor,153,153,1.6507073758827007
113,02,motor,153,207,1.4514657435938532
114,02,motor,153,45,1.7060812182822382
115,02,motor,153,99,1.6432046409805485
116,02,motor,207,153,1.683745333659361
117,02,motor,207,207,1.6093325159408844
118,02,motor,207,45,1.6463008636795902
119,02,motor,207,99,1.5988599197718107
120,02,motor,45,153,1.7213938144958307
121,02,motor,45,207,1.5303790336473606
122,02,motor,45,45,1.6767066947108922
123,02,motor,45,99,1.877535181443676
124,02,motor,99,153,1.806292062497888
125,02,motor,99,207,1.3015218454828945
126,02,motor,99,45,1.3677322694063014
127,02,motor,99,99,1.7695280917239424
128,02,v1,153,153,1.3357077987057657
129,02,v1,153,207,1.173833985186805
130,02,v1,153,45,0.9455786367446641
131,02,v1,153,99,1.3924680043365871
132,02,v1,207,153,1.1955503542748194
133,02,v1,207,207,1.216960562778923
134,02,v1,207,45,0.7333773573585913
135,02,v1,207,99,1.210965010575266
136,02,v1,45,153,1.2066519277437096
137,02,v1,45,207,1.1425469821774357
138,02,v1,45,45,1.0624146622300188
139,02,v1,45,99,1.1609196178785592
140,02,v1,99,153,1.27601617061594
141,02,v1,99,207,1.2877257741471833
142,02,v1,99,45,1.0586231510453081
143,02,v1,99,99,1.2104778321121112
144,02,sup_parietal,153,153,2.07273900056176
145,02,sup_parietal,153,207,2.527504973841218
146,02,sup_parietal,153,45,2.1321994397493307
147,02,sup_parietal,153,99,2.719392151003286
