,Participants,Masks,Straight Shooter Train Accuracy,Rotated Train Accuracy
0,01,premotor,0.315,0.13999999999999999
1,01,motor,0.24,0.16499999999999998
2,01,v1,0.355,0.18
3,01,sup_parietal,0.27,0.24000000000000005
4,01,inf_parietal,0.27999999999999997,0.25
5,01,v5,0.32,0.24999999999999994
6,02,premotor,0.41500000000000004,0.4050000000000001
7,02,motor,0.4149999999999999,0.355
8,02,v1,0.49000000000000005,0.265
9,02,sup_parietal,0.32,0.28500000000000003
10,02,inf_parietal,0.395,0.375
11,02,v5,0.3,0.35
12,03,premotor,0.41,0.26
13,03,motor,0.255,0.30499999999999994
14,03,v1,0.445,0.41000000000000003
15,03,sup_parietal,0.27999999999999997,0.28500000000000003
16,03,inf_parietal,0.30999999999999994,0.36
17,03,v5,0.34500000000000003,0.315
18,04,premotor,0.32499999999999996,0.44000000000000006
19,04,motor,0.275,0.275
20,04,v1,0.45,0.48999999999999994
21,04,sup_parietal,0.3350000000000001,0.305
22,04,inf_parietal,0.33,0.38
23,04,v5,0.35,0.335
24,05,premotor,0.3,0.355
25,05,motor,0.35,0.25
26,05,v1,0.595,0.835
27,05,sup_parietal,0.31,0.31500000000000006
28,05,inf_parietal,0.28,0.24499999999999997
29,05,v5,0.33999999999999997,0.30500000000000005
30,06,premotor,0.305,0.31
31,06,motor,0.255,0.305
32,06,v1,0.4800000000000001,0.31000000000000005
33,06,sup_parietal,0.31500000000000006,0.28500000000000003
34,06,inf_parietal,0.34500000000000003,0.355
35,06,v5,0.2,0.34500000000000003
36,07,premotor,0.31,0.30500000000000005
37,07,motor,0.28500000000000003,0.3
38,07,v1,0.32,0.37
39,07,sup_parietal,0.29500000000000004,0.24
40,07,inf_parietal,0.3,0.29000000000000004
41,07,v5,0.3350000000000001,0.34500000000000003
42,08,premotor,0.47000000000000003,0.2899999999999999
43,08,motor,0.355,0.185
44,08,v1,0.285,0.29500000000000004
45,08,sup_parietal,0.24500000000000002,0.28500000000000003
46,08,inf_parietal,0.32999999999999996,0.23500000000000004
47,08,v5,0.27,0.25
48,09,premotor,0.305,0.33499999999999996
49,09,motor,0.18,0.335
50,09,v1,0.4,0.41
51,09,sup_parietal,0.3,0.33999999999999997
52,09,inf_parietal,0.43,0.27
