,Participants,Masks,Straight Train Accuracy,Rotated Train Accuracy,Straight Test Accuracy,Rotated Test Accuracy
0,01,premotor,0.925,0.9375,0.9,0.925
1,01,motor,0.9312499999999999,0.9125,0.825,0.925
2,01,v1,0.9062500000000001,0.9312499999999999,0.95,0.975
3,01,sup_parietal,0.86875,0.9062500000000001,0.95,0.85
4,01,inf_parietal,0.90625,0.85,0.95,1.0
5,01,v5,0.85625,0.775,0.9,0.8
6,02,premotor,0.98125,0.95,0.95,0.95
7,02,motor,0.94375,0.9624999999999999,1.0,1.0
8,02,v1,0.9,0.8875000000000001,1.0,0.95
9,02,sup_parietal,0.85625,0.84375,0.9,0.925
10,02,inf_parietal,0.9625,0.9125000000000001,0.95,1.0
11,02,v5,0.7875000000000001,0.85625,0.9,0.85
12,03,premotor,0.9625,0.975,1.0,0.95
13,03,motor,0.85625,0.95625,0.95,0.975
14,03,v1,0.89375,0.9437500000000001,1.0,1.0
15,03,sup_parietal,0.86875,0.85625,0.875,0.875
16,03,inf_parietal,0.89375,0.9187500000000001,0.875,0.975
17,03,v5,0.84375,0.85,0.775,0.725
18,04,premotor,0.9437500000000001,0.9125000000000001,0.975,0.975
19,04,motor,0.91875,0.9124999999999999,0.925,0.975
20,04,v1,0.94375,0.9125,0.975,1.0
21,04,sup_parietal,0.8875,0.83125,0.9,0.85
22,04,inf_parietal,0.9187500000000001,0.90625,0.975,0.975
23,04,v5,0.83125,0.8125,0.925,0.825
24,05,premotor,0.925,0.975,0.9,0.95
25,05,motor,0.8875000000000001,0.93125,0.85,0.9
26,05,v1,0.96875,0.98125,0.875,0.975
27,05,sup_parietal,0.7875,0.85,0.925,0.9
28,05,inf_parietal,0.8624999999999999,0.8999999999999999,0.875,0.925
29,05,v5,0.8125,0.86875,0.9,0.825
30,06,premotor,0.91875,0.9750000000000001,0.9,0.9
31,06,motor,0.8875,0.8687499999999999,0.875,1.0
32,06,v1,0.88125,0.8999999999999999,0.975,0.975
33,06,sup_parietal,0.8250000000000001,0.8374999999999999,0.9,0.85
34,06,inf_parietal,0.85625,0.925,0.9,0.95
35,06,v5,0.68125,0.83125,0.675,0.925
36,07,premotor,0.9187500000000001,0.925,0.925,1.0
37,07,motor,0.9124999999999999,0.90625,0.925,0.975
38,07,v1,0.91875,0.89375,1.0,0.95
39,07,sup_parietal,0.725,0.7437499999999999,0.825,0.9
40,07,inf_parietal,0.8624999999999999,0.88125,0.9,0.95
41,07,v5,0.7875000000000001,0.8375,0.85,0.8
42,08,premotor,0.9624999999999999,0.95,1.0,0.975
43,08,motor,0.91875,0.84375,0.975,0.975
44,08,v1,0.9312499999999999,0.9375,0.95,0.975
45,08,sup_parietal,0.89375,0.8312499999999999,0.8,0.875
46,08,inf_parietal,0.9624999999999999,0.925,1.0,0.875
47,08,v5,0.7875000000000001,0.7562500000000001,0.75,0.8
48,09,premotor,0.96875,0.975,0.975,1.0
49,09,motor,0.95,0.975,0.975,0.975
50,09,v1,0.9375,0.96875,1.0,0.925
51,09,sup_parietal,0.85625,0.875,0.95,0.975
52,09,inf_parietal,0.95,0.95,1.0,0.95
53,09,v5,0.9062499999999999,0.85,0.925,0.925
54,11,premotor,0.94375,0.99375,1.0,0.975
55,11,motor,0.9624999999999999,0.94375,0.975,0.975
