,Participants,Masks,Straight Shooter Train Accuracy,Rotated Train Accuracy
0,01,premotor,0.31,0.26999999999999996
1,01,motor,0.29,0.19
2,01,v1,0.2899999999999999,0.18
3,01,sup_parietal,0.22999999999999998,0.26999999999999996
4,01,inf_parietal,0.19,0.25
5,01,v5,0.29,0.22999999999999998
6,02,premotor,0.34,0.32
7,02,motor,0.3,0.37
8,02,v1,0.55,0.45
9,02,sup_parietal,0.26999999999999996,0.33
10,02,inf_parietal,0.32,0.3
11,02,v5,0.49000000000000005,0.39
12,03,premotor,0.35,0.36
13,03,motor,0.34,0.32
14,03,v1,0.85,0.63
15,03,sup_parietal,0.32999999999999996,0.32999999999999996
16,03,inf_parietal,0.43,0.22000000000000003
17,03,v5,0.33,0.44000000000000006
18,04,premotor,0.34,0.36
19,04,motor,0.31999999999999995,0.44000000000000006
20,04,v1,0.85,0.79
21,04,sup_parietal,0.34,0.32999999999999996
22,04,inf_parietal,0.22000000000000003,0.32
23,04,v5,0.35,0.39
24,05,premotor,0.27999999999999997,0.35
25,05,motor,0.33,0.35
26,05,v1,0.82,0.8
27,05,sup_parietal,0.31,0.3
28,05,inf_parietal,0.29000000000000004,0.3
29,05,v5,0.35,0.35
30,06,premotor,0.24000000000000005,0.27999999999999997
31,06,motor,0.3,0.35000000000000003
32,06,v1,0.6599999999999999,0.42000000000000004
33,06,sup_parietal,0.3,0.27
34,06,inf_parietal,0.25999999999999995,0.27
35,06,v5,0.36,0.27
36,07,premotor,0.30999999999999994,0.24000000000000005
37,07,motor,0.27,0.3
38,07,v1,0.6,0.61
39,07,sup_parietal,0.31999999999999995,0.38
40,07,inf_parietal,0.24,0.21999999999999997
41,07,v5,0.25,0.26999999999999996
42,08,premotor,0.31999999999999995,0.3
43,08,motor,0.27,0.25
44,08,v1,0.42000000000000004,0.34
45,08,sup_parietal,0.35,0.27999999999999997
46,08,inf_parietal,0.30999999999999994,0.27
47,08,v5,0.34,0.26
48,09,premotor,0.27999999999999997,0.26
49,09,motor,0.31,0.23999999999999994
50,09,v1,0.53,0.5700000000000001
51,09,sup_parietal,0.29000000000000004,0.34
52,09,inf_parietal,0.32,0.29
53,09,v5,0.38,0.32999999999999996
54,11,premotor,0.4,0.36
55,11,motor,0.37,0.25
56,11,v1,0.86,0.51
57,11,sup_parietal,0.39,0.36
58,11,inf_parietal,0.41000000000000003,0.30000000000000004
59,11,v5,0.33999999999999997,0.36
60,12,premotor,0.51,0.32999999999999996
61,12,motor,0.43,0.43999999999999995
62,12,v1,0.8200000000000001,0.64
63,12,sup_parietal,0.39,0.39999999999999997
64,12,inf_parietal,0.45,0.2899999999999999
65,12,v5,0.36,0.32
66,13,premotor,0.33999999999999997,0.39
67,13,motor,0.31,0.22000000000000003
68,13,v1,0.9099999999999999,0.63
69,13,sup_parietal,0.37,0.27
70,13,inf_parietal,0.25,0.34
71,13,v5,0.36,0.45
72,14,premotor,0.44000000000000006,0.32999999999999996
73,14,motor,0.43000000000000005,0.4699999999999999
74,14,v1,0.61,0.61
75,14,sup_parietal,0.38,0.41000000000000003
76,14,inf_parietal,0.37,0.32999999999999996
77,14,v5,0.38,0.37
78,15,premotor,0.38,0.26999999999999996
79,15,motor,0.44000000000000006,0.31
80,15,v1,0.6199999999999999,0.47000000000000003
81,15,sup_parietal,0.32,0.32
82,15,inf_parietal,0.24,0.27
83,15,v5,0.3,0.32999999999999996
84,16,premotor,0.22000000000000003,0.29999999999999993
85,16,motor,0.29000000000000004,0.29000000000000004
86,16,v1,0.7799999999999999,0.62
87,16,sup_parietal,0.3,0.35
88,16,inf_parietal,0.35,0.32
89,16,v5,0.31,0.38
90,17,premotor,0.39,0.26
91,17,motor,0.31,0.27
92,17,v1,0.95,0.7499999999999999
93,17,sup_parietal,0.5200000000000001,0.42000000000000004
94,17,inf_parietal,0.35,0.33999999999999997
95,17,v5,0.48,0.4
96,18,premotor,0.32,0.25000000000000006
97,18,motor,0.32999999999999996,0.25999999999999995
98,18,v1,0.95,0.89
99,18,sup_parietal,0.45999999999999996,0.24000000000000005
100,18,inf_parietal,0.32999999999999996,0.33999999999999997
101,18,v5,0.39,0.38
102,19,premotor,0.24,0.32
103,19,motor,0.27,0.24
104,19,v1,0.48999999999999994,0.36
105,19,sup_parietal,0.3,0.33
106,19,inf_parietal,0.29000000000000004,0.32
107,19,v5,0.25999999999999995,0.21000000000000002
