,Participants,Masks,Straight Shooter Train Accuracy,Rotated Train Accuracy
0,01,premotor,0.24500000000000002,0.225
1,01,motor,0.20500000000000002,0.13999999999999999
2,01,v1,0.29500000000000004,0.16499999999999998
3,01,sup_parietal,0.27999999999999997,0.22999999999999998
4,01,inf_parietal,0.205,0.2
5,01,v5,0.275,0.22999999999999998
6,02,premotor,0.375,0.36000000000000004
7,02,motor,0.255,0.305
8,02,v1,0.7650000000000001,0.775
9,02,sup_parietal,0.345,0.39499999999999996
10,02,inf_parietal,0.32,0.375
11,02,v5,0.62,0.48
12,03,premotor,0.32999999999999996,0.41500000000000004
13,03,motor,0.26,0.38
14,03,v1,0.975,0.8
15,03,sup_parietal,0.365,0.41
16,03,inf_parietal,0.34500000000000003,0.32500000000000007
17,03,v5,0.43499999999999994,0.47000000000000003
18,04,premotor,0.43999999999999995,0.4
19,04,motor,0.255,0.32
20,04,v1,0.925,0.8949999999999999
21,04,sup_parietal,0.5549999999999999,0.43
22,04,inf_parietal,0.28500000000000003,0.25
23,04,v5,0.485,0.5050000000000001
24,05,premotor,0.29,0.34
25,05,motor,0.23500000000000001,0.29
26,05,v1,0.9199999999999999,0.8300000000000001
27,05,sup_parietal,0.465,0.33
28,05,inf_parietal,0.33999999999999997,0.27
29,05,v5,0.39,0.5050000000000001
30,06,premotor,0.375,0.3
31,06,motor,0.39,0.34500000000000003
32,06,v1,0.9450000000000001,0.8
33,06,sup_parietal,0.5149999999999999,0.36
34,06,inf_parietal,0.26,0.35
35,06,v5,0.38,0.385
36,07,premotor,0.37000000000000005,0.33999999999999997
37,07,motor,0.295,0.275
38,07,v1,0.9200000000000002,0.78
39,07,sup_parietal,0.43,0.41
40,07,inf_parietal,0.31,0.30999999999999994
41,07,v5,0.31999999999999995,0.33
42,08,premotor,0.355,0.31999999999999995
43,08,motor,0.33499999999999996,0.25
44,08,v1,0.585,0.465
45,08,sup_parietal,0.32,0.36000000000000004
46,08,inf_parietal,0.29500000000000004,0.205
47,08,v5,0.375,0.43
48,09,premotor,0.32,0.32
49,09,motor,0.33999999999999997,0.28500000000000003
50,09,v1,0.735,0.9
51,09,sup_parietal,0.425,0.31
52,09,inf_parietal,0.25,0.265
53,09,v5,0.43499999999999994,0.36
54,11,premotor,0.38500000000000006,0.47000000000000003
55,11,motor,0.26,0.31000000000000005
56,11,v1,0.9199999999999999,0.775
57,11,sup_parietal,0.31999999999999995,0.445
58,11,inf_parietal,0.305,0.33999999999999997
59,11,v5,0.34500000000000003,0.335
60,12,premotor,0.37,0.36
61,12,motor,0.34,0.32
62,12,v1,0.9650000000000001,0.7849999999999999
63,12,sup_parietal,0.41,0.32999999999999996
64,12,inf_parietal,0.265,0.255
65,12,v5,0.32,0.39499999999999996
66,13,premotor,0.31500000000000006,0.305
67,13,motor,0.275,0.205
68,13,v1,0.975,0.77
69,13,sup_parietal,0.31500000000000006,0.355
70,13,inf_parietal,0.255,0.31
71,13,v5,0.34500000000000003,0.31
72,14,premotor,0.45999999999999996,0.375
73,14,motor,0.385,0.32
74,14,v1,0.865,0.7550000000000001
75,14,sup_parietal,0.525,0.5050000000000001
76,14,inf_parietal,0.325,0.41500000000000004
77,14,v5,0.465,0.395
78,15,premotor,0.38499999999999995,0.24500000000000002
79,15,motor,0.42000000000000004,0.28
80,15,v1,0.8949999999999999,0.5349999999999999
81,15,sup_parietal,0.36,0.26
82,15,inf_parietal,0.31999999999999995,0.255
83,15,v5,0.375,0.325
84,16,premotor,0.34500000000000003,0.38500000000000006
85,16,motor,0.28500000000000003,0.4
86,16,v1,0.95,0.7250000000000001
87,16,sup_parietal,0.365,0.26000000000000006
88,16,inf_parietal,0.25,0.32999999999999996
89,16,v5,0.37,0.41000000000000003
90,17,premotor,0.40499999999999997,0.37
91,17,motor,0.37,0.305
92,17,v1,0.96,0.8550000000000001
93,17,sup_parietal,0.5,0.5399999999999999
94,17,inf_parietal,0.31499999999999995,0.29000000000000004
95,17,v5,0.57,0.525
96,18,premotor,0.475,0.33999999999999997
97,18,motor,0.35,0.27
98,18,v1,0.99,0.9800000000000001
99,18,sup_parietal,0.4699999999999999,0.42000000000000004
100,18,inf_parietal,0.27999999999999997,0.29500000000000004
101,18,v5,0.545,0.465
102,19,premotor,0.38,0.32999999999999996
103,19,motor,0.35,0.205
104,19,v1,0.845,0.74
105,19,sup_parietal,0.33499999999999996,0.315
106,19,inf_parietal,0.305,0.23000000000000004
107,19,v5,0.31999999999999995,0.335
