,Participants,Masks,Straight Train Accuracy,Rotated Train Accuracy,Straight Test Accuracy,Rotated Test Accuracy
0,01,premotor,0.65,0.675,0.75,0.825
1,01,motor,0.5125,0.575,0.65,0.55
2,01,v1,0.61875,0.65,0.775,0.7
3,01,sup_parietal,0.48750000000000004,0.51875,0.625,0.575
4,01,inf_parietal,0.45625000000000004,0.625,0.525,0.55
5,01,v5,0.48125,0.48125,0.45,0.35
6,02,premotor,0.7000000000000001,0.71875,0.925,0.725
7,02,motor,0.6,0.63125,0.75,0.775
8,02,v1,0.9125,0.875,0.975,0.975
9,02,sup_parietal,0.5375000000000001,0.66875,0.525,0.625
10,02,inf_parietal,0.59375,0.66875,0.575,0.675
11,02,v5,0.7749999999999999,0.5875,0.725,0.8
12,03,premotor,0.65625,0.7250000000000001,0.925,0.6
13,03,motor,0.54375,0.64375,0.7,0.7
14,03,v1,0.98125,0.89375,0.975,0.975
15,03,sup_parietal,0.51875,0.54375,0.625,0.5
16,03,inf_parietal,0.5062500000000001,0.5125,0.7,0.625
17,03,v5,0.58125,0.63125,0.625,0.575
18,04,premotor,0.6625000000000001,0.7562500000000001,0.75,0.725
19,04,motor,0.53125,0.66875,0.475,0.675
20,04,v1,0.9624999999999999,0.90625,0.975,1.0
21,04,sup_parietal,0.55625,0.6125,0.775,0.725
22,04,inf_parietal,0.5125,0.55,0.575,0.7
23,04,v5,0.5875,0.6749999999999999,0.625,0.75
24,05,premotor,0.59375,0.64375,0.575,0.75
25,05,motor,0.48124999999999996,0.5562499999999999,0.525,0.7
26,05,v1,0.9875,0.9625,0.9,0.975
27,05,sup_parietal,0.53125,0.5499999999999999,0.55,0.475
28,05,inf_parietal,0.43125,0.44375,0.525,0.75
29,05,v5,0.6,0.6875,0.45,0.5
30,06,premotor,0.55625,0.5625,0.85,0.775
31,06,motor,0.5125,0.525,0.575,0.725
32,06,v1,0.96875,0.86875,0.975,0.9
33,06,sup_parietal,0.51875,0.48124999999999996,0.675,0.525
34,06,inf_parietal,0.4,0.5125000000000001,0.625,0.525
35,06,v5,0.48750000000000004,0.55,0.425,0.525
36,07,premotor,0.59375,0.5687500000000001,0.575,0.55
37,07,motor,0.475,0.45625,0.55,0.575
38,07,v1,0.95,0.84375,1.0,0.875
39,07,sup_parietal,0.5625,0.54375,0.6,0.525
40,07,inf_parietal,0.45625,0.46875,0.525,0.475
41,07,v5,0.48750000000000004,0.4375,0.45,0.55
42,08,premotor,0.6125,0.6375,0.75,0.725
43,08,motor,0.475,0.5625,0.575,0.525
44,08,v1,0.7625,0.68125,1.0,0.75
45,08,sup_parietal,0.53125,0.48125,0.525,0.625
46,08,inf_parietal,0.5,0.475,0.375,0.7
47,08,v5,0.6625000000000001,0.59375,0.5,0.575
48,09,premotor,0.63125,0.6625,0.7,0.675
49,09,motor,0.64375,0.61875,0.55,0.625
50,09,v1,0.825,0.95,0.925,0.975
51,09,sup_parietal,0.6,0.5125,0.75,0.525
52,09,inf_parietal,0.5625,0.5375,0.575,0.55
53,09,v5,0.55625,0.5,0.55,0.725
54,11,premotor,0.55,0.70625,0.7,0.75
55,11,motor,0.55,0.5875,0.7,0.5
56,11,v1,0.975,0.8625,0.9,0.975
57,11,sup_parietal,0.59375,0.5625,0.575,0.55
58,11,inf_parietal,0.56875,0.5625,0.625,0.625
59,11,v5,0.5125,0.44999999999999996,0.5,0.575
60,12,premotor,0.6125,0.625,0.725,0.775
61,12,motor,0.5375,0.6125,0.575,0.5
62,12,v1,0.9625,0.9125000000000001,1.0,0.825
63,12,sup_parietal,0.575,0.5062500000000001,0.6,0.425
64,12,inf_parietal,0.48125,0.46249999999999997,0.55,0.55
65,12,v5,0.5437500000000001,0.5687500000000001,0.325,0.525
66,13,premotor,0.46249999999999997,0.66875,0.775,0.875
