,Participants,Masks,Target Location Straight,Target Location Rotate,RDM Correlations
0,01,premotor,153,153,0.0329613157504672
1,01,premotor,153,207,0.023069943498268512
2,01,premotor,153,45,0.030720166464465008
3,01,premotor,153,99,0.011659489094365356
4,01,premotor,207,153,0.028545156963917986
5,01,premotor,207,207,0.020525770166795534
6,01,premotor,207,45,0.018865432686214358
7,01,premotor,207,99,0.019467983129545615
8,01,premotor,45,153,0.029442953780893767
9,01,premotor,45,207,0.026789983745811357
10,01,premotor,45,45,0.027101133352971582
11,01,premotor,45,99,0.013313986959094548
12,01,premotor,99,153,0.03340185005317655
13,01,premotor,99,207,0.029118754292993782
14,01,premotor,99,45,0.03423310470582452
15,01,premotor,99,99,0.025986813937886342
16,01,motor,153,153,-0.0017939589049271226
17,01,motor,153,207,0.022251925511473876
18,01,motor,153,45,0.01727827026895938
19,01,motor,153,99,0.004000950346131146
20,01,motor,207,153,0.017193277553279353
21,01,motor,207,207,0.016721718263620726
22,01,motor,207,45,0.026133734036675314
23,01,motor,207,99,-0.000181076106355065
24,01,motor,45,153,0.013714491605185408
25,01,motor,45,207,0.05003829809347879
26,01,motor,45,45,0.0026520131960686235
27,01,motor,45,99,-0.010221905654121063
28,01,motor,99,153,0.025756995851727582
29,01,motor,99,207,0.020717112064894173
30,01,motor,99,45,0.011340540241141017
31,01,motor,99,99,0.0013197118686301191
32,01,v1,153,153,0.06929101140501752
33,01,v1,153,207,0.07884278445292334
34,01,v1,153,45,0.07196580958708813
35,01,v1,153,99,0.05135449764621369
36,01,v1,207,153,0.0462344235556449
37,01,v1,207,207,0.04342075558218665
38,01,v1,207,45,0.032140348375760165
39,01,v1,207,99,0.050222418781814916
40,01,v1,45,153,0.052594137430897664
41,01,v1,45,207,0.08058366405034385
42,01,v1,45,45,0.06438290927032556
43,01,v1,45,99,0.04863596511753724
44,01,v1,99,153,0.036896410099805266
45,01,v1,99,207,0.04884751227303219
46,01,v1,99,45,0.07681865522142924
47,01,v1,99,99,0.06539256014913518
48,01,sup_parietal,153,153,0.047488309172145166
49,01,sup_parietal,153,207,0.05249689619544252
50,01,sup_parietal,153,45,0.059081653549426655
51,01,sup_parietal,153,99,0.05069480683476619
52,01,sup_parietal,207,153,0.06472608227003693
53,01,sup_parietal,207,207,0.04313149424406384
54,01,sup_parietal,207,45,0.04279613396140497
55,01,sup_parietal,207,99,0.043463062433520085
56,01,sup_parietal,45,153,0.01560224356479537
57,01,sup_parietal,45,207,0.02363492600572536
58,01,sup_parietal,45,45,0.06542005512335075
59,01,sup_parietal,45,99,0.022736958959075446
60,01,sup_parietal,99,153,0.03352587922880091
61,01,sup_parietal,99,207,0.026701102861595435
62,01,sup_parietal,99,45,0.024551119516986873
63,01,sup_parietal,99,99,0.03256651159050612
64,01,inf_parietal,153,153,0.05187812576016805
65,01,inf_parietal,153,207,0.030220944340211796
66,01,inf_parietal,153,45,0.04491438723246161
67,01,inf_parietal,153,99,0.0419442978656552
68,01,inf_parietal,207,153,0.031187103355854184
69,01,inf_parietal,207,207,0.014552558322707337
70,01,inf_parietal,207,45,0.021576244252684205
71,01,inf_parietal,207,99,0.001925588954243036
72,01,inf_parietal,45,153,0.012906814973948291
73,01,inf_parietal,45,207,0.02770760122385101
74,01,inf_parietal,45,45,0.02782063744602638
75,01,inf_parietal,45,99,0.0037184395917512283
76,01,inf_parietal,99,153,0.03079565636043653
77,01,inf_parietal,99,207,0.001886158812638288
78,01,inf_parietal,99,45,0.017888474598703095
79,01,inf_parietal,99,99,0.025037905970148135
80,01,v5,153,153,0.012590084266522415
81,01,v5,153,207,-0.0023149071966823732
82,01,v5,153,45,0.060837071308816035
83,01,v5,153,99,-0.05118815988758933
84,01,v5,207,153,-0.019691554238682695
85,01,v5,207,207,-0.016370024873385392
86,01,v5,207,45,-0.011417493796658542
87,01,v5,207,99,0.03836808471095089
88,01,v5,45,153,-0.030222877527340833
89,01,v5,45,207,0.07239656055615623
90,01,v5,45,45,0.025592626192452596
91,01,v5,45,99,0.05054325337449181
92,01,v5,99,153,0.019496257314782127
93,01,v5,99,207,-0.02851915854307461
94,01,v5,99,45,0.06827140469840987
95,01,v5,99,99,-0.0559002160575936
96,02,premotor,153,153,0.020595281510889376
97,02,premotor,153,207,0.01567971359365776
98,02,premotor,153,45,0.014755472141266858
99,02,premotor,153,99,0.01858723177437436
100,02,premotor,207,153,0.024172728754506326
101,02,premotor,207,207,0.030898597802088586
102,02,premotor,207,45,0.014073106144763259
103,02,premotor,207,99,0.020044551079781057
104,02,premotor,45,153,0.02272723518777861
105,02,premotor,45,207,0.02711520900253798
106,02,premotor,45,45,0.013390536989259048
107,02,premotor,45,99,0.021215377302611863
108,02,premotor,99,153,0.007496084636930723
109,02,premotor,99,207,0.010647744639615587
110,02,premotor,99,45,0.016779741505341058
111,02,premotor,99,99,0.02112365842046894
112,02,motor,153,153,0.00011308228126179123
113,02,motor,153,207,0.026965221007991074
114,02,motor,153,45,0.0030675545573495442
115,02,motor,153,99,0.025749158554570897
116,02,motor,207,153,0.0230384734635325
117,02,motor,207,207,0.009864434409476599
118,02,motor,207,45,-0.007186015548336727
119,02,motor,207,99,0.02476254633713107
120,02,motor,45,153,0.030366472612919033
121,02,motor,45,207,0.03913181668191368
122,02,motor,45,45,0.016894185822025218
123,02,motor,45,99,0.01981159244870731
124,02,motor,99,153,0.008457914924394957
125,02,motor,99,207,0.04465743369354242
126,02,motor,99,45,0.03866370847120217
127,02,motor,99,99,0.026454753520678796
128,02,v1,153,153,0.2382692632510382
129,02,v1,153,207,0.15354826716157294
130,02,v1,153,45,0.0797739573208712
131,02,v1,153,99,0.1425855439850423
132,02,v1,207,153,0.16996696914967607
133,02,v1,207,207,0.29537528823827297
134,02,v1,207,45,0.07227392553131022
135,02,v1,207,99,0.06885895096593997
136,02,v1,45,153,0.10045349376813771
137,02,v1,45,207,0.06122768408760865
138,02,v1,45,45,0.16672657762506413
139,02,v1,45,99,0.09172145197653707
140,02,v1,99,153,0.10973795342473389
141,02,v1,99,207,0.07979591445341042
142,02,v1,99,45,0.1447109819189241
143,02,v1,99,99,0.22016455410558675
144,02,sup_parietal,153,153,0.024902101159616552
145,02,sup_parietal,153,207,0.05460030168373355
146,02,sup_parietal,153,45,0.06996625615412909
147,02,sup_parietal,153,99,0.021045224310433784
148,02,sup_parietal,207,153,0.05874553816012424
149,02,sup_parietal,207,207,0.04247314877293222
150,02,sup_parietal,207,45,0.10402835129204153
151,02,sup_parietal,207,99,0.04886574774449007
152,02,sup_parietal,45,153,0.07277889420351472
153,02,sup_parietal,45,207,0.0926287258760273
154,02,sup_parietal,45,45,0.07872615784582897
155,02,sup_parietal,45,99,0.09421835107552506
156,02,sup_parietal,99,153,0.09043808047009903
157,02,sup_parietal,99,207,0.03961305802968852
158,02,sup_parietal,99,45,0.034478253485074314
159,02,sup_parietal,99,99,0.05345937960319582
160,02,inf_parietal,153,153,0.014835959775682615
161,02,inf_parietal,153,207,0.014877645939360539
162,02,inf_parietal,153,45,0.013562513270854587
163,02,inf_parietal,153,99,0.014557625528836559
164,02,inf_parietal,207,153,0.0042955062042205495
165,02,inf_parietal,207,207,0.05055402167199825
166,02,inf_parietal,207,45,0.021980082621065506
167,02,inf_parietal,207,99,0.01481586583774664
168,02,inf_parietal,45,153,0.010533993088879583
169,02,inf_parietal,45,207,0.030588891035618144
170,02,inf_parietal,45,45,0.028992066188219253
171,02,inf_parietal,45,99,0.0027548103503801467
172,02,inf_parietal,99,153,0.04062379733549076
173,02,inf_parietal,99,207,0.014518512692762277
174,02,inf_parietal,99,45,0.057141975155112795
175,02,inf_parietal,99,99,0.008016574515850486
176,02,v5,153,153,0.09386270036836762
177,02,v5,153,207,0.052216291976934615
178,02,v5,153,45,0.029810704014658337
179,02,v5,153,99,-0.02605618531890502
180,02,v5,207,153,0.13428643172255617
181,02,v5,207,207,0.10248078546041633
182,02,v5,207,45,0.057671929411447685
183,02,v5,207,99,0.10125349067859249
184,02,v5,45,153,0.0952444976623304
185,02,v5,45,207,0.031294772982139334
186,02,v5,45,45,0.20662002382419015
187,02,v5,45,99,0.038372473566072283
188,02,v5,99,153,-0.018242618291785667
189,02,v5,99,207,0.08729117010790792
190,02,v5,99,45,0.132197067127446
191,02,v5,99,99,0.11965029147981379
192,03,premotor,153,153,0.03408091575855721
193,03,premotor,153,207,0.029548533809312598
194,03,premotor,153,45,0.016483861192263527
195,03,premotor,153,99,0.027794801200869107
196,03,premotor,207,153,0.029718577722679003
197,03,premotor,207,207,0.04068904139793234
198,03,premotor,207,45,0.025349705875148336
199,03,premotor,207,99,0.023909603608234666
200,03,premotor,45,153,0.032520307009315914
201,03,premotor,45,207,0.04659450526108777
202,03,premotor,45,45,0.023815726102469688
203,03,premotor,45,99,0.03429875235305201
204,03,premotor,99,153,0.03508569113763232
205,03,premotor,99,207,0.033915789279548886
206,03,premotor,99,45,0.026613031805539516
207,03,premotor,99,99,0.024838992378284942
208,03,motor,153,153,0.03164755703133473
209,03,motor,153,207,0.013044148084508628
210,03,motor,153,45,0.00963166430747004
211,03,motor,153,99,0.015643299764396316
212,03,motor,207,153,0.01958291693753013
213,03,motor,207,207,-0.0030399081456688793
214,03,motor,207,45,0.011716878056993611
215,03,motor,207,99,0.013149127596220904
