,Participants,Masks,Rotate Direction,Straight Direction,Correlation
0,01,premotor,153,153,0.024648086750852942
1,01,premotor,153,207,0.017129665492136154
2,01,premotor,153,45,-0.004104076783682544
3,01,premotor,153,99,-0.05286640971492755
4,01,premotor,207,153,-0.004437721103781303
5,01,premotor,207,207,0.002098722112204768
6,01,premotor,207,45,0.015563777559916845
7,01,premotor,207,99,-0.0070253677294052005
8,01,premotor,45,153,-0.019044891684351428
9,01,premotor,45,207,-0.015553366065235252
10,01,premotor,45,45,-0.004357319707985889
11,01,premotor,45,99,0.03662872853682492
12,01,premotor,99,153,-0.015228586226682703
13,01,premotor,99,207,-0.024626863145286407
14,01,premotor,99,45,0.005776883486432674
15,01,premotor,99,99,0.04906109690565315
16,01,motor,153,153,0.008242341563467159
17,01,motor,153,207,-0.007630887332721452
18,01,motor,153,45,-0.019904277387703173
19,01,motor,153,99,0.03344294709317533
20,01,motor,207,153,-0.013967779048320911
21,01,motor,207,207,-0.05039965845395659
22,01,motor,207,45,0.05593457956502596
23,01,motor,207,99,0.026636186717277355
24,01,motor,45,153,-0.017109368215484793
25,01,motor,45,207,0.07267726640332763
26,01,motor,45,45,-0.020878645801124515
27,01,motor,45,99,-0.04586044872931958
28,01,motor,99,153,0.02629294669670071
29,01,motor,99,207,-0.006561828651609163
30,01,motor,99,45,-0.02119633526566436
31,01,motor,99,99,-0.013937782151799125
32,01,v1,153,153,-0.026477016841351557
33,01,v1,153,207,0.010911994023437947
34,01,v1,153,45,0.009073610899789943
35,01,v1,153,99,0.04138397559387775
36,01,v1,207,153,0.05283911509932205
37,01,v1,207,207,-0.01952755406294629
38,01,v1,207,45,-0.015158432757280963
39,01,v1,207,99,-0.02345242327013715
40,01,v1,45,153,0.025183048671652573
41,01,v1,45,207,0.012536762605384204
42,01,v1,45,45,-0.04570011055986442
43,01,v1,45,99,-0.007660195700536453
44,01,v1,99,153,-0.06914584706951793
45,01,v1,99,207,0.020301933777198203
46,01,v1,99,45,0.05391057613771501
47,01,v1,99,99,-0.011680994295752705
48,01,sup_parietal,153,153,-0.011128429592574943
49,01,sup_parietal,153,207,0.0168070824653419
50,01,sup_parietal,153,45,-0.005406460979101805
51,01,sup_parietal,153,99,0.0028539343755367673
52,01,sup_parietal,207,153,-0.0634843341031979
53,01,sup_parietal,207,207,0.027232188073194673
54,01,sup_parietal,207,45,0.005961459026249342
55,01,sup_parietal,207,99,0.06477662378280188
56,01,sup_parietal,45,153,-0.013827102894944283
57,01,sup_parietal,45,207,-0.06645320528903555
58,01,sup_parietal,45,45,0.034134623194832084
59,01,sup_parietal,45,99,0.021153636786484666
60,01,sup_parietal,99,153,0.04391797247445317
61,01,sup_parietal,99,207,0.03583526221783099
62,01,sup_parietal,99,45,-0.014832249441434013
63,01,sup_parietal,99,99,-0.08553705478286902
64,01,inf_parietal,153,153,0.020447545911941162
65,01,inf_parietal,153,207,0.008981094749452953
66,01,inf_parietal,153,45,0.04139089182113266
67,01,inf_parietal,153,99,-0.05809395501271077
68,01,inf_parietal,207,153,-0.04041898732760687
69,01,inf_parietal,207,207,-0.014284806707588287
70,01,inf_parietal,207,45,0.017007250786227515
71,01,inf_parietal,207,99,0.04304112672371693
72,01,inf_parietal,45,153,-0.03428224630014491
73,01,inf_parietal,45,207,0.036282611452991206
74,01,inf_parietal,45,45,-0.010525493615952754
75,01,inf_parietal,45,99,0.01743670907606662
76,01,inf_parietal,99,153,0.023014736049307316
77,01,inf_parietal,99,207,-0.041353073806520604
78,01,inf_parietal,99,45,-0.02695842491212322
79,01,inf_parietal,99,99,0.028218117952375277
80,01,v5,153,153,-0.04010668275644629
81,01,v5,153,207,0.044724798892737415
82,01,v5,153,45,-0.020949670961666438
83,01,v5,153,99,0.052832345511310705
84,01,v5,207,153,-0.06346370439733562
85,01,v5,207,207,0.06159610438333325
86,01,v5,207,45,-0.005266170107345383
87,01,v5,207,99,-0.08860043299116378
88,01,v5,45,153,0.15268458298945456
89,01,v5,45,207,-0.04609203275835543
90,01,v5,45,45,-0.05201206640960861
91,01,v5,45,99,-0.015692824455399986
92,01,v5,99,153,-0.15914638336352188
93,01,v5,99,207,0.023279807443883062
94,01,v5,99,45,0.11157436513306063
95,01,v5,99,99,0.04578971184406126
96,02,premotor,153,153,0.007720538184281506
97,02,premotor,153,207,0.05406470508100472
98,02,premotor,153,45,-0.018488817449524016
99,02,premotor,153,99,-0.03992220289959209
100,02,premotor,207,153,-0.04077845288925568
101,02,premotor,207,207,0.03172787099559641
102,02,premotor,207,45,0.06777824900780022
103,02,premotor,207,99,-0.0553329976900485
104,02,premotor,45,153,0.00866369269872478
105,02,premotor,45,207,-0.0107962815966495
106,02,premotor,45,45,-0.0620291551509876
107,02,premotor,45,99,0.05779531718226069
108,02,premotor,99,153,0.0275949219341219
109,02,premotor,99,207,-0.06320377390434938
110,02,premotor,99,45,-0.012376350850311737
111,02,premotor,99,99,0.045998839214726445
112,02,motor,153,153,-0.018332361744050785
113,02,motor,153,207,0.024226189168698405
114,02,motor,153,45,0.021267733201209463
115,02,motor,153,99,-0.041735179080013604
116,02,motor,207,153,-0.03380575582875216
117,02,motor,207,207,0.04102175176215869
118,02,motor,207,45,0.04936512711754309
119,02,motor,207,99,-0.05545144190676536
120,02,motor,45,153,0.09398115606587598
121,02,motor,45,207,-0.03577755430221561
122,02,motor,45,45,-0.09037714792422177
123,02,motor,45,99,0.007029053724021168
124,02,motor,99,153,-0.04901578012093061
125,02,motor,99,207,-0.013604474298361745
