,Participants,Masks,Rotate Direction,Straight Direction,Correlation
0,01,premotor,153,153,-0.018369101928133014
1,01,premotor,153,207,-0.00795234505286598
2,01,premotor,153,45,0.0009894169803659897
3,01,premotor,153,99,0.04551055481539127
4,01,premotor,207,153,-0.0030137591756121563
5,01,premotor,207,207,-0.0034961396876355914
6,01,premotor,207,45,-0.009992068965462736
7,01,premotor,207,99,0.0009204794183280476
8,01,premotor,45,153,0.0042556046561147915
9,01,premotor,45,207,0.01688936078659378
10,01,premotor,45,45,0.00554490202225477
11,01,premotor,45,99,-0.024375616170552658
12,01,premotor,99,153,0.026025221240849557
13,01,premotor,99,207,0.01181661655955044
14,01,premotor,99,45,-0.013009727232456466
15,01,premotor,99,99,-0.032098941408285064
16,01,motor,153,153,-0.02720656587862864
17,01,motor,153,207,0.00951523245241971
18,01,motor,153,45,0.0161142448515327
19,01,motor,153,99,-0.019789398509205122
20,01,motor,207,153,-7.746660557309513e-05
21,01,motor,207,207,0.0476768090256613
22,01,motor,207,45,-0.04100164995826177
23,01,motor,207,99,-0.02139518252728586
24,01,motor,45,153,0.044318803934483286
25,01,motor,45,207,-0.06341942458650078
26,01,motor,45,45,0.016209476207498935
27,01,motor,45,99,0.012660309758893788
28,01,motor,99,153,-0.027902218836518063
29,01,motor,99,207,0.015560359014140128
30,01,motor,99,45,0.017752686756604526
31,01,motor,99,99,0.017953432836051407
32,01,v1,153,153,0.014685944459820455
33,01,v1,153,207,-0.02170495328185091
34,01,v1,153,45,-0.00883753618689452
35,01,v1,153,99,-0.026379308195309623
36,01,v1,207,153,-0.021997628227199417
37,01,v1,207,207,0.017343230562254744
38,01,v1,207,45,0.0008960442146548481
39,01,v1,207,99,0.01742893658332827
40,01,v1,45,153,-0.03421888881728408
41,01,v1,45,207,0.0012629433800301878
42,01,v1,45,45,0.04205214620759199
43,01,v1,45,99,-0.0016835143314785812
44,01,v1,99,153,0.05277219511947081
45,01,v1,99,207,-0.020640387775816213
46,01,v1,99,45,-0.041195885905033765
47,01,v1,99,99,0.024429485712830733
48,01,sup_parietal,153,153,-0.015117944203089442
49,01,sup_parietal,153,207,-0.02393314181862387
50,01,sup_parietal,153,45,0.023773433084590904
51,01,sup_parietal,153,99,0.015224422979783114
52,01,sup_parietal,207,153,0.08828128854131004
53,01,sup_parietal,207,207,0.0075309401982777
54,01,sup_parietal,207,45,-0.005115740567780382
55,01,sup_parietal,207,99,-0.1258503240166497
56,01,sup_parietal,45,153,0.004712840054632506
57,01,sup_parietal,45,207,0.05486354940698259
58,01,sup_parietal,45,45,-0.04240808125553579
59,01,sup_parietal,45,99,0.003436340859408405
60,01,sup_parietal,99,153,-0.05907793998735453
61,01,sup_parietal,99,207,-0.020884931221586377
62,01,sup_parietal,99,45,-0.004334474386852208
63,01,sup_parietal,99,99,0.1025245673475236
64,01,inf_parietal,153,153,-0.030137340736343155
65,01,inf_parietal,153,207,-0.0032837037279226673
66,01,inf_parietal,153,45,-0.010403275138941858
67,01,inf_parietal,153,99,0.042350502206713186
68,01,inf_parietal,207,153,0.034520797870647046
69,01,inf_parietal,207,207,0.024795814034521246
70,01,inf_parietal,207,45,-0.018031880143351796
71,01,inf_parietal,207,99,-0.04788572699671005
72,01,inf_parietal,45,153,0.026321202024400588
73,01,inf_parietal,45,207,-0.02807061258470019
74,01,inf_parietal,45,45,-0.0057136012025806975
75,01,inf_parietal,45,99,0.0026285543207096324
76,01,inf_parietal,99,153,-0.015690276538683705
77,01,inf_parietal,99,207,0.020583548695553868
78,01,inf_parietal,99,45,0.03944640137355647
79,01,inf_parietal,99,99,-0.035060914750084285
80,01,v5,153,153,0.05530551159255814
81,01,v5,153,207,-0.06342543898576843
82,01,v5,153,45,0.04682927528145311
83,01,v5,153,99,-0.0660581679678155
84,01,v5,207,153,-0.01625239113379542
85,01,v5,207,207,-0.07293460240159558
86,01,v5,207,45,0.011816909611580894
87,01,v5,207,99,0.14320344197620766
88,01,v5,45,153,-0.15780898615192313
89,01,v5,45,207,0.10859843354910084
90,01,v5,45,45,0.030594663593868768
91,01,v5,45,99,-0.017639606809083032
92,01,v5,99,153,0.16265316957878584
93,01,v5,99,207,-0.03676547769475735
94,01,v5,99,45,-0.07863114298452985
95,01,v5,99,99,-0.08084336177498294
96,02,premotor,153,153,-0.009565480931848653
97,02,premotor,153,207,-0.06139674682050213
98,02,premotor,153,45,0.024756669132496727
99,02,premotor,153,99,0.04451968918697611
100,02,premotor,207,153,0.0389097939118367
101,02,premotor,207,207,-0.036361317344320396
102,02,premotor,207,45,-0.06358497415456903
103,02,premotor,207,99,0.05663206258775036
104,02,premotor,45,153,-0.002656724142614749
105,02,premotor,45,207,0.028714323533170702
106,02,premotor,45,45,0.039519000231985096
107,02,premotor,45,99,-0.05900320679660676
108,02,premotor,99,153,-0.025861618121499473
109,02,premotor,99,207,0.06855846441741315
110,02,premotor,99,45,0.002121172230065093
111,02,premotor,99,99,-0.04246696704881321
112,02,motor,153,153,-0.003686910416264075
113,02,motor,153,207,-0.009554588784870425
114,02,motor,153,45,-0.03523806650171787
115,02,motor,153,99,0.06428558914137883
116,02,motor,207,153,0.04419532944563718
117,02,motor,207,207,-0.04027241387238811
118,02,motor,207,45,-0.05164150232345167
119,02,motor,207,99,0.052874914501982034
120,02,motor,45,153,-0.05691319100463068
121,02,motor,45,207,0.01358907449247643
122,02,motor,45,45,0.0963995567288371
123,02,motor,45,99,-0.03809095502370927
124,02,motor,99,153,0.029931341141469045
125,02,motor,99,207,0.025191028083849598
126,02,motor,99,45,-0.01381887213835379
127,02,motor,99,99,-0.05908586960882266
128,02,v1,153,153,0.05822551117015155
129,02,v1,153,207,-0.058283547428358576
130,02,v1,153,45,-0.00923880993251235
131,02,v1,153,99,0.02925151491115357
132,02,v1,207,153,0.03223918621363817
133,02,v1,207,207,0.03164499659938784
134,02,v1,207,45,-0.07234953775116347
135,02,v1,207,99,-0.0007726356928729151
136,02,v1,45,153,-0.060463518576478956
137,02,v1,45,207,0.043942439885989226
138,02,v1,45,45,0.03594552832261243
139,02,v1,45,99,-0.016599303151423165
140,02,v1,99,153,-0.030912342720478016
141,02,v1,99,207,-0.025309219835042446
142,02,v1,99,45,0.05112133659493808
143,02,v1,99,99,-0.010209311813748814
144,02,sup_parietal,153,153,-0.06545356751717699
145,02,sup_parietal,153,207,-0.009363993634100481
146,02,sup_parietal,153,45,0.061093505785472964
147,02,sup_parietal,153,99,-0.03507727175974092
148,02,sup_parietal,207,153,0.057846090683150456
149,02,sup_parietal,207,207,-0.014192633724063253
150,02,sup_parietal,207,45,-0.06475459679908582
151,02,sup_parietal,207,99,-0.01907220346501736
152,02,sup_parietal,45,153,-0.04328290906426108
153,02,sup_parietal,45,207,0.05532405352401748
154,02,sup_parietal,45,45,0.023743554149797286
155,02,sup_parietal,45,99,-0.0020276644590027336
156,02,sup_parietal,99,153,0.014018600148724084
157,02,sup_parietal,99,207,9.518677612279335e-05
158,02,sup_parietal,99,45,-0.010476673713603914
159,02,sup_parietal,99,99,0.034305130375457286
160,02,inf_parietal,153,153,0.004335296637573073
161,02,inf_parietal,153,207,-0.0894247803032122
162,02,inf_parietal,153,45,0.03594915365499963
163,02,inf_parietal,153,99,0.05593985564449815
164,02,inf_parietal,207,153,0.025900697004890116
165,02,inf_parietal,207,207,-0.024126965694932407
166,02,inf_parietal,207,45,-0.011165441162890973
167,02,inf_parietal,207,99,0.006613653172093878
168,02,inf_parietal,45,153,0.015239103629105535
169,02,inf_parietal,45,207,0.035457936407413355
170,02,inf_parietal,45,45,0.028866281053918596
171,02,inf_parietal,45,99,-0.083945064371384
172,02,inf_parietal,99,153,-0.05029683774350707
173,02,inf_parietal,99,207,0.0918546629195131
174,02,inf_parietal,99,45,-0.07062467420807977
175,02,inf_parietal,99,99,0.03514463545482428
176,02,v5,153,153,0.04850633552748364
177,02,v5,153,207,-0.11460142355194308
178,02,v5,153,45,-0.00904157596864743
179,02,v5,153,99,0.12898180940029827
180,02,v5,207,153,0.07665377957490119
181,02,v5,207,207,0.10167262038964552
182,02,v5,207,45,-0.09768623329335992
183,02,v5,207,99,-0.12428179642657129
184,02,v5,45,153,0.0546098895688678
185,02,v5,45,207,0.01953317565054692
186,02,v5,45,45,0.07421363805941242
187,02,v5,45,99,-0.11768797315884989
188,02,v5,99,153,-0.14895820073687216
189,02,v5,99,207,0.04455009214983413
190,02,v5,99,45,-0.017586857122027184
191,02,v5,99,99,0.11571446005451502
192,03,premotor,153,153,0.008428057857774906
193,03,premotor,153,207,-0.024599344681909822
194,03,premotor,153,45,-0.014814568883034882
195,03,premotor,153,99,0.028755756822961352
196,03,premotor,207,153,0.034314206286899095
197,03,premotor,207,207,0.019719367046558266
198,03,premotor,207,45,-0.05651427648352315
199,03,premotor,207,99,-0.002719631835274584
200,03,premotor,45,153,-0.03473765743745344
201,03,premotor,45,207,0.027524461867302247
202,03,premotor,45,45,0.020987531722440885
203,03,premotor,45,99,-0.012617677341901041
204,03,premotor,99,153,-0.010823913898284866
205,03,premotor,99,207,-0.025526719864413377
206,03,premotor,99,45,0.062218320273171944
207,03,premotor,99,99,-0.01746885938987973
208,03,motor,153,153,-0.11052689333817349
209,03,motor,153,207,0.028581628539741
210,03,motor,153,45,0.0391432703823702
211,03,motor,153,99,0.03814145263432368
212,03,motor,207,153,0.11210218986165142
213,03,motor,207,207,-0.07100593534561525
214,03,motor,207,45,-0.0585516105219494
215,03,motor,207,99,0.010685160809994881
216,03,motor,45,153,0.0529901789880975
217,03,motor,45,207,0.0013787547999907813
218,03,motor,45,45,-0.053783975013792465
219,03,motor,45,99,-0.013308375487453675
220,03,motor,99,153,-0.06456847762012768
221,03,motor,99,207,0.05283902221938941
222,03,motor,99,45,0.09401047682307356
223,03,motor,99,99,-0.05466423333409301
224,03,v1,153,153,0.05759097322642981
225,03,v1,153,207,0.00833085686392935
226,03,v1,153,45,-0.04000438052789531
227,03,v1,153,99,-0.004408071034985327
228,03,v1,207,153,0.008487482537513686
229,03,v1,207,207,0.00745645042404987
230,03,v1,207,45,-0.06213283821914602
231,03,v1,207,99,0.02696531514849248
232,03,v1,45,153,-0.048365465520292666
233,03,v1,45,207,0.04220156618896367
234,03,v1,45,45,0.03902928656822863
235,03,v1,45,99,-0.03848765925839888
236,03,v1,99,153,-0.04169005231432022
237,03,v1,99,207,-0.03876513016791227
238,03,v1,99,45,0.06158706215167756
239,03,v1,99,99,0.017501108521781522
240,03,sup_parietal,153,153,0.019083939157745262
241,03,sup_parietal,153,207,0.05177650877812693
242,03,sup_parietal,153,45,-0.06368415234337726
243,03,sup_parietal,153,99,-0.00015686959514338988
244,03,sup_parietal,207,153,0.048963319578883335
245,03,sup_parietal,207,207,-0.028310560047541455
246,03,sup_parietal,207,45,-0.045742714781946095
247,03,sup_parietal,207,99,-0.002086314348351624
248,03,sup_parietal,45,153,-0.13029234941304527
249,03,sup_parietal,45,207,-0.0537067928408744
250,03,sup_parietal,45,45,0.14156988394807712
251,03,sup_parietal,45,99,0.03887866716457556
252,03,sup_parietal,99,153,0.1041672890668926
253,03,sup_parietal,99,207,-0.0004950230519109415
254,03,sup_parietal,99,45,-0.03295132673373052
255,03,sup_parietal,99,99,-0.04811012500854263
256,03,inf_parietal,153,153,-0.07117923665985999
257,03,inf_parietal,153,207,0.013407694376440283
258,03,inf_parietal,153,45,0.06097948625813819
259,03,inf_parietal,153,99,-0.03036196931844507
260,03,inf_parietal,207,153,0.030641402763666177
261,03,inf_parietal,207,207,-0.06508116904710401
262,03,inf_parietal,207,45,-0.008198574249054603
263,03,inf_parietal,207,99,0.021979135599191874
264,03,inf_parietal,45,153,0.03609626687736249
265,03,inf_parietal,45,207,0.031891874323122765
266,03,inf_parietal,45,45,-0.02731579043184374
267,03,inf_parietal,45,99,-0.025280487498425104
268,03,inf_parietal,99,153,-0.019495394725038938
269,03,inf_parietal,99,207,0.024634661729024683
270,03,inf_parietal,99,45,0.004337834247094427
271,03,inf_parietal,99,99,0.02304502515212744
272,03,v5,153,153,0.13299276548300903
273,03,v5,153,207,-0.10126062764037648
274,03,v5,153,45,0.03423644020992027
275,03,v5,153,99,-0.007838441977681729
276,03,v5,207,153,-0.009726894755600343
277,03,v5,207,207,0.003935278660844345
278,03,v5,207,45,-0.09287204951439
279,03,v5,207,99,0.006254035243410283
280,03,v5,45,153,-0.1910680601344377
281,03,v5,45,207,0.1888660320176796
282,03,v5,45,45,0.019638319592663857
283,03,v5,45,99,-0.0760026536634863
284,03,v5,99,153,0.0002156255455451582
285,03,v5,99,207,-0.0781489321178107
286,03,v5,99,45,0.042052292907614613
287,03,v5,99,99,0.06471702962641449
288,04,premotor,153,153,-0.029348616046065
289,04,premotor,153,207,0.010472012310967749
290,04,premotor,153,45,-0.013187110388577982
291,04,premotor,153,99,0.03508262518792949
292,04,premotor,207,153,0.025990510059694796
293,04,premotor,207,207,0.0023825098140679395
294,04,premotor,207,45,-0.024515292391029044
295,04,premotor,207,99,-0.006346459650920166
296,04,premotor,45,153,0.013508277629263965
297,04,premotor,45,207,0.003021558900521836
298,04,premotor,45,45,0.032460759369277094
299,04,premotor,45,99,-0.050439140993919745
300,04,premotor,99,153,-0.024453788847075192
301,04,premotor,99,207,-0.013919000781980469
302,04,premotor,99,45,0.009750248823163447
303,04,premotor,99,99,0.02770756681878428
304,04,motor,153,153,0.003149551638319162
305,04,motor,153,207,0.0013052638394354665
306,04,motor,153,45,0.019756138024965234
307,04,motor,153,99,-0.04344768924816258
308,04,motor,207,153,0.025091409207016368
309,04,motor,207,207,-0.044711090284719396
310,04,motor,207,45,-0.03520413804629058
311,04,motor,207,99,0.07489308975112946
312,04,motor,45,153,0.02675712984756036
313,04,motor,45,207,-0.034100907402126145
314,04,motor,45,45,0.023592720419801223
315,04,motor,45,99,-0.024093917561125305
316,04,motor,99,153,-0.05200534716397179
317,04,motor,99,207,0.07269316290909894
318,04,motor,99,45,-0.005044862995808411
319,04,motor,99,99,-0.005288245689562562
320,04,v1,153,153,0.02685656862765519
321,04,v1,153,207,-0.03234675996080339
322,04,v1,153,45,-0.029909110743763782
323,04,v1,153,99,0.03068624924045753
324,04,v1,207,153,0.017550615620347883
325,04,v1,207,207,0.09770932375139822
326,04,v1,207,45,-0.0961991798802537
327,04,v1,207,99,-0.03783916250033611
328,04,v1,45,153,-0.02886394654282406
329,04,v1,45,207,-0.034750938158584196
330,04,v1,45,45,0.0794580933455465
331,04,v1,45,99,0.008840851035926064
332,04,v1,99,153,-0.01477098493248091
333,04,v1,99,207,-0.03071319423320215
334,04,v1,99,45,0.04295054835197505
335,04,v1,99,99,0.001738185157676958
336,04,sup_parietal,153,153,-0.025692742611429106
337,04,sup_parietal,153,207,-0.05021347701205676
338,04,sup_parietal,153,45,0.06710989027316444
339,04,sup_parietal,153,99,-0.0050998427266862115
340,04,sup_parietal,207,153,0.02505145370381883
341,04,sup_parietal,207,207,0.018186355346336964
342,04,sup_parietal,207,45,-0.0556661308921102
343,04,sup_parietal,207,99,-0.022468997942215792
344,04,sup_parietal,45,153,-0.039652501780080576
345,04,sup_parietal,45,207,-0.039845220438328624
346,04,sup_parietal,45,45,0.01147051329102692
347,04,sup_parietal,45,99,0.0655625963029547
348,04,sup_parietal,99,153,0.10795977157758274
349,04,sup_parietal,99,207,0.026604912857689147
350,04,sup_parietal,99,45,-0.039319939643868075
351,04,sup_parietal,99,99,-0.06255943269922279
352,04,inf_parietal,153,153,-0.1427301524428894
353,04,inf_parietal,153,207,-0.03774972989903665
354,04,inf_parietal,153,45,0.055485188451068056
355,04,inf_parietal,153,99,0.11399628339294185
356,04,inf_parietal,207,153,0.0285504920168176
357,04,inf_parietal,207,207,-0.023026537140840044
358,04,inf_parietal,207,45,-0.06017233357846248
359,04,inf_parietal,207,99,0.04236652849405184
360,04,inf_parietal,45,153,0.009095471470046485
361,04,inf_parietal,45,207,0.11344732040190822
362,04,inf_parietal,45,45,-0.0513071024982711
363,04,inf_parietal,45,99,-0.06892946258749295
364,04,inf_parietal,99,153,0.10910181723633121
365,04,inf_parietal,99,207,-0.05360282329507413
366,04,inf_parietal,99,45,0.033974305125915955
367,04,inf_parietal,99,99,-0.0694592568201378
368,04,v5,153,153,-0.044643266367421185
369,04,v5,153,207,-0.2113445886442336
370,04,v5,153,45,0.19238908828735107
371,04,v5,153,99,0.04323796654119131
372,04,v5,207,153,0.05878912949033459
373,04,v5,207,207,-0.021316229655295567
374,04,v5,207,45,-0.1448157508900825
375,04,v5,207,99,0.07170474694589848
376,04,v5,45,153,0.18928971636130876
377,04,v5,45,207,0.029441285597354733
378,04,v5,45,45,0.07850654068265081
379,04,v5,45,99,-0.20991172259328061
380,04,v5,99,153,-0.16356998424903477
381,04,v5,99,207,0.16546713656137205
382,04,v5,99,45,-0.10824196360534459
383,04,v5,99,99,0.06225484681360142
384,05,premotor,153,153,-0.009054231289756947
385,05,premotor,153,207,0.02604301032573774
386,05,premotor,153,45,0.03577872727529779
387,05,premotor,153,99,-0.04331976587077757
388,05,premotor,207,153,0.03553848096450086
389,05,premotor,207,207,-0.08308952304610581
390,05,premotor,207,45,-0.016115392494475283
391,05,premotor,207,99,0.03258619452286487
392,05,premotor,45,153,0.01271184147402395
393,05,premotor,45,207,0.000551030964926244
394,05,premotor,45,45,-0.0379492980873159
395,05,premotor,45,99,0.03630429820354796
396,05,premotor,99,153,-0.03239990214614592
397,05,premotor,99,207,0.03612288142681373
398,05,premotor,99,45,0.021953995200346868
399,05,premotor,99,99,-0.025681251282100585
400,05,motor,153,153,-0.0327558604084724
401,05,motor,153,207,-0.009555822212872562
402,05,motor,153,45,0.022695044991318518
403,05,motor,153,99,0.0015359394718488578
