,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,-0.026865502344206045
1,01,premotor,153,207,-0.025250487643322144
2,01,premotor,153,45,-0.018252792405726602
3,01,premotor,153,99,0.013957400628767616
4,01,premotor,207,153,0.05966083527377351
5,01,premotor,207,207,0.03355179017768653
6,01,premotor,207,45,0.01633718372972999
7,01,premotor,207,99,0.049996787369835656
8,01,premotor,45,153,-0.0013510374478862648
9,01,premotor,45,207,-0.0011226020925997624
10,01,premotor,45,45,0.032484477839450465
11,01,premotor,45,99,-0.019570297979639908
12,01,premotor,99,153,-0.02518575043962604
13,01,premotor,99,207,-0.004919012076853492
14,01,premotor,99,45,-0.0452823760488449
15,01,premotor,99,99,-0.06922489682976127
16,01,motor,153,153,-0.06248435458007244
17,01,motor,153,207,0.019422643913695324
18,01,motor,153,45,0.025415900068074992
19,01,motor,153,99,-0.03436043180364468
20,01,motor,207,153,0.01998706682454295
21,01,motor,207,207,0.03506725720826252
22,01,motor,207,45,-0.0560372213975647
23,01,motor,207,99,-0.02220598528468518
24,01,motor,45,153,0.061222223865286085
25,01,motor,45,207,-0.05750397644671836
26,01,motor,45,45,0.03480935653784885
27,01,motor,45,99,0.047871861167976516
28,01,motor,99,153,-0.036351825560858544
29,01,motor,99,207,-0.010894134107272213
30,01,motor,99,45,-0.006952522586330568
31,01,motor,99,99,-0.018682252577155906
32,01,v1,153,153,0.020424821784608166
33,01,v1,153,207,-0.023434275644500405
34,01,v1,153,45,0.04206310187268217
35,01,v1,153,99,-0.0054738057583731915
36,01,v1,207,153,-0.0009065090640777256
37,01,v1,207,207,0.031128408279554796
38,01,v1,207,45,0.0119248437906104
39,01,v1,207,99,0.017976542837205314
40,01,v1,45,153,-3.815412894082014e-05
41,01,v1,45,207,-0.01121749879373584
42,01,v1,45,45,-0.004869892846257196
43,01,v1,45,99,-0.01922370802858104
44,01,v1,99,153,-0.028193024758840002
45,01,v1,99,207,-0.058430675520809626
46,01,v1,99,45,-0.05453020920988182
47,01,v1,99,99,-0.004926729443226521
48,01,sup_parietal,153,153,0.017727436822760553
49,01,sup_parietal,153,207,0.08196142344402625
50,01,sup_parietal,153,45,0.03143654179865805
51,01,sup_parietal,153,99,0.03501636727717186
52,01,sup_parietal,207,153,0.058417567474555857
53,01,sup_parietal,207,207,-0.054163506531643466
54,01,sup_parietal,207,45,-0.015270198046423048
55,01,sup_parietal,207,99,0.0037433841734686325
56,01,sup_parietal,45,153,-0.04823626131140245
57,01,sup_parietal,45,207,0.020558227843457802
58,01,sup_parietal,45,45,0.019444859811740968
59,01,sup_parietal,45,99,-0.039975343704969454
60,01,sup_parietal,99,153,-0.048231558129921394
61,01,sup_parietal,99,207,-0.07700249952998453
62,01,sup_parietal,99,45,-0.07962106116356876
63,01,sup_parietal,99,99,-0.005867941119668988
64,01,inf_parietal,153,153,-0.02263122975171202
65,01,inf_parietal,153,207,-0.0038374806677645644
66,01,inf_parietal,153,45,-0.022670471656441087
67,01,inf_parietal,153,99,0.011076999418017638
68,01,inf_parietal,207,153,0.012396218900570626
69,01,inf_parietal,207,207,0.02646862522291241
70,01,inf_parietal,207,45,-0.004645014897212179
71,01,inf_parietal,207,99,-0.00497747110796579
72,01,inf_parietal,45,153,0.009055069991922474
73,01,inf_parietal,45,207,-0.04531489285070853
74,01,inf_parietal,45,45,0.024873978474508514
75,01,inf_parietal,45,99,-0.06579391993894569
76,01,inf_parietal,99,153,0.01293943448744791
77,01,inf_parietal,99,207,0.0297512831113041
78,01,inf_parietal,99,45,-0.04553759266814972
79,01,inf_parietal,99,99,0.03842581967899708
80,01,v5,153,153,0.0748975254055664
81,01,v5,153,207,0.06752757798307818
82,01,v5,153,45,0.10191892452528178
83,01,v5,153,99,0.024137404093012654
84,01,v5,207,153,0.05667099468632573
85,01,v5,207,207,-0.0893984157543729
86,01,v5,207,45,-0.06644907183082714
87,01,v5,207,99,0.011937402131907898
88,01,v5,45,153,-0.14511027398535445
89,01,v5,45,207,-0.017770042041593215
90,01,v5,45,45,0.01491484685004743
91,01,v5,45,99,-0.07629580783682019
92,01,v5,99,153,0.04747650229168671
93,01,v5,99,207,0.0013682345333300983
94,01,v5,99,45,-0.09296876582090277
95,01,v5,99,99,-0.01652275488834356
96,02,premotor,153,153,-0.04913839832566242
97,02,premotor,153,207,-0.036632647415937726
98,02,premotor,153,45,0.02081376793645639
99,02,premotor,153,99,0.015312903199920097
100,02,premotor,207,153,0.1187905728208729
101,02,premotor,207,207,0.04239504876763548
102,02,premotor,207,45,0.0023556616888511517
103,02,premotor,207,99,0.07814165962032726
104,02,premotor,45,153,-0.009033339065123172
105,02,premotor,45,207,0.00842023716444811
106,02,premotor,45,45,0.03485069686763976
107,02,premotor,45,99,-0.020075968081700358
108,02,premotor,99,153,-0.08348918301345834
109,02,premotor,99,207,-0.04802796096704511
110,02,premotor,99,45,-0.06474946523811428
111,02,premotor,99,99,-0.10005205166858384
112,02,motor,153,153,-0.04862515932741661
113,02,motor,153,207,-0.018942960097587763
114,02,motor,153,45,-0.002855186011165821
115,02,motor,153,99,0.031485684005308726
116,02,motor,207,153,0.016804665436005995
117,02,motor,207,207,-0.029655712984285106
118,02,motor,207,45,-0.06424118690255082
119,02,motor,207,99,0.039804162479209204
120,02,motor,45,153,-0.015145628886714758
121,02,motor,45,207,0.061530092092306456
122,02,motor,45,45,0.0965019123832137
123,02,motor,45,99,-0.0020119097000064028
124,02,motor,99,153,0.0017593439271792952
125,02,motor,99,207,-0.05428800162391646
126,02,motor,99,45,-0.06101011039876113
127,02,motor,99,99,-0.09108416527841519
128,02,v1,153,153,0.029714790176523186
129,02,v1,153,207,-0.04124950440611429
130,02,v1,153,45,0.04788917897502261
131,02,v1,153,99,0.06671460821429022
132,02,v1,207,153,0.047588373746417
133,02,v1,207,207,0.13260579103442863
134,02,v1,207,45,-0.047231148748375494
135,02,v1,207,99,0.005010289066622025
136,02,v1,45,153,-0.04775000862989175
137,02,v1,45,207,0.022746608932432452
138,02,v1,45,45,0.07039394231309357
139,02,v1,45,99,-0.03555383343138821
140,02,v1,99,153,-0.05516414533543108
141,02,v1,99,207,-0.10463931392147398
142,02,v1,99,45,-0.07474546422736494
143,02,v1,99,99,-0.04931469556334444
144,02,sup_parietal,153,153,-0.01625826504238175
145,02,sup_parietal,153,207,-0.012038147105990687
146,02,sup_parietal,153,45,0.064630569029397
147,02,sup_parietal,153,99,0.027554982646672114
148,02,sup_parietal,207,153,0.0048348970999438036
149,02,sup_parietal,207,207,0.019795378334802455
150,02,sup_parietal,207,45,-0.031822547702091065
151,02,sup_parietal,207,99,0.005484960956409903
152,02,sup_parietal,45,153,-0.013343171301671636
153,02,sup_parietal,45,207,0.01354078601039728
154,02,sup_parietal,45,45,0.019407252510985247
155,02,sup_parietal,45,99,-0.02744607414321391
156,02,sup_parietal,99,153,-0.017795571755357818
157,02,sup_parietal,99,207,-0.02582524304059454
158,02,sup_parietal,99,45,-0.0669450137162608
159,02,sup_parietal,99,99,-0.06545755831190156
160,02,inf_parietal,153,153,0.008010777892882136
161,02,inf_parietal,153,207,-0.029856667545407983
162,02,inf_parietal,153,45,0.11502333664400403
163,02,inf_parietal,153,99,0.04124651487932571
164,02,inf_parietal,207,153,-0.00018041256532761243
165,02,inf_parietal,207,207,0.02684090029252678
166,02,inf_parietal,207,45,-0.05389445986541116
167,02,inf_parietal,207,99,0.02447194329736451
168,02,inf_parietal,45,153,0.018758973561549073
169,02,inf_parietal,45,207,0.006040216218765717
170,02,inf_parietal,45,45,0.027824579683556304
171,02,inf_parietal,45,99,-0.040629913187889916
172,02,inf_parietal,99,153,-0.021628415663417635
173,02,inf_parietal,99,207,0.012056493653513058
174,02,inf_parietal,99,45,-0.11180762052771727
175,02,inf_parietal,99,99,-0.050647166804941975
176,02,v5,153,153,0.06913408365241747
177,02,v5,153,207,-0.002910647292712884
178,02,v5,153,45,0.05933363368511064
179,02,v5,153,99,0.12848212113387292
180,02,v5,207,153,0.1230644603509087
181,02,v5,207,207,0.12904251476606737
182,02,v5,207,45,-0.07808023240921987
