,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,-0.0261690248447716
1,01,premotor,153,207,-0.026845360029953226
2,01,premotor,153,45,-0.01603999533758156
3,01,premotor,153,99,0.01179208755660446
4,01,premotor,207,153,0.0672853443494459
5,01,premotor,207,207,0.03927680630368272
6,01,premotor,207,45,0.017858006142165914
7,01,premotor,207,99,0.061107953411678254
8,01,premotor,45,153,-0.00853909882976369
9,01,premotor,45,207,0.001832446565452974
10,01,premotor,45,45,0.0363622034609664
11,01,premotor,45,99,-0.02284297895997587
12,01,premotor,99,153,-0.02889818344388346
13,01,premotor,99,207,-0.011228240464696703
14,01,premotor,99,45,-0.05195256063568837
15,01,premotor,99,99,-0.07666962070956011
16,01,motor,153,153,-0.06894283851831506
17,01,motor,153,207,0.01308427267500809
18,01,motor,153,45,0.022465381813986687
19,01,motor,153,99,-0.03913410276222562
20,01,motor,207,153,0.026733473630361188
21,01,motor,207,207,0.0401124639634251
22,01,motor,207,45,-0.05325729945285204
23,01,motor,207,99,-0.010390057219315293
24,01,motor,45,153,0.06507162100445685
25,01,motor,45,207,-0.05846189535351654
26,01,motor,45,45,0.03421600339415344
27,01,motor,45,99,0.04870369770804304
28,01,motor,99,153,-0.03513073728722411
29,01,motor,99,207,-0.012753339904532774
30,01,motor,99,45,-0.013257111720239826
31,01,motor,99,99,-0.02964434461443055
32,01,v1,153,153,0.022049309806354493
33,01,v1,153,207,-0.022534989799262682
34,01,v1,153,45,0.04544091681081533
35,01,v1,153,99,-0.008767538803010313
36,01,v1,207,153,-0.009352530042160235
37,01,v1,207,207,0.021780856121126554
38,01,v1,207,45,0.005802355836259565
39,01,v1,207,99,0.013300530559717008
40,01,v1,45,153,0.002753562516044511
41,01,v1,45,207,-0.0055142047624309725
42,01,v1,45,45,-0.002914048065871966
43,01,v1,45,99,-0.015022613860527376
44,01,v1,99,153,-0.029668014368717036
45,01,v1,99,207,-0.053084089763711664
46,01,v1,99,45,-0.06898361422086002
47,01,v1,99,99,-0.005998813707328101
48,01,sup_parietal,153,153,0.022215085507502605
49,01,sup_parietal,153,207,0.08863503113867925
50,01,sup_parietal,153,45,0.049136971828814796
51,01,sup_parietal,153,99,0.03679014434598464
52,01,sup_parietal,207,153,0.06433916012117626
53,01,sup_parietal,207,207,-0.069521199632571
54,01,sup_parietal,207,45,-0.01934063537176011
55,01,sup_parietal,207,99,0.0005377381692078451
56,01,sup_parietal,45,153,-0.04722989253755713
57,01,sup_parietal,45,207,0.03179847451140436
58,01,sup_parietal,45,45,0.024956261564920035
59,01,sup_parietal,45,99,-0.04644585813470728
60,01,sup_parietal,99,153,-0.06425170436234214
61,01,sup_parietal,99,207,-0.08062419528543087
62,01,sup_parietal,99,45,-0.0865810137979264
63,01,sup_parietal,99,99,-0.01277546445138752
64,01,inf_parietal,153,153,-0.00947500501883836
65,01,inf_parietal,153,207,0.0013447530259773086
66,01,inf_parietal,153,45,-0.019948451254407047
67,01,inf_parietal,153,99,0.019785478659545316
68,01,inf_parietal,207,153,0.016197921030577208
69,01,inf_parietal,207,207,0.021940953444357078
70,01,inf_parietal,207,45,-0.00692558679824554
71,01,inf_parietal,207,99,-0.005311534475080622
72,01,inf_parietal,45,153,0.0015193422003961926
73,01,inf_parietal,45,207,-0.05115995814074677
74,01,inf_parietal,45,45,0.034272147182426944
75,01,inf_parietal,45,99,-0.07919428816536629
76,01,inf_parietal,99,153,0.0018654994782725462
77,01,inf_parietal,99,207,0.02777951738103754
78,01,inf_parietal,99,45,-0.04023860492202759
79,01,inf_parietal,99,99,0.040829352232979704
80,01,v5,153,153,0.05824957980195839
81,01,v5,153,207,0.06583089651172737
82,01,v5,153,45,0.10166753239402981
83,01,v5,153,99,0.038297259862457064
84,01,v5,207,153,0.037193965208871645
85,01,v5,207,207,-0.12929901737702432
86,01,v5,207,45,-0.10725822370766697
87,01,v5,207,99,0.018114314542510522
88,01,v5,45,153,-0.17945176412896607
89,01,v5,45,207,-0.07399797601426981
