,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,0.06033771111941108
1,01,premotor,153,207,0.0020512457279017156
2,01,premotor,153,45,0.048005683062672805
3,01,premotor,153,99,0.03517414996311429
4,01,premotor,207,153,0.0489372781899683
5,01,premotor,207,207,-0.02019045061591348
6,01,premotor,207,45,0.04842037030006344
7,01,premotor,207,99,0.056284895756069965
8,01,premotor,45,153,0.04538118833363254
9,01,premotor,45,207,-0.00270649109289596
10,01,premotor,45,45,0.05329430303060624
11,01,premotor,45,99,0.03871636893898552
12,01,premotor,99,153,0.041954660961286354
13,01,premotor,99,207,0.004882819192530107
14,01,premotor,99,45,0.039185232583005575
15,01,premotor,99,99,0.060937419863448535
16,01,motor,153,153,0.03271412985119381
17,01,motor,153,207,-0.018088072080153422
18,01,motor,153,45,0.08392227166681879
19,01,motor,153,99,0.03608332259480286
20,01,motor,207,153,0.07360500263460834
21,01,motor,207,207,-0.017396338930322178
22,01,motor,207,45,0.03742153269998035
23,01,motor,207,99,0.006159089733843451
24,01,motor,45,153,0.0394522012399799
25,01,motor,45,207,0.012560391156432765
26,01,motor,45,45,0.01315682942680656
27,01,motor,45,99,0.032530430607831264
28,01,motor,99,153,0.03687036367130224
29,01,motor,99,207,-0.010062696767419044
30,01,motor,99,45,0.057224749767375446
31,01,motor,99,99,0.043915611120956974
32,01,v1,153,153,0.021674541384110055
33,01,v1,153,207,0.04533224158190923
34,01,v1,153,45,0.042912401423946936
35,01,v1,153,99,0.06128365658013844
36,01,v1,207,153,0.05755095147028006
37,01,v1,207,207,0.05695637863911422
38,01,v1,207,45,0.02823933687085866
39,01,v1,207,99,0.080127392636386
40,01,v1,45,153,0.00889684151830098
41,01,v1,45,207,0.018038524238819867
42,01,v1,45,45,0.005991970453710015
43,01,v1,45,99,0.029887501584147037
44,01,v1,99,153,-0.020590488433666492
45,01,v1,99,207,0.03205019489269845
46,01,v1,99,45,0.005495931768576793
47,01,v1,99,99,0.043885980102608184
48,01,sup_parietal,153,153,-0.028037875320068423
49,01,sup_parietal,153,207,0.009157509119126741
50,01,sup_parietal,153,45,0.0040770648126842255
51,01,sup_parietal,153,99,0.023612625020517544
52,01,sup_parietal,207,153,0.06655485720244123
53,01,sup_parietal,207,207,0.04949958857089341
54,01,sup_parietal,207,45,0.016623687367780672
55,01,sup_parietal,207,99,0.08463438293037473
56,01,sup_parietal,45,153,-0.029769551042127328
57,01,sup_parietal,45,207,-0.0039001006744309678
58,01,sup_parietal,45,45,-0.07408181369646892
59,01,sup_parietal,45,99,-0.022359329309968243
60,01,sup_parietal,99,153,0.0521461056714498
61,01,sup_parietal,99,207,0.05389465692404427
62,01,sup_parietal,99,45,0.0035256729434105447
63,01,sup_parietal,99,99,0.06073688636499902
64,01,inf_parietal,153,153,0.05810864972017857
65,01,inf_parietal,153,207,0.013337626291096728
66,01,inf_parietal,153,45,0.014030597842729767
67,01,inf_parietal,153,99,0.06154468195317872
68,01,inf_parietal,207,153,-0.02077401036161545
69,01,inf_parietal,207,207,0.005939624799514511
70,01,inf_parietal,207,45,0.052696391215112326
71,01,inf_parietal,207,99,0.010757787146370778
72,01,inf_parietal,45,153,0.026808745648133705
73,01,inf_parietal,45,207,0.01428138148804799
74,01,inf_parietal,45,45,0.031048476062437186
75,01,inf_parietal,45,99,0.04732614097457147
76,01,inf_parietal,99,153,-0.052834312876499145
