,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,-0.023859307624012886
1,01,premotor,153,207,-0.024520030717250927
2,01,premotor,153,45,-0.013319402039727632
3,01,premotor,153,99,0.013507407474776198
4,01,premotor,207,153,0.05995281652028928
5,01,premotor,207,207,0.03688724131824523
6,01,premotor,207,45,0.014003504200229212
7,01,premotor,207,99,0.05554445671020831
8,01,premotor,45,153,-0.0023864075734576166
9,01,premotor,45,207,0.004917475738573032
10,01,premotor,45,45,0.04293365619632937
11,01,premotor,45,99,-0.014135997541413802
12,01,premotor,99,153,-0.027921524544369587
13,01,premotor,99,207,-0.011547231062737095
14,01,premotor,99,45,-0.0559327401605065
15,01,premotor,99,99,-0.07658286658184082
16,01,motor,153,153,-0.06646879681183374
17,01,motor,153,207,0.01753812322275413
18,01,motor,153,45,0.02441356837671207
19,01,motor,153,99,-0.040882344328522606
20,01,motor,207,153,0.030754159806284743
21,01,motor,207,207,0.039822013982149955
22,01,motor,207,45,-0.04983130092015685
23,01,motor,207,99,-0.004983371558191941
24,01,motor,45,153,0.07085367316056393
25,01,motor,45,207,-0.04811630663275404
26,01,motor,45,45,0.04135052533901845
27,01,motor,45,99,0.05472453111019514
28,01,motor,99,153,-0.040424234922264324
29,01,motor,99,207,-0.022936918862858313
30,01,motor,99,45,-0.02300561161815868
31,01,motor,99,99,-0.030785426917214184
32,01,v1,153,153,0.020168926033931025
33,01,v1,153,207,-0.02421624510621501
34,01,v1,153,45,0.04797714841642922
35,01,v1,153,99,-0.008765190411538209
36,01,v1,207,153,-0.013440688388194226
37,01,v1,207,207,0.01964495399978408
38,01,v1,207,45,1.8260385777552242e-05
39,01,v1,207,99,0.007427094896300987
40,01,v1,45,153,0.004551703530866676
41,01,v1,45,207,-0.002967357715810977
42,01,v1,45,45,0.005109444411415033
43,01,v1,45,99,-0.009060349331263859
44,01,v1,99,153,-0.02507727782138318
45,01,v1,99,207,-0.05519804863737626
46,01,v1,99,45,-0.07030808084124934
47,01,v1,99,99,-0.006161745187433064
48,01,sup_parietal,153,153,0.03698078949352834
49,01,sup_parietal,153,207,0.08700166926093597
50,01,sup_parietal,153,45,0.06349519070177581
51,01,sup_parietal,153,99,0.04600828578876345
52,01,sup_parietal,207,153,0.060289737414142765
53,01,sup_parietal,207,207,-0.06964642246414857
54,01,sup_parietal,207,45,-0.020713626113069726
55,01,sup_parietal,207,99,-0.005980593592040211
56,01,sup_parietal,45,153,-0.055755835503703804
57,01,sup_parietal,45,207,0.03382824069252272
58,01,sup_parietal,45,45,0.02758905682906959
59,01,sup_parietal,45,99,-0.05357070991625133
60,01,sup_parietal,99,153,-0.0670645522739385
61,01,sup_parietal,99,207,-0.08020341780469048
62,01,sup_parietal,99,45,-0.09619027489986491
63,01,sup_parietal,99,99,-0.01320055730810369
64,01,inf_parietal,153,153,-0.012342031745376939
65,01,inf_parietal,153,207,0.006414559489913482
66,01,inf_parietal,153,45,-0.01821585708500937
67,01,inf_parietal,153,99,0.022613447206690066
68,01,inf_parietal,207,153,0.017127841051635638
69,01,inf_parietal,207,207,0.018707089993543764
70,01,inf_parietal,207,45,-0.011680007248043602
71,01,inf_parietal,207,99,-0.011580614171710177
72,01,inf_parietal,45,153,0.009328106796934861
73,01,inf_parietal,45,207,-0.051329725889722316
74,01,inf_parietal,45,45,0.05089362348383029
75,01,inf_parietal,45,99,-0.08027480706663377
76,01,inf_parietal,99,153,-0.001180062155911087
77,01,inf_parietal,99,207,0.023743050643473387
78,01,inf_parietal,99,45,-0.046284347030618914
79,01,inf_parietal,99,99,0.04716943737266329
80,01,v5,153,153,0.042780611901746264
81,01,v5,153,207,0.04101329598167046
82,01,v5,153,45,0.09437887699260789
83,01,v5,153,99,0.020662376820980335
84,01,v5,207,153,0.019525572301288097
85,01,v5,207,207,-0.13216317775260258
86,01,v5,207,45,-0.1103264929899184
87,01,v5,207,99,0.03404566643193567
88,01,v5,45,153,-0.1816432753068304
89,01,v5,45,207,-0.053537519680107656
90,01,v5,45,45,0.004296284646528578
91,01,v5,45,99,-0.11140931009120528
92,01,v5,99,153,0.11811092285589943
93,01,v5,99,207,0.033608880731553714
94,01,v5,99,45,-0.06599294197894492
95,01,v5,99,99,-0.005228961782374215
96,02,premotor,153,153,-0.047525210371759184
97,02,premotor,153,207,-0.03288429369026483
98,02,premotor,153,45,0.037510987787532465
99,02,premotor,153,99,0.030608843712709832
100,02,premotor,207,153,0.12084723608083353
101,02,premotor,207,207,0.0420892485572231
102,02,premotor,207,45,-0.008996177700293918
103,02,premotor,207,99,0.07435816729902879
104,02,premotor,45,153,-0.009628563571683152
105,02,premotor,45,207,0.018258887731126043
106,02,premotor,45,45,0.04334369664224796
107,02,premotor,45,99,-0.01344915972063329
108,02,premotor,99,153,-0.096345057166875
109,02,premotor,99,207,-0.06739339711294323
110,02,premotor,99,45,-0.08099283361483796
111,02,premotor,99,99,-0.11830161123414008
112,02,motor,153,153,-0.0465409817248289
113,02,motor,153,207,-0.021872024974666688
114,02,motor,153,45,0.0170639104353019
115,02,motor,153,99,0.03958300874964717
116,02,motor,207,153,0.01589077547581883
117,02,motor,207,207,-0.03239536950321503
118,02,motor,207,45,-0.08732481795281327
119,02,motor,207,99,0.03430444981994274
120,02,motor,45,153,-0.014146376843790418
121,02,motor,45,207,0.07172086469822618
122,02,motor,45,45,0.10907172075157459
123,02,motor,45,99,0.0024814577820820756
124,02,motor,99,153,-0.0038339785204496366
125,02,motor,99,207,-0.06180612024988614
126,02,motor,99,45,-0.07834620297047484
127,02,motor,99,99,-0.11568807261372048
128,02,v1,153,153,0.035095713009560686
129,02,v1,153,207,-0.04839967949872296
130,02,v1,153,45,0.0615835473524542
131,02,v1,153,99,0.08372784082112862
