,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,-0.0654313967056241
1,01,premotor,153,207,-0.05636511803309077
2,01,premotor,153,45,-0.04912710946526137
3,01,premotor,153,99,-0.01855767294639204
4,01,premotor,207,153,-0.014197740852962387
5,01,premotor,207,207,-0.014529546237550768
6,01,premotor,207,45,-0.028535718704245622
7,01,premotor,207,99,-0.004441975257768843
8,01,premotor,45,153,-0.04885328765948457
9,01,premotor,45,207,-0.04534230350566328
10,01,premotor,45,45,-0.006915048814381304
11,01,premotor,45,99,-0.05792965347978368
12,01,premotor,99,153,-0.06370024370292446
13,01,premotor,99,207,-0.033751073216986886
14,01,premotor,99,45,-0.06939081723997145
15,01,premotor,99,99,-0.09363137509733224
16,01,motor,153,153,-0.10219255786680106
17,01,motor,153,207,-0.013943563443179745
18,01,motor,153,45,-0.015332600346796722
19,01,motor,153,99,-0.08407076240729086
20,01,motor,207,153,-0.03823806085933343
21,01,motor,207,207,0.0002586553490567661
22,01,motor,207,45,-0.09972220222806187
23,01,motor,207,99,-0.0852375452891537
24,01,motor,45,153,0.022661693220158187
25,01,motor,45,207,-0.08513428353247854
26,01,motor,45,45,-0.023077153655625578
27,01,motor,45,99,-0.0021664550582799966
28,01,motor,99,153,-0.05717895263561371
29,01,motor,99,207,-0.03606358661178248
30,01,motor,99,45,-0.04160548336054751
31,01,motor,99,99,-0.049402296103167924
32,01,v1,153,153,0.011873791028859597
33,01,v1,153,207,-0.018118009968501856
34,01,v1,153,45,0.017991063851462243
35,01,v1,153,99,-0.02891423191703481
36,01,v1,207,153,-0.0001262508722386993
37,01,v1,207,207,0.03826576310477815
38,01,v1,207,45,-0.00015973691153759254
39,01,v1,207,99,-0.010191690323180265
40,01,v1,45,153,-0.008266533329367947
41,01,v1,45,207,-0.01238034256821131
42,01,v1,45,45,-0.019779791568916433
43,01,v1,45,99,-0.039596468499792606
44,01,v1,99,153,-0.02000334903355862
45,01,v1,99,207,-0.029951154740111795
46,01,v1,99,45,-0.03900527962896479
47,01,v1,99,99,-0.018663230300649085
48,01,sup_parietal,153,153,-0.01878097020666612
49,01,sup_parietal,153,207,0.03538753787480966
50,01,sup_parietal,153,45,-0.009019940785428456
51,01,sup_parietal,153,99,0.0028934101765294984
52,01,sup_parietal,207,153,0.0017283470355750861
53,01,sup_parietal,207,207,-0.08311267670073827
54,01,sup_parietal,207,45,-0.03615529001078216
55,01,sup_parietal,207,99,-0.012704293750498101
56,01,sup_parietal,45,153,-0.0816006819931197
57,01,sup_parietal,45,207,-0.011457728915325878
58,01,sup_parietal,45,45,0.009303971609926662
59,01,sup_parietal,45,99,-0.06388983495422867
60,01,sup_parietal,99,153,-0.08054112458665098
61,01,sup_parietal,99,207,-0.09522356259551593
62,01,sup_parietal,99,45,-0.09478300372145325
63,01,sup_parietal,99,99,-0.0257430507209637
64,01,inf_parietal,153,153,-0.03078284434456494
65,01,inf_parietal,153,207,0.0012165734619147116
66,01,inf_parietal,153,45,-0.017238651116455617
67,01,inf_parietal,153,99,-0.0071292274006719
68,01,inf_parietal,207,153,-0.011507314776706416
69,01,inf_parietal,207,207,0.042752890055677034
70,01,inf_parietal,207,45,0.02614575913079665
71,01,inf_parietal,207,99,-0.0280837109168413
72,01,inf_parietal,45,153,-0.005552474759313641
73,01,inf_parietal,45,207,-0.029269463328793797
74,01,inf_parietal,45,45,0.03359064549122844
75,01,inf_parietal,45,99,-0.07842086887602798
76,01,inf_parietal,99,153,0.006594430704338749
77,01,inf_parietal,99,207,0.05338765179324126
78,01,inf_parietal,99,45,-0.020926477827077537
79,01,inf_parietal,99,99,0.022669976802593424
80,01,v5,153,153,0.07420315761259105
81,01,v5,153,207,0.06672426077683151
82,01,v5,153,45,0.11193993187422269
83,01,v5,153,99,0.014019802144482271
84,01,v5,207,153,0.045151125017247135
85,01,v5,207,207,-0.06171830897811065
86,01,v5,207,45,-0.006413007827882747
87,01,v5,207,99,0.024100618094494205
88,01,v5,45,153,-0.14148431942549433
89,01,v5,45,207,0.0024124688070712857
90,01,v5,45,45,0.01825572818106576
91,01,v5,45,99,-0.08260193828361902
92,01,v5,99,153,0.02734626133985725
93,01,v5,99,207,0.03377427528184439
94,01,v5,99,45,-0.0756500491875585
95,01,v5,99,99,-0.02300067176100302
96,02,premotor,153,153,-0.11584554864032101
97,02,premotor,153,207,-0.10722582578059488
98,02,premotor,153,45,-0.04326846167183239
99,02,premotor,153,99,-0.050226224620591585
100,02,premotor,207,153,-0.022310513362039763
101,02,premotor,207,207,-0.09684608448670001
102,02,premotor,207,45,-0.1246392103460309
103,02,premotor,207,99,-0.05471186519101232
104,02,premotor,45,153,-0.11543130748191897
105,02,premotor,45,207,-0.10154762927264228
106,02,premotor,45,45,-0.06852271520229623
107,02,premotor,45,99,-0.11896952985073228
108,02,premotor,99,153,-0.1253655567955007
109,02,premotor,99,207,-0.09288627435686486
110,02,premotor,99,45,-0.10478429591568449
111,02,premotor,99,99,-0.13960524731841142
112,02,motor,153,153,-0.10234418878100912
113,02,motor,153,207,-0.0906939338136874
114,02,motor,153,45,-0.07434699660105022
115,02,motor,153,99,-0.034528619131850895
116,02,motor,207,153,-0.07480564484962957
117,02,motor,207,207,-0.14295567820823402
118,02,motor,207,45,-0.17321181143736317
119,02,motor,207,99,-0.07136771934192297
120,02,motor,45,153,-0.10527633317468742
121,02,motor,45,207,-0.06701894896155983
122,02,motor,45,45,-0.030254951058222804
123,02,motor,45,99,-0.10722207114603463
124,02,motor,99,153,-0.029538797331218627
125,02,motor,99,207,-0.09389637548779979
126,02,motor,99,45,-0.09961450273050095
127,02,motor,99,99,-0.12873802343346544
128,02,v1,153,153,-0.033495413555237434
129,02,v1,153,207,-0.10032992540775038
130,02,v1,153,45,-0.02175678012647318
131,02,v1,153,99,-0.0076733043663725145
132,02,v1,207,153,-0.019535386277813847
133,02,v1,207,207,0.060571867640679566
134,02,v1,207,45,-0.11016510615468197
135,02,v1,207,99,-0.05891825784978199
136,02,v1,45,153,-0.09249231945850729
137,02,v1,45,207,-0.030308404075357148
138,02,v1,45,45,0.005991326778924028
139,02,v1,45,99,-0.09214124117041464
140,02,v1,99,153,-0.07662715612510729
141,02,v1,99,207,-0.12621317951078553
142,02,v1,99,45,-0.09711532629746528
143,02,v1,99,99,-0.07439077438769107
144,02,sup_parietal,153,153,-0.03320876212150928
145,02,sup_parietal,153,207,-0.05608729639411684
146,02,sup_parietal,153,45,0.024436371628219232
147,02,sup_parietal,153,99,-0.0047281886343720735
148,02,sup_parietal,207,153,-0.02990956567233518
