,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,-0.002658491083002477
1,01,premotor,153,207,-0.0087207256509733
2,01,premotor,153,45,0.013523846589136896
3,01,premotor,153,99,0.023640819282038962
4,01,premotor,207,153,0.028607273127462536
5,01,premotor,207,207,0.016291023671399684
6,01,premotor,207,45,-0.041083153760921684
7,01,premotor,207,99,0.024765274733859168
8,01,premotor,45,153,0.003895804203692903
9,01,premotor,45,207,0.014168524604910778
10,01,premotor,45,45,0.03546852213156925
11,01,premotor,45,99,-0.012316433309481869
12,01,premotor,99,153,-0.013909238188046619
13,01,premotor,99,207,-0.012111909973030492
14,01,premotor,99,45,-0.02746440074274934
15,01,premotor,99,99,-0.04177863348013164
16,01,motor,153,153,-0.062240992580935205
17,01,motor,153,207,0.058811765930932236
18,01,motor,153,45,0.006191368809594323
19,01,motor,153,99,-0.023711611590033373
20,01,motor,207,153,0.022932910138293048
21,01,motor,207,207,0.040380538134189806
22,01,motor,207,45,-0.033191217297096384
23,01,motor,207,99,0.00514340538271734
24,01,motor,45,153,0.07054265952099364
25,01,motor,45,207,-0.09826309777408347
26,01,motor,45,45,0.01865565311982642
27,01,motor,45,99,0.02357958733123236
28,01,motor,99,153,-0.03950246863894021
29,01,motor,99,207,-0.008400805126768031
30,01,motor,99,45,0.029659933114181802
31,01,motor,99,99,-0.015514022061103099
32,01,v1,153,153,-0.0008000018121912221
33,01,v1,153,207,-0.047462245156965906
34,01,v1,153,45,0.06096232586990349
35,01,v1,153,99,0.003975511180140213
36,01,v1,207,153,-0.014637413981706638
37,01,v1,207,207,0.026150719513945993
38,01,v1,207,45,-0.04645532496579352
39,01,v1,207,99,0.008077472242471209
40,01,v1,45,153,0.024656065059115474
41,01,v1,45,207,0.033308244038392956
42,01,v1,45,45,-0.0013693119345811779
43,01,v1,45,99,-0.02227379164775225
44,01,v1,99,153,-0.019839038896090615
45,01,v1,99,207,-0.05614736948828243
46,01,v1,99,45,-0.04079952734545722
47,01,v1,99,99,0.0028963220556810915
48,01,sup_parietal,153,153,-0.010319536387595512
49,01,sup_parietal,153,207,0.0339257484429798
50,01,sup_parietal,153,45,0.0510222471423773
51,01,sup_parietal,153,99,0.021216740290730743
52,01,sup_parietal,207,153,0.08330151935205662
53,01,sup_parietal,207,207,-0.04325339193322885
54,01,sup_parietal,207,45,-0.042678701462775144
55,01,sup_parietal,207,99,-0.019782863741598194
56,01,sup_parietal,45,153,0.010749797691276378
57,01,sup_parietal,45,207,0.09615335474830661
58,01,sup_parietal,45,45,0.018558542851438625
59,01,sup_parietal,45,99,-0.010772984494008684
60,01,sup_parietal,99,153,-0.06863935068229554
61,01,sup_parietal,99,207,-0.07851908156041673
62,01,sup_parietal,99,45,-0.06863750861481267
63,01,sup_parietal,99,99,0.026857515235886455
64,01,inf_parietal,153,153,-0.01775007911502086
65,01,inf_parietal,153,207,-0.020030769475287223
66,01,inf_parietal,153,45,-0.012420225968687651
67,01,inf_parietal,153,99,0.026874329482859557
68,01,inf_parietal,207,153,0.00541423467301335
69,01,inf_parietal,207,207,0.05143508944102952
70,01,inf_parietal,207,45,-0.021044582546461372
71,01,inf_parietal,207,99,-0.021879264468977484
72,01,inf_parietal,45,153,0.029584406523582064
73,01,inf_parietal,45,207,-0.012669328062036075
74,01,inf_parietal,45,45,0.06648793769745105
75,01,inf_parietal,45,99,-0.03323438225255769
76,01,inf_parietal,99,153,-0.022109170760265293
77,01,inf_parietal,99,207,0.0009737656027025247
78,01,inf_parietal,99,45,-0.05476235446773435
79,01,inf_parietal,99,99,0.016760545460674403
80,01,v5,153,153,0.10511093935733393
81,01,v5,153,207,0.029242877905487567
82,01,v5,153,45,0.054965797167899816
83,01,v5,153,99,0.03936936265554982
84,01,v5,207,153,0.03430982307796227
85,01,v5,207,207,-0.10783446512707068
86,01,v5,207,45,-0.030230526939321534
87,01,v5,207,99,0.008366951689632734
88,01,v5,45,153,-0.15521238703391127
89,01,v5,45,207,0.04496156701636338
90,01,v5,45,45,0.03475261615046299
91,01,v5,45,99,-0.029875205041301665
92,01,v5,99,153,0.08915179622967409
93,01,v5,99,207,0.016027284427836103
94,01,v5,99,45,-0.09309720913925094
95,01,v5,99,99,0.0029579112373227974
96,02,premotor,153,153,-0.035608994109713354
97,02,premotor,153,207,-0.06305099882174564
98,02,premotor,153,45,0.009186371048450305
99,02,premotor,153,99,0.0313512603883161
100,02,premotor,207,153,0.1129925886964619
101,02,premotor,207,207,0.02125743743613355
102,02,premotor,207,45,0.01185308325524857
103,02,premotor,207,99,0.08042523471983497
104,02,premotor,45,153,-0.02229535295157514
105,02,premotor,45,207,0.01851724802118044
106,02,premotor,45,45,0.01076189794386355
107,02,premotor,45,99,-0.04587239608330559
108,02,premotor,99,153,-0.05911104809794957
109,02,premotor,99,207,0.008171058386455703
110,02,premotor,99,45,-0.0364429241725324
111,02,premotor,99,99,-0.07481271773044135
112,02,motor,153,153,-0.06667842683981226
113,02,motor,153,207,-0.058250505482699735
114,02,motor,153,45,-0.045623183095087075
115,02,motor,153,99,0.02420544087292866
116,02,motor,207,153,0.07453506908542122
117,02,motor,207,207,0.0024343206073090956
118,02,motor,207,45,-0.0193033975871687
119,02,motor,207,99,0.08777079107976726
120,02,motor,45,153,-0.05094233480221247
121,02,motor,45,207,0.040791707898304816
122,02,motor,45,45,0.07337059406940791
123,02,motor,45,99,-0.04539043332416538
124,02,motor,99,153,0.014138127455567813
125,02,motor,99,207,-0.019270952406318556
126,02,motor,99,45,-0.03995501361586114
127,02,motor,99,99,-0.08694024541066107
128,02,v1,153,153,0.014162331836756865
129,02,v1,153,207,-0.025793466670394453
130,02,v1,153,45,0.02343183276925561
131,02,v1,153,99,0.04783842713863324
132,02,v1,207,153,0.037907318580207156
133,02,v1,207,207,0.04774984417888292
134,02,v1,207,45,-0.015390427169416266
135,02,v1,207,99,0.0013372508856428385
136,02,v1,45,153,-0.02595167245307766
137,02,v1,45,207,0.02731504662067976
138,02,v1,45,45,0.03383740072630654
139,02,v1,45,99,-0.017607706553204507
140,02,v1,99,153,-0.035719915097546844
141,02,v1,99,207,-0.05994776328531
142,02,v1,99,45,-0.053426714405023196
143,02,v1,99,99,-0.04131463694917063
144,02,sup_parietal,153,153,-0.01796624709430515
145,02,sup_parietal,153,207,0.04252669363012636
146,02,sup_parietal,153,45,0.07322404619361239
147,02,sup_parietal,153,99,0.056022674677522595
148,02,sup_parietal,207,153,0.042730268364741045
149,02,sup_parietal,207,207,0.008733609945237544
150,02,sup_parietal,207,45,0.009897459999721121
151,02,sup_parietal,207,99,0.020465787142830746
152,02,sup_parietal,45,153,-0.012450981178629986
153,02,sup_parietal,45,207,0.0161927421661543
154,02,sup_parietal,45,45,-0.01277313260022897
155,02,sup_parietal,45,99,-0.02508432351913189
156,02,sup_parietal,99,153,-0.013540896762927242
157,02,sup_parietal,99,207,-0.019892531140964953
158,02,sup_parietal,99,45,-0.056153860548050646
159,02,sup_parietal,99,99,-0.022182182056839975
160,02,inf_parietal,153,153,-0.05742049729742076
161,02,inf_parietal,153,207,-0.07823393972823847
162,02,inf_parietal,153,45,0.044140285741542704
163,02,inf_parietal,153,99,0.0477382496211854
164,02,inf_parietal,207,153,0.012733996067748062
165,02,inf_parietal,207,207,0.0008207152501091865
166,02,inf_parietal,207,45,-0.03842830239636422
167,02,inf_parietal,207,99,0.01584292263015557
168,02,inf_parietal,45,153,0.04816894404281326
169,02,inf_parietal,45,207,0.058634795610037704
170,02,inf_parietal,45,45,0.05129096321171944
171,02,inf_parietal,45,99,-0.023437574836810464
172,02,inf_parietal,99,153,-0.023705362803067506
173,02,inf_parietal,99,207,0.01803430473986183
174,02,inf_parietal,99,45,-0.1003105585329977
