,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,-0.00453057354165848
1,01,premotor,153,207,-0.005604024522235702
2,01,premotor,153,45,0.016443834989526118
3,01,premotor,153,99,0.024991240114734296
4,01,premotor,207,153,0.02829631852977569
5,01,premotor,207,207,0.0169644275395194
6,01,premotor,207,45,-0.04308421073666721
7,01,premotor,207,99,0.030819547992064232
8,01,premotor,45,153,0.0005825350168142999
9,01,premotor,45,207,0.019734517318141624
10,01,premotor,45,45,0.03801239150437589
11,01,premotor,45,99,-0.014459966919475126
12,01,premotor,99,153,-0.017091209668156526
13,01,premotor,99,207,-0.017867618247548324
14,01,premotor,99,45,-0.030916554763304106
15,01,premotor,99,99,-0.04745503331771458
16,01,motor,153,153,-0.061905716795442885
17,01,motor,153,207,0.05685883068865384
18,01,motor,153,45,0.005927359778136153
19,01,motor,153,99,-0.021699076435525457
20,01,motor,207,153,0.029480073165904508
21,01,motor,207,207,0.040188367158484825
22,01,motor,207,45,-0.04077790189894113
23,01,motor,207,99,0.01114121652439844
24,01,motor,45,153,0.07893087928981975
25,01,motor,45,207,-0.0957381301681443
26,01,motor,45,45,0.013880410379650215
27,01,motor,45,99,0.023520752496999094
28,01,motor,99,153,-0.04928335774755907
29,01,motor,99,207,-0.006821890233239867
30,01,motor,99,45,0.030230053132011627
31,01,motor,99,99,-0.026610939099089376
32,01,v1,153,153,-0.0003190060005399519
33,01,v1,153,207,-0.04865106774262573
34,01,v1,153,45,0.0702411097816573
35,01,v1,153,99,0.001946909349054565
36,01,v1,207,153,-0.014818995990832789
37,01,v1,207,207,0.0226811039543822
38,01,v1,207,45,-0.04582172892578175
39,01,v1,207,99,0.00603389667350475
40,01,v1,45,153,0.027462320172880597
41,01,v1,45,207,0.039263517889681805
42,01,v1,45,45,0.0007218666127776739
43,01,v1,45,99,-0.021998997413870833
44,01,v1,99,153,-0.018959388429875084
45,01,v1,99,207,-0.04833213068929361
46,01,v1,99,45,-0.05902870175968343
47,01,v1,99,99,0.0020375512044901282
48,01,sup_parietal,153,153,-0.020410959477222868
49,01,sup_parietal,153,207,0.03953946584954677
50,01,sup_parietal,153,45,0.06577268703608818
51,01,sup_parietal,153,99,0.020705824758571724
52,01,sup_parietal,207,153,0.09361874464011846
53,01,sup_parietal,207,207,-0.05880400747563126
54,01,sup_parietal,207,45,-0.051300317136866905
55,01,sup_parietal,207,99,-0.024890188721136783
56,01,sup_parietal,45,153,0.01642576607141709
57,01,sup_parietal,45,207,0.10152156943845977
58,01,sup_parietal,45,45,0.024645804358953652
59,01,sup_parietal,45,99,-0.026229452841217457
60,01,sup_parietal,99,153,-0.08241717255280906
61,01,sup_parietal,99,207,-0.07470875883533698
62,01,sup_parietal,99,45,-0.07769671857043381
63,01,sup_parietal,99,99,0.02353461787626945
64,01,inf_parietal,153,153,-0.016137794452612837
65,01,inf_parietal,153,207,-0.01893696877054835
66,01,inf_parietal,153,45,-0.012628517568953574
67,01,inf_parietal,153,99,0.030845099702096458
68,01,inf_parietal,207,153,0.015517800340864474
69,01,inf_parietal,207,207,0.04239993423779539
70,01,inf_parietal,207,45,-0.024171016529970377
71,01,inf_parietal,207,99,-0.020395924139923156
72,01,inf_parietal,45,153,0.028901743984924056
73,01,inf_parietal,45,207,-0.009061197884217137
74,01,inf_parietal,45,45,0.07058049937722602
75,01,inf_parietal,45,99,-0.040655478435891075
76,01,inf_parietal,99,153,-0.03240902275663835
77,01,inf_parietal,99,207,-0.001246226098768885
78,01,inf_parietal,99,45,-0.05453648614842935
79,01,inf_parietal,99,99,0.019780129534135535
80,01,v5,153,153,0.08497585716630565
81,01,v5,153,207,0.04417042757473817
82,01,v5,153,45,0.06698019206703229
83,01,v5,153,99,0.039092284607919456
84,01,v5,207,153,0.025732183649104946
85,01,v5,207,207,-0.13623241009282877
86,01,v5,207,45,-0.04808612941227744
87,01,v5,207,99,0.02163016914101204
88,01,v5,45,153,-0.176237440765913
89,01,v5,45,207,0.030078860424597207
90,01,v5,45,45,0.03478419098287948
91,01,v5,45,99,-0.05152273437551265
92,01,v5,99,153,0.10684911369425223
93,01,v5,99,207,0.030095923447698167
94,01,v5,99,45,-0.08757461578912064
95,01,v5,99,99,0.019897534191937655
96,02,premotor,153,153,-0.04460069326204691
97,02,premotor,153,207,-0.06865319466265772
98,02,premotor,153,45,0.008260026056068317
99,02,premotor,153,99,0.029376125846938602
100,02,premotor,207,153,0.12409965799175891
101,02,premotor,207,207,0.028532618461828724
102,02,premotor,207,45,0.01259124084215036
103,02,premotor,207,99,0.08415114211130578
104,02,premotor,45,153,-0.025166904311311467
105,02,premotor,45,207,0.0216542688054422
106,02,premotor,45,45,0.010010211069351986
107,02,premotor,45,99,-0.04390255282841142
108,02,premotor,99,153,-0.061633119043647405
109,02,premotor,99,207,0.005312745843996031
110,02,premotor,99,45,-0.03632295933948484
111,02,premotor,99,99,-0.07766859545404292
112,02,motor,153,153,-0.07904842689399938
113,02,motor,153,207,-0.06436439715954026
