,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,-0.018616598187301818
1,01,premotor,153,207,-0.0016945269840138843
2,01,premotor,153,45,0.02368183175727507
3,01,premotor,153,99,0.014133934221252576
4,01,premotor,207,153,-0.01177506962761973
5,01,premotor,207,207,0.03062098736976583
6,01,premotor,207,45,-0.016650891411603457
7,01,premotor,207,99,0.009090427687606834
8,01,premotor,45,153,-0.017470326232297932
9,01,premotor,45,207,0.020283720339813405
10,01,premotor,45,45,0.038946192921244904
11,01,premotor,45,99,-0.01613894338148271
12,01,premotor,99,153,-0.033454184289360846
13,01,premotor,99,207,0.0007750383001847284
14,01,premotor,99,45,-0.013384680763882273
15,01,premotor,99,99,-0.04830610410359894
16,01,motor,153,153,-0.07443051032084133
17,01,motor,153,207,0.06340130513235828
18,01,motor,153,45,0.022110986598930626
19,01,motor,153,99,-0.04276684927871152
20,01,motor,207,153,-0.033245274973149525
21,01,motor,207,207,0.08223272464103232
22,01,motor,207,45,-0.009808269295945162
23,01,motor,207,99,-0.041329522068751595
24,01,motor,45,153,0.03449155445420295
25,01,motor,45,207,-0.054234719348078574
26,01,motor,45,45,0.027775418448823974
27,01,motor,45,99,-0.01585036096907174
28,01,motor,99,153,-0.06277159851977351
29,01,motor,99,207,0.017385738685024875
30,01,motor,99,45,0.024553989567961242
31,01,motor,99,99,-0.0470393344671675
32,01,v1,153,153,0.005891211352639518
33,01,v1,153,207,-0.031119641261478953
34,01,v1,153,45,0.04504940681978768
35,01,v1,153,99,-0.028429694232202783
36,01,v1,207,153,-0.01697213707386799
37,01,v1,207,207,0.054632100678884854
38,01,v1,207,45,-0.03791110759517483
39,01,v1,207,99,-0.05441526910950587
40,01,v1,45,153,0.01728823056203614
41,01,v1,45,207,0.04315203343702497
42,01,v1,45,45,-0.022449852011549844
43,01,v1,45,99,-0.06276476480687007
44,01,v1,99,153,-0.01806559956436848
45,01,v1,99,207,-0.018707327755243135
46,01,v1,99,45,-0.03198683434969001
47,01,v1,99,99,-0.05834780739962075
48,01,sup_parietal,153,153,-0.008351109019575479
49,01,sup_parietal,153,207,0.020354566156404186
50,01,sup_parietal,153,45,0.01203306570463734
51,01,sup_parietal,153,99,0.01202839792416645
52,01,sup_parietal,207,153,0.05951966061826812
53,01,sup_parietal,207,207,-0.03863168109165884
54,01,sup_parietal,207,45,-0.05602924945506328
55,01,sup_parietal,207,99,-0.020181412003919687
56,01,sup_parietal,45,153,0.0017395922697133748
57,01,sup_parietal,45,207,0.05427732158416683
