,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,-0.04401600328957311
1,01,premotor,153,207,0.016301242412164452
2,01,premotor,153,45,-0.025900173878220745
3,01,premotor,153,99,-0.04441840131626436
4,01,premotor,207,153,-0.02618412728788215
5,01,premotor,207,207,0.045322771212972804
6,01,premotor,207,45,-0.025043717354835328
7,01,premotor,207,99,-0.05539576019208406
8,01,premotor,45,153,-0.025286962212968146
9,01,premotor,45,207,0.004987827686057414
10,01,premotor,45,45,-0.02407036787756054
11,01,premotor,45,99,-0.04662715204646073
12,01,premotor,99,153,-0.02084883273857831
13,01,premotor,99,207,0.015306637096640503
14,01,premotor,99,45,-0.0044940994587772745
15,01,premotor,99,99,-0.04764723864416286
16,01,motor,153,153,-0.0028615611297906768
17,01,motor,153,207,0.06607003309092355
18,01,motor,153,45,-0.03619337588479526
19,01,motor,153,99,-0.04994455504656848
20,01,motor,207,153,-0.009215082155273365
21,01,motor,207,207,0.06116486725181453
22,01,motor,207,45,0.011763632364657634
23,01,motor,207,99,0.013068358523287606
24,01,motor,45,153,0.012423546256102407
25,01,motor,45,207,-0.006890488570807339
26,01,motor,45,45,0.02373418021928007
27,01,motor,45,99,-0.006797170721666666
28,01,motor,99,153,-0.002170419933291
29,01,motor,99,207,0.031069361980248046
30,01,motor,99,45,-0.007409553656682373
31,01,motor,99,99,-0.04974520601868221
32,01,v1,153,153,0.003944478327965035
33,01,v1,153,207,-0.024474634527318226
34,01,v1,153,45,-0.02450835721651571
35,01,v1,153,99,-0.049501741126539996
36,01,v1,207,153,-0.011449023855618417
37,01,v1,207,207,-0.006907584876294115
38,01,v1,207,45,0.011610690383464614
39,01,v1,207,99,-0.06526241178066466
40,01,v1,45,153,-0.0013372275887486964
41,01,v1,45,207,-0.011133752789111745
42,01,v1,45,45,-0.005084947904007337
43,01,v1,45,99,-0.03629756395509841
44,01,v1,99,153,0.02094675216199903
45,01,v1,99,207,-0.038668166762194985
46,01,v1,99,45,-0.00296878964987737
47,01,v1,99,99,-0.027370928376760854
48,01,sup_parietal,153,153,-0.012632205249886744
49,01,sup_parietal,153,207,-0.021802053649036215
50,01,sup_parietal,153,45,-0.04016009583348293
51,01,sup_parietal,153,99,-0.060742807855280585
52,01,sup_parietal,207,153,0.03650280530206264
53,01,sup_parietal,207,207,-0.023339916371925756
54,01,sup_parietal,207,45,-0.02435062860963796
55,01,sup_parietal,207,99,-0.13767741684384524
56,01,sup_parietal,45,153,0.022086896019823672
57,01,sup_parietal,45,207,-0.04505449814627599
58,01,sup_parietal,45,45,0.06995388470646453
59,01,sup_parietal,45,99,-0.005010569824997398
60,01,sup_parietal,99,153,0.008239018889430565
61,01,sup_parietal,99,207,-0.061916400878784805
62,01,sup_parietal,99,45,0.01535093765770651
63,01,sup_parietal,99,99,-0.0374789255541308
64,01,inf_parietal,153,153,-0.01806863469338803
65,01,inf_parietal,153,207,0.01034977767292912
66,01,inf_parietal,153,45,0.028556902180235034
67,01,inf_parietal,153,99,-0.05729144396703559
68,01,inf_parietal,207,153,0.03331390888104696
69,01,inf_parietal,207,207,0.005354149103728981
70,01,inf_parietal,207,45,-0.050490456108825285
71,01,inf_parietal,207,99,-0.020999181767057215
72,01,inf_parietal,45,153,0.03403202508769322
73,01,inf_parietal,45,207,-0.0010018739134876192
74,01,inf_parietal,45,45,0.009451680049993815
75,01,inf_parietal,45,99,-0.07451845726211961
76,01,inf_parietal,99,153,0.03126509007579899
77,01,inf_parietal,99,207,-0.019113382729017508
