,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,-0.004219267427258351
1,01,premotor,153,207,-0.0029970646365239002
2,01,premotor,153,45,0.01728221439197783
3,01,premotor,153,99,0.026307592219964152
4,01,premotor,207,153,0.026893402558013625
5,01,premotor,207,207,0.019276417615137476
6,01,premotor,207,45,-0.040905936815914805
7,01,premotor,207,99,0.028876637888200066
8,01,premotor,45,153,-0.004686087102941032
9,01,premotor,45,207,0.013131215345919227
10,01,premotor,45,45,0.03764136425645499
11,01,premotor,45,99,-0.011388484385117423
12,01,premotor,99,153,-0.010747500389872775
13,01,premotor,99,207,-0.016331378079252196
14,01,premotor,99,45,-0.034262065676409534
15,01,premotor,99,99,-0.0465706252636854
16,01,motor,153,153,-0.0653096793694336
17,01,motor,153,207,0.05324429334517332
18,01,motor,153,45,0.008915899305642124
19,01,motor,153,99,-0.021077788667212945
20,01,motor,207,153,0.032430047445445205
21,01,motor,207,207,0.03816408279240776
22,01,motor,207,45,-0.043053607342528846
23,01,motor,207,99,0.011647467180571294
24,01,motor,45,153,0.08484252419105184
25,01,motor,45,207,-0.09120224557546278
26,01,motor,45,45,0.009719013293841795
27,01,motor,45,99,0.01969888444951364
28,01,motor,99,153,-0.05028280860636205
29,01,motor,99,207,-0.00572275897395094
30,01,motor,99,45,0.02883475510436051
31,01,motor,99,99,-0.022171776941618784
32,01,v1,153,153,0.0020606684765754335
33,01,v1,153,207,-0.050129112195896976
34,01,v1,153,45,0.07086118374217584
35,01,v1,153,99,0.0035639781062180922
36,01,v1,207,153,-0.016357647913758315
37,01,v1,207,207,0.0262867562348195
38,01,v1,207,45,-0.04927948530059836
39,01,v1,207,99,0.004141577448056495
40,01,v1,45,153,0.02487176482001565
41,01,v1,45,207,0.03569429406549046
42,01,v1,45,45,0.0056528524084528894
43,01,v1,45,99,-0.019347593063779644
44,01,v1,99,153,-0.01771749368447909
45,01,v1,99,207,-0.046013676331260626
46,01,v1,99,45,-0.06078219193833193
47,01,v1,99,99,0.0008860468156450824
48,01,sup_parietal,153,153,-0.008959000636870046
49,01,sup_parietal,153,207,0.0295493299853159
50,01,sup_parietal,153,45,0.08088210946188654
51,01,sup_parietal,153,99,0.03211327507434153
52,01,sup_parietal,207,153,0.09376909160972369
53,01,sup_parietal,207,207,-0.05260574962894983
54,01,sup_parietal,207,45,-0.050429486544276286
55,01,sup_parietal,207,99,-0.0317409259067546
56,01,sup_parietal,45,153,0.006518659884896763
57,01,sup_parietal,45,207,0.10160070230018152
58,01,sup_parietal,45,45,0.019489721453807892
59,01,sup_parietal,45,99,-0.029080472958350076
60,01,sup_parietal,99,153,-0.08376958057483513
61,01,sup_parietal,99,207,-0.06823398525136226
62,01,sup_parietal,99,45,-0.08624745838352695
63,01,sup_parietal,99,99,0.024406541410470613
64,01,inf_parietal,153,153,-0.015512841321583743
65,01,inf_parietal,153,207,-0.010308403198274634
66,01,inf_parietal,153,45,-0.0032595384429947305
67,01,inf_parietal,153,99,0.033542547291354995
68,01,inf_parietal,207,153,0.014224539134231856
69,01,inf_parietal,207,207,0.03191279119202221
70,01,inf_parietal,207,45,-0.029588773451902382
71,01,inf_parietal,207,99,-0.028142012406945728
72,01,inf_parietal,45,153,0.036552448448141955
73,01,inf_parietal,45,207,-0.018245733994844783
74,01,inf_parietal,45,45,0.0783534726017366
75,01,inf_parietal,45,99,-0.046960360032054366
76,01,inf_parietal,99,153,-0.03544374933677652
77,01,inf_parietal,99,207,-0.0009136446298266161
78,01,inf_parietal,99,45,-0.06224291280018561
79,01,inf_parietal,99,99,0.029741283482953934
80,01,v5,153,153,0.07781363450970832
81,01,v5,153,207,0.03206021027952899
82,01,v5,153,45,0.07414552767663798
83,01,v5,153,99,0.02284807422478028
84,01,v5,207,153,0.022214473048003915
85,01,v5,207,207,-0.14112088088412017
