,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,0.02448577362473886
1,01,premotor,153,207,0.03374142997867152
2,01,premotor,153,45,0.003967592651296967
3,01,premotor,153,99,0.01611604804356497
4,01,premotor,207,153,-0.086641686678434
5,01,premotor,207,207,-0.12394030848758028
6,01,premotor,207,45,-0.07170143775612316
7,01,premotor,207,99,-0.1084338124335606
8,01,premotor,45,153,0.042438252717670634
9,01,premotor,45,207,0.06299060416638466
10,01,premotor,45,45,0.04651937150742115
11,01,premotor,45,99,0.05966768007673804
12,01,premotor,99,153,0.010574526978837335
13,01,premotor,99,207,0.01757576005847201
14,01,premotor,99,45,0.012291840896007596
15,01,premotor,99,99,0.020589508267060484
16,01,motor,153,153,0.06712272756824259
17,01,motor,153,207,0.05295114673175687
18,01,motor,153,45,0.07324066939336732
19,01,motor,153,99,0.08941390711715791
20,01,motor,207,153,-0.10888940310294581
21,01,motor,207,207,-0.060538630966035664
22,01,motor,207,45,-0.11928425224642272
23,01,motor,207,99,-0.10396789702274858
24,01,motor,45,153,0.05934647597648708
25,01,motor,45,207,0.05066923373959738
26,01,motor,45,45,-0.013710554668763697
27,01,motor,45,99,0.007088139554650454
28,01,motor,99,153,-0.05000766552909589
29,01,motor,99,207,-0.06732359018310448
30,01,motor,99,45,0.027925284942409385
31,01,motor,99,99,-0.02365022963272905
32,01,v1,153,153,-0.0005355909853351822
33,01,v1,153,207,0.057810923382242634
34,01,v1,153,45,-0.048384223975804934
35,01,v1,153,99,-0.029389244925627098
36,01,v1,207,153,-0.06840197015136792
37,01,v1,207,207,-0.05114546212389498
38,01,v1,207,45,-0.01090609363755232
39,01,v1,207,99,-0.06177779055054393
40,01,v1,45,153,0.0485851170862965
41,01,v1,45,207,0.050237068708445264
42,01,v1,45,45,0.07020123168184861
43,01,v1,45,99,0.08515229944721986
44,01,v1,99,153,0.016491878998118936
45,01,v1,99,207,-0.057727235786334284
46,01,v1,99,45,-0.0012294365105295088
47,01,v1,99,99,0.0018785535261209721
