,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,0.09874904907817716
1,01,premotor,153,207,0.06071177505794827
2,01,premotor,153,45,0.0574304641252618
3,01,premotor,153,99,0.1298995246712672
4,01,premotor,207,153,0.036466250711154044
5,01,premotor,207,207,0.03875203862692667
6,01,premotor,207,45,0.004823698103693661
7,01,premotor,207,99,0.09183915295527943
8,01,premotor,45,153,0.047183641706711466
9,01,premotor,45,207,0.05330738025567436
10,01,premotor,45,45,0.007239417349561452
11,01,premotor,45,99,0.07830422039335921
12,01,premotor,99,153,0.09351954491316147
13,01,premotor,99,207,0.0850205548215488
14,01,premotor,99,45,0.04736996143765447
15,01,premotor,99,99,0.1258223927043847
16,01,motor,153,153,0.0762893267963981
17,01,motor,153,207,0.08052743697967234
18,01,motor,153,45,0.023817203231475636
19,01,motor,153,99,0.078737541808723
20,01,motor,207,153,0.01801244160588265
21,01,motor,207,207,0.07375449656535547
22,01,motor,207,45,0.030291392147423647
23,01,motor,207,99,0.05385725834819089
24,01,motor,45,153,0.09604748629188173
25,01,motor,45,207,0.1212890546681019
26,01,motor,45,45,0.10604276298200764
27,01,motor,45,99,0.13656918845700128
28,01,motor,99,153,0.040326105995438635
29,01,motor,99,207,0.043424055050751365
30,01,motor,99,45,0.05194702399921321
31,01,motor,99,99,0.0732047069146598
32,01,v1,153,153,0.026621797696015546
33,01,v1,153,207,0.015673490657190974
34,01,v1,153,45,0.031068338201965664
35,01,v1,153,99,0.0013405307211819106
36,01,v1,207,153,-0.013355796730390754
37,01,v1,207,207,0.061401960181909666
38,01,v1,207,45,0.0002646415414132505
39,01,v1,207,99,0.002532450800570466
40,01,v1,45,153,-0.008944256325926866
41,01,v1,45,207,0.02722845217424122
42,01,v1,45,45,0.0023147294385962277
43,01,v1,45,99,-0.020954488636676306
44,01,v1,99,153,0.0234037131298453
45,01,v1,99,207,-0.01651058239402279
46,01,v1,99,45,0.030363638891828155
47,01,v1,99,99,-0.02000390550398572
48,01,sup_parietal,153,153,0.014059664018330292
49,01,sup_parietal,153,207,0.004313158870313083
50,01,sup_parietal,153,45,0.023148868899740882
51,01,sup_parietal,153,99,-0.004792581805263256
52,01,sup_parietal,207,153,0.036432895796029735
53,01,sup_parietal,207,207,-0.008917983817720358
54,01,sup_parietal,207,45,0.04182282371661501
