,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,0.013928288760532134
1,01,premotor,153,207,0.013775955692779873
2,01,premotor,153,45,-0.0056613323545205724
3,01,premotor,153,99,0.00562230976956512
4,01,premotor,207,153,0.028774341680085077
5,01,premotor,207,207,0.003092786585444306
6,01,premotor,207,45,0.06720196502169333
7,01,premotor,207,99,0.010651911146147315
8,01,premotor,45,153,-0.030203453469575422
9,01,premotor,45,207,-0.010061249733331345
10,01,premotor,45,45,-0.026814825663755596
11,01,premotor,45,99,-0.006268610833608305
12,01,premotor,99,153,0.0007314234793587542
13,01,premotor,99,207,0.005422959337254134
14,01,premotor,99,45,-0.025915616921901162
15,01,premotor,99,99,0.010601886457149346
16,01,motor,153,153,0.0015064183529976418
17,01,motor,153,207,-0.004390541426039767
18,01,motor,153,45,0.040118448586479005
19,01,motor,153,99,-0.024017158307522907
20,01,motor,207,153,0.012842069786993178
21,01,motor,207,207,0.0769819637704521
22,01,motor,207,45,-0.00272975062680343
23,01,motor,207,99,0.05347291352622566
24,01,motor,45,153,-0.015561760130328521
25,01,motor,45,207,-0.06010369269376434
26,01,motor,45,45,-0.006789640776731519
27,01,motor,45,99,-0.0021500394427486896
28,01,motor,99,153,-0.004511093088405173
29,01,motor,99,207,-0.02877192991484077
30,01,motor,99,45,-0.0287763043767783
31,01,motor,99,99,-0.02770357388716839
32,01,v1,153,153,-0.028968456353116907
33,01,v1,153,207,-0.0407311212520359
34,01,v1,153,45,-0.06799210440135708
35,01,v1,153,99,-0.059907287297778306
36,01,v1,207,153,0.04348729059470893
37,01,v1,207,207,0.05116787831336349
38,01,v1,207,45,0.0851213754288157
39,01,v1,207,99,0.023203113134083454
40,01,v1,45,153,-0.04202960447625461
41,01,v1,45,207,-0.05792512648423907
42,01,v1,45,45,-0.050030222893437365
43,01,v1,45,99,-0.012928325555570068
44,01,v1,99,153,0.02080959448652866
45,01,v1,99,207,0.020128761423078623
46,01,v1,99,45,0.01639152651802097
47,01,v1,99,99,0.03338536839916997
48,01,sup_parietal,153,153,-0.03459636943538012
49,01,sup_parietal,153,207,0.002355053293364634
50,01,sup_parietal,153,45,0.012450602912794227
51,01,sup_parietal,153,99,-0.00428505194957246
52,01,sup_parietal,207,153,0.017277953767621597
53,01,sup_parietal,207,207,0.05062903853338682
54,01,sup_parietal,207,45,0.06162970042694496
55,01,sup_parietal,207,99,-0.0047308950313031325
56,01,sup_parietal,45,153,-0.002325884184399161
57,01,sup_parietal,45,207,-0.027630954466372554
58,01,sup_parietal,45,45,-0.02116538309079087
59,01,sup_parietal,45,99,-0.02554830491996888
60,01,sup_parietal,99,153,0.0007521523669678648
61,01,sup_parietal,99,207,-0.035770589224456556
62,01,sup_parietal,99,45,-0.0577773685437587
63,01,sup_parietal,99,99,0.010879206193041842
64,01,inf_parietal,153,153,-0.018774762401044334
65,01,inf_parietal,153,207,0.02599157149565531
66,01,inf_parietal,153,45,0.032046715321520314
67,01,inf_parietal,153,99,0.05906881208240071
68,01,inf_parietal,207,153,-0.0032163936025910254
69,01,inf_parietal,207,207,-0.007476561287144841
70,01,inf_parietal,207,45,-0.04050824136519383
71,01,inf_parietal,207,99,-0.0582880865655029
72,01,inf_parietal,45,153,0.06643027762532472
73,01,inf_parietal,45,207,0.03142874644958391
74,01,inf_parietal,45,45,0.09584853906496521
75,01,inf_parietal,45,99,0.03290720913275429
76,01,inf_parietal,99,153,-0.052569125757051596
77,01,inf_parietal,99,207,-0.04139095911451759
78,01,inf_parietal,99,45,-0.0860980226845162
79,01,inf_parietal,99,99,-0.03856589667243713
80,01,v5,153,153,-0.06567423998648227
81,01,v5,153,207,-0.03490517596572765
82,01,v5,153,45,-0.05903805311344038
83,01,v5,153,99,-0.11507631233990284
84,01,v5,207,153,0.03708878722139726
85,01,v5,207,207,0.046232912828748626
86,01,v5,207,45,0.029274943248544398
87,01,v5,207,99,0.02944357053149846
88,01,v5,45,153,0.008596127133072326
89,01,v5,45,207,0.041707695520580096
90,01,v5,45,45,-0.04078495149287628
91,01,v5,45,99,0.09137073516931338
92,01,v5,99,153,-0.03530525256320041
93,01,v5,99,207,-0.1121335205934462
94,01,v5,99,45,-0.011629984767135396
95,01,v5,99,99,-0.025726291326110935
96,02,premotor,153,153,-0.06568911405778396
97,02,premotor,153,207,-0.06522270444529982
98,02,premotor,153,45,-0.040455316449416204
99,02,premotor,153,99,-0.04009941909247941
100,02,premotor,207,153,0.04318953896367716
101,02,premotor,207,207,0.054534181615455576
102,02,premotor,207,45,0.02869794556804084
103,02,premotor,207,99,0.0251573221509172
104,02,premotor,45,153,0.009455787044918814
105,02,premotor,45,207,-0.0003483034573247921
106,02,premotor,45,45,-0.001914941499950782
107,02,premotor,45,99,-0.0030240736512664092
108,02,premotor,99,153,-0.0006542994296818852
109,02,premotor,99,207,-0.0009494272998341697
110,02,premotor,99,45,-0.004752789044724428
111,02,premotor,99,99,-0.009996638157348017
112,02,motor,153,153,0.0026030043488169154
113,02,motor,153,207,-0.010031921100394626
114,02,motor,153,45,-0.004361229858938866
115,02,motor,153,99,0.01695004091100258
116,02,motor,207,153,-0.025325261750636055
117,02,motor,207,207,0.0026277122142944025
118,02,motor,207,45,-0.015591327837057916
119,02,motor,207,99,-0.018641040412957957
120,02,motor,45,153,0.03314829250673354
121,02,motor,45,207,0.04145445257305079
122,02,motor,45,45,0.04167934200260037
123,02,motor,45,99,0.022571455960017098
124,02,motor,99,153,-0.036759142681641065
125,02,motor,99,207,-0.043930805486848634
126,02,motor,99,45,-0.031784295542745665
127,02,motor,99,99,-0.05031892995822229
128,02,v1,153,153,0.12177016618913633
129,02,v1,153,207,-0.025263826879055824
130,02,v1,153,45,-0.03520902664160293
131,02,v1,153,99,-0.00372842499435609
132,02,v1,207,153,-0.024064896576537813
133,02,v1,207,207,0.14987683979910071
134,02,v1,207,45,-0.08345553241271295
135,02,v1,207,99,-0.044895077872323
136,02,v1,45,153,-0.07555294364155635
137,02,v1,45,207,-0.11667484587967666
138,02,v1,45,45,0.09557355671714746
139,02,v1,45,99,-0.08841615990502867
140,02,v1,99,153,-0.09266403550738328
141,02,v1,99,207,-0.06525360874942904
142,02,v1,99,45,0.0006315000146811765
143,02,v1,99,99,0.08788127001687143
144,02,sup_parietal,153,153,-0.00708669150456849
145,02,sup_parietal,153,207,-0.03783980894354049
146,02,sup_parietal,153,45,-0.03785940302139347
147,02,sup_parietal,153,99,-0.014023036795233222
148,02,sup_parietal,207,153,0.06479860341356386
149,02,sup_parietal,207,207,0.09732483175176723
150,02,sup_parietal,207,45,0.011377731739232125
151,02,sup_parietal,207,99,0.04409187045413582
152,02,sup_parietal,45,153,-0.06580820246041347
153,02,sup_parietal,45,207,-0.08872550611625304
154,02,sup_parietal,45,45,-0.03823019384537623
155,02,sup_parietal,45,99,-0.04229691988324055
156,02,sup_parietal,99,153,0.0006695837708899505
157,02,sup_parietal,99,207,0.023997946207383145
158,02,sup_parietal,99,45,0.05900784093416276
159,02,sup_parietal,99,99,-0.004298412672510684
160,02,inf_parietal,153,153,-0.03763318010518765
161,02,inf_parietal,153,207,-0.014239398780723868
162,02,inf_parietal,153,45,-0.026145835278375926
163,02,inf_parietal,153,99,-0.012623585668073587
164,02,inf_parietal,207,153,0.03301936306671739
165,02,inf_parietal,207,207,0.05708630567269394
166,02,inf_parietal,207,45,0.05763946180313864
167,02,inf_parietal,207,99,0.014907218551302483
168,02,inf_parietal,45,153,0.02751052174186061
169,02,inf_parietal,45,207,-0.009897787001051903
170,02,inf_parietal,45,45,-0.01886058267276141
171,02,inf_parietal,45,99,0.005587981298536224
172,02,inf_parietal,99,153,-0.06731951701240625
173,02,inf_parietal,99,207,-0.054731098468133704
174,02,inf_parietal,99,45,-0.04333850131302802
175,02,inf_parietal,99,99,-0.04958926330743513
176,02,v5,153,153,0.014154835487270048
177,02,v5,153,207,-0.13568504360710557
178,02,v5,153,45,-0.19409214723986276
179,02,v5,153,99,-0.10046644254625824
180,02,v5,207,153,0.102560638015455
181,02,v5,207,207,0.21019257913571948
182,02,v5,207,45,0.03437803049506245
183,02,v5,207,99,0.029136828978953283
184,02,v5,45,153,-0.08250873278590215
185,02,v5,45,207,-0.042419066564113456
186,02,v5,45,45,0.3013929199361385
187,02,v5,45,99,0.052523005467860706
188,02,v5,99,153,0.041176927696174356
189,02,v5,99,207,0.025773305686552776
190,02,v5,99,45,-0.014334953497640024
