,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,0.01607973776530303
1,01,premotor,153,207,0.017142719351436228
2,01,premotor,153,45,0.0011922036908864186
3,01,premotor,153,99,0.007551690361590575
4,01,premotor,207,153,0.03039785749213171
5,01,premotor,207,207,0.0018470700284048515
6,01,premotor,207,45,0.0672180325239897
7,01,premotor,207,99,0.009547756576297842
8,01,premotor,45,153,-0.03194846309870126
9,01,premotor,45,207,-0.0147118684238827
10,01,premotor,45,45,-0.028888598162602166
11,01,premotor,45,99,-0.006658138564974932
12,01,premotor,99,153,-0.0007098081338953888
13,01,premotor,99,207,0.0030730675309272523
14,01,premotor,99,45,-0.03125929500113113
15,01,premotor,99,99,0.008628455420436828
16,01,motor,153,153,-0.0029540360256159037
17,01,motor,153,207,0.0002741657844036946
18,01,motor,153,45,0.04476000212531853
19,01,motor,153,99,-0.023902578563796902
20,01,motor,207,153,0.014781813141025564
21,01,motor,207,207,0.07443595411079179
22,01,motor,207,45,-0.004681864641146826
23,01,motor,207,99,0.054788698024122715
24,01,motor,45,153,-0.019405570536318917
25,01,motor,45,207,-0.063275969897198
26,01,motor,45,45,-0.01155374423247829
27,01,motor,45,99,-0.007051206608777621
28,01,motor,99,153,-0.0031898873867551077
29,01,motor,99,207,-0.032462610340645376
30,01,motor,99,45,-0.030637989869612966
31,01,motor,99,99,-0.035066624753031225
32,01,v1,153,153,-0.0386962035233982
33,01,v1,153,207,-0.04555890871240376
34,01,v1,153,45,-0.07912761452068587
35,01,v1,153,99,-0.0680732035405863
36,01,v1,207,153,0.05347468404484339
37,01,v1,207,207,0.06471172385858381
38,01,v1,207,45,0.10191479131385911
39,01,v1,207,99,0.028752894188240494
40,01,v1,45,153,-0.053100930920078684
41,01,v1,45,207,-0.06740109574303871
42,01,v1,45,45,-0.05530743795201885
43,01,v1,45,99,-0.018836298356185117
44,01,v1,99,153,0.026825942158173244
45,01,v1,99,207,0.02227023655356398
46,01,v1,99,45,0.014796924230570416
47,01,v1,99,99,0.03946818587275252
48,01,sup_parietal,153,153,-0.044245195564583686
49,01,sup_parietal,153,207,0.0017359544322726322
50,01,sup_parietal,153,45,0.005200559442279679
51,01,sup_parietal,153,99,-0.010019077488162047
52,01,sup_parietal,207,153,0.02866147221964642
53,01,sup_parietal,207,207,0.060222961911167994
54,01,sup_parietal,207,45,0.0693972043237469
55,01,sup_parietal,207,99,-0.0012694561537038816
56,01,sup_parietal,45,153,0.0025119922006071396
57,01,sup_parietal,45,207,-0.026720986799579908
58,01,sup_parietal,45,45,-0.014083724800411283
59,01,sup_parietal,45,99,-0.019857081853305678
60,01,sup_parietal,99,153,-0.0007837876966418703
61,01,sup_parietal,99,207,-0.0438517006513766
62,01,sup_parietal,99,45,-0.06349397070318163
63,01,sup_parietal,99,99,0.014366737716684098
64,01,inf_parietal,153,153,-0.02399346338494876
65,01,inf_parietal,153,207,0.02214919619459207
66,01,inf_parietal,153,45,0.030164223788729475
67,01,inf_parietal,153,99,0.04974726584737593
68,01,inf_parietal,207,153,-0.0032531904952037144
69,01,inf_parietal,207,207,-0.009761950804874155
70,01,inf_parietal,207,45,-0.03581326440857489
71,01,inf_parietal,207,99,-0.05285783851967932
72,01,inf_parietal,45,153,0.0689810054976472
73,01,inf_parietal,45,207,0.036436919589147444
74,01,inf_parietal,45,45,0.10133130022598752
75,01,inf_parietal,45,99,0.029340939249695185
76,01,inf_parietal,99,153,-0.04816866651565343
77,01,inf_parietal,99,207,-0.03932564244412115
78,01,inf_parietal,99,45,-0.09655895411995385
79,01,inf_parietal,99,99,-0.038090398481591216
80,01,v5,153,153,-0.06746082822770791
81,01,v5,153,207,-0.028273863369998008
82,01,v5,153,45,-0.07023166106533849
83,01,v5,153,99,-0.12701706934481943
84,01,v5,207,153,0.05513235761879292
85,01,v5,207,207,0.10171196363768936
86,01,v5,207,45,0.06959530774226264
87,01,v5,207,99,0.044801530036635576
88,01,v5,45,153,-0.007653572706645725
89,01,v5,45,207,0.025017279479544643
90,01,v5,45,45,-0.04882986042564618
91,01,v5,45,99,0.10829390640671585
92,01,v5,99,153,-0.042996269754831895
93,01,v5,99,207,-0.12238335369642271
94,01,v5,99,45,-0.000396548049400286
95,01,v5,99,99,-0.03448881413177921
96,02,premotor,153,153,-0.07695003021162111
97,02,premotor,153,207,-0.07816779787179737
98,02,premotor,153,45,-0.05093504447042346
99,02,premotor,153,99,-0.0487226082121978
100,02,premotor,207,153,0.04943105828513751
101,02,premotor,207,207,0.06420941365659028
102,02,premotor,207,45,0.036539099587436015
103,02,premotor,207,99,0.030167399664345944
104,02,premotor,45,153,0.008317745586379245
105,02,premotor,45,207,-0.0036096148769215394
106,02,premotor,45,45,-0.004640609260980191
107,02,premotor,45,99,-0.008811384672409111
108,02,premotor,99,153,-0.0010195344884940216
109,02,premotor,99,207,-0.0008139526216882388
110,02,premotor,99,45,-0.005051397897770538
111,02,premotor,99,99,-0.006048436912345932
112,02,motor,153,153,-0.01392953193699857
113,02,motor,153,207,-0.031120167330527637
114,02,motor,153,45,-0.02303022401325769
