,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,0.039213639548707685
1,01,premotor,153,207,0.07680222297548861
2,01,premotor,153,45,0.06708330224250658
3,01,premotor,153,99,0.0017415543791790382
4,01,premotor,207,153,0.020555223797467444
5,01,premotor,207,207,0.07434546665453448
6,01,premotor,207,45,0.07343071341341753
7,01,premotor,207,99,-0.011814375087579328
8,01,premotor,45,153,0.030580941407252347
9,01,premotor,45,207,0.08663102772292117
10,01,premotor,45,45,0.07688497116125076
11,01,premotor,45,99,0.012617474132893188
12,01,premotor,99,153,0.015055551722929451
13,01,premotor,99,207,0.07728662021043899
14,01,premotor,99,45,0.06383287953110005
15,01,premotor,99,99,-0.02147497740618089
16,01,motor,153,153,0.09332429398956725
17,01,motor,153,207,0.06636219916318536
18,01,motor,153,45,0.08360206692416489
19,01,motor,153,99,0.0846377467913956
20,01,motor,207,153,0.025600982428575267
21,01,motor,207,207,0.04095849794855076
22,01,motor,207,45,0.0961724492407298
23,01,motor,207,99,1.607113961560585e-05
24,01,motor,45,153,0.041840827844739054
25,01,motor,45,207,0.03571831252608125
26,01,motor,45,45,0.05532618149379803
27,01,motor,45,99,-0.01564713846062215
28,01,motor,99,153,0.028257677277727405
29,01,motor,99,207,0.07895660689617011
30,01,motor,99,45,0.035162225637156666
31,01,motor,99,99,-0.0025728734576991527
32,01,v1,153,153,0.013622950581654563
33,01,v1,153,207,0.04003052731654762
34,01,v1,153,45,0.017798649328988985
35,01,v1,153,99,0.027187459342969702
36,01,v1,207,153,0.07433959351017738
37,01,v1,207,207,0.08277984914846907
38,01,v1,207,45,0.08564746005496124
39,01,v1,207,99,0.07706578396977982
40,01,v1,45,153,-0.017024443560584388
41,01,v1,45,207,0.0027227632350486607
42,01,v1,45,45,-0.002610041756709376
43,01,v1,45,99,-0.007603227386896442
44,01,v1,99,153,0.00882973405662312
45,01,v1,99,207,0.028182691005421274
46,01,v1,99,45,0.0064008975996606874
47,01,v1,99,99,0.009684883019537573
48,01,sup_parietal,153,153,-0.0052653163701234
49,01,sup_parietal,153,207,0.07686767375463707
50,01,sup_parietal,153,45,0.09157672444330986
