,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,0.020305699393831204
1,01,premotor,153,207,0.020377320246077406
2,01,premotor,153,45,0.00279597669880992
3,01,premotor,153,99,0.013338672951864777
4,01,premotor,207,153,0.019755870573624906
5,01,premotor,207,207,-0.004614584003824806
6,01,premotor,207,45,0.06069574902096641
7,01,premotor,207,99,-0.0035380119469518414
8,01,premotor,45,153,-0.029149129903849873
9,01,premotor,45,207,-0.012313445032320163
10,01,premotor,45,45,-0.024212426990756597
11,01,premotor,45,99,-0.001304283224898041
12,01,premotor,99,153,0.001196075325535879
13,01,premotor,99,207,0.0022174007191494947
14,01,premotor,99,45,-0.032721414610882835
15,01,premotor,99,99,0.010928662068267748
16,01,motor,153,153,0.0003452983247539546
17,01,motor,153,207,0.002371082116408022
18,01,motor,153,45,0.05059801580847019
19,01,motor,153,99,-0.023791762169011448
20,01,motor,207,153,0.009014308435973638
21,01,motor,207,207,0.07616893315732316
22,01,motor,207,45,-0.00403686112043871
23,01,motor,207,99,0.0535845253456085
24,01,motor,45,153,-0.023150011114855464
25,01,motor,45,207,-0.07067693197158237
26,01,motor,45,45,-0.014843531108924677
27,01,motor,45,99,-0.0164921067326044
28,01,motor,99,153,0.0002264045294358072
29,01,motor,99,207,-0.033399620675188604
30,01,motor,99,45,-0.03738180704649205
31,01,motor,99,99,-0.03087537018122819
32,01,v1,153,153,-0.04093010191670047
33,01,v1,153,207,-0.044606204070528205
34,01,v1,153,45,-0.07182599846575762
35,01,v1,153,99,-0.06505229834560342
36,01,v1,207,153,0.05217200977567449
37,01,v1,207,207,0.0612065386954751
38,01,v1,207,45,0.09784472553674102
39,01,v1,207,99,0.025395067894313193
40,01,v1,45,153,-0.04733956661964256
41,01,v1,45,207,-0.0644696315124203
42,01,v1,45,45,-0.05323885193821059
43,01,v1,45,99,-0.017495477386184708
44,01,v1,99,153,0.023758128812097882
45,01,v1,99,207,0.02374111855157203
46,01,v1,99,45,0.010560370113429675
47,01,v1,99,99,0.03753496380765738
48,01,sup_parietal,153,153,-0.03933833634453132
49,01,sup_parietal,153,207,0.0037073251829133833
50,01,sup_parietal,153,45,0.008270554885717485
51,01,sup_parietal,153,99,-0.004524250042375
52,01,sup_parietal,207,153,0.030286515660751676
53,01,sup_parietal,207,207,0.06153025464179423
54,01,sup_parietal,207,45,0.0724810974250232
55,01,sup_parietal,207,99,-0.002864016157025969
56,01,sup_parietal,45,153,-0.0005902356304807073
57,01,sup_parietal,45,207,-0.03308839699506527
58,01,sup_parietal,45,45,-0.021082584649356917
59,01,sup_parietal,45,99,-0.019886583863480328
60,01,sup_parietal,99,153,-0.004175900243660935
61,01,sup_parietal,99,207,-0.04262815943591924
62,01,sup_parietal,99,45,-0.06859059135239678
63,01,sup_parietal,99,99,0.013136920204872993
64,01,inf_parietal,153,153,-0.030878991030520837
65,01,inf_parietal,153,207,0.02130295849080137
66,01,inf_parietal,153,45,0.026561895571342482
67,01,inf_parietal,153,99,0.04067816521072384
68,01,inf_parietal,207,153,-9.921368955555405e-05
69,01,inf_parietal,207,207,-0.017595580750312177
70,01,inf_parietal,207,45,-0.03049429998082661
71,01,inf_parietal,207,99,-0.046569800258662836
72,01,inf_parietal,45,153,0.07518417340104146
73,01,inf_parietal,45,207,0.04129614796762853
74,01,inf_parietal,45,45,0.1063776122941915
75,01,inf_parietal,45,99,0.027895602963776835
76,01,inf_parietal,99,153,-0.05310145900657787
77,01,inf_parietal,99,207,-0.042438304484462105
78,01,inf_parietal,99,45,-0.10783909247562241
79,01,inf_parietal,99,99,-0.03851456209921668
80,01,v5,153,153,-0.05983027766472357
81,01,v5,153,207,-0.02310843013390649
82,01,v5,153,45,-0.055075563248702136
83,01,v5,153,99,-0.1167359163503694
84,01,v5,207,153,0.03906560781202758
85,01,v5,207,207,0.07461063357200166
86,01,v5,207,45,0.05539999034576305
87,01,v5,207,99,0.04556228971264467
88,01,v5,45,153,0.01515161603983485
89,01,v5,45,207,0.04776608981356857
90,01,v5,45,45,-0.029808201910765345
91,01,v5,45,99,0.1268503847570373
92,01,v5,99,153,-0.0366066274672692
93,01,v5,99,207,-0.11304879136810787
94,01,v5,99,45,0.009799087141380801
