,Participants,Masks,Straight Direction,Straight Direction_,Correlation
0,01,premotor,153,153,-0.8830079305617617
1,01,premotor,153,207,0.29309131023436885
2,01,premotor,153,45,0.21432629279447557
3,01,premotor,153,99,0.29520574527515087
4,01,premotor,207,153,0.28137477973241515
5,01,premotor,207,207,-0.7768565058114486
6,01,premotor,207,45,0.33679171170432076
7,01,premotor,207,99,0.2335507976018882
8,01,premotor,45,153,0.28915828744863425
9,01,premotor,45,207,0.30211746808269546
10,01,premotor,45,45,-0.7882877815410076
11,01,premotor,45,99,0.27977747923353213
12,01,premotor,99,153,0.29866737564169166
13,01,premotor,99,207,0.22300436534490034
14,01,premotor,99,45,0.22180158884894108
15,01,premotor,99,99,-0.8792062739918082
16,01,motor,153,153,-0.8709075078407871
17,01,motor,153,207,0.27726404537627564
18,01,motor,153,45,0.24377271407936518
19,01,motor,153,99,0.30150497115202923
20,01,motor,207,153,0.27426631799791334
21,01,motor,207,207,-0.7773884292385651
22,01,motor,207,45,0.2573148637533196
23,01,motor,207,99,0.2910418166327472
24,01,motor,45,153,0.3255209386370871
25,01,motor,45,207,0.2527498610507772
26,01,motor,45,45,-0.7888840096588648
27,01,motor,45,99,0.24318440707913833
28,01,motor,99,153,0.2940765271927174
29,01,motor,99,207,0.26162166374282986
30,01,motor,99,45,0.21051272569892476
31,01,motor,99,99,-0.8630595571234364
32,01,v1,153,153,-0.8553587425904492
33,01,v1,153,207,0.3183147556619383
34,01,v1,153,45,0.2572488663795488
35,01,v1,153,99,0.26536392629345196
36,01,v1,207,153,0.2921002738565456
37,01,v1,207,207,-0.8482214679320792
38,01,v1,207,45,0.282111926486555
39,01,v1,207,99,0.27469606394645074
40,01,v1,45,153,0.3033727265305904
41,01,v1,45,207,0.25581844283397626
42,01,v1,45,45,-0.8346115239137446
43,01,v1,45,99,0.28272928315002077
44,01,v1,99,153,0.3009556490560087
45,01,v1,99,207,0.26810391860615324
46,01,v1,99,45,0.22515345233757406
47,01,v1,99,99,-0.8651525205789022
48,01,sup_parietal,153,153,-0.8453676242173156
49,01,sup_parietal,153,207,0.29190329762120387
50,01,sup_parietal,153,45,0.26626825553453376
51,01,sup_parietal,153,99,0.2747021212676659
52,01,sup_parietal,207,153,0.2606494870679465
53,01,sup_parietal,207,207,-0.845272796362547
54,01,sup_parietal,207,45,0.31823680145525995
55,01,sup_parietal,207,99,0.3112308355546274
56,01,sup_parietal,45,153,0.24386541883010482
57,01,sup_parietal,45,207,0.3170088027607483
58,01,sup_parietal,45,45,-0.8516811271442317
59,01,sup_parietal,45,99,0.23874019821044784
60,01,sup_parietal,99,153,0.34466754584884063
61,01,sup_parietal,99,207,0.23503368186992887
62,01,sup_parietal,99,45,0.23215263882479778
63,01,sup_parietal,99,99,-0.8566759320805031
64,01,inf_parietal,153,153,-0.8700117426310587
65,01,inf_parietal,153,207,0.3292455719266247
66,01,inf_parietal,153,45,0.24903103238295726
67,01,inf_parietal,153,99,0.2182787760656206
68,01,inf_parietal,207,153,0.2869411072942395
69,01,inf_parietal,207,207,-0.8402298164006514
70,01,inf_parietal,207,45,0.31856864187521505
71,01,inf_parietal,207,99,0.287679988082721
72,01,inf_parietal,45,153,0.31031494750176075
73,01,inf_parietal,45,207,0.2501679738894925
74,01,inf_parietal,45,45,-0.8413514167554819
75,01,inf_parietal,45,99,0.26807346681603306
76,01,inf_parietal,99,153,0.261454485705968
77,01,inf_parietal,99,207,0.2887248281933197
78,01,inf_parietal,99,45,0.2335404025645169
79,01,inf_parietal,99,99,-0.8441125355722643
80,01,v5,153,153,-0.8011706426857668
81,01,v5,153,207,0.2259421365621209
82,01,v5,153,45,0.29663378048018113
83,01,v5,153,99,0.27010156834529797
84,01,v5,207,153,0.28972717567815076
85,01,v5,207,207,-0.7840356804353932
86,01,v5,207,45,0.24722559112585527
87,01,v5,207,99,0.2210346093266431
88,01,v5,45,153,0.30206863294994624
89,01,v5,45,207,0.3067045856014042
90,01,v5,45,45,-0.7165355827150377
91,01,v5,45,99,0.09800777306737646
92,01,v5,99,153,0.26917878735444223
93,01,v5,99,207,0.1608390617095753
94,01,v5,99,45,0.20444559214383587
95,01,v5,99,99,-0.7003538347428663
96,02,premotor,153,153,-0.8805201973078086
97,02,premotor,153,207,0.3323652644939061
98,02,premotor,153,45,0.2207299844089124
99,02,premotor,153,99,0.25490286098320536
100,02,premotor,207,153,0.3579801842355455
101,02,premotor,207,207,-0.8830475594649834
102,02,premotor,207,45,0.3087576224915795
103,02,premotor,207,99,0.25830625592757467
