,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,-0.0073825304276859925
1,01,premotor,153,207,0.02262543787933153
2,01,premotor,153,45,0.007246580886276461
3,01,premotor,153,99,0.0043191810610527055
4,01,premotor,207,153,0.003962172081281516
5,01,premotor,207,207,-0.010178608481633615
6,01,premotor,207,45,0.017777426516646443
7,01,premotor,207,99,0.0034827410931919317
8,01,premotor,45,153,-0.0015426513455927071
9,01,premotor,45,207,3.8371554590126145e-05
10,01,premotor,45,45,-0.013825822233541384
11,01,premotor,45,99,-0.019240484854499855
12,01,premotor,99,153,0.008311947696368706
13,01,premotor,99,207,-0.003681966248205857
14,01,premotor,99,45,-0.019833870122892713
15,01,premotor,99,99,-0.0017121614887792777
16,01,motor,153,153,0.007803512002510324
17,01,motor,153,207,0.052109705943037245
18,01,motor,153,45,0.03630967424145332
19,01,motor,153,99,0.041847014442490935
20,01,motor,207,153,-0.0119558537680605
21,01,motor,207,207,-0.014045893528382031
22,01,motor,207,45,-0.0896115740270854
23,01,motor,207,99,-0.04448339316054802
24,01,motor,45,153,-0.0025598487996839926
25,01,motor,45,207,-0.01643479928822105
26,01,motor,45,45,-0.011203605669489063
27,01,motor,45,99,-0.04407949894412007
28,01,motor,99,153,0.0075612674402540485
29,01,motor,99,207,-0.00867230529121377
30,01,motor,99,45,0.07680896731538911
31,01,motor,99,99,0.04542503098851589
32,01,v1,153,153,0.038582915501534275
33,01,v1,153,207,0.02099236740367709
34,01,v1,153,45,-0.009867871284039275
35,01,v1,153,99,0.01870259367112664
36,01,v1,207,153,-0.027117553123549406
37,01,v1,207,207,-0.05968554044068984
38,01,v1,207,45,0.0075528561426102155
39,01,v1,207,99,-0.05256642199150718
40,01,v1,45,153,0.0098403790886404
41,01,v1,45,207,0.0019698198146086247
42,01,v1,45,45,0.03168907589313781
43,01,v1,45,99,-0.038826605503924264
44,01,v1,99,153,-0.01653368115831678
45,01,v1,99,207,0.05196921985808731
46,01,v1,99,45,-0.0232519632412332
47,01,v1,99,99,0.07524972522091139
48,01,sup_parietal,153,153,-0.04705593088664455
49,01,sup_parietal,153,207,0.020157320314281024
50,01,sup_parietal,153,45,0.016690462688177983
51,01,sup_parietal,153,99,-0.08923067269947188
52,01,sup_parietal,207,153,0.02077805170809278
53,01,sup_parietal,207,207,-0.015360771366532848
54,01,sup_parietal,207,45,0.005466707627359541
55,01,sup_parietal,207,99,0.001217783037311352
56,01,sup_parietal,45,153,0.002929248828501166
57,01,sup_parietal,45,207,-0.03635589900015711
58,01,sup_parietal,45,45,-0.027145001450807255
59,01,sup_parietal,45,99,-0.025714715397960896
60,01,sup_parietal,99,153,0.005140528036718819
61,01,sup_parietal,99,207,-0.03145855046944188
62,01,sup_parietal,99,45,-0.012573981889235843
63,01,sup_parietal,99,99,0.08145816189778207
64,01,inf_parietal,153,153,-0.0006959303216939987
65,01,inf_parietal,153,207,0.049553399333064255
66,01,inf_parietal,153,45,-0.018354347759501018
67,01,inf_parietal,153,99,0.038477977347763606
68,01,inf_parietal,207,153,-0.0023434107804441856
69,01,inf_parietal,207,207,-0.03412842141476646
70,01,inf_parietal,207,45,-0.002931028265211296
71,01,inf_parietal,207,99,-0.03776532592814681
72,01,inf_parietal,45,153,-0.018085727400750335
73,01,inf_parietal,45,207,0.015112657454787848
74,01,inf_parietal,45,45,0.02541175563403761
75,01,inf_parietal,45,99,0.0229456574717484
76,01,inf_parietal,99,153,0.08344473725669374
77,01,inf_parietal,99,207,-0.008289416848778309
78,01,inf_parietal,99,45,0.024619427829045568
79,01,inf_parietal,99,99,0.003992913080068303
80,01,v5,153,153,0.048101411558003175
81,01,v5,153,207,0.056704448150902836
82,01,v5,153,45,-0.07493579600088275
83,01,v5,153,99,0.10517492482076102
84,01,v5,207,153,-0.0854737161099873
85,01,v5,207,207,-0.06385926814306492
86,01,v5,207,45,-0.12769027056796264
87,01,v5,207,99,-0.07899446590007653
88,01,v5,45,153,0.13942380389147346
89,01,v5,45,207,-0.019239933231746786
90,01,v5,45,45,0.15706983473987132
91,01,v5,45,99,0.012478913292208352
92,01,v5,99,153,-0.09045364504442628
93,01,v5,99,207,0.11160933961350854
94,01,v5,99,45,-0.004876602738329398
95,01,v5,99,99,0.0403450280669381
96,02,premotor,153,153,0.026267876803434908
97,02,premotor,153,207,0.08064122506952845
98,02,premotor,153,45,0.01717606132081419
99,02,premotor,153,99,0.0033809674696543028
100,02,premotor,207,153,-0.002916629259161177
101,02,premotor,207,207,-0.013407109505604985
102,02,premotor,207,45,0.01770084170529585
103,02,premotor,207,99,0.045016773411618555
104,02,premotor,45,153,-0.031404831687732095
105,02,premotor,45,207,-0.10786655397179185
106,02,premotor,45,45,-0.0017783444959542875
107,02,premotor,45,99,-0.03941721382645687
108,02,premotor,99,153,0.013104946328782029
109,02,premotor,99,207,0.03428549008948629
110,02,premotor,99,45,-0.033803204110914406
111,02,premotor,99,99,0.0005628838070924965
112,02,motor,153,153,-0.03977438659285463
113,02,motor,153,207,0.024462995542916678
114,02,motor,153,45,-0.032355154205762605
115,02,motor,153,99,-0.034373669276138705
116,02,motor,207,153,-0.024683510348335318
117,02,motor,207,207,-0.046442961969688494
118,02,motor,207,45,-0.009573615027249517
119,02,motor,207,99,-0.0054925373384374955
120,02,motor,45,153,0.02414583933030045
121,02,motor,45,207,-0.059223083590778325
122,02,motor,45,45,0.059496958840690325
123,02,motor,45,99,0.018863875029350673
124,02,motor,99,153,0.010001906741306117
125,02,motor,99,207,0.04699526033716413
126,02,motor,99,45,-0.03387473234734083
127,02,motor,99,99,-0.016632877691972865
128,02,v1,153,153,0.10918821791799196
129,02,v1,153,207,0.08124744322961236
130,02,v1,153,45,0.0317937748953151
131,02,v1,153,99,0.0373500660223859
132,02,v1,207,153,-0.11422622963770766
133,02,v1,207,207,-0.014103512926884259
134,02,v1,207,45,-0.06161005880948371
135,02,v1,207,99,-0.09148160872710845
136,02,v1,45,153,-0.06582144584492751
137,02,v1,45,207,-0.12733620542680416
138,02,v1,45,45,0.04957780352206334
139,02,v1,45,99,0.010561247496508924
140,02,v1,99,153,0.0504582672243369
141,02,v1,99,207,0.025683393867888107
142,02,v1,99,45,-0.030063593260166218
143,02,v1,99,99,0.033817217325385604
144,02,sup_parietal,153,153,0.013825692852405137
145,02,sup_parietal,153,207,0.052133822845019724
146,02,sup_parietal,153,45,-0.002120448151673052
147,02,sup_parietal,153,99,0.007317928748596048
148,02,sup_parietal,207,153,-0.03822012756621361
149,02,sup_parietal,207,207,-0.021205753720538078
150,02,sup_parietal,207,45,-0.00516533253249714
151,02,sup_parietal,207,99,-0.04077131175480622
152,02,sup_parietal,45,153,0.003698511238089782
153,02,sup_parietal,45,207,-0.05359525109215878
154,02,sup_parietal,45,45,0.038586429186482606
155,02,sup_parietal,45,99,0.03903292504944561
156,02,sup_parietal,99,153,0.011449674343744977
157,02,sup_parietal,99,207,-0.01023052200065767
158,02,sup_parietal,99,45,-0.05344373940794992
159,02,sup_parietal,99,99,-0.0005816950291803458
160,02,inf_parietal,153,153,0.04430477202768059
161,02,inf_parietal,153,207,0.06290248849405466
162,02,inf_parietal,153,45,0.032081357460206246
163,02,inf_parietal,153,99,0.004091067396815997
164,02,inf_parietal,207,153,-0.027985797017390013
165,02,inf_parietal,207,207,0.003475320899666491
166,02,inf_parietal,207,45,0.04317278791209804
167,02,inf_parietal,207,99,0.09047300711158396
168,02,inf_parietal,45,153,0.032167990298888886
169,02,inf_parietal,45,207,-0.09576602861202943
170,02,inf_parietal,45,45,0.02781695507715904
171,02,inf_parietal,45,99,-0.0753979657966768
172,02,inf_parietal,99,153,-0.06873848578916983
173,02,inf_parietal,99,207,0.02905367801922882
174,02,inf_parietal,99,45,-0.08612252138791109
175,02,inf_parietal,99,99,-0.010918128289715705
176,02,v5,153,153,0.04155004980557935
177,02,v5,153,207,0.02827947856949834
178,02,v5,153,45,-0.01726652550473396
179,02,v5,153,99,-0.026735657311092842
180,02,v5,207,153,-0.0616426623106753
181,02,v5,207,207,0.04266823220691883
182,02,v5,207,45,-0.0457636567668722
183,02,v5,207,99,0.002831483213376333
184,02,v5,45,153,-0.1018428245567067
185,02,v5,45,207,-0.1977519219477929
186,02,v5,45,45,0.10039327914184232
187,02,v5,45,99,-0.05725672157111092
188,02,v5,99,153,0.08337981543217915
189,02,v5,99,207,0.03884049598167954
190,02,v5,99,45,-0.035384773372624724
191,02,v5,99,99,0.04305952955788216
192,03,premotor,153,153,0.05838193134884316
193,03,premotor,153,207,0.0839425367441278
194,03,premotor,153,45,0.022398297417215305
195,03,premotor,153,99,0.04331814080382372
196,03,premotor,207,153,-0.04257445065982087
197,03,premotor,207,207,-0.00902313118986729
198,03,premotor,207,45,-0.0033997920128882343
199,03,premotor,207,99,-0.030565837676666163
200,03,premotor,45,153,-0.08324428571595412
201,03,premotor,45,207,-0.13733025616071787
202,03,premotor,45,45,-0.03304626700939472
203,03,premotor,45,99,-0.012125459563752015
204,03,premotor,99,153,0.05650878814032369
205,03,premotor,99,207,0.051087802744138884
206,03,premotor,99,45,0.020893677658335406
207,03,premotor,99,99,0.025703163269182913
208,03,motor,153,153,-0.007800174674500424
209,03,motor,153,207,0.08682216380637026
210,03,motor,153,45,0.005214414056067481
211,03,motor,153,99,0.0020725025774698085
212,03,motor,207,153,0.012600371143227684
213,03,motor,207,207,-0.0071066615221487064
214,03,motor,207,45,0.0035035438330403047
215,03,motor,207,99,0.032156346944088976
216,03,motor,45,153,-0.03211677706225267
