,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,-0.00834743160335525
1,01,premotor,153,207,0.025709187429751056
2,01,premotor,153,45,0.006105703911399611
3,01,premotor,153,99,0.010162244608069892
4,01,premotor,207,153,6.803855942966956e-05
5,01,premotor,207,207,-0.0160665636470164
6,01,premotor,207,45,0.010899141277437817
7,01,premotor,207,99,0.0038548482114028077
8,01,premotor,45,153,0.00041271715020984104
9,01,premotor,45,207,0.004204632008334975
10,01,premotor,45,45,-0.008788826955383681
11,01,premotor,45,99,-0.01983026857844572
12,01,premotor,99,153,0.007152234448882088
13,01,premotor,99,207,-0.005393571163326511
14,01,premotor,99,45,-0.02027878900729077
15,01,premotor,99,99,-0.006406892643282817
16,01,motor,153,153,0.004670755549886729
17,01,motor,153,207,0.05547823853029166
18,01,motor,153,45,0.04421906833729887
19,01,motor,153,99,0.041637444663386154
20,01,motor,207,153,-0.020509890586694154
21,01,motor,207,207,-0.018161541146246355
22,01,motor,207,45,-0.10632269323885588
23,01,motor,207,99,-0.04831595055173745
24,01,motor,45,153,-0.0002843409210447562
25,01,motor,45,207,-0.018322597999717208
26,01,motor,45,45,-0.010643817298919098
27,01,motor,45,99,-0.03526063250520163
28,01,motor,99,153,0.01155754333798897
29,01,motor,99,207,-0.0049328614767504214
30,01,motor,99,45,0.08352347370798968
31,01,motor,99,99,0.037852416489240676
32,01,v1,153,153,0.03776038453025424
33,01,v1,153,207,0.02858440053053882
34,01,v1,153,45,-0.00972216538232577
35,01,v1,153,99,0.01864402873705961
36,01,v1,207,153,-0.031943736298492766
37,01,v1,207,207,-0.0651725479933975
38,01,v1,207,45,0.003500717550073692
39,01,v1,207,99,-0.050818845990335614
40,01,v1,45,153,0.014410293914704626
41,01,v1,45,207,-0.0006357728687304137
42,01,v1,45,45,0.037535712893733385
43,01,v1,45,99,-0.04900259891353696
44,01,v1,99,153,-0.019921239145604577
45,01,v1,99,207,0.06245712699662215
46,01,v1,99,45,-0.03136149880096081
47,01,v1,99,99,0.08481187131449201
48,01,sup_parietal,153,153,-0.0621672991078638
49,01,sup_parietal,153,207,0.0351832419342399
50,01,sup_parietal,153,45,0.008072365746998217
51,01,sup_parietal,153,99,-0.08930755488628285
52,01,sup_parietal,207,153,0.031834075600495684
53,01,sup_parietal,207,207,-0.0203291292321759
54,01,sup_parietal,207,45,0.027543869230831148
55,01,sup_parietal,207,99,0.006976058212784315
56,01,sup_parietal,45,153,-0.0014685168618273452
57,01,sup_parietal,45,207,-0.03313251895166721
58,01,sup_parietal,45,45,-0.03851880161351122
59,01,sup_parietal,45,99,-0.030540325293336584
60,01,sup_parietal,99,153,0.015212493892369892
61,01,sup_parietal,99,207,-0.023204974024856537
62,01,sup_parietal,99,45,0.0033417287241837854
63,01,sup_parietal,99,99,0.08432691271038084
64,01,inf_parietal,153,153,-0.005832633977801831
65,01,inf_parietal,153,207,0.05150220591963068
66,01,inf_parietal,153,45,-0.009560494768082017
67,01,inf_parietal,153,99,0.03942745736503767
68,01,inf_parietal,207,153,-0.008645505220281504
69,01,inf_parietal,207,207,-0.03631537912955213
70,01,inf_parietal,207,45,-0.01374595046234866
71,01,inf_parietal,207,99,-0.0429892555245961
72,01,inf_parietal,45,153,-0.018028393910745965
73,01,inf_parietal,45,207,0.0034847905309058555
74,01,inf_parietal,45,45,0.025505244668939137
75,01,inf_parietal,45,99,0.01860338789322044
76,01,inf_parietal,99,153,0.0805872071768853
77,01,inf_parietal,99,207,-0.007292617754969189
78,01,inf_parietal,99,45,0.01880660418167368
79,01,inf_parietal,99,99,0.006673925357403092
80,01,v5,153,153,0.03008890119044004
81,01,v5,153,207,0.0485556007791642
82,01,v5,153,45,-0.07322273732517953
83,01,v5,153,99,0.11618369014357335
84,01,v5,207,153,-0.061893489358508906
85,01,v5,207,207,-0.08818769837926382
86,01,v5,207,45,-0.11660518896822397
87,01,v5,207,99,-0.08551891248265686
88,01,v5,45,153,0.1253077679962889
89,01,v5,45,207,-0.02618085130674451
90,01,v5,45,45,0.1571349564395118
91,01,v5,45,99,-0.007662800726180287
92,01,v5,99,153,-0.12807566348238067
93,01,v5,99,207,0.11991704170096328
94,01,v5,99,45,0.004355273242629604
95,01,v5,99,99,0.005087441815227418
96,02,premotor,153,153,0.015604297078668103
97,02,premotor,153,207,0.08289218151957323
98,02,premotor,153,45,0.01329266632283813
99,02,premotor,153,99,-0.0030869882092750224
100,02,premotor,207,153,-0.0026672898526776826
101,02,premotor,207,207,-0.019235607795838862
102,02,premotor,207,45,0.018187283622140435
103,02,premotor,207,99,0.043606798365713476
104,02,premotor,45,153,-0.02954523058751129
105,02,premotor,45,207,-0.11244174960036554
106,02,premotor,45,45,-0.0005557190792480141
107,02,premotor,45,99,-0.038324202871184876
108,02,premotor,99,153,0.016065155915853235
109,02,premotor,99,207,0.03810449651486
110,02,premotor,99,45,-0.036480664297147025
111,02,premotor,99,99,0.0015063665171596756
112,02,motor,153,153,-0.04648461948302275
113,02,motor,153,207,0.024315044076338797
114,02,motor,153,45,-0.02931346259465141
115,02,motor,153,99,-0.03052472734170747
116,02,motor,207,153,-0.029383088959572392
117,02,motor,207,207,-0.05494663243527731
118,02,motor,207,45,-0.017813874134257238
119,02,motor,207,99,-0.020197896385706668
120,02,motor,45,153,0.03447282781475826
121,02,motor,45,207,-0.05484952282082549
122,02,motor,45,45,0.07431503601038716
123,02,motor,45,99,0.03452066496139496
124,02,motor,99,153,0.008609192901393156
125,02,motor,99,207,0.051386128957621416
126,02,motor,99,45,-0.04404386555398182
127,02,motor,99,99,-0.020553857108428438
128,02,v1,153,153,0.11185518005627124
129,02,v1,153,207,0.08829079787842234
130,02,v1,153,45,0.026402904677488015
131,02,v1,153,99,0.03871727404261721
132,02,v1,207,153,-0.12275923316449934
133,02,v1,207,207,-0.02217857209343573
134,02,v1,207,45,-0.06647819512504834
135,02,v1,207,99,-0.09389008434390361
136,02,v1,45,153,-0.06449886089672421
137,02,v1,45,207,-0.12699662035373904
138,02,v1,45,45,0.05752019883559721
139,02,v1,45,99,0.012282428155177902
140,02,v1,99,153,0.05060020155023148
141,02,v1,99,207,0.02444925954174128
142,02,v1,99,45,-0.037333939245929405
143,02,v1,99,99,0.03096135993327878
144,02,sup_parietal,153,153,0.02627968221776212
145,02,sup_parietal,153,207,0.0799205038703643
146,02,sup_parietal,153,45,0.019020423722689393
147,02,sup_parietal,153,99,0.026536738036668076
148,02,sup_parietal,207,153,-0.03916400195930216
149,02,sup_parietal,207,207,-0.03466513732611669
150,02,sup_parietal,207,45,-0.01579062338260894
151,02,sup_parietal,207,99,-0.041951557960844696
152,02,sup_parietal,45,153,0.01769412166602656
153,02,sup_parietal,45,207,-0.04955989209795032
154,02,sup_parietal,45,45,0.0453870888725173
155,02,sup_parietal,45,99,0.03448739296883413
156,02,sup_parietal,99,153,0.002935666420237305
