,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,0.021727675341403695
1,01,premotor,153,207,0.03368385914230366
2,01,premotor,153,45,0.032134612289908465
3,01,premotor,153,99,0.04335514781078051
4,01,premotor,207,153,0.012367490070218997
5,01,premotor,207,207,-0.018846342155721417
6,01,premotor,207,45,0.03217229555119152
7,01,premotor,207,99,0.013489100801699508
8,01,premotor,45,153,-0.006443139418896453
9,01,premotor,45,207,0.02957089899273318
10,01,premotor,45,45,0.016276001197947053
11,01,premotor,45,99,0.01737758561469653
12,01,premotor,99,153,0.03849811158334124
13,01,premotor,99,207,0.06268524157003981
14,01,premotor,99,45,0.026920905451337795
15,01,premotor,99,99,0.01623307273500705
16,01,motor,153,153,0.03876251340401079
17,01,motor,153,207,0.09226283603354082
18,01,motor,153,45,0.05699233546669687
19,01,motor,153,99,0.11116851694827606
20,01,motor,207,153,-0.029788723154284154
21,01,motor,207,207,0.026473292913885737
22,01,motor,207,45,0.015213980474604332
23,01,motor,207,99,0.039397843039622
24,01,motor,45,153,0.008209211813040872
25,01,motor,45,207,0.05802611939534491
26,01,motor,45,45,0.00045789370173791
27,01,motor,45,99,0.04258508337870788
28,01,motor,99,153,0.047532469710850116
29,01,motor,99,207,0.07546841860491672
30,01,motor,99,45,0.03203880322719108
31,01,motor,99,99,0.05043526150618957
32,01,v1,153,153,-0.012188675080365835
33,01,v1,153,207,0.001266905754765988
34,01,v1,153,45,0.00665403997955865
35,01,v1,153,99,0.007503475053880427
36,01,v1,207,153,-0.04103244106401015
37,01,v1,207,207,-0.024557358860460635
38,01,v1,207,45,-0.029588431853550142
39,01,v1,207,99,-0.06232153060770869
40,01,v1,45,153,-0.020418919799359746
41,01,v1,45,207,-0.016630899519401283
42,01,v1,45,45,0.0014612023481990555
43,01,v1,45,99,0.02877480272906801
44,01,v1,99,153,-0.01028052350748107
45,01,v1,99,207,-0.02716860249191822
46,01,v1,99,45,0.011094570005014407
47,01,v1,99,99,0.049534825626982776
48,01,sup_parietal,153,153,0.09583916858419847
49,01,sup_parietal,153,207,0.024214522567341887
50,01,sup_parietal,153,45,0.11752308292389198
51,01,sup_parietal,153,99,-0.053367831376591804
52,01,sup_parietal,207,153,0.07204113105501708
53,01,sup_parietal,207,207,0.020790420416060076
54,01,sup_parietal,207,45,0.03233284737420751
55,01,sup_parietal,207,99,0.0003433143178741514
56,01,sup_parietal,45,153,0.062071398180161
57,01,sup_parietal,45,207,-0.035685163759352295
58,01,sup_parietal,45,45,0.029048386042464007
59,01,sup_parietal,45,99,-0.01649301220907134
60,01,sup_parietal,99,153,0.04626803331402019
61,01,sup_parietal,99,207,-0.025260929639660618
62,01,sup_parietal,99,45,0.1029895609934747
63,01,sup_parietal,99,99,-0.046379685147059015
64,01,inf_parietal,153,153,0.06416697099478048
65,01,inf_parietal,153,207,0.03157123657674586
66,01,inf_parietal,153,45,0.0219678799295257
