,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,-0.005643642025749371
1,01,premotor,153,207,0.015719330709595792
2,01,premotor,153,45,0.005631451577272208
3,01,premotor,153,99,0.004227706159722396
4,01,premotor,207,153,-0.0015776062025495826
5,01,premotor,207,207,-0.008041279349648066
6,01,premotor,207,45,0.006721335280393958
7,01,premotor,207,99,0.007121068040451976
8,01,premotor,45,153,0.0029245385405831424
9,01,premotor,45,207,0.006838981673417274
10,01,premotor,45,45,-0.0037811475585350085
11,01,premotor,45,99,-0.0179888444875033
12,01,premotor,99,153,0.0031375838632714155
13,01,premotor,99,207,-0.003992226052911718
14,01,premotor,99,45,-0.02047418414292622
15,01,premotor,99,99,-0.0038777257141207368
16,01,motor,153,153,0.009505070528635213
17,01,motor,153,207,0.04012145891151665
18,01,motor,153,45,0.04596584343721765
19,01,motor,153,99,0.030523783692636086
20,01,motor,207,153,-0.023168460200315953
21,01,motor,207,207,-0.016494090503607634
22,01,motor,207,45,-0.1081253986468984
23,01,motor,207,99,-0.051176259940533875
24,01,motor,45,153,-0.001936492164626517
25,01,motor,45,207,-0.008280946345283108
26,01,motor,45,45,-0.004746604264039205
27,01,motor,45,99,-0.028356667638920113
28,01,motor,99,153,0.009878184970700924
29,01,motor,99,207,-0.0030933599822778966
30,01,motor,99,45,0.08166092831361114
31,01,motor,99,99,0.04116290383525759
32,01,v1,153,153,0.04051082711914096
33,01,v1,153,207,0.026038029172879073
34,01,v1,153,45,-0.020401498419920033
35,01,v1,153,99,0.026601013743469258
36,01,v1,207,153,-0.03467137779922888
37,01,v1,207,207,-0.06082394725775437
38,01,v1,207,45,-0.0016260848693796306
39,01,v1,207,99,-0.04485143464719853
40,01,v1,45,153,0.020572263414297604
41,01,v1,45,207,0.0023262868783171485
42,01,v1,45,45,0.03757547967710817
43,01,v1,45,99,-0.056945062458023464
44,01,v1,99,153,-0.022608608772856163
45,01,v1,99,207,0.057452786381874454
46,01,v1,99,45,-0.017741381691904867
47,01,v1,99,99,0.07709609739378488
48,01,sup_parietal,153,153,-0.05578080569442162
49,01,sup_parietal,153,207,0.02105895504482637
50,01,sup_parietal,153,45,0.0032434913541028003
51,01,sup_parietal,153,99,-0.0915234388606295
52,01,sup_parietal,207,153,0.03064525879477108
53,01,sup_parietal,207,207,-0.021488622802424688
54,01,sup_parietal,207,45,0.014810853546565786
