,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,-0.03744262630943672
1,01,premotor,153,207,-0.023602752537744222
2,01,premotor,153,45,-0.039182936324528725
3,01,premotor,153,99,-0.025529183571038117
4,01,premotor,207,153,-0.010727932511148659
5,01,premotor,207,207,-0.02850932747473743
6,01,premotor,207,45,-0.0044166377283336965
7,01,premotor,207,99,-0.01120749333690658
8,01,premotor,45,153,-0.031064954334442764
9,01,premotor,45,207,-0.038962815389359
10,01,premotor,45,45,-0.05965861816196727
11,01,premotor,45,99,-0.05231658678977318
12,01,premotor,99,153,-0.02555108887211474
13,01,premotor,99,207,-0.051269042869349586
14,01,premotor,99,45,-0.07297227019877775
15,01,premotor,99,99,-0.03890788682212278
16,01,motor,153,153,-0.04149002879831971
17,01,motor,153,207,-0.006697647695386096
18,01,motor,153,45,-0.031095895082571705
19,01,motor,153,99,-0.003082378724649431
20,01,motor,207,153,-0.03298008471174389
21,01,motor,207,207,-0.026522455192688497
22,01,motor,207,45,-0.11181010964663729
23,01,motor,207,99,-0.0645753461427249
24,01,motor,45,153,-0.048092900903678674
25,01,motor,45,207,-0.059220533100524275
26,01,motor,45,45,-0.06561417211414985
27,01,motor,45,99,-0.08087438309646486
28,01,motor,99,153,-0.03647071608827415
29,01,motor,99,207,-0.04406375568852696
30,01,motor,99,45,0.011117796739894038
31,01,motor,99,99,-0.010886905023476728
32,01,v1,153,153,0.03606966781332517
33,01,v1,153,207,0.014705363929783598
34,01,v1,153,45,-0.014781894483695929
35,01,v1,153,99,0.030094604089238267
36,01,v1,207,153,-0.036723720353532975
37,01,v1,207,207,-0.05226805760245355
38,01,v1,207,45,-0.005874402942754667
39,01,v1,207,99,-0.04927544057742769
40,01,v1,45,153,-0.011121155533625023
41,01,v1,45,207,0.002881345683917756
42,01,v1,45,45,0.00233009863060945
43,01,v1,45,99,-0.03234334140176387
44,01,v1,99,153,-0.024124920286600182
45,01,v1,99,207,0.046609534764590434
