,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,-0.02079344442049566
1,01,premotor,153,207,0.012031979424847728
2,01,premotor,153,45,0.004966502437422558
3,01,premotor,153,99,0.01457974000934853
4,01,premotor,207,153,-0.0013722382755241899
5,01,premotor,207,207,0.005310785603380411
6,01,premotor,207,45,0.049885128796351916
7,01,premotor,207,99,0.007648911062856374
8,01,premotor,45,153,0.016711737331494052
9,01,premotor,45,207,-0.017724557194491716
10,01,premotor,45,45,-0.009589052184762793
11,01,premotor,45,99,0.0017021658768587855
12,01,premotor,99,153,0.030304624575181276
13,01,premotor,99,207,-0.016831124918770462
14,01,premotor,99,45,-0.032401130238680395
15,01,premotor,99,99,-0.03200665308917387
16,01,motor,153,153,-0.0006259649417936185
17,01,motor,153,207,0.030803107762046353
18,01,motor,153,45,0.046524532809044825
19,01,motor,153,99,0.011194400098948988
20,01,motor,207,153,0.011492015869372615
21,01,motor,207,207,0.029368483823409692
22,01,motor,207,45,-0.0522251598948669
23,01,motor,207,99,-0.02485317432262845
24,01,motor,45,153,-0.04024232123307256
25,01,motor,45,207,-0.06316552502160687
26,01,motor,45,45,-0.03655951401297261
27,01,motor,45,99,0.007676112220251472
28,01,motor,99,153,0.04580185032923081
29,01,motor,99,207,0.0003959571123116623
30,01,motor,99,45,0.0631161556490483
31,01,motor,99,99,0.037033127321892165
32,01,v1,153,153,-0.0018153638410533957
33,01,v1,153,207,0.013699569416994836
34,01,v1,153,45,-0.050339768155835976
35,01,v1,153,99,0.01253019391263169
36,01,v1,207,153,-0.054748611086747924
37,01,v1,207,207,-0.06333880547910456
38,01,v1,207,45,-0.012239253973994335
39,01,v1,207,99,-0.04759620680113556
40,01,v1,45,153,0.01584509904004045
41,01,v1,45,207,0.001082048654659315
42,01,v1,45,45,0.061127768870106056
43,01,v1,45,99,-0.05120696898064981
44,01,v1,99,153,-0.016492468359929034
45,01,v1,99,207,0.07550668538936098
46,01,v1,99,45,-0.009025137633134624
47,01,v1,99,99,0.10529270131730628
48,01,sup_parietal,153,153,-0.06792281819737443
49,01,sup_parietal,153,207,0.05688909430322927
50,01,sup_parietal,153,45,-0.044282064473686406
51,01,sup_parietal,153,99,-0.11485100452179436
52,01,sup_parietal,207,153,-0.035695171438451974
53,01,sup_parietal,207,207,-0.048243573684406696
54,01,sup_parietal,207,45,0.0413820190441654
55,01,sup_parietal,207,99,0.00024204070972902447
56,01,sup_parietal,45,153,0.06469376282937564
57,01,sup_parietal,45,207,-0.02671232988363722
58,01,sup_parietal,45,45,-0.016439358014698865
59,01,sup_parietal,45,99,0.071151938818547
60,01,sup_parietal,99,153,0.04316253630741189
61,01,sup_parietal,99,207,-0.027557288853470127
62,01,sup_parietal,99,45,0.047159028720984965
63,01,sup_parietal,99,99,0.04742198864547382
64,01,inf_parietal,153,153,-0.013321239752307933
65,01,inf_parietal,153,207,0.028133748513471935
66,01,inf_parietal,153,45,0.005911339718665133
67,01,inf_parietal,153,99,0.003973309344820798
68,01,inf_parietal,207,153,0.010828143931863312
69,01,inf_parietal,207,207,0.01412932253087974
70,01,inf_parietal,207,45,-0.02161783724038524
71,01,inf_parietal,207,99,-0.0032490144287574477
72,01,inf_parietal,45,153,-0.030055734385209875
73,01,inf_parietal,45,207,-0.022737296110163875
74,01,inf_parietal,45,45,0.006235087559308446
75,01,inf_parietal,45,99,0.03743348590943675
76,01,inf_parietal,99,153,0.06553327473309195
77,01,inf_parietal,99,207,-0.0037363117501333695
78,01,inf_parietal,99,45,0.030099773546273953
79,01,inf_parietal,99,99,-0.016714300787637
80,01,v5,153,153,0.05225242523999164
81,01,v5,153,207,-0.0825700992817163
82,01,v5,153,45,-0.1360815372008256
83,01,v5,153,99,0.03764256659271245
84,01,v5,207,153,-0.12489033146423571
85,01,v5,207,207,-0.09815775405341855
86,01,v5,207,45,-0.13824839550668794
87,01,v5,207,99,-0.08592131321082411
88,01,v5,45,153,0.12200594309250987
89,01,v5,45,207,0.004895377798457615
90,01,v5,45,45,0.14941577110801368
91,01,v5,45,99,0.03053943870599115
92,01,v5,99,153,-0.0818083127942314
93,01,v5,99,207,0.23005042227443645
94,01,v5,99,45,0.11983933132708169
95,01,v5,99,99,0.02018782966792186
96,02,premotor,153,153,0.02240212932512369
97,02,premotor,153,207,0.09214487649627169
98,02,premotor,153,45,0.011804396295151542
99,02,premotor,153,99,-0.003783004912846442
100,02,premotor,207,153,-0.07625873607713785
101,02,premotor,207,207,-0.0735208264914142
102,02,premotor,207,45,-2.7112553986408106e-05
103,02,premotor,207,99,0.012525680218857247
104,02,premotor,45,153,0.008817724213948027
105,02,premotor,45,207,-0.07256214407586516
106,02,premotor,45,45,0.025237089011649894
107,02,premotor,45,99,0.0007607622129167883
108,02,premotor,99,153,0.036166694949365634
109,02,premotor,99,207,0.05226476408423496
110,02,premotor,99,45,-0.03885374421245917
111,02,premotor,99,99,-0.005649207047989338
112,02,motor,153,153,-0.0611812006293659
113,02,motor,153,207,0.02238062901030509
114,02,motor,153,45,-0.04486832799779616
115,02,motor,153,99,-0.03772960967830539
116,02,motor,207,153,-0.037146804924031246
117,02,motor,207,207,-0.05982986995516639
118,02,motor,207,45,-0.012897752135196311
119,02,motor,207,99,-0.01871666678095525
120,02,motor,45,153,0.026701819397245866
121,02,motor,45,207,-0.026757043071489642
122,02,motor,45,45,0.10876225773855024
123,02,motor,45,99,0.0382892146649098
124,02,motor,99,153,0.06191068139965925
125,02,motor,99,207,0.05925663600269921
126,02,motor,99,45,-0.04358412100645953
127,02,motor,99,99,0.0036175005251281554
128,02,v1,153,153,0.06535712083262792
129,02,v1,153,207,0.09174953093718485
130,02,v1,153,45,0.031343837047033175
131,02,v1,153,99,0.0462540041657904
132,02,v1,207,153,-0.07072950311928423
133,02,v1,207,207,-0.0378331471983509
134,02,v1,207,45,-0.008055228883438638
135,02,v1,207,99,-0.03628247444984456
136,02,v1,45,153,-0.03741020662358306
137,02,v1,45,207,-0.08598210812009538
138,02,v1,45,45,-0.014804919590384316
139,02,v1,45,99,-0.031785280556936676
140,02,v1,99,153,0.03774599388950943
141,02,v1,99,207,0.028802633488359153
142,02,v1,99,45,-0.0316484304474283
143,02,v1,99,99,0.003987132966836422
144,02,sup_parietal,153,153,-0.012155937247261243
145,02,sup_parietal,153,207,0.11363338710905814
146,02,sup_parietal,153,45,0.0441746160573003
147,02,sup_parietal,153,99,0.027545298979870663
148,02,sup_parietal,207,153,-0.03743849776771499
149,02,sup_parietal,207,207,-0.08765126602245896
150,02,sup_parietal,207,45,-0.0062336433286247495
151,02,sup_parietal,207,99,-0.04523285122822419
152,02,sup_parietal,45,153,0.05674011541029956
153,02,sup_parietal,45,207,0.004372015921173674
154,02,sup_parietal,45,45,0.08773806442863036
155,02,sup_parietal,45,99,0.0678137779742857
156,02,sup_parietal,99,153,-0.01835281983312718
157,02,sup_parietal,99,207,-0.030792888753517163
158,02,sup_parietal,99,45,-0.11887983267244995
159,02,sup_parietal,99,99,-0.013796076685679604
160,02,inf_parietal,153,153,0.046865381261760854
161,02,inf_parietal,153,207,0.07914107689336822
162,02,inf_parietal,153,45,0.009807635847679045
163,02,inf_parietal,153,99,-0.03882889000314188
164,02,inf_parietal,207,153,-0.10504257485785104
165,02,inf_parietal,207,207,-0.059370315768224664
166,02,inf_parietal,207,45,0.006526214514856216
167,02,inf_parietal,207,99,0.04607429034103458
168,02,inf_parietal,45,153,0.09066316248547095
169,02,inf_parietal,45,207,-0.04666159016205562
170,02,inf_parietal,45,45,0.05964958614590226
171,02,inf_parietal,45,99,-0.010618759315439581
172,02,inf_parietal,99,153,-0.04208658170345765
173,02,inf_parietal,99,207,0.021339928857269288
174,02,inf_parietal,99,45,-0.08269476966122058
175,02,inf_parietal,99,99,0.009983733581378856
176,02,v5,153,153,0.07523562369504685
177,02,v5,153,207,0.13176062237083605
178,02,v5,153,45,0.07964473041759768
179,02,v5,153,99,-0.0021471637507788632
180,02,v5,207,153,-0.1540359086882302
181,02,v5,207,207,-0.059516665740382536
182,02,v5,207,45,0.04085732322135473
183,02,v5,207,99,0.06416281407362145
184,02,v5,45,153,-0.01989028613657096
185,02,v5,45,207,-0.15956845182528495
186,02,v5,45,45,0.008442530602041157
187,02,v5,45,99,-0.0925757665495819
188,02,v5,99,153,0.06125096711600273
189,02,v5,99,207,0.027041578443039487
190,02,v5,99,45,-0.12016795477931155
191,02,v5,99,99,-0.007754319483055827
192,03,premotor,153,153,0.03776404807852934
193,03,premotor,153,207,0.054336459740788996
194,03,premotor,153,45,-0.01625823745074638
195,03,premotor,153,99,0.010705500749804444
196,03,premotor,207,153,-0.05073356608665648
197,03,premotor,207,207,-0.02304351581751309
198,03,premotor,207,45,-0.0031416830685626956
199,03,premotor,207,99,-0.05837171834671198
200,03,premotor,45,153,-0.0697384976519698
201,03,premotor,45,207,-0.12626408471165723
202,03,premotor,45,45,0.0164671493100709
203,03,premotor,45,99,0.023883632382772208
204,03,premotor,99,153,0.07416815143287753
205,03,premotor,99,207,0.08725375490005419
206,03,premotor,99,45,-0.007295542590736632
207,03,premotor,99,99,0.017502898276110235
208,03,motor,153,153,-0.03936238121960094
209,03,motor,153,207,0.0735108219114074
210,03,motor,153,45,-0.011474717834956844
211,03,motor,153,99,-0.04160694222592632
