,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,-0.03516481270780265
1,01,premotor,153,207,0.009390527623559878
2,01,premotor,153,45,0.010615215801346098
3,01,premotor,153,99,0.02753703390696978
4,01,premotor,207,153,-0.017542191642179798
5,01,premotor,207,207,0.007737470383698684
6,01,premotor,207,45,0.04260152548895557
7,01,premotor,207,99,0.022864735740404304
8,01,premotor,45,153,-0.0035334274932499886
9,01,premotor,45,207,-0.0213616929878098
10,01,premotor,45,45,-0.016698916908351007
11,01,premotor,45,99,0.013822816306903402
12,01,premotor,99,153,-0.002000419765867619
13,01,premotor,99,207,-0.014934969064094788
14,01,premotor,99,45,-0.02858111640974864
15,01,premotor,99,99,0.00010939901652337342
16,01,motor,153,153,-0.004468006850556528
17,01,motor,153,207,0.02537408120942286
18,01,motor,153,45,0.0162876051171535
19,01,motor,153,99,0.009411272905183149
20,01,motor,207,153,-0.004943989039214167
21,01,motor,207,207,0.03371181132709221
22,01,motor,207,45,-0.05386209090999533
23,01,motor,207,99,-0.019221030099260197
24,01,motor,45,153,-0.05689731229178323
25,01,motor,45,207,-0.06542998935146829
26,01,motor,45,45,-0.045317799903260125
27,01,motor,45,99,0.008984502627325669
28,01,motor,99,153,0.011038683045473795
29,01,motor,99,207,-0.02620362542479961
30,01,motor,99,45,0.03372826963023518
31,01,motor,99,99,0.01593217234655006
32,01,v1,153,153,0.007381738761932603
33,01,v1,153,207,0.004285651827718343
34,01,v1,153,45,-0.060752016248541256
35,01,v1,153,99,0.026773441816928784
36,01,v1,207,153,-0.05343369491184964
37,01,v1,207,207,-0.05401740665228796
38,01,v1,207,45,-0.034495237493023745
39,01,v1,207,99,-0.03324872318942207
40,01,v1,45,153,-0.0028041307039396272
41,01,v1,45,207,-0.014833208420172016
42,01,v1,45,45,0.015401949780238657
43,01,v1,45,99,-0.03329168953599228
44,01,v1,99,153,-0.015020495954218751
45,01,v1,99,207,0.04312570396336554
46,01,v1,99,45,-0.038712526807322296
47,01,v1,99,99,0.08890414128416024
48,01,sup_parietal,153,153,-0.05473946385432012
49,01,sup_parietal,153,207,0.03330028943532827
50,01,sup_parietal,153,45,-0.03855590961898003
51,01,sup_parietal,153,99,-0.04576029917497579
