,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,-0.01682284307084374
1,01,premotor,153,207,0.01155968071124806
2,01,premotor,153,45,0.007359776000641142
3,01,premotor,153,99,0.012369188067722272
4,01,premotor,207,153,-0.0004765239699209714
5,01,premotor,207,207,0.008642922211971632
6,01,premotor,207,45,0.04740501806249056
7,01,premotor,207,99,0.0044524141314061134
8,01,premotor,45,153,0.015219024565747585
9,01,premotor,45,207,-0.020670955905100392
10,01,premotor,45,45,-0.009546640140884107
11,01,premotor,45,99,0.00275692360933851
12,01,premotor,99,153,0.030480960842145428
13,01,premotor,99,207,-0.017598121801546796
14,01,premotor,99,45,-0.03174993174176417
15,01,premotor,99,99,-0.029766674926199665
16,01,motor,153,153,0.006333591521782336
17,01,motor,153,207,0.02976931049051829
18,01,motor,153,45,0.048094585243922613
19,01,motor,153,99,0.009680572384190816
20,01,motor,207,153,-0.0014882304318978457
21,01,motor,207,207,0.03354041688611102
22,01,motor,207,45,-0.056447301383783205
23,01,motor,207,99,-0.014826901057230345
24,01,motor,45,153,-0.04439803757080115
25,01,motor,45,207,-0.05856919714422753
26,01,motor,45,45,-0.03525276562942554
27,01,motor,45,99,0.002766643170678035
28,01,motor,99,153,0.037534654580142844
29,01,motor,99,207,-0.009661223990103811
30,01,motor,99,45,0.045197814611854834
31,01,motor,99,99,0.04999517864553767
32,01,v1,153,153,0.003961798344150693
33,01,v1,153,207,0.012623813121506774
34,01,v1,153,45,-0.049073768049437194
35,01,v1,153,99,0.015443513400480611
36,01,v1,207,153,-0.051518976271685606
37,01,v1,207,207,-0.05594135664984319
38,01,v1,207,45,-0.01229549748287325
39,01,v1,207,99,-0.04729201397110595
40,01,v1,45,153,0.00795348885857956
41,01,v1,45,207,-0.007026617340283259
42,01,v1,45,45,0.05799440008290117
43,01,v1,45,99,-0.046008564371289404
44,01,v1,99,153,-0.021797983750739557
45,01,v1,99,207,0.0690663713060731
46,01,v1,99,45,-0.0052367726827346125
47,01,v1,99,99,0.09576233840004555
48,01,sup_parietal,153,153,-0.04451232356678486
49,01,sup_parietal,153,207,0.039392829216309044
50,01,sup_parietal,153,45,-0.033489241478329095
51,01,sup_parietal,153,99,-0.10410998064321415
52,01,sup_parietal,207,153,-0.041144217771268796
53,01,sup_parietal,207,207,-0.03940070618742298
54,01,sup_parietal,207,45,0.0256007054759325
55,01,sup_parietal,207,99,-0.007016848777867249
56,01,sup_parietal,45,153,0.059069740700338616
57,01,sup_parietal,45,207,-0.022388955184776144
58,01,sup_parietal,45,45,-0.014540692250731629
59,01,sup_parietal,45,99,0.07864459943690916
60,01,sup_parietal,99,153,0.029847206675708
61,01,sup_parietal,99,207,-0.03170164210574566
62,01,sup_parietal,99,45,0.034893946199717474
63,01,sup_parietal,99,99,0.04036511071546879
64,01,inf_parietal,153,153,-0.01220512058034755
65,01,inf_parietal,153,207,0.029051907012655205
66,01,inf_parietal,153,45,0.007468533690391937
67,01,inf_parietal,153,99,-0.006526762420999074
68,01,inf_parietal,207,153,0.015093935263289913
69,01,inf_parietal,207,207,0.003366340564711315
70,01,inf_parietal,207,45,-0.022289927768201507
71,01,inf_parietal,207,99,0.0005019188518400816
72,01,inf_parietal,45,153,-0.027135946660345647
73,01,inf_parietal,45,207,-0.011152603746814788
74,01,inf_parietal,45,45,0.007297942765842534
75,01,inf_parietal,45,99,0.045923276321868725
76,01,inf_parietal,99,153,0.0656909892151572
77,01,inf_parietal,99,207,-0.007734703912419004
78,01,inf_parietal,99,45,0.038584175308502354
79,01,inf_parietal,99,99,-0.010572429216820074
80,01,v5,153,153,0.06274902107218411
81,01,v5,153,207,-0.08224669512773528
82,01,v5,153,45,-0.15600353674000006
83,01,v5,153,99,0.040443707629509586
84,01,v5,207,153,-0.09049780003050227
85,01,v5,207,207,-0.06194237370313117
86,01,v5,207,45,-0.11247941805774976
87,01,v5,207,99,-0.06558595675013387
88,01,v5,45,153,0.1380242354824176
89,01,v5,45,207,0.008609290425394399
90,01,v5,45,45,0.11752563767669341
91,01,v5,45,99,0.041832771654683035
92,01,v5,99,153,-0.08868071182489491
93,01,v5,99,207,0.20959863953341346
94,01,v5,99,45,0.12143102722425322
95,01,v5,99,99,0.040855726180310234
96,02,premotor,153,153,0.022503842253557803
97,02,premotor,153,207,0.08228699415161075
98,02,premotor,153,45,0.010542012671082825
99,02,premotor,153,99,-0.005077034763494466
100,02,premotor,207,153,-0.06747485553058608
101,02,premotor,207,207,-0.0660965517880864
102,02,premotor,207,45,0.0035834928311084305
103,02,premotor,207,99,0.020206359793515507
104,02,premotor,45,153,0.0046407823522290085
105,02,premotor,45,207,-0.06783614496019535
106,02,premotor,45,45,0.023833658082660553
107,02,premotor,45,99,-0.004225634830302894
108,02,premotor,99,153,0.03276218374691162
109,02,premotor,99,207,0.05051644762029877
110,02,premotor,99,45,-0.039948760538261394
111,02,premotor,99,99,-0.0036413113614988963
112,02,motor,153,153,-0.05139411506956793
113,02,motor,153,207,0.020494636544973063
114,02,motor,153,45,-0.04321852675789889
115,02,motor,153,99,-0.0383615440801716
116,02,motor,207,153,-0.028948690980984765
117,02,motor,207,207,-0.049434611821068584
118,02,motor,207,45,-0.004701856911244151
119,02,motor,207,99,-0.006094791618667224
120,02,motor,45,153,0.012605868580816705
121,02,motor,45,207,-0.026015168812921097
122,02,motor,45,45,0.09501829316887922
123,02,motor,45,99,0.021195115491956407
124,02,motor,99,153,0.062005000658052895
125,02,motor,99,207,0.05870503670403926
126,02,motor,99,45,-0.0338815060830717
127,02,motor,99,99,0.0041094610451142335
128,02,v1,153,153,0.06355167067965048
129,02,v1,153,207,0.08501652058206025
130,02,v1,153,45,0.031186978488259822
131,02,v1,153,99,0.04473083327424971
132,02,v1,207,153,-0.059906297786766906
133,02,v1,207,207,-0.028831176234145932
134,02,v1,207,45,-0.005351010466768977
135,02,v1,207,99,-0.03596755071166859
136,02,v1,45,153,-0.04272345684618296
