,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,-0.0159033954269804
1,01,premotor,153,207,-0.031719811218258676
2,01,premotor,153,45,0.004679251581051409
3,01,premotor,153,99,-0.025015807083882936
4,01,premotor,207,153,-0.02763687386045298
5,01,premotor,207,207,0.07241354557489547
6,01,premotor,207,45,-0.013299311236678
7,01,premotor,207,99,-0.013093960267263319
8,01,premotor,45,153,-0.0037118761427762416
9,01,premotor,45,207,0.04414938703350657
10,01,premotor,45,45,-0.017287196667718982
11,01,premotor,45,99,-0.02824505740874337
12,01,premotor,99,153,-0.014189360157099432
13,01,premotor,99,207,-0.04427435897968178
14,01,premotor,99,45,0.005818929172762145
15,01,premotor,99,99,-0.004054121107988556
16,01,motor,153,153,0.02855350602332588
17,01,motor,153,207,-0.08321626540318819
18,01,motor,153,45,0.002864038757638576
19,01,motor,153,99,-0.07418887610392927
20,01,motor,207,153,0.03694641218580091
21,01,motor,207,207,0.08031968402489617
22,01,motor,207,45,0.01825621750383416
23,01,motor,207,99,-0.07092487768413563
24,01,motor,45,153,0.05688267914656059
25,01,motor,45,207,0.023967245041689463
26,01,motor,45,45,0.025553894325155157
27,01,motor,45,99,-0.07378219518862467
28,01,motor,99,153,0.024967352797799817
29,01,motor,99,207,-0.05176772116699061
30,01,motor,99,45,0.03510383025866723
31,01,motor,99,99,-0.010991915754561302
32,01,v1,153,153,0.002210328753725
33,01,v1,153,207,-0.002544559838647849
34,01,v1,153,45,-0.02252074911566386
35,01,v1,153,99,-0.025146888290107895
36,01,v1,207,153,0.029318353558435078
37,01,v1,207,207,0.019013669829723127
38,01,v1,207,45,0.016477228297172655
39,01,v1,207,99,0.05653615610615971
40,01,v1,45,153,0.032632057651760915
41,01,v1,45,207,0.04203535925377806
42,01,v1,45,45,0.0030232274105014383
43,01,v1,45,99,0.009453687995387493
44,01,v1,99,153,2.5101722929292414e-05
45,01,v1,99,207,-0.00010475819196320872
46,01,v1,99,45,-0.00470628497372589
47,01,v1,99,99,-0.04239343194724379
48,01,sup_parietal,153,153,-0.05420830485276793
49,01,sup_parietal,153,207,0.040130215045051265
50,01,sup_parietal,153,45,-0.037213462960224666
51,01,sup_parietal,153,99,0.06821664994621825
52,01,sup_parietal,207,153,-0.03917475151237073
53,01,sup_parietal,207,207,-0.01712001705686086
54,01,sup_parietal,207,45,0.012870218460702547
55,01,sup_parietal,207,99,-0.021236180969497614
56,01,sup_parietal,45,153,-0.02163660042228134
57,01,sup_parietal,45,207,0.07352577595819274
58,01,sup_parietal,45,45,0.013040302835484796
59,01,sup_parietal,45,99,0.09645580231064155
60,01,sup_parietal,99,153,-0.0371843136754815
61,01,sup_parietal,99,207,0.03632328671759283
62,01,sup_parietal,99,45,-0.05586625643885233
63,01,sup_parietal,99,99,0.0699478141086726
64,01,inf_parietal,153,153,-0.02168700474274811
65,01,inf_parietal,153,207,0.010071148871523683
66,01,inf_parietal,153,45,0.04573888816842693
67,01,inf_parietal,153,99,-0.03423800685364509
68,01,inf_parietal,207,153,0.004779261718374034
69,01,inf_parietal,207,207,-0.0012076209227755365
70,01,inf_parietal,207,45,0.049231661295440064
71,01,inf_parietal,207,99,-0.08071994965374199
72,01,inf_parietal,45,153,0.03501531924814235
73,01,inf_parietal,45,207,-0.044978596143368826
74,01,inf_parietal,45,45,0.01657649504701971
75,01,inf_parietal,45,99,-0.029719593683093133
76,01,inf_parietal,99,153,-0.024884461769598954
77,01,inf_parietal,99,207,-0.042563767033621934
78,01,inf_parietal,99,45,0.06365128287058726
79,01,inf_parietal,99,99,0.017025644396350084
80,01,v5,153,153,0.018791659795436837
81,01,v5,153,207,-0.11734965915716622
82,01,v5,153,45,-0.04999555553886778
83,01,v5,153,99,0.05379641937302632
84,01,v5,207,153,0.01766383239318508
85,01,v5,207,207,-0.14157784659095124
86,01,v5,207,45,0.016168959951251907
87,01,v5,207,99,-0.10869038690490411
88,01,v5,45,153,0.09162396048482599
89,01,v5,45,207,0.024224871691759825
90,01,v5,45,45,0.1254300511335161
91,01,v5,45,99,0.0885513334235703
92,01,v5,99,153,-0.05584615340005934
93,01,v5,99,207,-0.027750855069598145
94,01,v5,99,45,-0.19397805696710307
95,01,v5,99,99,0.11850601710509448
96,02,premotor,153,153,0.014005812956398567
97,02,premotor,153,207,0.030672315780613316
98,02,premotor,153,45,0.05098648029331518
99,02,premotor,153,99,-0.003080742580065166
100,02,premotor,207,153,0.01284965634696928
101,02,premotor,207,207,0.02002068478567602
102,02,premotor,207,45,0.02565857597132641
103,02,premotor,207,99,0.0034151853266224576
104,02,premotor,45,153,-0.00032700719713742296
105,02,premotor,45,207,-0.018961078452452967
106,02,premotor,45,45,0.009989952472544219
107,02,premotor,45,99,-0.017276383848850826
108,02,premotor,99,153,-0.009119229373827439
109,02,premotor,99,207,-0.020826608626976904
110,02,premotor,99,45,0.01896756199104429
111,02,premotor,99,99,-0.03666709839886041
112,02,motor,153,153,-0.023352034397630256
113,02,motor,153,207,-0.01583866926573468
114,02,motor,153,45,-0.008601903321411749
115,02,motor,153,99,0.007309027640442715
116,02,motor,207,153,0.006495122492736567
117,02,motor,207,207,-0.03722279878662059
118,02,motor,207,45,0.006713059570268529
119,02,motor,207,99,-0.015408218892510334
120,02,motor,45,153,0.0038490227070642757
121,02,motor,45,207,0.01060143425424213
122,02,motor,45,45,0.0616401943815634
123,02,motor,45,99,4.2007605747497456e-05
124,02,motor,99,153,0.049764229813962335
125,02,motor,99,207,-0.014244721838304266
126,02,motor,99,45,0.007496456543877839
127,02,motor,99,99,0.006315601934149064
128,02,v1,153,153,0.05215962143092616
129,02,v1,153,207,0.053172350681690406
130,02,v1,153,45,0.080070995416572
131,02,v1,153,99,0.046468007215046986
132,02,v1,207,153,0.06695084035790078
133,02,v1,207,207,0.029915964658786928
134,02,v1,207,45,0.0358163637729691
135,02,v1,207,99,0.02543135812308679
136,02,v1,45,153,0.10469772507633862
137,02,v1,45,207,0.0739548110151056
138,02,v1,45,45,0.06855205857376104
139,02,v1,45,99,0.03335597250875668
140,02,v1,99,153,0.05878674615523049
141,02,v1,99,207,0.024676757936524147
142,02,v1,99,45,0.024642354039042302
143,02,v1,99,99,0.018372513035144755
144,02,sup_parietal,153,153,-0.007074999229605394
145,02,sup_parietal,153,207,0.04113596318570634
146,02,sup_parietal,153,45,0.06977737337691797
147,02,sup_parietal,153,99,0.035351131208180356
148,02,sup_parietal,207,153,0.06598002236042783
149,02,sup_parietal,207,207,0.09131095082163962
150,02,sup_parietal,207,45,0.08567082572886095
151,02,sup_parietal,207,99,0.010501514929189482
152,02,sup_parietal,45,153,0.014033747679482494
153,02,sup_parietal,45,207,0.035605347324260905
154,02,sup_parietal,45,45,0.028711219203282044
155,02,sup_parietal,45,99,-0.03127381211000184
156,02,sup_parietal,99,153,0.006319391369278851
157,02,sup_parietal,99,207,0.0015515394474980206
158,02,sup_parietal,99,45,0.055031737969420444
159,02,sup_parietal,99,99,0.006638730201895093
160,02,inf_parietal,153,153,-0.03256571529152012
161,02,inf_parietal,153,207,-0.04581736819065179
162,02,inf_parietal,153,45,0.01877811193545717
163,02,inf_parietal,153,99,-0.053314463913022046
164,02,inf_parietal,207,153,0.02554704486143236
165,02,inf_parietal,207,207,-0.023310134637808115
166,02,inf_parietal,207,45,0.04318905779667003
167,02,inf_parietal,207,99,-0.022580952754431526
168,02,inf_parietal,45,153,0.012408761397422741
169,02,inf_parietal,45,207,0.03992271719511133
170,02,inf_parietal,45,45,0.08972857629974375
171,02,inf_parietal,45,99,-0.01738245960747674
172,02,inf_parietal,99,153,0.049556718603954344
173,02,inf_parietal,99,207,-0.022318753246326668
174,02,inf_parietal,99,45,0.05391954899881388
175,02,inf_parietal,99,99,-0.07955100013660552
176,02,v5,153,153,0.0507418591247281
177,02,v5,153,207,0.06769651537374205
178,02,v5,153,45,0.061363826743682515
179,02,v5,153,99,0.07032898570969792
180,02,v5,207,153,-0.03110391685638629
181,02,v5,207,207,0.0031767710079130956
182,02,v5,207,45,0.031000822455129848
183,02,v5,207,99,0.030481174929744007
184,02,v5,45,153,0.016955942541780435
185,02,v5,45,207,0.09003266553377227
186,02,v5,45,45,-0.05921739397204918
187,02,v5,45,99,-0.0350104777678968
188,02,v5,99,153,-0.048663283016302364
189,02,v5,99,207,0.061012115681157615
190,02,v5,99,45,-0.02419563905212533
191,02,v5,99,99,0.04791942194253889
192,03,premotor,153,153,-0.03784927594323448
193,03,premotor,153,207,-0.04575745965212863
194,03,premotor,153,45,-0.029321489398701668
195,03,premotor,153,99,-0.042432043820939416
196,03,premotor,207,153,-0.026401062705078242
197,03,premotor,207,207,0.0027334115004754005
198,03,premotor,207,45,-0.0520389510171946
199,03,premotor,207,99,-0.019153548489543405
200,03,premotor,45,153,-0.050434666831369115
201,03,premotor,45,207,-0.01389246119046013
202,03,premotor,45,45,-0.04962555751191228
203,03,premotor,45,99,-0.02518873808337792
204,03,premotor,99,153,-0.046805543987089235
205,03,premotor,99,207,-0.031979003271852505
206,03,premotor,99,45,-0.07980351298389682
207,03,premotor,99,99,-0.030055195582813273
208,03,motor,153,153,-0.0528766029919008
209,03,motor,153,207,-0.02577855663459981
210,03,motor,153,45,-0.06686951543793901
211,03,motor,153,99,-0.04162147643791209
212,03,motor,207,153,0.02308309602209334
213,03,motor,207,207,0.01530217509514508
214,03,motor,207,45,0.02168787013266414
215,03,motor,207,99,0.0296733795388466
