,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,-0.01352104388842489
1,01,premotor,153,207,0.002743483898710616
2,01,premotor,153,45,0.009722192632119417
3,01,premotor,153,99,0.014253809229250625
4,01,premotor,207,153,-0.0033003332761691777
5,01,premotor,207,207,0.01161147905076116
6,01,premotor,207,45,0.04278901911359206
7,01,premotor,207,99,0.009047793534021013
8,01,premotor,45,153,0.015225393188034323
9,01,premotor,45,207,-0.01449421353660823
10,01,premotor,45,45,-0.004003790754674126
11,01,premotor,45,99,0.003316437928677215
12,01,premotor,99,153,0.02286126055092743
13,01,premotor,99,207,-0.02253913048947758
14,01,premotor,99,45,-0.03490735853414477
15,01,premotor,99,99,-0.03427541558936185
16,01,motor,153,153,0.009925006663463755
17,01,motor,153,207,0.025537281777011582
18,01,motor,153,45,0.052364730862069844
19,01,motor,153,99,0.009782454385307697
20,01,motor,207,153,0.0045499262588979475
21,01,motor,207,207,0.028548907444854305
22,01,motor,207,45,-0.057667148290915946
23,01,motor,207,99,-0.02243589869319381
24,01,motor,45,153,-0.04205975653662618
25,01,motor,45,207,-0.05953162658002757
26,01,motor,45,45,-0.03448919475405992
27,01,motor,45,99,0.012540995068399303
28,01,motor,99,153,0.03565470109789559
29,01,motor,99,207,0.0022151831227724874
30,01,motor,99,45,0.060549234802564716
31,01,motor,99,99,0.034586586015054155
32,01,v1,153,153,0.0017606882550402457
33,01,v1,153,207,0.005912163557405632
34,01,v1,153,45,-0.0512894298074585
35,01,v1,153,99,0.02152940228573684
36,01,v1,207,153,-0.056598634042036716
37,01,v1,207,207,-0.051784082721863495
38,01,v1,207,45,-0.02008851623916277
39,01,v1,207,99,-0.04680370715263379
40,01,v1,45,153,0.020970611139824732
41,01,v1,45,207,0.00410279029374816
42,01,v1,45,45,0.06442851189050525
43,01,v1,45,99,-0.06055194848468026
44,01,v1,99,153,-0.023912069216538764
45,01,v1,99,207,0.07055331471004686
46,01,v1,99,45,-0.00357275737129693
47,01,v1,99,99,0.09881345335470541
48,01,sup_parietal,153,153,-0.05644873794839475
49,01,sup_parietal,153,207,0.04145793115533203
50,01,sup_parietal,153,45,-0.04210829349582467
51,01,sup_parietal,153,99,-0.11522814451658467
52,01,sup_parietal,207,153,-0.04091597056420178
53,01,sup_parietal,207,207,-0.042268656549553724
54,01,sup_parietal,207,45,0.02908514758740802
55,01,sup_parietal,207,99,0.004289686933926125
56,01,sup_parietal,45,153,0.06722589327104335
57,01,sup_parietal,45,207,-0.025915545596740468
58,01,sup_parietal,45,45,-0.008483611321442278
59,01,sup_parietal,45,99,0.061998613487658595
60,01,sup_parietal,99,153,0.03409751103066992
61,01,sup_parietal,99,207,-0.009405785031522479
62,01,sup_parietal,99,45,0.04951535453050811
63,01,sup_parietal,99,99,0.059865583623358684
64,01,inf_parietal,153,153,-0.010083425808981895
65,01,inf_parietal,153,207,0.02739831486983561
66,01,inf_parietal,153,45,0.014244401956146284
67,01,inf_parietal,153,99,0.006733280458268919
68,01,inf_parietal,207,153,0.01276610404378869
69,01,inf_parietal,207,207,0.015466560264774672
70,01,inf_parietal,207,45,-0.024249093642831024
71,01,inf_parietal,207,99,0.009556669283618032
72,01,inf_parietal,45,153,-0.034731983372606454
73,01,inf_parietal,45,207,-0.026641491286880935
74,01,inf_parietal,45,45,0.003754668801915141
75,01,inf_parietal,45,99,0.03520322657407725
76,01,inf_parietal,99,153,0.0593573617785354
77,01,inf_parietal,99,207,0.004910131482337981
78,01,inf_parietal,99,45,0.027411848061659576
79,01,inf_parietal,99,99,-0.019307838007448185
80,01,v5,153,153,0.04780488519038308
81,01,v5,153,207,-0.09078875740263731
82,01,v5,153,45,-0.1357765686827672
83,01,v5,153,99,0.040139951666427226
84,01,v5,207,153,-0.09649272905396569
85,01,v5,207,207,-0.08894187709343394
86,01,v5,207,45,-0.1280609462977334
87,01,v5,207,99,-0.07590344602188004
88,01,v5,45,153,0.11113260597199778
89,01,v5,45,207,0.01229210655754645
90,01,v5,45,45,0.1470445049766799
91,01,v5,45,99,0.022103602965594073
92,01,v5,99,153,-0.08965421105065915
93,01,v5,99,207,0.21397298121261196
94,01,v5,99,45,0.10580692546165117
95,01,v5,99,99,0.026439091324210177
96,02,premotor,153,153,0.020243419018233594
97,02,premotor,153,207,0.09331271658190157
98,02,premotor,153,45,0.010624791396148728
99,02,premotor,153,99,-0.007773588970774312
100,02,premotor,207,153,-0.07411254976552045
101,02,premotor,207,207,-0.07359557739252715
102,02,premotor,207,45,0.000700280730773896
103,02,premotor,207,99,0.009780015658089369
104,02,premotor,45,153,0.008997000666329066
105,02,premotor,45,207,-0.07278724086424865
106,02,premotor,45,45,0.026584269660648505
107,02,premotor,45,99,0.0012472554535455458
108,02,premotor,99,153,0.033736329881278844
109,02,premotor,99,207,0.04937544584585534
110,02,premotor,99,45,-0.04131625938358656
111,02,premotor,99,99,-0.002503282503252203
112,02,motor,153,153,-0.06622369373023018
113,02,motor,153,207,0.018272379916047125
114,02,motor,153,45,-0.04578788285105739
115,02,motor,153,99,-0.038442263244853656
116,02,motor,207,153,-0.03926557582288341
117,02,motor,207,207,-0.06805928392975207
118,02,motor,207,45,-0.022417970507017267
119,02,motor,207,99,-0.02196679215388867
120,02,motor,45,153,0.022875589802084796
121,02,motor,45,207,-0.01868625748681985
122,02,motor,45,45,0.12115353184164725
