,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,-0.0078047057596870965
1,01,premotor,153,207,-0.019557583512680866
2,01,premotor,153,45,-0.007464091386430121
3,01,premotor,153,99,-0.013071779927770324
4,01,premotor,207,153,0.054681665084741204
5,01,premotor,207,207,-0.004811381032528942
6,01,premotor,207,45,0.008246548885561521
7,01,premotor,207,99,0.001142760650161237
8,01,premotor,45,153,-0.04857567948238985
9,01,premotor,45,207,-0.007334768546022602
10,01,premotor,45,45,-0.03243952634401352
11,01,premotor,45,99,-0.027066161405481293
12,01,premotor,99,153,0.017165165987574404
13,01,premotor,99,207,0.02969820003780496
14,01,premotor,99,45,0.036055884152081295
15,01,premotor,99,99,0.03918648382859404
16,01,motor,153,153,0.019449520955465364
17,01,motor,153,207,0.012912755829912376
18,01,motor,153,45,0.0618700339685537
19,01,motor,153,99,0.01935852047358945
20,01,motor,207,153,0.05202490164565973
21,01,motor,207,207,0.05566555870166829
22,01,motor,207,45,0.051184551697679985
23,01,motor,207,99,-0.00939356323944808
24,01,motor,45,153,-0.11042815986087295
25,01,motor,45,207,-0.11269988176360976
26,01,motor,45,45,-0.12191956263816153
27,01,motor,45,99,-0.052170845919500414
28,01,motor,99,153,0.0415289214623433
29,01,motor,99,207,0.04287042661730804
30,01,motor,99,45,0.008875007757772703
31,01,motor,99,99,0.04441620880328316
32,01,v1,153,153,0.028275417280018717
33,01,v1,153,207,-0.008079824503163531
34,01,v1,153,45,0.02163936896037305
35,01,v1,153,99,0.04421369423275317
36,01,v1,207,153,0.1419335410733195
37,01,v1,207,207,0.03594755522528097
38,01,v1,207,45,-0.026036583059817806
39,01,v1,207,99,0.015448151641605713
40,01,v1,45,153,-0.09258928756101165
41,01,v1,45,207,-0.010406291206877865
42,01,v1,45,45,-0.04721302874089762
43,01,v1,45,99,-0.07383910195781383
44,01,v1,99,153,-0.04332972884971084
45,01,v1,99,207,0.0063148140357501365
46,01,v1,99,45,0.06814208373183676
47,01,v1,99,99,0.03179734362932908
48,01,sup_parietal,153,153,0.01591665152923994
49,01,sup_parietal,153,207,0.008001672008641186
50,01,sup_parietal,153,45,0.006425949125485102
51,01,sup_parietal,153,99,-0.03272560544292079
52,01,sup_parietal,207,153,0.09997695446299591
53,01,sup_parietal,207,207,0.025168879609350575
54,01,sup_parietal,207,45,-0.024375082832623112
55,01,sup_parietal,207,99,0.0025607529578034515
56,01,sup_parietal,45,153,-0.055998566047356584
57,01,sup_parietal,45,207,0.04021928685332226
58,01,sup_parietal,45,45,-0.01115027744107373
59,01,sup_parietal,45,99,0.018351858765662515
60,01,sup_parietal,99,153,-0.019399468984645143
61,01,sup_parietal,99,207,-0.039903645194966336
62,01,sup_parietal,99,45,0.055668498630532984
