,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,0.08697909737046908
1,01,premotor,153,207,0.06284922254348954
2,01,premotor,153,45,0.08297557670375545
3,01,premotor,153,99,0.08864279674767513
4,01,premotor,207,153,0.04641268235462173
5,01,premotor,207,207,0.04139678949314589
6,01,premotor,207,45,0.05662944815590381
7,01,premotor,207,99,0.06281765794565367
8,01,premotor,45,153,0.060260179234756656
9,01,premotor,45,207,0.043143460737154055
10,01,premotor,45,45,0.07783730283528695
11,01,premotor,45,99,0.09459762065785415
12,01,premotor,99,153,0.06272556240605644
13,01,premotor,99,207,0.04823890527545909
14,01,premotor,99,45,0.06185229060112119
15,01,premotor,99,99,0.06705141418064614
16,01,motor,153,153,0.031669499334067756
17,01,motor,153,207,0.0538111708762458
18,01,motor,153,45,0.04732142518515924
19,01,motor,153,99,0.05212698818073942
20,01,motor,207,153,0.04238562612582372
21,01,motor,207,207,0.03386461204464487
22,01,motor,207,45,0.005378192713533353
23,01,motor,207,99,0.026133768245115725
24,01,motor,45,153,0.059691050888464325
25,01,motor,45,207,0.02920538389735291
26,01,motor,45,45,0.0280244561959098
27,01,motor,45,99,0.04943275758044739
28,01,motor,99,153,0.08262069429536442
29,01,motor,99,207,0.08966980267343733
30,01,motor,99,45,0.03967757468778062
31,01,motor,99,99,0.1046979230494442
32,01,v1,153,153,0.037173716373244875
33,01,v1,153,207,0.016704210806778117
34,01,v1,153,45,0.05152706069725477
35,01,v1,153,99,0.03669841241996432
36,01,v1,207,153,0.023272157866009096
37,01,v1,207,207,0.0289687560858428
38,01,v1,207,45,0.07550046425865706
39,01,v1,207,99,0.007911146850722124
40,01,v1,45,153,0.017955697045748557
41,01,v1,45,207,0.02214886764450294
42,01,v1,45,45,0.041479323198704725
43,01,v1,45,99,0.042737705904583666
44,01,v1,99,153,0.023581294670330537
45,01,v1,99,207,0.040690818779577656
46,01,v1,99,45,0.023511615627144187
47,01,v1,99,99,0.028321783643809155
48,01,sup_parietal,153,153,0.043474902626920595
