,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,0.03586274566057637
1,01,premotor,153,207,0.011666409767773485
2,01,premotor,153,45,-0.027295469648742875
3,01,premotor,153,99,0.028982584275090775
4,01,premotor,207,153,0.00037306864205102416
5,01,premotor,207,207,-0.005545384611775429
6,01,premotor,207,45,0.02194180493610285
7,01,premotor,207,99,-0.014650435818780397
8,01,premotor,45,153,-0.024307497552008485
9,01,premotor,45,207,-0.002245329352943141
10,01,premotor,45,45,0.016751845413218145
11,01,premotor,45,99,-0.023338734280568665
12,01,premotor,99,153,-0.008410175100237005
13,01,premotor,99,207,-0.007232818607332127
14,01,premotor,99,45,-0.009988971165756165
15,01,premotor,99,99,0.010030301719582652
16,01,motor,153,153,-0.004540213487512891
17,01,motor,153,207,-0.03795040866593074
18,01,motor,153,45,0.0141887694332607
19,01,motor,153,99,0.007061201071838046
20,01,motor,207,153,-0.01739290553233989
21,01,motor,207,207,0.014062729767313036
22,01,motor,207,45,-0.028805841315844405
23,01,motor,207,99,-0.01647845231052957
24,01,motor,45,153,0.032675440934900796
25,01,motor,45,207,-0.04445270668429389
26,01,motor,45,45,-0.000752928513817374
27,01,motor,45,99,-0.03023303711892356
28,01,motor,99,153,-0.04326580363789377
29,01,motor,99,207,0.04221810233825652
30,01,motor,99,45,0.001258180525897908
31,01,motor,99,99,0.022929592438004003
32,01,v1,153,153,0.021120725083249366
33,01,v1,153,207,-0.054297032270883394
34,01,v1,153,45,-0.034984985061329785
35,01,v1,153,99,-0.011128865902212693
36,01,v1,207,153,-0.005214869012640435
37,01,v1,207,207,0.019850172387107474
38,01,v1,207,45,0.0243475708235304
39,01,v1,207,99,0.03468448664018228
40,01,v1,45,153,0.017860503335600107
41,01,v1,45,207,0.020701771894284883
42,01,v1,45,45,0.026890120313731752
43,01,v1,45,99,-0.011027500839523538
44,01,v1,99,153,-0.04968721794417101
45,01,v1,99,207,0.004412938507657593
46,01,v1,99,45,-0.02906857117000788
47,01,v1,99,99,-0.014474695893077979
48,01,sup_parietal,153,153,-0.046731132580095584
49,01,sup_parietal,153,207,0.0034688671330126396
50,01,sup_parietal,153,45,0.005082233555056001
51,01,sup_parietal,153,99,-0.027285795467502413
52,01,sup_parietal,207,153,0.030023999530267548
53,01,sup_parietal,207,207,0.021495178056110748
54,01,sup_parietal,207,45,-0.004910117952755717
55,01,sup_parietal,207,99,0.05038006481550844
56,01,sup_parietal,45,153,-0.009360359525619439
57,01,sup_parietal,45,207,-0.01626307071634474
58,01,sup_parietal,45,45,-0.05265276023088457
59,01,sup_parietal,45,99,-0.06124175109149807
60,01,sup_parietal,99,153,0.004584571942652943
61,01,sup_parietal,99,207,-0.01938424863607218
62,01,sup_parietal,99,45,0.005126592574786428
63,01,sup_parietal,99,99,0.016486551287714403
64,01,inf_parietal,153,153,-0.04881405744476397
65,01,inf_parietal,153,207,-0.01343953551617236
66,01,inf_parietal,153,45,-0.03233113938365097
67,01,inf_parietal,153,99,-0.005646765225704519
68,01,inf_parietal,207,153,-0.02765577917535874
69,01,inf_parietal,207,207,-0.053067342754942216
70,01,inf_parietal,207,45,-0.05816197745798212
71,01,inf_parietal,207,99,-0.0651503806297259
72,01,inf_parietal,45,153,-0.017255794343528356
73,01,inf_parietal,45,207,0.017890507562646298
74,01,inf_parietal,45,45,0.07365117050355112
75,01,inf_parietal,45,99,-0.0003533930417058337
76,01,inf_parietal,99,153,0.0647520741886819
77,01,inf_parietal,99,207,0.04561955407135432
78,01,inf_parietal,99,45,0.020505825281206175
79,01,inf_parietal,99,99,0.049933702739423456
80,01,v5,153,153,0.01153612288175607
81,01,v5,153,207,0.0445656053652282
