,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,0.04182284724963537
1,01,premotor,153,207,0.019396138328772822
2,01,premotor,153,45,-0.024640654781344525
3,01,premotor,153,99,0.03436819512983471
4,01,premotor,207,153,-0.0010326613597071016
5,01,premotor,207,207,-0.00984944387583981
6,01,premotor,207,45,0.021936178457128395
7,01,premotor,207,99,-0.015296092901474831
8,01,premotor,45,153,-0.025907637026757167
9,01,premotor,45,207,-0.004456878902448074
10,01,premotor,45,45,0.02028336297211963
11,01,premotor,45,99,-0.024914202755784112
12,01,premotor,99,153,-0.00789855839388524
13,01,premotor,99,207,-0.0057569669223603934
14,01,premotor,99,45,-0.010787055666032701
15,01,premotor,99,99,0.009959567387381296
16,01,motor,153,153,-0.005014100627672343
17,01,motor,153,207,-0.033478703409941545
18,01,motor,153,45,0.01362492027206746
19,01,motor,153,99,0.011184770480560007
20,01,motor,207,153,-0.015843169770631653
21,01,motor,207,207,0.015717846520231036
22,01,motor,207,45,-0.027843048854841533
23,01,motor,207,99,-0.00959483713881599
24,01,motor,45,153,0.02931541586968541
25,01,motor,45,207,-0.05136064464634398
26,01,motor,45,45,-0.0048939369109438045
27,01,motor,45,99,-0.03471418842289746
28,01,motor,99,153,-0.03737070969011647
29,01,motor,99,207,0.044231868352234506
30,01,motor,99,45,0.001890819986393514
31,01,motor,99,99,0.02265033124549943
32,01,v1,153,153,0.017330072752809657
33,01,v1,153,207,-0.05382977604641767
34,01,v1,153,45,-0.03917242322242789
35,01,v1,153,99,-0.011077484775159803
36,01,v1,207,153,-0.0026031760404661925
37,01,v1,207,207,0.020184211960192884
38,01,v1,207,45,0.025901359512516545
39,01,v1,207,99,0.041006042619816316
40,01,v1,45,153,0.021683354169665887
41,01,v1,45,207,0.0278926205312563
42,01,v1,45,45,0.03788151937987337
43,01,v1,45,99,-0.007721868128243065
44,01,v1,99,153,-0.04983586754826148
45,01,v1,99,207,-0.0014782338664895717
46,01,v1,99,45,-0.0314796211669134
47,01,v1,99,99,-0.015602329116838384
48,01,sup_parietal,153,153,-0.04366108716343016
49,01,sup_parietal,153,207,0.005825613569082233
50,01,sup_parietal,153,45,0.00046042875029249364
51,01,sup_parietal,153,99,-0.030828645204137375
52,01,sup_parietal,207,153,0.03495388510791475
53,01,sup_parietal,207,207,0.032029543901760084
54,01,sup_parietal,207,45,0.009369761283965246
55,01,sup_parietal,207,99,0.06177027181142988
56,01,sup_parietal,45,153,-0.005512767337561286
57,01,sup_parietal,45,207,-0.01337845368036596
58,01,sup_parietal,45,45,-0.046393132142928784
59,01,sup_parietal,45,99,-0.06564951534506869
60,01,sup_parietal,99,153,0.002168417277545749
61,01,sup_parietal,99,207,-0.028116803540745437
62,01,sup_parietal,99,45,0.002904479771582413
63,01,sup_parietal,99,99,0.018535375731354727
64,01,inf_parietal,153,153,-0.04286332153388543
65,01,inf_parietal,153,207,-0.006040693878258407
66,01,inf_parietal,153,45,-0.02602016222197381
67,01,inf_parietal,153,99,0.004707415813327332
68,01,inf_parietal,207,153,-0.02725857540314177
69,01,inf_parietal,207,207,-0.05325835907670308
70,01,inf_parietal,207,45,-0.059547386356946855
71,01,inf_parietal,207,99,-0.0707949601669968
72,01,inf_parietal,45,153,-0.021898323685926417
73,01,inf_parietal,45,207,0.012319303963208642
74,01,inf_parietal,45,45,0.0737880680589939
75,01,inf_parietal,45,99,-0.005677662983776069
76,01,inf_parietal,99,153,0.07487095112642969
77,01,inf_parietal,99,207,0.05552940504580831
78,01,inf_parietal,99,45,0.024982240242148304
79,01,inf_parietal,99,99,0.05742983309855731
80,01,v5,153,153,0.054987855357955515
81,01,v5,153,207,0.10721834325673292
82,01,v5,153,45,0.03382377647614378
83,01,v5,153,99,0.05420741982642693
84,01,v5,207,153,-0.021639603639811284
85,01,v5,207,207,-0.04329173615457503
86,01,v5,207,45,-0.03351617393371913
87,01,v5,207,99,-0.06668529807086712
88,01,v5,45,153,0.06910644128675597
89,01,v5,45,207,-0.003613651388420243
90,01,v5,45,45,0.006843676171684097
91,01,v5,45,99,0.02258751889591598
92,01,v5,99,153,-0.07383132842309482
93,01,v5,99,207,-0.030371193326604314
94,01,v5,99,45,0.02438124995913083
95,01,v5,99,99,-0.04723139295722824
96,02,premotor,153,153,0.025193031143018373
97,02,premotor,153,207,0.040191136995547966
98,02,premotor,153,45,0.03409376362517719
99,02,premotor,153,99,0.02910251170662457
100,02,premotor,207,153,-0.015237955723055432
101,02,premotor,207,207,-0.0054415704628346315
102,02,premotor,207,45,-0.007219015183795878
103,02,premotor,207,99,-0.0043631650104189994
104,02,premotor,45,153,0.013622874602769442
105,02,premotor,45,207,-0.017449348357309647
106,02,premotor,45,45,0.003165158988145366
107,02,premotor,45,99,-0.005212705121823979
108,02,premotor,99,153,-0.04198119461715612
109,02,premotor,99,207,-0.03435090256901068
110,02,premotor,99,45,-0.05236863114443064
111,02,premotor,99,99,-0.03405584092468053
112,02,motor,153,153,0.04917690233763837
113,02,motor,153,207,0.047785004331900416
114,02,motor,153,45,0.013671278467729947
115,02,motor,153,99,0.03368507054723251
116,02,motor,207,153,-0.036460780472715594
117,02,motor,207,207,-0.03823808333674492
118,02,motor,207,45,0.008251656380431436
119,02,motor,207,99,-0.030669043402458553
120,02,motor,45,153,0.03351336667668406
121,02,motor,45,207,0.013318047663990744
122,02,motor,45,45,0.02121308772629811
123,02,motor,45,99,0.029628740546477027
124,02,motor,99,153,-0.07083972957440687
125,02,motor,99,207,-0.04613359330222706
126,02,motor,99,45,-0.06770777352069828
127,02,motor,99,99,-0.05096355563354729
128,02,v1,153,153,0.1929715034419986
129,02,v1,153,207,0.047096048690617134
130,02,v1,153,45,-0.0029100275251422465
131,02,v1,153,99,-0.014968927202452768
132,02,v1,207,153,-0.06527759507175153
133,02,v1,207,207,0.13510199373454485
134,02,v1,207,45,-0.1000094472625715
135,02,v1,207,99,-0.08253411329155536
136,02,v1,45,153,-0.1255764307909584
137,02,v1,45,207,-0.13948249096916338
138,02,v1,45,45,0.16636769904807752
139,02,v1,45,99,-0.011315435589726173
140,02,v1,99,153,-0.009249005429933076
141,02,v1,99,207,-0.04008672478719993
142,02,v1,99,45,-0.07852666199663935
143,02,v1,99,99,0.09198593697843352
144,02,sup_parietal,153,153,-0.016627716628310266
145,02,sup_parietal,153,207,-0.012669866570160247
146,02,sup_parietal,153,45,-0.01695897350248006
147,02,sup_parietal,153,99,0.0042627684190634715
148,02,sup_parietal,207,153,0.002909735835977645
149,02,sup_parietal,207,207,0.05458830574632678
150,02,sup_parietal,207,45,-0.012038722540923977
151,02,sup_parietal,207,99,0.0018151051293208258
152,02,sup_parietal,45,153,0.03182700821668638
153,02,sup_parietal,45,207,-0.002665937578921567
154,02,sup_parietal,45,45,0.04759323697348214
155,02,sup_parietal,45,99,0.03391671964878687
156,02,sup_parietal,99,153,-0.03574729324990904
157,02,sup_parietal,99,207,-0.04525041867367212
158,02,sup_parietal,99,45,-0.049079136255671056
159,02,sup_parietal,99,99,-0.04461407107313882
160,02,inf_parietal,153,153,0.023794437160224627
161,02,inf_parietal,153,207,0.037081412768460165
162,02,inf_parietal,153,45,0.04129547413322426
163,02,inf_parietal,153,99,0.01811953932353249
164,02,inf_parietal,207,153,0.04022691808020359
165,02,inf_parietal,207,207,0.05109145774313818
166,02,inf_parietal,207,45,0.04130914534875382
167,02,inf_parietal,207,99,0.04548775157180292
168,02,inf_parietal,45,153,-0.003519080370343968
169,02,inf_parietal,45,207,-0.02560014578899801
170,02,inf_parietal,45,45,-0.015388065330005175
171,02,inf_parietal,45,99,-0.02416681204623452
172,02,inf_parietal,99,153,-0.0631023038900315
173,02,inf_parietal,99,207,-0.05549818477393684
174,02,inf_parietal,99,45,-0.06472731021266409
175,02,inf_parietal,99,99,-0.03432779835193325
176,02,v5,153,153,0.11681075122442311
177,02,v5,153,207,0.053532831739262925
178,02,v5,153,45,-0.0927194068415358
179,02,v5,153,99,0.005916804070280186
180,02,v5,207,153,9.216460195753812e-05
181,02,v5,207,207,0.13646789273883106
182,02,v5,207,45,-0.07213379567371758
183,02,v5,207,99,0.010189737019603955
184,02,v5,45,153,-0.10309835557035343
185,02,v5,45,207,-0.08587193178125614
186,02,v5,45,45,0.16649391119719675
187,02,v5,45,99,-0.06365382757405168
188,02,v5,99,153,-0.018738028927504938
189,02,v5,99,207,-0.07225977311396363
190,02,v5,99,45,-0.011954743034067308
191,02,v5,99,99,0.043373162071944346
192,03,premotor,153,153,0.06889101584589731
193,03,premotor,153,207,0.08398339885607566
194,03,premotor,153,45,0.05521585666421939
195,03,premotor,153,99,0.05308402638863024
196,03,premotor,207,153,0.004889174624241767
197,03,premotor,207,207,-0.0072912817322969975
198,03,premotor,207,45,0.0018425207421346474
199,03,premotor,207,99,0.0040125176342287495
