,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,0.008381352438611132
1,01,premotor,153,207,-0.0006825913390071693
2,01,premotor,153,45,0.03227257777950276
3,01,premotor,153,99,0.02980444083957302
4,01,premotor,207,153,0.028395894001901425
5,01,premotor,207,207,0.007306187180014751
6,01,premotor,207,45,0.005737715665900178
7,01,premotor,207,99,0.023436915554689103
8,01,premotor,45,153,0.021885628742005687
9,01,premotor,45,207,0.015574574426083055
10,01,premotor,45,45,0.02186109322433305
11,01,premotor,45,99,0.035583204585291225
12,01,premotor,99,153,0.02959495564375408
13,01,premotor,99,207,0.019120977330423096
14,01,premotor,99,45,0.04010586126132173
15,01,premotor,99,99,0.040967160578747594
16,01,motor,153,153,0.05502235266101143
17,01,motor,153,207,0.06384968319392478
18,01,motor,153,45,0.09855892845705788
19,01,motor,153,99,0.06979766577918403
20,01,motor,207,153,0.04359143334262665
21,01,motor,207,207,0.002222149226497036
22,01,motor,207,45,0.015254711958543863
23,01,motor,207,99,0.05309876640445594
24,01,motor,45,153,0.04571664629130147
25,01,motor,45,207,0.05226000905127648
26,01,motor,45,45,0.05090503331529704
27,01,motor,45,99,0.05557009682746469
28,01,motor,99,153,0.02500175030422137
29,01,motor,99,207,0.02489484482204464
30,01,motor,99,45,0.009048887856532989
31,01,motor,99,99,0.00021969612411322156
32,01,v1,153,153,0.05269932475004577
33,01,v1,153,207,0.06792829620996775
34,01,v1,153,45,0.040884593378998246
35,01,v1,153,99,0.07961219261543602
36,01,v1,207,153,0.0097767281202727
37,01,v1,207,207,-0.006026727935878912
38,01,v1,207,45,-0.01507808273198309
39,01,v1,207,99,0.005351751997203433
40,01,v1,45,153,0.028418433850973968
41,01,v1,45,207,0.0034199426239049733
42,01,v1,45,45,-0.027920397390294976
43,01,v1,45,99,0.006255774489520326
44,01,v1,99,153,0.046916767917576596
45,01,v1,99,207,0.01967306561651918
46,01,v1,99,45,-0.017193859541603736
47,01,v1,99,99,0.03329317474490908
48,01,sup_parietal,153,153,0.051698315292570796
49,01,sup_parietal,153,207,0.05415313535410504
50,01,sup_parietal,153,45,0.1201663560190098
51,01,sup_parietal,153,99,0.134171435902682
52,01,sup_parietal,207,153,0.06597395463890396
53,01,sup_parietal,207,207,0.06181968931022564
54,01,sup_parietal,207,45,0.05048708951044714
55,01,sup_parietal,207,99,0.0853007508894778
56,01,sup_parietal,45,153,0.06104653947082103
57,01,sup_parietal,45,207,0.11269772652911664
58,01,sup_parietal,45,45,0.1505709000137292
59,01,sup_parietal,45,99,0.09506960126903957
60,01,sup_parietal,99,153,0.09945240539851567
61,01,sup_parietal,99,207,0.09195798405181593
62,01,sup_parietal,99,45,0.15557765813064872
63,01,sup_parietal,99,99,0.11579129278612374
64,01,inf_parietal,153,153,0.13312920078889848
65,01,inf_parietal,153,207,0.10763157097295056
66,01,inf_parietal,153,45,0.047883986613774715
67,01,inf_parietal,153,99,0.08978919883073738
68,01,inf_parietal,207,153,0.15187844633592185
69,01,inf_parietal,207,207,0.1364538885928663
70,01,inf_parietal,207,45,0.08352341564434411
71,01,inf_parietal,207,99,0.12324597877050454
72,01,inf_parietal,45,153,0.12534649059568087
73,01,inf_parietal,45,207,0.08487151206901113
74,01,inf_parietal,45,45,0.055802007994927696
75,01,inf_parietal,45,99,0.0475302862121406
76,01,inf_parietal,99,153,0.10682017622587635
77,01,inf_parietal,99,207,0.07749974088176761
78,01,inf_parietal,99,45,0.11278645060806644
79,01,inf_parietal,99,99,0.07693843985342425
80,01,v5,153,153,-0.0014214051387277105
81,01,v5,153,207,0.05355759836218786
82,01,v5,153,45,-0.013067685699229982
83,01,v5,153,99,0.015647924844457123
84,01,v5,207,153,0.03538751549249158
85,01,v5,207,207,-0.03664405468689094
86,01,v5,207,45,-0.047801242103736694
87,01,v5,207,99,0.02831722288237396
88,01,v5,45,153,-0.001550701341037991
89,01,v5,45,207,0.0513108346090276
90,01,v5,45,45,0.026879512650064608
91,01,v5,45,99,0.04033364845502621
92,01,v5,99,153,0.06341787390029466
93,01,v5,99,207,0.012811707118435954
94,01,v5,99,45,0.043100723271909606
95,01,v5,99,99,0.03651522731185434
96,02,premotor,153,153,-0.005356596783085692
97,02,premotor,153,207,-0.005689287436050921
98,02,premotor,153,45,-0.029362810999348024
99,02,premotor,153,99,0.016586748462433045
100,02,premotor,207,153,-0.004435590713563957
101,02,premotor,207,207,-0.0030720528743052988
102,02,premotor,207,45,-0.03981088812513139
103,02,premotor,207,99,0.002134014622439206
104,02,premotor,45,153,0.021279496821240505
105,02,premotor,45,207,0.01686037435699092
106,02,premotor,45,45,-0.011465697753718009
107,02,premotor,45,99,0.028196988427305395
108,02,premotor,99,153,0.052658621147215326
109,02,premotor,99,207,0.04847496801881905
110,02,premotor,99,45,0.04102381135965988
111,02,premotor,99,99,0.061732284973628274
112,02,motor,153,153,-0.00851884076613906
113,02,motor,153,207,0.012749612896840392
114,02,motor,153,45,-0.007412174979995488
115,02,motor,153,99,0.01215893093251846
116,02,motor,207,153,0.04294799664572888
117,02,motor,207,207,0.04387280314040604
118,02,motor,207,45,0.009117913755248352
119,02,motor,207,99,0.024920062585411157
120,02,motor,45,153,0.06592846399197148
121,02,motor,45,207,0.07916075617593483
