,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,0.04095788524375818
1,01,premotor,153,207,0.022552246872580582
2,01,premotor,153,45,-0.02534952768891129
3,01,premotor,153,99,0.038591568472269175
4,01,premotor,207,153,-0.005083460660383347
5,01,premotor,207,207,-0.011512468347603447
6,01,premotor,207,45,0.022131097247476285
7,01,premotor,207,99,-0.015746330777260238
8,01,premotor,45,153,-0.024145406475755866
9,01,premotor,45,207,-0.006189173135539404
10,01,premotor,45,45,0.01964286255672886
11,01,premotor,45,99,-0.027263500684921914
12,01,premotor,99,153,-0.006618128060425148
13,01,premotor,99,207,-0.007283741013311861
14,01,premotor,99,45,-0.011135977608420125
15,01,premotor,99,99,0.008881552622332587
16,01,motor,153,153,0.0034812123124481394
17,01,motor,153,207,-0.028228242149582645
18,01,motor,153,45,0.015074121952812077
19,01,motor,153,99,0.010871408599106389
20,01,motor,207,153,-0.02871088983495108
21,01,motor,207,207,0.01129729761296202
22,01,motor,207,45,-0.02772917192188369
23,01,motor,207,99,-0.014215841515707244
24,01,motor,45,153,0.035646249461240904
25,01,motor,45,207,-0.05027886706252331
26,01,motor,45,45,-0.007247113049616866
27,01,motor,45,99,-0.03115059471637885
28,01,motor,99,153,-0.038933551423652936
29,01,motor,99,207,0.0409571294838407
30,01,motor,99,45,0.0026660752723877464
31,01,motor,99,99,0.02363184204779981
32,01,v1,153,153,0.024675608513570837
33,01,v1,153,207,-0.04517003374678184
34,01,v1,153,45,-0.029497167414294426
35,01,v1,153,99,-0.004554799458916658
36,01,v1,207,153,-0.003380405998538649
37,01,v1,207,207,0.0181736768036374
38,01,v1,207,45,0.018646115248368598
39,01,v1,207,99,0.03787831766545694
40,01,v1,45,153,0.018423528090514892
41,01,v1,45,207,0.022997429990012214
42,01,v1,45,45,0.03972647463239748
43,01,v1,45,99,-0.006651853881720928
44,01,v1,99,153,-0.05085400357507353
45,01,v1,99,207,-0.002057643245109094
46,01,v1,99,45,-0.03290311147147286
47,01,v1,99,99,-0.01836562582811989
48,01,sup_parietal,153,153,-0.04773561344668686
49,01,sup_parietal,153,207,-0.000348563167184842
50,01,sup_parietal,153,45,0.004692081043487548
51,01,sup_parietal,153,99,-0.02516896885489276
52,01,sup_parietal,207,153,0.043856552104058234
53,01,sup_parietal,207,207,0.03966949902520422
54,01,sup_parietal,207,45,0.011728285725838103
55,01,sup_parietal,207,99,0.06299626694446167
56,01,sup_parietal,45,153,-0.004100160762995488
57,01,sup_parietal,45,207,-0.011660840302503233
58,01,sup_parietal,45,45,-0.052162011438248904
59,01,sup_parietal,45,99,-0.06784855312043458
60,01,sup_parietal,99,153,0.0008730047156094798
61,01,sup_parietal,99,207,-0.028349870199622373
62,01,sup_parietal,99,45,0.0012168348832320916
63,01,sup_parietal,99,99,0.012339315847415431
64,01,inf_parietal,153,153,-0.0425857829303145
65,01,inf_parietal,153,207,-0.005650326347548536
66,01,inf_parietal,153,45,-0.020199291403956942
67,01,inf_parietal,153,99,0.01176431543347229
68,01,inf_parietal,207,153,-0.028281903138186047
69,01,inf_parietal,207,207,-0.05633617835405226
70,01,inf_parietal,207,45,-0.06534007385657052
71,01,inf_parietal,207,99,-0.07721715048049711
72,01,inf_parietal,45,153,-0.02836434162197132
73,01,inf_parietal,45,207,0.002106363028136049
74,01,inf_parietal,45,45,0.06300088023714162
75,01,inf_parietal,45,99,-0.014271466260860732
76,01,inf_parietal,99,153,0.07563393035237514
77,01,inf_parietal,99,207,0.06307758478975534
78,01,inf_parietal,99,45,0.031124932126629406
79,01,inf_parietal,99,99,0.0639748040248596
80,01,v5,153,153,0.052605657954410245
81,01,v5,153,207,0.10524960181942117
82,01,v5,153,45,0.03596394478265022
83,01,v5,153,99,0.06159998577740219
84,01,v5,207,153,0.012543106959567098
85,01,v5,207,207,-0.0108117754425315
86,01,v5,207,45,0.0009283753691721776
87,01,v5,207,99,-0.031225070202251022
88,01,v5,45,153,0.04557034944860168
89,01,v5,45,207,-0.015243341482986925
90,01,v5,45,45,-0.004803950346061885
91,01,v5,45,99,0.014928972375948812
92,01,v5,99,153,-0.056428156799896406
93,01,v5,99,207,-0.026696844844181084
94,01,v5,99,45,0.0012912572276030793
95,01,v5,99,99,-0.0712960116446607
96,02,premotor,153,153,0.03315699255572371
97,02,premotor,153,207,0.04825513119791788
98,02,premotor,153,45,0.03751024053687967
99,02,premotor,153,99,0.03596492315015623
100,02,premotor,207,153,-0.019415037176972107
101,02,premotor,207,207,-0.009899001348826236
102,02,premotor,207,45,-0.011856407911495413
103,02,premotor,207,99,-0.006576420354110206
104,02,premotor,45,153,0.006813572811538565
105,02,premotor,45,207,-0.021683480972746035
106,02,premotor,45,45,0.0008673832149417443
107,02,premotor,45,99,-0.012849398972501114
108,02,premotor,99,153,-0.03874154246093409
109,02,premotor,99,207,-0.03393796803439316
110,02,premotor,99,45,-0.049009825116451335
111,02,premotor,99,99,-0.031314407887077476
112,02,motor,153,153,0.059336331192739636
113,02,motor,153,207,0.05843781232945606
114,02,motor,153,45,0.02248806081055396
115,02,motor,153,99,0.0479953979330589
116,02,motor,207,153,-0.035704522308988566
117,02,motor,207,207,-0.03510130857053134
118,02,motor,207,45,0.008654285559075511
119,02,motor,207,99,-0.030302386227329902
120,02,motor,45,153,0.025728165589141417
121,02,motor,45,207,0.009831471353892882
122,02,motor,45,45,0.0151445083291075
123,02,motor,45,99,0.019915179273733208
124,02,motor,99,153,-0.06759228827951318
125,02,motor,99,207,-0.05010237417939293
126,02,motor,99,45,-0.06671618446040614
127,02,motor,99,99,-0.051305480202375256
128,02,v1,153,153,0.1917972505853497
129,02,v1,153,207,0.046928119025766754
130,02,v1,153,45,-0.005642311336723738
131,02,v1,153,99,-0.017423541704981393
132,02,v1,207,153,-0.05739813632872174
133,02,v1,207,207,0.1387153686727353
134,02,v1,207,45,-0.09423399159222043
135,02,v1,207,99,-0.07719000250056933
136,02,v1,45,153,-0.1297807593878776
137,02,v1,45,207,-0.14267396558042977
138,02,v1,45,45,0.16031503432580546
139,02,v1,45,99,-0.020497722131209064
140,02,v1,99,153,-0.008932399111253507
141,02,v1,99,207,-0.03942924056976636
142,02,v1,99,45,-0.07868312285012889
143,02,v1,99,99,0.09713996339966974
144,02,sup_parietal,153,153,-0.008585953367707677
145,02,sup_parietal,153,207,0.0017945579708411041
146,02,sup_parietal,153,45,-0.011224350201531435
147,02,sup_parietal,153,99,0.013360227483241394
148,02,sup_parietal,207,153,0.002885227011565763
149,02,sup_parietal,207,207,0.04937113294844757
150,02,sup_parietal,207,45,-0.013219114772668704
151,02,sup_parietal,207,99,-0.00021110952442964306
152,02,sup_parietal,45,153,0.01684051053324082
153,02,sup_parietal,45,207,-0.015454606103480102
154,02,sup_parietal,45,45,0.03472905251804556
155,02,sup_parietal,45,99,0.018280604408677473
156,02,sup_parietal,99,153,-0.028431571313024942
157,02,sup_parietal,99,207,-0.039966834999456954
158,02,sup_parietal,99,45,-0.04238740513380877
159,02,sup_parietal,99,99,-0.03875158235630319
160,02,inf_parietal,153,153,0.03019111180228304
161,02,inf_parietal,153,207,0.04542690937863843
162,02,inf_parietal,153,45,0.0402838438687608
163,02,inf_parietal,153,99,0.025853630711406984
164,02,inf_parietal,207,153,0.0403894505383887
165,02,inf_parietal,207,207,0.04963447921720714
166,02,inf_parietal,207,45,0.042095957600649256
167,02,inf_parietal,207,99,0.04334316336233822
168,02,inf_parietal,45,153,-0.010476565079041177
169,02,inf_parietal,45,207,-0.03171815817265375
170,02,inf_parietal,45,45,-0.017329239468270995
171,02,inf_parietal,45,99,-0.029487901658396536
172,02,inf_parietal,99,153,-0.06638886673769924
173,02,inf_parietal,99,207,-0.059302141603650896
174,02,inf_parietal,99,45,-0.06582667391088334
175,02,inf_parietal,99,99,-0.037072088380382215
176,02,v5,153,153,0.1215570472139304
177,02,v5,153,207,0.06444439154077099
178,02,v5,153,45,-0.0768612669968684
179,02,v5,153,99,0.023384863722305985
180,02,v5,207,153,0.02134869748428153
181,02,v5,207,207,0.15789595265879963
182,02,v5,207,45,-0.05601736975517975
183,02,v5,207,99,0.02127052251506504
184,02,v5,45,153,-0.11819177043005404
185,02,v5,45,207,-0.11155387064232282
186,02,v5,45,45,0.17678380186098552
187,02,v5,45,99,-0.06845524123119691
