,Participants,Masks,Target Location Straight,Trial Stage,Target Location Rotate,Correlation
0,01,premotor,153,0,153,-0.027779415174622894
1,01,premotor,153,0,207,-0.03749602555464791
2,01,premotor,153,0,45,-0.04751784197150826
3,01,premotor,153,0,99,-0.026827207662120885
4,01,premotor,153,1,153,-0.002931374939639776
5,01,premotor,153,1,207,-0.025372667535634698
6,01,premotor,153,1,45,-0.00981783205609799
7,01,premotor,153,1,99,-0.004147161951758795
8,01,premotor,153,2,153,-0.012745906012542493
9,01,premotor,153,2,207,-0.02501012311872502
10,01,premotor,153,2,45,-0.07562237694146882
11,01,premotor,153,2,99,-0.009209490557678678
12,01,premotor,207,0,153,-0.0206762797587945
13,01,premotor,207,0,207,-0.022931302338051657
14,01,premotor,207,0,45,0.012480727474418208
15,01,premotor,207,0,99,-0.03216567241301257
16,01,premotor,207,1,153,-0.025058875983267354
17,01,premotor,207,1,207,-0.03584120798621024
18,01,premotor,207,1,45,-0.03247636587339901
19,01,premotor,207,1,99,-0.02895394983387134
20,01,premotor,207,2,153,-0.020675387910206015
21,01,premotor,207,2,207,-0.021128046304912
22,01,premotor,207,2,45,0.01567627774837875
23,01,premotor,207,2,99,-0.04204095238494244
24,01,premotor,45,0,153,-0.036542594221647545
25,01,premotor,45,0,207,0.0022641995076120615
26,01,premotor,45,0,45,0.02205780315268891
27,01,premotor,45,0,99,0.020103493889902478
28,01,premotor,45,1,153,-0.0216154458799573
29,01,premotor,45,1,207,-0.039495524504817824
30,01,premotor,45,1,45,-0.0316511907114223
31,01,premotor,45,1,99,-0.0581361916988556
32,01,premotor,45,2,153,-0.047548175438230124
33,01,premotor,45,2,207,-0.02320151435537979
34,01,premotor,45,2,45,0.006727354434029104
35,01,premotor,45,2,99,-0.05588044647430632
36,01,premotor,99,0,153,-0.029221917660187967
37,01,premotor,99,0,207,-0.05299171475607084
38,01,premotor,99,0,45,-0.009829120034613526
39,01,premotor,99,0,99,-0.041486028077433824
40,01,premotor,99,1,153,-0.06972971531019373
41,01,premotor,99,1,207,-0.050945108774685145
42,01,premotor,99,1,45,-0.02971897648390181
43,01,premotor,99,1,99,-0.028996818870509367
44,01,premotor,99,2,153,-0.029602164567195874
45,01,premotor,99,2,207,-0.026666645510187447
46,01,premotor,99,2,45,-0.06687656152443132
47,01,premotor,99,2,99,-0.027719904054097955
48,01,motor,153,0,153,-0.0656457015104463
49,01,motor,153,0,207,-0.08112179490943926
50,01,motor,153,0,45,-0.04099760772563306
51,01,motor,153,0,99,-0.02978776614201463
52,01,motor,153,1,153,-0.017387323208222963
53,01,motor,153,1,207,-0.0013202534134240523
54,01,motor,153,1,45,0.040898347706150556
55,01,motor,153,1,99,0.0324007978727241
56,01,motor,153,2,153,-0.023672796880047815
57,01,motor,153,2,207,-0.05423723380048541
58,01,motor,153,2,45,-0.05075128250421246
59,01,motor,153,2,99,-0.05615238314959778
60,01,motor,207,0,153,0.0033820344883849288
61,01,motor,207,0,207,0.006443479850860988
62,01,motor,207,0,45,-0.008323083237516425
63,01,motor,207,0,99,-0.009657454000735335
64,01,motor,207,1,153,-0.04205020101419191
65,01,motor,207,1,207,-0.0500104915229483
66,01,motor,207,1,45,-0.08699883121489871
67,01,motor,207,1,99,-0.05093364645117553
68,01,motor,207,2,153,-0.051854232167255696
69,01,motor,207,2,207,0.017291341435631134
70,01,motor,207,2,45,-0.026499935622854718
71,01,motor,207,2,99,-0.019276865415737428
72,01,motor,45,0,153,-0.061604516065880396
73,01,motor,45,0,207,-0.0742417050560818
74,01,motor,45,0,45,-0.0021012708996417453
75,01,motor,45,0,99,-0.04421658146447069
76,01,motor,45,1,153,0.008332511288756683
77,01,motor,45,1,207,-0.1070834238685
