,Participants,Masks,Target Location Straight,Trial Stage,Target Location Rotate,Correlation
0,01,premotor,153,0,153,-0.05009623134311943
1,01,premotor,153,0,207,-0.0527157180258322
2,01,premotor,153,0,45,-0.038247238953815245
3,01,premotor,153,0,99,-0.06248177656360923
4,01,premotor,153,1,153,-0.04986757057259467
5,01,premotor,153,1,207,-0.023220114502599472
6,01,premotor,153,1,45,-0.0338755316380964
7,01,premotor,153,1,99,-0.02139139451496868
8,01,premotor,153,2,153,0.0030231609752916794
9,01,premotor,153,2,207,-0.02699071483760674
10,01,premotor,153,2,45,-0.01796588918724741
11,01,premotor,153,2,99,-0.017576480172785586
12,01,premotor,207,0,153,-0.04773473967204821
13,01,premotor,207,0,207,-0.028793256883309602
14,01,premotor,207,0,45,-0.050823579452782375
15,01,premotor,207,0,99,-0.06744590088852723
16,01,premotor,207,1,153,-0.008049699145809537
17,01,premotor,207,1,207,-0.008757372549155325
18,01,premotor,207,1,45,-0.013315939567322035
19,01,premotor,207,1,99,0.024684397313430716
20,01,premotor,207,2,153,0.057873786323619385
21,01,premotor,207,2,207,-0.03570568983518741
22,01,premotor,207,2,45,-0.011629138400096094
23,01,premotor,207,2,99,-0.03275338553662951
24,01,premotor,45,0,153,-0.0577295939968958
25,01,premotor,45,0,207,-0.03253231847278208
26,01,premotor,45,0,45,-0.04194122789691225
27,01,premotor,45,0,99,-0.036282782510471505
28,01,premotor,45,1,153,-0.060815348097015005
29,01,premotor,45,1,207,-0.0316231680843119
30,01,premotor,45,1,45,-0.07499476611884708
31,01,premotor,45,1,99,-0.07703619158355934
32,01,premotor,45,2,153,-0.10985949257133087
33,01,premotor,45,2,207,-0.05554616274144289
34,01,premotor,45,2,45,-0.08768387216223572
35,01,premotor,45,2,99,-0.08391135263037296
36,01,premotor,99,0,153,-0.08204031092244933
37,01,premotor,99,0,207,-0.07162078646477407
38,01,premotor,99,0,45,-0.07824523193887967
39,01,premotor,99,0,99,-0.06296597244090132
40,01,premotor,99,1,153,-0.061583421123412765
41,01,premotor,99,1,207,-0.04824642213899247
42,01,premotor,99,1,45,-0.018813979183375056
43,01,premotor,99,1,99,-0.08269281885900231
44,01,premotor,99,2,153,-0.07335159612022343
45,01,premotor,99,2,207,-0.01948928997176658
46,01,premotor,99,2,45,-0.07387664587202245
47,01,premotor,99,2,99,-0.02918045678354958
48,01,motor,153,0,153,0.00517240565375951
49,01,motor,153,0,207,-0.029156591199274773
50,01,motor,153,0,45,-0.013674251208484704
51,01,motor,153,0,99,-0.029316506585750836
52,01,motor,153,1,153,-0.048769220332417866
53,01,motor,153,1,207,-0.034748194960168795
54,01,motor,153,1,45,0.0014614622733022421
55,01,motor,153,1,99,-0.011285948546569655
56,01,motor,153,2,153,-0.016021540838132578
57,01,motor,153,2,207,0.0027957729555083254
58,01,motor,153,2,45,0.018017423429941504
59,01,motor,153,2,99,-0.04906987196527934
60,01,motor,207,0,153,-0.07921109126715455
61,01,motor,207,0,207,-0.004176118166656306
62,01,motor,207,0,45,-0.03129040276721391
63,01,motor,207,0,99,-0.08648450346801598
64,01,motor,207,1,153,-0.021035726859362718
65,01,motor,207,1,207,0.01463461123249251
66,01,motor,207,1,45,-0.01215050969299674
67,01,motor,207,1,99,0.012901169805114722
68,01,motor,207,2,153,0.07604781850625554
69,01,motor,207,2,207,0.017662599816324186
70,01,motor,207,2,45,0.03807021594750901
71,01,motor,207,2,99,-0.030159130060746678
72,01,motor,45,0,153,-0.09479145849029452
73,01,motor,45,0,207,-0.04832063267795501
74,01,motor,45,0,45,-0.026736221419199818
75,01,motor,45,0,99,-0.04047013976166258
76,01,motor,45,1,153,-0.03608252328637297
77,01,motor,45,1,207,-0.08677785719281246
78,01,motor,45,1,45,-0.12506868298312615
79,01,motor,45,1,99,-0.08445413268587607
80,01,motor,45,2,153,-0.13632890503373596
81,01,motor,45,2,207,-0.13343293778314258
82,01,motor,45,2,45,-0.17275408228090378
83,01,motor,45,2,99,-0.054597337663193454
84,01,motor,99,0,153,-0.05392246767701667
85,01,motor,99,0,207,-0.09096236865429246
86,01,motor,99,0,45,-0.12638509496178538
87,01,motor,99,0,99,-0.05259312226652517
88,01,motor,99,1,153,-0.0463879953058715
89,01,motor,99,1,207,-0.0008737525906848606
90,01,motor,99,1,45,-0.008837316558876582
91,01,motor,99,1,99,-0.08836849378801687
92,01,motor,99,2,153,-0.031080717995854188
93,01,motor,99,2,207,0.006932217985153529
94,01,motor,99,2,45,-0.07694806908455684
95,01,motor,99,2,99,-0.00488409918754413
96,01,v1,153,0,153,0.004289785729699338
97,01,v1,153,0,207,0.005527985011178058
98,01,v1,153,0,45,-0.036570535214487235
99,01,v1,153,0,99,0.07295550253525754
100,01,v1,153,1,153,0.0009060484948936586
101,01,v1,153,1,207,-0.04242376260041399
102,01,v1,153,1,45,-0.001149599452341869
103,01,v1,153,1,99,0.05260836938158999
104,01,v1,153,2,153,0.010942253677101497
105,01,v1,153,2,207,-0.004751826471310056
106,01,v1,153,2,45,0.004212966817885789
107,01,v1,153,2,99,-0.06516745896358145
108,01,v1,207,0,153,-0.009266420899844259
109,01,v1,207,0,207,-0.0008757710870059589
110,01,v1,207,0,45,-0.03882276141054773
111,01,v1,207,0,99,-0.040835495506747706
112,01,v1,207,1,153,0.0564167006235126
113,01,v1,207,1,207,0.05501940637634278
114,01,v1,207,1,45,-0.04690011530150336
115,01,v1,207,1,99,0.030390978224212085
116,01,v1,207,2,153,0.12593372275285566
117,01,v1,207,2,207,-0.0011367693412314677
118,01,v1,207,2,45,-0.011192517638574677
119,01,v1,207,2,99,0.018712759824777526
120,01,v1,45,0,153,0.008200411245441816
121,01,v1,45,0,207,0.07456844071663245
122,01,v1,45,0,45,0.04654795150967535
123,01,v1,45,0,99,0.0031348320778533615
124,01,v1,45,1,153,-0.040101248907686474
