,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,-0.07797403904584815
1,01,premotor,153,207,0.011973133385958998
2,01,premotor,153,45,-0.06186185905298984
3,01,premotor,153,99,0.05687563256415618
4,01,premotor,207,153,0.061662452454392905
5,01,premotor,207,207,0.17451721394358852
6,01,premotor,207,45,0.006807329061292302
7,01,premotor,207,99,-0.0918566907443705
8,01,premotor,45,153,0.028796822785529176
9,01,premotor,45,207,-0.15994013912549934
10,01,premotor,45,45,-0.08503705655171703
11,01,premotor,45,99,0.18545103531056034
12,01,premotor,99,153,-0.03976336767363818
13,01,premotor,99,207,0.0824970432870494
14,01,premotor,99,45,0.08847084016366544
15,01,premotor,99,99,-0.20652138370414877
16,01,motor,153,153,-0.2373192897744515
17,01,motor,153,207,0.09168265044763774
18,01,motor,153,45,-0.007946819219669582
19,01,motor,153,99,0.03223479425705936
20,01,motor,207,153,0.16870272204594217
21,01,motor,207,207,0.14031670126322981
22,01,motor,207,45,-0.06391884550632312
23,01,motor,207,99,-0.1878535398078615
24,01,motor,45,153,0.03548601330215707
25,01,motor,45,207,0.01521902521638047
26,01,motor,45,45,-0.04068410843953913
27,01,motor,45,99,0.113680365357754
28,01,motor,99,153,0.10252987975682004
29,01,motor,99,207,-0.06458083689459648
30,01,motor,99,45,0.050703093535011644
31,01,motor,99,99,-0.16167474308898738
32,01,v1,153,153,0.038715645835772944
33,01,v1,153,207,0.04107247123779962
34,01,v1,153,45,-0.0028557364776466837
35,01,v1,153,99,-0.055474071750133566
36,01,v1,207,153,-0.004085323136055231
37,01,v1,207,207,0.0026320918160807477
38,01,v1,207,45,0.12679391578176796
39,01,v1,207,99,-0.15348823100769043
40,01,v1,45,153,0.056294161015121025
41,01,v1,45,207,0.0719950558112678
42,01,v1,45,45,-0.06153577623378015
43,01,v1,45,99,-0.14527915777216222
44,01,v1,99,153,-0.04791747325424692
45,01,v1,99,207,-0.056089784231463824
46,01,v1,99,45,-0.18019442192060797
47,01,v1,99,99,0.30499028978739684
48,01,sup_parietal,153,153,0.16841585945818058
