,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,-0.01706686431862617
1,01,premotor,153,207,-0.03818799185273193
2,01,premotor,153,45,-0.06819783959572694
3,01,premotor,153,99,-0.019561116386392973
4,01,premotor,207,153,-0.03572383666193772
5,01,premotor,207,207,-0.03931408052396536
6,01,premotor,207,45,-0.010281992393838698
7,01,premotor,207,99,-0.05298520191176609
8,01,premotor,45,153,-0.05213246100822523
9,01,premotor,45,207,-0.029024886605421886
10,01,premotor,45,45,-0.005840288142554054
11,01,premotor,45,99,-0.0515083922696554
12,01,premotor,99,153,-0.06096485284768755
13,01,premotor,99,207,-0.05960566881576215
14,01,premotor,99,45,-0.04935931079867106
15,01,premotor,99,99,-0.04019584917025036
16,01,motor,153,153,-0.05065398429490919
17,01,motor,153,207,-0.0655315192059556
18,01,motor,153,45,-0.023040726081534475
19,01,motor,153,99,-0.02646720561621213
20,01,motor,207,153,-0.0523770923740651
21,01,motor,207,207,-0.010948922889961934
22,01,motor,207,45,-0.0640063084366257
23,01,motor,207,99,-0.04441536127397938
24,01,motor,45,153,-0.007072513312396448
25,01,motor,45,207,-0.06991964654844296
26,01,motor,45,45,-0.030409175439434014
27,01,motor,45,99,-0.05891215678062397
28,01,motor,99,153,-0.07380994595904257
29,01,motor,99,207,0.020795044529990765
30,01,motor,99,45,-0.02689300237166756
31,01,motor,99,99,-0.0027996014677749105
32,01,v1,153,153,0.006268584192945922
33,01,v1,153,207,-0.06924534200919608
34,01,v1,153,45,-0.04047893556937769
35,01,v1,153,99,-0.024403603257297776
36,01,v1,207,153,-0.02594553067828771
37,01,v1,207,207,-0.006449036285160288
38,01,v1,207,45,0.010359673319119612
39,01,v1,207,99,0.015372398220719858
40,01,v1,45,153,-0.006111376364641145
41,01,v1,45,207,-0.006338925494906599
42,01,v1,45,45,0.019574223628434962
43,01,v1,45,99,-0.028721261931582573
44,01,v1,99,153,-0.055908940012829325
45,01,v1,99,207,-0.015035443901618002
46,01,v1,99,45,-0.03357966489091568
47,01,v1,99,99,-0.030888239548179673
48,01,sup_parietal,153,153,-0.06207816782199993
49,01,sup_parietal,153,207,-0.013964916662096295
50,01,sup_parietal,153,45,0.0006564807156133508
51,01,sup_parietal,153,99,-0.04030486071265095
52,01,sup_parietal,207,153,-0.0031086960215390026
53,01,sup_parietal,207,207,0.001348596660218998
54,01,sup_parietal,207,45,-0.016952241176598114
55,01,sup_parietal,207,99,0.032047627687736585
56,01,sup_parietal,45,153,-0.03018557682453417
57,01,sup_parietal,45,207,-0.03330468993819359
58,01,sup_parietal,45,45,-0.06259775183825345
59,01,sup_parietal,45,99,-0.07285902755134738
60,01,sup_parietal,99,153,-0.014896007369062745
61,01,sup_parietal,99,207,-0.0358204417811185
62,01,sup_parietal,99,45,-0.0009738114196180033
63,01,sup_parietal,99,99,-0.001406278471757498
64,01,inf_parietal,153,153,-0.0690689044172505
65,01,inf_parietal,153,207,-0.02952980819693063
66,01,inf_parietal,153,45,-0.04871591683269721
67,01,inf_parietal,153,99,-0.02225775425026077
68,01,inf_parietal,207,153,-0.047675139509454574
69,01,inf_parietal,207,207,-0.06586738977978607
70,01,inf_parietal,207,45,-0.07452371050765691
71,01,inf_parietal,207,99,-0.08154295049541829
72,01,inf_parietal,45,153,-0.04259827737395793
73,01,inf_parietal,45,207,-0.0017287364577614622
74,01,inf_parietal,45,45,0.0585519453067118
75,01,inf_parietal,45,99,-0.015394038583752233
76,01,inf_parietal,99,153,0.01989953923227846
77,01,inf_parietal,99,207,0.009729023432962475
78,01,inf_parietal,99,45,-0.012290576963801836
79,01,inf_parietal,99,99,0.014641247791832287
80,01,v5,153,153,0.01496144988639525
81,01,v5,153,207,0.04910860884447471
82,01,v5,153,45,0.012594309753484426
83,01,v5,153,99,0.01563838154714162
84,01,v5,207,153,-0.027378515243793887
85,01,v5,207,207,-0.042972806223420104
86,01,v5,207,45,-0.034307103935203316
87,01,v5,207,99,-0.05152888026070141
88,01,v5,45,153,0.05803370168957639
89,01,v5,45,207,-0.008561266179391257
90,01,v5,45,45,0.027536561826123702
91,01,v5,45,99,0.026584303007042592
92,01,v5,99,153,-0.04773000723729871
93,01,v5,99,207,-0.026364589038023436
94,01,v5,99,45,0.027217741757371437
95,01,v5,99,99,-0.022140875273885176
96,02,premotor,153,153,-0.06810068016626795
97,02,premotor,153,207,-0.053845908830538074
98,02,premotor,153,45,-0.055301144672633
99,02,premotor,153,99,-0.07041185412749196
100,02,premotor,207,153,-0.060366303539072616
101,02,premotor,207,207,-0.05391314502809251
102,02,premotor,207,45,-0.04996677121480097
103,02,premotor,207,99,-0.049145532532598554
104,02,premotor,45,153,-0.03436584707340058
105,02,premotor,45,207,-0.06434846125033244
106,02,premotor,45,45,-0.04490880163719623
107,02,premotor,45,99,-0.05518702377466962
108,02,premotor,99,153,-0.0819040268320142
109,02,premotor,99,207,-0.0717980757172625
110,02,premotor,99,45,-0.08688232875176574
111,02,premotor,99,99,-0.07833274057481017
112,02,motor,153,153,-0.05809942904909172
113,02,motor,153,207,-0.050624319322875415
114,02,motor,153,45,-0.07832550777795463
115,02,motor,153,99,-0.06984586980234742
116,02,motor,207,153,-0.06690301266117424
117,02,motor,207,207,-0.06751438152600342
118,02,motor,207,45,-0.024029883587407194
119,02,motor,207,99,-0.05926934357895258
120,02,motor,45,153,-0.03967381024939218
121,02,motor,45,207,-0.052899550322691925
122,02,motor,45,45,-0.046312313015658024
123,02,motor,45,99,-0.04308663270107779
124,02,motor,99,153,-0.08832178991899706
125,02,motor,99,207,-0.060759950235184934
126,02,motor,99,45,-0.07984165806051403
127,02,motor,99,99,-0.07223529300291763
128,02,v1,153,153,0.05997351051812467
129,02,v1,153,207,-0.06874753430389823
130,02,v1,153,45,-0.10080191182351769
131,02,v1,153,99,-0.10565278727003596
132,02,v1,207,153,-0.13145447961588635
133,02,v1,207,207,0.06132968518325237
134,02,v1,207,45,-0.14584212040922034
135,02,v1,207,99,-0.1296631263978686
136,02,v1,45,153,-0.17675769245269263
137,02,v1,45,207,-0.1829539955868807
138,02,v1,45,45,0.09604172005081281
139,02,v1,45,99,-0.06553501599959147
140,02,v1,99,153,-0.08383227659828543
141,02,v1,99,207,-0.10754528281210006
142,02,v1,99,45,-0.139799905434187
143,02,v1,99,99,0.023979867554770638
144,02,sup_parietal,153,153,-0.0805348154966335
145,02,sup_parietal,153,207,-0.07587857155987804
146,02,sup_parietal,153,45,-0.07171350741035942
147,02,sup_parietal,153,99,-0.06589851754169967
148,02,sup_parietal,207,153,-0.052107878001617994
149,02,sup_parietal,207,207,-0.011857572361301284
150,02,sup_parietal,207,45,-0.05618939645359149
151,02,sup_parietal,207,99,-0.055661021408392033
152,02,sup_parietal,45,153,-0.01289911579904105
153,02,sup_parietal,45,207,-0.04513273230053837
154,02,sup_parietal,45,45,0.00891561703093274
155,02,sup_parietal,45,99,-0.004906101820731974
156,02,sup_parietal,99,153,-0.04823399786823867
157,02,sup_parietal,99,207,-0.053510233041512215
158,02,sup_parietal,99,45,-0.05739137496869243
159,02,sup_parietal,99,99,-0.05869827229548814
160,02,inf_parietal,153,153,-0.08515679130040507
161,02,inf_parietal,153,207,-0.06449775242781333
162,02,inf_parietal,153,45,-0.05936643273004437
163,02,inf_parietal,153,99,-0.08582782891425698
164,02,inf_parietal,207,153,-0.05055829099856669
165,02,inf_parietal,207,207,-0.037327007358657495
166,02,inf_parietal,207,45,-0.031272795150721136
167,02,inf_parietal,207,99,-0.04011357211151939
168,02,inf_parietal,45,153,-0.031049327483174377
169,02,inf_parietal,45,207,-0.05597023768828282
170,02,inf_parietal,45,45,-0.042801339622228554
171,02,inf_parietal,45,99,-0.05246975642148568
172,02,inf_parietal,99,153,-0.06727669849819935
173,02,inf_parietal,99,207,-0.054812715445980556
174,02,inf_parietal,99,45,-0.07074557399129852
175,02,inf_parietal,99,99,-0.043270508003014074
176,02,v5,153,153,-0.014480466855754805
177,02,v5,153,207,-0.07655221303982901
178,02,v5,153,45,-0.16996969108725501
179,02,v5,153,99,-0.1035299173173122
180,02,v5,207,153,-0.08239642668272823
181,02,v5,207,207,0.045007252698966035
182,02,v5,207,45,-0.12294170639133467
183,02,v5,207,99,-0.06591774471507955
184,02,v5,45,153,-0.15707153264722717
185,02,v5,45,207,-0.14210077691980183
186,02,v5,45,45,0.08282059195624984
187,02,v5,45,99,-0.11117248554163439
188,02,v5,99,153,-0.05978528690688059
189,02,v5,99,207,-0.09484292296694447
190,02,v5,99,45,-0.0408566841154709
191,02,v5,99,99,0.006445720461348878
