,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,-0.03980566816807951
1,01,premotor,153,207,-0.04761799971885591
2,01,premotor,153,45,-0.040458193107475435
3,01,premotor,153,99,-0.04582741704860879
4,01,premotor,207,153,0.009716864327087514
5,01,premotor,207,207,-0.03627005597865766
6,01,premotor,207,45,-0.03101717891779255
7,01,premotor,207,99,-0.037997075134078545
8,01,premotor,45,153,-0.11855512898694505
9,01,premotor,45,207,-0.05883443079139565
10,01,premotor,45,45,-0.0992598690782946
11,01,premotor,45,99,-0.09635353014572749
12,01,premotor,99,153,-0.1065086382224293
13,01,premotor,99,207,-0.06612253671442657
14,01,premotor,99,45,-0.08138288017824517
15,01,premotor,99,99,-0.08458748632222982
16,01,motor,153,153,-0.03272324417164528
17,01,motor,153,207,-0.02858656907784124
18,01,motor,153,45,0.0003422093200925562
19,01,motor,153,99,-0.03979918242710069
20,01,motor,207,153,0.006662997841587703
21,01,motor,207,207,0.01146462545287695
22,01,motor,207,45,0.004225800269936006
23,01,motor,207,99,-0.04974791601746483
24,01,motor,45,153,-0.13676163629943466
25,01,motor,45,207,-0.13261645781423326
26,01,motor,45,45,-0.14579771625908206
27,01,motor,45,99,-0.08326271271534809
28,01,motor,99,153,-0.06303808365427555
29,01,motor,99,207,-0.038295080463260855
30,01,motor,99,45,-0.0968920880970511
31,01,motor,99,99,-0.06444332209043316
32,01,v1,153,153,0.012046951008724608
33,01,v1,153,207,-0.01931424710324188
34,01,v1,153,45,-0.021395368185068424
35,01,v1,153,99,0.025480129476391396
36,01,v1,207,153,0.11051922327271801
37,01,v1,207,207,0.02191672292080052
38,01,v1,207,45,-0.04942739286390395
39,01,v1,207,99,-0.00010443044420925616
40,01,v1,45,153,-0.08729994944995045
41,01,v1,45,207,-0.01745547688130048
42,01,v1,45,45,-0.06345698352368137
43,01,v1,45,99,-0.07526645204930102
44,01,v1,99,153,-0.05152620067267098
45,01,v1,99,207,-0.007317052812487301
46,01,v1,99,45,0.019833041238094196
47,01,v1,99,99,0.015821637942574823
48,01,sup_parietal,153,153,0.018713609084696627
49,01,sup_parietal,153,207,0.0007543887026120362
50,01,sup_parietal,153,45,-0.01297094185337267
51,01,sup_parietal,153,99,-0.04997437936215072
52,01,sup_parietal,207,153,0.06024358363951997
53,01,sup_parietal,207,207,0.002413226569497808
54,01,sup_parietal,207,45,-0.048821208262620715
55,01,sup_parietal,207,99,-0.0321189953000038
56,01,sup_parietal,45,153,-0.10151102596781754
57,01,sup_parietal,45,207,0.0067190528633887334
58,01,sup_parietal,45,45,-0.07497926021827482
59,01,sup_parietal,45,99,-0.05324777775218663
60,01,sup_parietal,99,153,-0.06351378849425432
61,01,sup_parietal,99,207,-0.0735388538249842
62,01,sup_parietal,99,45,-0.03525072914690538
63,01,sup_parietal,99,99,-0.057855798712797155
64,01,inf_parietal,153,153,-0.06845681204919696
65,01,inf_parietal,153,207,-0.04475738635468997
66,01,inf_parietal,153,45,-0.027493195347681673
67,01,inf_parietal,153,99,-0.05193244709596537
68,01,inf_parietal,207,153,0.06735273791046266
69,01,inf_parietal,207,207,0.014771068414237438
70,01,inf_parietal,207,45,0.014451756940374823
71,01,inf_parietal,207,99,0.0238413832530348
72,01,inf_parietal,45,153,-0.02151227259023192
73,01,inf_parietal,45,207,0.03952592279487025
74,01,inf_parietal,45,45,0.06033997686840045
75,01,inf_parietal,45,99,0.017540030794942738
76,01,inf_parietal,99,153,0.025909271344174697
77,01,inf_parietal,99,207,-0.039485906663980594
78,01,inf_parietal,99,45,-0.029791591943739176
79,01,inf_parietal,99,99,0.0023703162721173607
80,01,v5,153,153,-0.030797315484956376
81,01,v5,153,207,-0.008097916388660465
82,01,v5,153,45,0.0036427093443385447
83,01,v5,153,99,-0.01070233704081186
84,01,v5,207,153,0.08899694415081866
85,01,v5,207,207,0.009498496475641615
