,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,-0.02724479151563063
1,01,premotor,153,207,-0.018579563940822955
2,01,premotor,153,45,-0.04464645507892596
3,01,premotor,153,99,-0.0334776317330802
4,01,premotor,207,153,-0.14466594992422277
5,01,premotor,207,207,-0.17937207106268277
6,01,premotor,207,45,-0.12298827608146667
7,01,premotor,207,99,-0.15452208741904233
8,01,premotor,45,153,-0.08053723155943635
9,01,premotor,45,207,-0.06205579432333393
10,01,premotor,45,45,-0.0627953853334183
11,01,premotor,45,99,-0.05203915930262526
12,01,premotor,99,153,-0.047907232417560196
13,01,premotor,99,207,-0.04322656802131229
14,01,premotor,99,45,-0.04240715922877117
15,01,premotor,99,99,-0.03460373258822766
16,01,motor,153,153,0.008870684540774509
17,01,motor,153,207,-0.006945360875256323
18,01,motor,153,45,0.03317406562579158
19,01,motor,153,99,0.0338595066401933
20,01,motor,207,153,-0.15898180551119434
21,01,motor,207,207,-0.09977636579307532
22,01,motor,207,45,-0.15334011516784896
23,01,motor,207,99,-0.14271080431233113
24,01,motor,45,153,-0.053873943273124836
25,01,motor,45,207,-0.056780235329275924
26,01,motor,45,45,-0.09512768652692785
27,01,motor,45,99,-0.09214383803585058
28,01,motor,99,153,-0.08034985940179779
29,01,motor,99,207,-0.093055715144824
30,01,motor,99,45,0.003957159586136572
31,01,motor,99,99,-0.05042745852721929
32,01,v1,153,153,-0.013286855852945896
33,01,v1,153,207,0.025232059901321685
34,01,v1,153,45,-0.04285576544137448
35,01,v1,153,99,-0.031025820221635424
36,01,v1,207,153,-0.061441296112986876
37,01,v1,207,207,-0.06207908311991087
38,01,v1,207,45,-0.012440422153435111
39,01,v1,207,99,-0.05415144552435716
40,01,v1,45,153,0.03624352532574612
41,01,v1,45,207,0.03131522658785038
42,01,v1,45,45,0.05846065373620071
43,01,v1,45,99,0.08225800234123187
44,01,v1,99,153,0.0064745058151803245
45,01,v1,99,207,-0.06169130166817193
46,01,v1,99,45,-0.007101637490550297
47,01,v1,99,99,0.0022155848544178442
48,01,sup_parietal,153,153,-0.04279424442942841
49,01,sup_parietal,153,207,-0.06023448110213806
50,01,sup_parietal,153,45,-0.08338796997289998
51,01,sup_parietal,153,99,-0.08137882064853774
52,01,sup_parietal,207,153,-0.14795608121221718
53,01,sup_parietal,207,207,-0.16406698350899102
54,01,sup_parietal,207,45,-0.134978445289598
55,01,sup_parietal,207,99,-0.19067490764903608
56,01,sup_parietal,45,153,-0.008460830456072814
57,01,sup_parietal,45,207,-0.04504051743031034
58,01,sup_parietal,45,45,-0.013252097638332992
59,01,sup_parietal,45,99,-0.02637148122775484
60,01,sup_parietal,99,153,-0.01605276467171528
61,01,sup_parietal,99,207,0.018809468464064765
62,01,sup_parietal,99,45,0.05271436911625332
63,01,sup_parietal,99,99,0.03866310257573308
64,01,inf_parietal,153,153,-0.05009578763200293
65,01,inf_parietal,153,207,-0.05178589904828297
66,01,inf_parietal,153,45,-0.07880963454108329
67,01,inf_parietal,153,99,-0.01830483576102268
68,01,inf_parietal,207,153,0.007054531268613204
69,01,inf_parietal,207,207,-0.04231806684050928
70,01,inf_parietal,207,45,-0.005488319785848055
71,01,inf_parietal,207,99,-0.02488494015069727
72,01,inf_parietal,45,153,-0.035361806209638955
73,01,inf_parietal,45,207,-0.012225097912329994
74,01,inf_parietal,45,45,0.019900876729572192
75,01,inf_parietal,45,99,-0.08756423220366187
76,01,inf_parietal,99,153,0.0037962757885165723
77,01,inf_parietal,99,207,-0.021535492193720245
78,01,inf_parietal,99,45,0.00024214390777669258
79,01,inf_parietal,99,99,0.0470966794368965
80,01,v5,153,153,-0.015056082645050348
81,01,v5,153,207,0.05505972919383413
82,01,v5,153,45,0.013309260356545727
83,01,v5,153,99,0.06443299757742725
84,01,v5,207,153,0.04657591505994995
85,01,v5,207,207,0.012836764240815528
86,01,v5,207,45,0.0635506968791136
87,01,v5,207,99,-0.07445532366744369
88,01,v5,45,153,-0.018094546701610415
89,01,v5,45,207,-0.09520328383621679
90,01,v5,45,45,0.02345247467670537
91,01,v5,45,99,0.007665690173894058
92,01,v5,99,153,0.05907383728292824
93,01,v5,99,207,0.058595552933111694
94,01,v5,99,45,0.09979078675895123
95,01,v5,99,99,0.07486941202191316
96,02,premotor,153,153,-0.08901711989265959
97,02,premotor,153,207,-0.09914169842815017
98,02,premotor,153,45,-0.08560367222642808
99,02,premotor,153,99,-0.03882419039729707
100,02,premotor,207,153,-0.07334469785038286
101,02,premotor,207,207,-0.03380897234297539
102,02,premotor,207,45,-0.06877060330100357
103,02,premotor,207,99,-0.11249306901089262
104,02,premotor,45,153,-0.08531032076810793
105,02,premotor,45,207,-0.08664326161402369
106,02,premotor,45,45,-0.09084068844476333
107,02,premotor,45,99,-0.09054970864240469
108,02,premotor,99,153,-0.09313264512576594
109,02,premotor,99,207,-0.10390975402149792
110,02,premotor,99,45,-0.11155274416704201
111,02,premotor,99,99,-0.08983124829653284
112,02,motor,153,153,-0.07670523755764283
113,02,motor,153,207,-0.10519075619970672
114,02,motor,153,45,-0.14086062563345353
115,02,motor,153,99,-0.05085203929363381
116,02,motor,207,153,-0.05609445413891413
117,02,motor,207,207,-0.03145944600203716
118,02,motor,207,45,-0.03579387925963748
119,02,motor,207,99,-0.06805596815209776
120,02,motor,45,153,-0.13109456178477863
121,02,motor,45,207,-0.14189218511337803
122,02,motor,45,45,-0.15074732279817438
123,02,motor,45,99,-0.1490938287862978
124,02,motor,99,153,-0.048910921490510836
125,02,motor,99,207,-0.0023426089105268305
126,02,motor,99,45,-0.027646290596127908
127,02,motor,99,99,-0.049947902594211835
128,02,v1,153,153,-0.00870036000381014
129,02,v1,153,207,-0.05795357896806304
130,02,v1,153,45,-0.04969282072881791
131,02,v1,153,99,-0.05595040483905543
132,02,v1,207,153,0.010443645264338249
133,02,v1,207,207,0.0032529175650979503
134,02,v1,207,45,-0.03925853829284813
135,02,v1,207,99,-0.06309181937143424
136,02,v1,45,153,-0.0885552913005773
137,02,v1,45,207,-0.07468212041974434
138,02,v1,45,45,-0.05317369797841004
139,02,v1,45,99,-0.08559358903321852
140,02,v1,99,153,-0.0655524444439146
141,02,v1,99,207,-0.012664584213092142
142,02,v1,99,45,-0.03674644711044277
143,02,v1,99,99,0.03858351222583922
144,02,sup_parietal,153,153,-0.03129354767043363
145,02,sup_parietal,153,207,-0.04807185655392669
146,02,sup_parietal,153,45,-0.04441241726904287
147,02,sup_parietal,153,99,-0.06108761195784654
148,02,sup_parietal,207,153,-0.10104272758379734
149,02,sup_parietal,207,207,-0.0492188251701251
