,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,-0.040108516524597224
1,01,premotor,153,207,-0.048241454163802634
2,01,premotor,153,45,-0.0612968270655347
3,01,premotor,153,99,-0.050301883685172466
4,01,premotor,207,153,-0.030753317318988664
5,01,premotor,207,207,-0.06118303399130057
6,01,premotor,207,45,0.004108050712195799
7,01,premotor,207,99,-0.045422399327393156
8,01,premotor,45,153,-0.09040142331017323
9,01,premotor,45,207,-0.07710925178115294
10,01,premotor,45,45,-0.08672359550410837
11,01,premotor,45,99,-0.06571538240819728
12,01,premotor,99,153,-0.04116728487174606
13,01,premotor,99,207,-0.04648851332471695
14,01,premotor,99,45,-0.06892637915124943
15,01,premotor,99,99,-0.028938575491267333
16,01,motor,153,153,-0.030838226222947223
17,01,motor,153,207,-0.036192509103455714
18,01,motor,153,45,0.00522745832859838
19,01,motor,153,99,-0.048967391654887865
20,01,motor,207,153,-0.026487163960693366
21,01,motor,207,207,0.027980307798262778
22,01,motor,207,45,-0.042495477646744106
23,01,motor,207,99,0.020200636746896525
24,01,motor,45,153,-0.05387001019732785
25,01,motor,45,207,-0.09929991855925657
26,01,motor,45,45,-0.044750448688212346
27,01,motor,45,99,-0.03457014668496978
28,01,motor,99,153,-0.052186366663748034
29,01,motor,99,207,-0.0736301107801915
30,01,motor,99,45,-0.06562127144204384
31,01,motor,99,99,-0.06190247444730226
32,01,v1,153,153,-0.04473396910943722
33,01,v1,153,207,-0.05891631865782399
34,01,v1,153,45,-0.08048033989765185
35,01,v1,153,99,-0.07281307995280302
36,01,v1,207,153,0.012102994046668576
37,01,v1,207,207,0.016168711450001014
38,01,v1,207,45,0.05724767464877123
39,01,v1,207,99,0.0020783989914713316
40,01,v1,45,153,-0.06074063387681096
41,01,v1,45,207,-0.0817818648879995
42,01,v1,45,45,-0.06604610096539465
43,01,v1,45,99,-0.03459941674155008
44,01,v1,99,153,-0.0007401748455503378
45,01,v1,99,207,-0.00664230496035619
46,01,v1,99,45,-0.003614557113581771
47,01,v1,99,99,0.015956487261565972
48,01,sup_parietal,153,153,-0.06453444573152416
49,01,sup_parietal,153,207,-0.05461724274802795
50,01,sup_parietal,153,45,-0.028216410564359626
51,01,sup_parietal,153,99,-0.02414204712162421
52,01,sup_parietal,207,153,-0.02292395611363097
53,01,sup_parietal,207,207,-0.022585012533942756
54,01,sup_parietal,207,45,0.008834634669643838
55,01,sup_parietal,207,99,-0.028220381773733094
56,01,sup_parietal,45,153,-0.03324899003272624
57,01,sup_parietal,45,207,-0.07468477169602279
58,01,sup_parietal,45,45,-0.06624640593228136
59,01,sup_parietal,45,99,-0.04422473630238756
60,01,sup_parietal,99,153,-0.012741927833223622
61,01,sup_parietal,99,207,-0.059212066433434074
62,01,sup_parietal,99,45,-0.07380521829100357
63,01,sup_parietal,99,99,0.0067920040567892095
