,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,0.046258134845893834
1,01,premotor,153,207,-0.004026501373431696
2,01,premotor,153,45,-0.00912362414416783
3,01,premotor,153,99,0.00657469326871055
4,01,premotor,207,153,0.01783677496644034
5,01,premotor,207,207,-0.019695116870558773
6,01,premotor,207,45,0.0275737822927823
7,01,premotor,207,99,-0.03276328451628814
8,01,premotor,45,153,-0.032522374914557194
9,01,premotor,45,207,0.06570318254272424
10,01,premotor,45,45,0.0027741694456049626
11,01,premotor,45,99,-0.019934082371103994
12,01,premotor,99,153,0.010618077187910979
13,01,premotor,99,207,-0.02231927419254018
14,01,premotor,99,45,0.048318026256607624
15,01,premotor,99,99,0.058102051185979914
16,01,motor,153,153,0.013496595606855455
17,01,motor,153,207,-0.08144132575617173
18,01,motor,153,45,0.03437030314300641
19,01,motor,153,99,0.030979239814459453
20,01,motor,207,153,-0.005643642669080705
21,01,motor,207,207,0.07140673551191407
22,01,motor,207,45,-0.03185245065492467
23,01,motor,207,99,-0.025047457047676327
24,01,motor,45,153,0.06040439604832387
25,01,motor,45,207,-0.040051138488575465
26,01,motor,45,45,0.046161191467290016
27,01,motor,45,99,-0.01742068365240921
28,01,motor,99,153,-0.07569108128247846
29,01,motor,99,207,0.06918620619260729
30,01,motor,99,45,0.007930525233302272
31,01,motor,99,99,0.038816004803128606
32,01,v1,153,153,0.06416806822336586
33,01,v1,153,207,-0.013595439090616097
34,01,v1,153,45,0.015295837898174462
35,01,v1,153,99,0.020485083948096207
36,01,v1,207,153,0.008585267819624647
37,01,v1,207,207,-0.035014447969905174
38,01,v1,207,45,-0.0033561913920346614
39,01,v1,207,99,0.004884225146962018
40,01,v1,45,153,0.02155241567688057
41,01,v1,45,207,0.016883556001010058
42,01,v1,45,45,0.022093080418838222
43,01,v1,45,99,0.006785406551633305
44,01,v1,99,153,-0.040591921569077025
45,01,v1,99,207,0.028337465986646458
46,01,v1,99,45,0.018517158838034863
47,01,v1,99,99,0.02070478257049401
48,01,sup_parietal,153,153,-0.11600025402665042
49,01,sup_parietal,153,207,0.007111739182262896
50,01,sup_parietal,153,45,0.10114915016979079
51,01,sup_parietal,153,99,0.04720424895185893
52,01,sup_parietal,207,153,0.06460145411686394
53,01,sup_parietal,207,207,-0.015057302188981797
54,01,sup_parietal,207,45,-0.00011939581706045619
55,01,sup_parietal,207,99,0.04507966093263889
56,01,sup_parietal,45,153,0.08202495585014188
57,01,sup_parietal,45,207,0.046894405475390644
58,01,sup_parietal,45,45,-0.051765583326517116
59,01,sup_parietal,45,99,-0.05599194269871306
60,01,sup_parietal,99,153,0.014026502516223355
61,01,sup_parietal,99,207,-0.0292954655220947
62,01,sup_parietal,99,45,0.01719111167922753
63,01,sup_parietal,99,99,-0.011619050967210574
64,01,inf_parietal,153,153,-0.05780919412455437
65,01,inf_parietal,153,207,0.062495867201698946
66,01,inf_parietal,153,45,0.007668518441631366
67,01,inf_parietal,153,99,0.031910063365731746
68,01,inf_parietal,207,153,-0.016030657752489616
69,01,inf_parietal,207,207,-0.0076315621253364874
70,01,inf_parietal,207,45,-0.021060579481902018
71,01,inf_parietal,207,99,0.01814466214759454
72,01,inf_parietal,45,153,-0.02159572298354591
73,01,inf_parietal,45,207,-0.016053020190681742
74,01,inf_parietal,45,45,0.04375511836797508
75,01,inf_parietal,45,99,-0.0035315122490854594
76,01,inf_parietal,99,153,0.046684879500137846
77,01,inf_parietal,99,207,-0.016040851948211837
78,01,inf_parietal,99,45,-0.018382605746234123
79,01,inf_parietal,99,99,0.021174674391266808
80,01,v5,153,153,-0.014514128648962558
81,01,v5,153,207,-0.00456819866360501
82,01,v5,153,45,0.07499828093878828
83,01,v5,153,99,0.019198592762450117
84,01,v5,207,153,0.010535634028599614
85,01,v5,207,207,-0.02835872214940567
86,01,v5,207,45,-6.83230642646443e-05
87,01,v5,207,99,-0.04903305288777428
88,01,v5,45,153,-0.0298865587692907
89,01,v5,45,207,0.0010408747204407182
90,01,v5,45,45,-0.020158361329927668
91,01,v5,45,99,0.038393234053046135
92,01,v5,99,153,-0.13888321615849214
93,01,v5,99,207,0.007847379888486855
94,01,v5,99,45,0.11795637862944197
95,01,v5,99,99,0.014778183521787065
96,02,premotor,153,153,-0.02585775322002161
97,02,premotor,153,207,0.04946153016482578
98,02,premotor,153,45,0.016326750585798806
99,02,premotor,153,99,0.0018037162224057886
100,02,premotor,207,153,-0.010809239132101498
101,02,premotor,207,207,0.014800992159545012
102,02,premotor,207,45,0.026070010251764114
103,02,premotor,207,99,0.02143575736120981
104,02,premotor,45,153,0.06367932370604125
105,02,premotor,45,207,-0.05723546679364956
106,02,premotor,45,45,-0.008739098831828832
107,02,premotor,45,99,0.0114472772971041
108,02,premotor,99,153,0.02312483435045478
109,02,premotor,99,207,0.011868512512116316
110,02,premotor,99,45,-0.012136359577091612
111,02,premotor,99,99,-0.023460158250778382
112,02,motor,153,153,-0.02573941822971024
113,02,motor,153,207,0.05801506070100091
114,02,motor,153,45,-0.005143416726183986
115,02,motor,153,99,0.009424417484562348
116,02,motor,207,153,-0.03276336110795941
117,02,motor,207,207,-0.023051457034909337
118,02,motor,207,45,0.0625913327033546
119,02,motor,207,99,0.005553433368934286
120,02,motor,45,153,0.022612114296705923
121,02,motor,45,207,-0.011323391138386225
122,02,motor,45,45,-0.003763406409375461
123,02,motor,45,99,0.054587879878448896
124,02,motor,99,153,0.06069657984266471
125,02,motor,99,207,0.028908980298434434
126,02,motor,99,45,0.009932274257469937
127,02,motor,99,99,-0.05844153855516156
128,02,v1,153,153,0.30360565136527695
129,02,v1,153,207,-0.12686582834696597
130,02,v1,153,45,0.00738644909811065
131,02,v1,153,99,-0.13552221123893915
132,02,v1,207,153,-0.1774716914664005
133,02,v1,207,207,0.38953281255188715
134,02,v1,207,45,-0.062188133382818214
135,02,v1,207,99,-0.05452380814415361
136,02,v1,45,153,-0.0716896055120082
137,02,v1,45,207,-0.11304064354511086
138,02,v1,45,45,0.2968276412261683
139,02,v1,45,99,0.009875350034448935
140,02,v1,99,153,-0.020980071938728563
141,02,v1,99,207,-0.06213056637538587
142,02,v1,99,45,-0.13007022219495662
143,02,v1,99,99,0.28219922471091435
144,02,sup_parietal,153,153,0.03784612719149084
145,02,sup_parietal,153,207,0.07148137389171243
146,02,sup_parietal,153,45,-0.026946766986885813
147,02,sup_parietal,153,99,-0.03247253559053809
148,02,sup_parietal,207,153,0.041951066136777765
149,02,sup_parietal,207,207,0.11131044643465338
150,02,sup_parietal,207,45,-0.014140490127293664
151,02,sup_parietal,207,99,-0.04912379012691387
152,02,sup_parietal,45,153,-0.01829005978553116
153,02,sup_parietal,45,207,-0.16106135836675328
154,02,sup_parietal,45,45,0.06989025299705434
155,02,sup_parietal,45,99,0.07613934759905894
156,02,sup_parietal,99,153,0.008783464612955844
157,02,sup_parietal,99,207,0.004398496508710693
158,02,sup_parietal,99,45,-0.020174122984640556
159,02,sup_parietal,99,99,0.03407552711280784
160,02,inf_parietal,153,153,-0.05806779011308623
161,02,inf_parietal,153,207,0.05952556034090792
162,02,inf_parietal,153,45,0.05175180083913687
163,02,inf_parietal,153,99,-0.008852255132403895
164,02,inf_parietal,207,153,0.0015693734275290597
165,02,inf_parietal,207,207,0.02900154410707808
166,02,inf_parietal,207,45,0.0041918457153608465
167,02,inf_parietal,207,99,0.02099336775379121
168,02,inf_parietal,45,153,0.060286375538778136
169,02,inf_parietal,45,207,0.0014055892904703514
170,02,inf_parietal,45,45,-0.004667230627227598
171,02,inf_parietal,45,99,-0.020523819788649186
172,02,inf_parietal,99,153,-0.0005503602442490096
173,02,inf_parietal,99,207,0.009055352787136242
174,02,inf_parietal,99,45,-0.040407920533322046
175,02,inf_parietal,99,99,0.05049884237776129
176,02,v5,153,153,0.2674019342716034
177,02,v5,153,207,-0.01312862046824463
178,02,v5,153,45,-0.18975508394766893
179,02,v5,153,99,-0.09613510869204031
180,02,v5,207,153,-0.07731744211341174
181,02,v5,207,207,0.19793613990897901
182,02,v5,207,45,-0.08684640194937046
183,02,v5,207,99,-0.08162611107683537
184,02,v5,45,153,-0.16655859536872358
185,02,v5,45,207,-0.06051326385824137
186,02,v5,45,45,0.4524067270379626
187,02,v5,45,99,-0.16945771959785977
188,02,v5,99,153,-0.0006791563061981504
189,02,v5,99,207,-0.12040121794678602
190,02,v5,99,45,-0.07323384314112091
191,02,v5,99,99,0.23896882657005986
192,03,premotor,153,153,-0.00706240052256653
193,03,premotor,153,207,0.025405209179763504
194,03,premotor,153,45,0.0033033691448758275
195,03,premotor,153,99,-0.028176539944757148
196,03,premotor,207,153,-0.04061029932684634
197,03,premotor,207,207,0.014396879718541764
198,03,premotor,207,45,0.027717457403707426
199,03,premotor,207,99,0.006315706702063583
200,03,premotor,45,153,0.08113137617074667
201,03,premotor,45,207,-0.08984343833218736
202,03,premotor,45,45,0.050115496438156236
203,03,premotor,45,99,0.06180764894000041
204,03,premotor,99,153,-0.005227506084299721
205,03,premotor,99,207,0.06733109647553154
206,03,premotor,99,45,-0.02126482154733943
207,03,premotor,99,99,0.007208334164908325
208,03,motor,153,153,0.00030549657744713583
209,03,motor,153,207,0.04316852230261885
210,03,motor,153,45,-0.002808573319299115
211,03,motor,153,99,-0.028963065195233912
212,03,motor,207,153,-0.01287408667834986
213,03,motor,207,207,0.0666053612928788
214,03,motor,207,45,0.05092985036675215
215,03,motor,207,99,-0.0770880363989103
216,03,motor,45,153,0.034033951585544925
217,03,motor,45,207,-0.11130691442452666
218,03,motor,45,45,0.021487117332472935
219,03,motor,45,99,0.14558941939441947
220,03,motor,99,153,0.019743110178604625
221,03,motor,99,207,0.0075634016567113676
222,03,motor,99,45,-0.024430862995410564
223,03,motor,99,99,0.022322615871078835
224,03,v1,153,153,0.1669916351431605
225,03,v1,153,207,0.05762844583699099
226,03,v1,153,45,0.017432014301503585
227,03,v1,153,99,-0.1133736179853517
228,03,v1,207,153,-0.04188480906830443
229,03,v1,207,207,0.2114202979728874
230,03,v1,207,45,0.024162757848979092
231,03,v1,207,99,0.012336956620144328
232,03,v1,45,153,0.005934100016637503
233,03,v1,45,207,-0.18865165229455014
234,03,v1,45,45,0.31536898489514864
235,03,v1,45,99,-0.06159504771553566
236,03,v1,99,153,0.019003261346379727
237,03,v1,99,207,-0.09393846819756889
238,03,v1,99,45,-0.13318677984691474
239,03,v1,99,99,0.24433788442337268
240,03,sup_parietal,153,153,0.03264757858901354
241,03,sup_parietal,153,207,-0.03214703831981999
242,03,sup_parietal,153,45,0.06789192632865164
243,03,sup_parietal,153,99,-0.03129686897231964
244,03,sup_parietal,207,153,0.03998416503536692
245,03,sup_parietal,207,207,0.033231576660266354
246,03,sup_parietal,207,45,0.11865704582269604
247,03,sup_parietal,207,99,-0.10486997186902723
248,03,sup_parietal,45,153,-0.08849854450003677
249,03,sup_parietal,45,207,-0.010981074856136575
250,03,sup_parietal,45,45,-0.030365102161407177
251,03,sup_parietal,45,99,0.10039379305843442
252,03,sup_parietal,99,153,-0.013714404717593925
253,03,sup_parietal,99,207,0.032433398187355474
254,03,sup_parietal,99,45,0.006330580407616282
255,03,sup_parietal,99,99,0.036994924859008085
256,03,inf_parietal,153,153,-0.05778043468525561
257,03,inf_parietal,153,207,-0.026519066134112944
258,03,inf_parietal,153,45,0.040482406718681946
259,03,inf_parietal,153,99,0.03662241012121158
260,03,inf_parietal,207,153,0.03548314349747493
261,03,inf_parietal,207,207,0.047043875513450364
262,03,inf_parietal,207,45,0.025223024677551314
263,03,inf_parietal,207,99,-0.03845335702234443
264,03,inf_parietal,45,153,0.01881877526080763
265,03,inf_parietal,45,207,0.012884750066714155
266,03,inf_parietal,45,45,0.009016500734282179
267,03,inf_parietal,45,99,0.02154517422952596
268,03,inf_parietal,99,153,0.043275989551716874
269,03,inf_parietal,99,207,0.017654383023536044
270,03,inf_parietal,99,45,0.025103269257445375
271,03,inf_parietal,99,99,-0.022902704996452358
272,03,v5,153,153,0.1367840769592817
273,03,v5,153,207,0.02403184662095682
274,03,v5,153,45,-0.06381337597940154
275,03,v5,153,99,-0.0946566482137174
276,03,v5,207,153,-0.10077423321388532
277,03,v5,207,207,0.08910080588138011
278,03,v5,207,45,0.06700855962834928
279,03,v5,207,99,0.04866285101269397
280,03,v5,45,153,-0.0725002691044882
281,03,v5,45,207,-0.025720214608801265
282,03,v5,45,45,0.15141102476557844
283,03,v5,45,99,0.03795325053350725
284,03,v5,99,153,0.06699623112688263
285,03,v5,99,207,-0.1320536338312539
286,03,v5,99,45,0.043362862084693046
287,03,v5,99,99,0.08574490751556246
288,04,premotor,153,153,-0.017208726776521587
289,04,premotor,153,207,0.03763270910491311
290,04,premotor,153,45,-0.03293386641601966
291,04,premotor,153,99,0.01276636755372795
292,04,premotor,207,153,0.04065564592790071
293,04,premotor,207,207,0.009062921021319345
294,04,premotor,207,45,0.045011001617203034
295,04,premotor,207,99,-0.025586657166959563
296,04,premotor,45,153,0.015769753424909605
297,04,premotor,45,207,-0.054108020832128886
298,04,premotor,45,45,0.07433903692128513
299,04,premotor,45,99,0.029084488622495717
300,04,premotor,99,153,-0.007710090142558231
301,04,premotor,99,207,0.03690889744487891
302,04,premotor,99,45,-0.018250220861203505
303,04,premotor,99,99,0.022862926816840507
304,04,motor,153,153,-0.05511328264514269
305,04,motor,153,207,0.11422549156187634
306,04,motor,153,45,0.00825241875369562
307,04,motor,153,99,-0.031749181430493253
308,04,motor,207,153,0.03752862601583355
309,04,motor,207,207,-0.03642039203223523
310,04,motor,207,45,0.031282657872879684
311,04,motor,207,99,-0.026673403098067747
312,04,motor,45,153,0.013227923321826072
313,04,motor,45,207,-0.024413696787562826
314,04,motor,45,45,0.06378322730462233
315,04,motor,45,99,0.051946877108523526
316,04,motor,99,153,0.038173319572313305
317,04,motor,99,207,-0.02317358748387227
318,04,motor,99,45,-0.03475714222223279
319,04,motor,99,99,0.03733431811739167
320,04,v1,153,153,0.3581926404329136
321,04,v1,153,207,-0.1277418136423943
322,04,v1,153,45,-0.09249555554882456
323,04,v1,153,99,-0.04368885816103785
324,04,v1,207,153,-0.13659926335671002
325,04,v1,207,207,0.30733380901383645
326,04,v1,207,45,-0.05486318604824668
327,04,v1,207,99,-0.004092152832509749
328,04,v1,45,153,-0.08520687640871971
329,04,v1,45,207,-0.031063074194621558
330,04,v1,45,45,0.3324234044893451
331,04,v1,45,99,-0.07537225931409927
332,04,v1,99,153,-0.06316871983941616
333,04,v1,99,207,-0.05936163110933554
334,04,v1,99,45,-0.08555048903242196
335,04,v1,99,99,0.2854332872335459
336,04,sup_parietal,153,153,0.1922317663631274
337,04,sup_parietal,153,207,-0.05460178295833637
338,04,sup_parietal,153,45,-0.13338830636769755
339,04,sup_parietal,153,99,0.028173616916189838
340,04,sup_parietal,207,153,0.02127926082319722
341,04,sup_parietal,207,207,0.28371511066335187
342,04,sup_parietal,207,45,-0.08255875777897725
343,04,sup_parietal,207,99,-0.165106111156116
344,04,sup_parietal,45,153,-0.10751326019719962
345,04,sup_parietal,45,207,-0.07419401460930275
346,04,sup_parietal,45,45,0.1966915388799207
347,04,sup_parietal,45,99,0.02070548506698434
348,04,sup_parietal,99,153,-0.02018902198530953
349,04,sup_parietal,99,207,-0.0788079081763216
350,04,sup_parietal,99,45,0.017722066160316737
351,04,sup_parietal,99,99,0.09987613689320529
352,04,inf_parietal,153,153,0.03886186091493644
353,04,inf_parietal,153,207,0.04873814998771213
354,04,inf_parietal,153,45,-0.025873029356483848
355,04,inf_parietal,153,99,0.029657950385453612
356,04,inf_parietal,207,153,-0.01537108046579076
357,04,inf_parietal,207,207,0.01842156108723703
358,04,inf_parietal,207,45,0.019816115237377453
359,04,inf_parietal,207,99,0.0352024546415305
360,04,inf_parietal,45,153,-0.002578454816710714
361,04,inf_parietal,45,207,-0.03554638263259073
362,04,inf_parietal,45,45,0.03921306875245212
363,04,inf_parietal,45,99,0.005003258870296382
364,04,inf_parietal,99,153,0.04547954193033623
365,04,inf_parietal,99,207,-0.011285487416975078
366,04,inf_parietal,99,45,-0.003564714269224587
367,04,inf_parietal,99,99,0.020952511805495108
368,04,v5,153,153,0.09663097998709758
369,04,v5,153,207,-0.03347118007279967
370,04,v5,153,45,-0.14790660171855774
371,04,v5,153,99,0.08017463584525944
372,04,v5,207,153,0.01792726939634998
373,04,v5,207,207,0.2257663808602814
374,04,v5,207,45,-0.17108105672553509
375,04,v5,207,99,-0.0495685324273543
376,04,v5,45,153,-0.07834139287062696
377,04,v5,45,207,0.016564466019968586
378,04,v5,45,45,0.25192850203214723
379,04,v5,45,99,-0.09009467801410802
380,04,v5,99,153,-0.08408780815905026
381,04,v5,99,207,-0.1554409769835356
382,04,v5,99,45,0.03790364322853397
383,04,v5,99,99,0.0637892367242966
384,05,premotor,153,153,-0.01661096824120583
385,05,premotor,153,207,0.04806941023807555
386,05,premotor,153,45,0.0034911702475302784
387,05,premotor,153,99,-0.005610040117077697
388,05,premotor,207,153,0.012469573078147464
389,05,premotor,207,207,0.013958170139330518
390,05,premotor,207,45,0.021331785631034147
391,05,premotor,207,99,0.009684306459513051
392,05,premotor,45,153,0.05708106369078941
393,05,premotor,45,207,-0.073540427463379
394,05,premotor,45,45,-0.00099444781283947
395,05,premotor,45,99,0.03509757249073325
396,05,premotor,99,153,0.00500325007275727
397,05,premotor,99,207,0.03862734322673801
398,05,premotor,99,45,0.009833222861934214
399,05,premotor,99,99,-0.014265800691241216
400,05,motor,153,153,-0.07772021933111298
401,05,motor,153,207,0.0713251321348948
402,05,motor,153,45,-0.019603583506879924
403,05,motor,153,99,0.01734888329609066
404,05,motor,207,153,0.055744598146009156
405,05,motor,207,207,-0.035761937075171966
406,05,motor,207,45,0.02174755525060145
407,05,motor,207,99,-0.011806688184734598
408,05,motor,45,153,0.06598755026435675
409,05,motor,45,207,-0.022007572962359147
410,05,motor,45,45,0.05204983016352714
411,05,motor,45,99,-0.03524223642128885
412,05,motor,99,153,-0.009972891648378031
413,05,motor,99,207,0.015124332552560259
414,05,motor,99,45,0.015516376590370463
415,05,motor,99,99,0.0321743049429696
416,05,v1,153,153,0.05146230308137807
417,05,v1,153,207,0.14002509876154606
418,05,v1,153,45,0.06997655863042307
419,05,v1,153,99,-0.13866870530427527
420,05,v1,207,153,-0.026469006107775576
421,05,v1,207,207,0.12789457431709272
422,05,v1,207,45,0.018025126386693482
423,05,v1,207,99,0.03366444102535676
424,05,v1,45,153,-0.05442490037770709
425,05,v1,45,207,-0.07427111836551567
426,05,v1,45,45,0.2205074553594195
427,05,v1,45,99,0.021395507228418525
428,05,v1,99,153,0.10267241798844742
429,05,v1,99,207,-0.1206656500182207
430,05,v1,99,45,-0.11045433618570463
431,05,v1,99,99,0.13834211293589055
432,05,sup_parietal,153,153,0.019609831721650005
433,05,sup_parietal,153,207,0.06314895998075958
434,05,sup_parietal,153,45,-0.07825586469862844
435,05,sup_parietal,153,99,0.013095798185643763
436,05,sup_parietal,207,153,0.02504764531703698
437,05,sup_parietal,207,207,0.15182800622204612
438,05,sup_parietal,207,45,-0.11645067801073555
439,05,sup_parietal,207,99,0.032587023814241604
440,05,sup_parietal,45,153,-0.009946232587319168
441,05,sup_parietal,45,207,-0.15160349655869246
442,05,sup_parietal,45,45,0.10869304368529373
443,05,sup_parietal,45,99,0.0475978263706799
444,05,sup_parietal,99,153,0.014568407945745895
445,05,sup_parietal,99,207,0.0011103691442257424
446,05,sup_parietal,99,45,0.060540515151106054
447,05,sup_parietal,99,99,0.005871619272468466
448,05,inf_parietal,153,153,0.049209462938012566
449,05,inf_parietal,153,207,0.029478107764363763
450,05,inf_parietal,153,45,-0.01122853688301844
451,05,inf_parietal,153,99,-0.06359492086969239
452,05,inf_parietal,207,153,-0.0035736603895821966
453,05,inf_parietal,207,207,-0.01394323135296947
454,05,inf_parietal,207,45,-0.011260017561165007
455,05,inf_parietal,207,99,0.007176065824199248
456,05,inf_parietal,45,153,0.0056738193269999775
457,05,inf_parietal,45,207,0.004577849323373208
458,05,inf_parietal,45,45,0.0045658130848267395
459,05,inf_parietal,45,99,0.025094214316815633
460,05,inf_parietal,99,153,-0.004590549368018022
461,05,inf_parietal,99,207,0.022668500975780027
462,05,inf_parietal,99,45,0.05103042901728307
463,05,inf_parietal,99,99,0.007943101910296877
464,05,v5,153,153,0.15448427670506143
465,05,v5,153,207,0.1426400275408699
466,05,v5,153,45,-0.24260968283085724
467,05,v5,153,99,-0.15174334287020552
468,05,v5,207,153,-0.07902403707359235
469,05,v5,207,207,0.01501861676798491
470,05,v5,207,45,-0.01754400695873732
471,05,v5,207,99,-0.015629296401226525
472,05,v5,45,153,-0.10579690978180101
473,05,v5,45,207,-0.13320138521400054
474,05,v5,45,45,0.32975590816194655
475,05,v5,45,99,-0.0017472439910829396
476,05,v5,99,153,-0.041673662491965975
477,05,v5,99,207,-0.029494906954657604
478,05,v5,99,45,0.0026676336841472276
479,05,v5,99,99,0.1445928685517249
480,06,premotor,153,153,0.0316666611572972
481,06,premotor,153,207,0.048332200915741114
482,06,premotor,153,45,-0.018005176720593805
483,06,premotor,153,99,-0.008229598519070588
484,06,premotor,207,153,0.01228018496500768
485,06,premotor,207,207,-0.01496705238007508
486,06,premotor,207,45,0.05561849436585968
487,06,premotor,207,99,0.006959926590822252
488,06,premotor,45,153,0.012683207509103692
489,06,premotor,45,207,-0.0074237166659517646
490,06,premotor,45,45,0.039833940312386594
491,06,premotor,45,99,-0.0017319849853448376
492,06,premotor,99,153,-0.009467063006584855
493,06,premotor,99,207,0.02462072232469028
494,06,premotor,99,45,-0.0038940271178328316
495,06,premotor,99,99,0.015042947536527745
496,06,motor,153,153,0.020698001677232566
497,06,motor,153,207,0.052437540241422845
498,06,motor,153,45,0.07840015181464677
499,06,motor,153,99,0.010556171151069996
500,06,motor,207,153,-0.06511185717259257
501,06,motor,207,207,0.06688438729935492
502,06,motor,207,45,0.0036765850499811637
503,06,motor,207,99,0.021087585637587555
504,06,motor,45,153,0.074489284545841
505,06,motor,45,207,-0.08406550209390562
506,06,motor,45,45,0.03998868874966012
507,06,motor,45,99,0.05557868503646009
508,06,motor,99,153,0.0351115860542202
509,06,motor,99,207,0.04260807009523149
510,06,motor,99,45,0.0002321962668470831
511,06,motor,99,99,-0.0393106972822004
512,06,v1,153,153,0.32745179272936864
513,06,v1,153,207,-0.11858128185876962
514,06,v1,153,45,-0.10435551661826857
515,06,v1,153,99,-0.002018095330028562
516,06,v1,207,153,-0.16004527934174306
517,06,v1,207,207,0.3477566254671778
518,06,v1,207,45,0.04376117586689903
519,06,v1,207,99,-0.025099559090686566
520,06,v1,45,153,-0.01891703019351956
521,06,v1,45,207,-0.09801265050594157
522,06,v1,45,45,0.35956684367419167
523,06,v1,45,99,-0.09420318309252589
524,06,v1,99,153,-0.06792021212235808
525,06,v1,99,207,0.037629074490573386
526,06,v1,99,45,-0.10455901123874495
527,06,v1,99,99,0.2426092048734455
528,06,sup_parietal,153,153,-0.012036643889608326
529,06,sup_parietal,153,207,0.010038384081675893
530,06,sup_parietal,153,45,-0.02574804665523782
531,06,sup_parietal,153,99,0.024831766146621352
532,06,sup_parietal,207,153,-0.002377287804148559
533,06,sup_parietal,207,207,0.10939486973367389
534,06,sup_parietal,207,45,0.06224158560297796
535,06,sup_parietal,207,99,-0.08921449836339432
536,06,sup_parietal,45,153,0.08002354114635948
537,06,sup_parietal,45,207,-0.047523303063420244
538,06,sup_parietal,45,45,0.08085444285521177
539,06,sup_parietal,45,99,-0.006300971443432484
540,06,sup_parietal,99,153,-0.04262626422476602
541,06,sup_parietal,99,207,0.004583443040978071
542,06,sup_parietal,99,45,-0.08038559018209764
543,06,sup_parietal,99,99,0.09106027951702021
544,06,inf_parietal,153,153,0.03048349699301564
545,06,inf_parietal,153,207,-0.010200106564797685
546,06,inf_parietal,153,45,0.06663603406865469
547,06,inf_parietal,153,99,-0.0150760302216599
548,06,inf_parietal,207,153,-0.021953152210226902
549,06,inf_parietal,207,207,-0.009173689615845203
550,06,inf_parietal,207,45,0.04821948075523222
551,06,inf_parietal,207,99,-0.006018641632917623
552,06,inf_parietal,45,153,0.023689093421872545
553,06,inf_parietal,45,207,-0.07064771090272465
554,06,inf_parietal,45,45,0.020473306244971727
555,06,inf_parietal,45,99,0.04802562989436852
556,06,inf_parietal,99,153,-0.019189179919130904
557,06,inf_parietal,99,207,0.14827617787765715
558,06,inf_parietal,99,45,-0.09450816288856904
559,06,inf_parietal,99,99,0.018812030901424318
560,06,v5,153,153,0.17000664270832885
561,06,v5,153,207,0.03801761133985773
562,06,v5,153,45,-0.24912605557525425
563,06,v5,153,99,0.011045258388315563
564,06,v5,207,153,-0.09740462684759552
565,06,v5,207,207,0.11363541569065624
566,06,v5,207,45,0.14831381352270376
567,06,v5,207,99,-0.1204844813931645
568,06,v5,45,153,-0.14756086137019717
569,06,v5,45,207,0.033345592759608994
570,06,v5,45,45,0.12478843954759541
571,06,v5,45,99,0.17702628633242923
572,06,v5,99,153,-0.007747977313001801
573,06,v5,99,207,-0.06300888940576614
574,06,v5,99,45,-0.023441711985872946
575,06,v5,99,99,0.0006833685016360211
576,07,premotor,153,153,0.045793939250663995
577,07,premotor,153,207,0.04558610984332154
578,07,premotor,153,45,-0.02016501724339928
579,07,premotor,153,99,-0.02867327825176509
580,07,premotor,207,153,-0.025292604533392878
581,07,premotor,207,207,0.03991688403310016
582,07,premotor,207,45,0.05976489761289827
583,07,premotor,207,99,0.004170349600667721
