,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,-0.01737016618726431
1,01,premotor,153,207,0.023819158436826214
2,01,premotor,153,45,0.0076077323366390386
3,01,premotor,153,99,-0.004893284250283045
4,01,premotor,207,153,-0.009225921906350219
5,01,premotor,207,207,-0.02499092067696217
6,01,premotor,207,45,0.020780351464171877
7,01,premotor,207,99,0.02976124265793325
8,01,premotor,45,153,0.0031052939331517003
9,01,premotor,45,207,0.011993040265980361
10,01,premotor,45,45,-0.004074890872391428
11,01,premotor,45,99,-0.012766970797312508
12,01,premotor,99,153,0.03349188397136255
13,01,premotor,99,207,0.003658179720724051
14,01,premotor,99,45,-0.03382276873684713
15,01,premotor,99,99,-0.02376649572561046
16,01,motor,153,153,-0.03186004874695221
17,01,motor,153,207,0.022646721688504835
18,01,motor,153,45,0.014924830635895985
19,01,motor,153,99,-0.007518125474310215
20,01,motor,207,153,0.04868954686451152
21,01,motor,207,207,0.04557522585563938
22,01,motor,207,45,-0.07968457713564643
23,01,motor,207,99,-0.004520552996711849
24,01,motor,45,153,0.03292554512748781
25,01,motor,45,207,-0.03323010073040944
26,01,motor,45,45,0.017832251264432095
27,01,motor,45,99,-0.02333729903343855
28,01,motor,99,153,-0.06292116678287905
29,01,motor,99,207,-0.03148020514719849
30,01,motor,99,45,0.06703996416564922
31,01,motor,99,99,0.028828372863221784
32,01,v1,153,153,0.053570258128739626
33,01,v1,153,207,-0.038088404862461525
34,01,v1,153,45,-0.01838339399164133
35,01,v1,153,99,0.02683420785390173
36,01,v1,207,153,-0.010549446317318682
37,01,v1,207,207,0.011858245588210466
38,01,v1,207,45,0.015168824246466761
39,01,v1,207,99,-0.03426068911876971
40,01,v1,45,153,-0.011807276169223025
41,01,v1,45,207,0.018995131019997655
42,01,v1,45,45,0.024354503659833215
43,01,v1,45,99,-0.031602526243182286
44,01,v1,99,153,-0.038936813664365216
45,01,v1,99,207,0.010011862953148121
46,01,v1,99,45,-0.006789509546205728
47,01,v1,99,99,0.03188539996427766
48,01,sup_parietal,153,153,-0.02003130874745043
49,01,sup_parietal,153,207,0.028616814158126128
50,01,sup_parietal,153,45,0.017540793111248544
51,01,sup_parietal,153,99,0.0031226707028447
52,01,sup_parietal,207,153,0.03936639563249242
53,01,sup_parietal,207,207,-0.02973044986322921
54,01,sup_parietal,207,45,0.024139520443834474
55,01,sup_parietal,207,99,-0.07105754588301111
56,01,sup_parietal,45,153,0.000537954542495488
57,01,sup_parietal,45,207,0.05873494569327343
58,01,sup_parietal,45,45,-0.03149795685811508
59,01,sup_parietal,45,99,-0.036935434581402596
60,01,sup_parietal,99,153,-0.003513251165671312
61,01,sup_parietal,99,207,-0.09642482150886564
62,01,sup_parietal,99,45,-0.002654249744193666
63,01,sup_parietal,99,99,0.12305701816446193
64,01,inf_parietal,153,153,-0.009329932786782522
65,01,inf_parietal,153,207,0.012779592104226856
66,01,inf_parietal,153,45,0.012795157978359567
67,01,inf_parietal,153,99,0.007769331072972148
68,01,inf_parietal,207,153,-1.999134373020621e-05
69,01,inf_parietal,207,207,0.013277111726544326
70,01,inf_parietal,207,45,-0.00975578994271599
71,01,inf_parietal,207,99,0.009639978218680205
72,01,inf_parietal,45,153,-0.05290492517571035
73,01,inf_parietal,45,207,0.022304578932175904
74,01,inf_parietal,45,45,-0.0051910793482451215
75,01,inf_parietal,45,99,0.01974451632796221
76,01,inf_parietal,99,153,0.08693402776426587
77,01,inf_parietal,99,207,-0.06146830617287548
78,01,inf_parietal,99,45,-0.021909273790409318
79,01,inf_parietal,99,99,-0.027794412009516475
80,01,v5,153,153,0.05889627958619603
81,01,v5,153,207,0.07852789457616718
82,01,v5,153,45,-0.17181101545285438
83,01,v5,153,99,0.15222941282048413
84,01,v5,207,153,-0.0612190430298204
85,01,v5,207,207,-0.05296807527795122
86,01,v5,207,45,0.07369438672414798
87,01,v5,207,99,-0.03705324027992493
88,01,v5,45,153,0.013156175842664247
89,01,v5,45,207,-0.04286836846065195
90,01,v5,45,45,0.06329850909396849
91,01,v5,45,99,-0.06958804015258517
92,01,v5,99,153,-0.0058621794827136905
93,01,v5,99,207,0.07557087480801844
94,01,v5,99,45,-0.031809087465226246
95,01,v5,99,99,-0.06207649433490406
96,02,premotor,153,153,-0.005733471389441271
97,02,premotor,153,207,0.05782599156484591
98,02,premotor,153,45,-0.02409740146036044
99,02,premotor,153,99,-0.02510601878020623
100,02,premotor,207,153,-0.03866479736054423
101,02,premotor,207,207,-0.031678401293487715
102,02,premotor,207,45,-0.005947672992722425
103,02,premotor,207,99,0.06500957539760431
104,02,premotor,45,153,0.02345947510990319
105,02,premotor,45,207,-0.09597520445197605
106,02,premotor,45,45,0.07088050493604392
107,02,premotor,45,99,0.02341921386917309
108,02,premotor,99,153,0.026977606352048766
109,02,premotor,99,207,0.06267659943124623
110,02,premotor,99,45,-0.04389958038610374
111,02,premotor,99,99,-0.054467960962201245
112,02,motor,153,153,-0.009040742144805252
113,02,motor,153,207,0.06935366674417873
114,02,motor,153,45,-0.09265642967338085
115,02,motor,153,99,0.04287307249466296
116,02,motor,207,153,-0.02002767021478858
117,02,motor,207,207,-0.04309906983365913
118,02,motor,207,45,0.04945799960195275
119,02,motor,207,99,0.011220923857905131
120,02,motor,45,153,-0.019190886231421615
121,02,motor,45,207,-0.07033387750299927
122,02,motor,45,45,0.076196401551167
123,02,motor,45,99,0.008968359083598705
124,02,motor,99,153,0.05442454031467288
125,02,motor,99,207,0.04845438414266069
126,02,motor,99,45,-0.013472868716213091
127,02,motor,99,99,-0.07877061277304898
128,02,v1,153,153,0.10944894659999828
129,02,v1,153,207,-0.008501305734958062
130,02,v1,153,45,-0.07323099815441617
131,02,v1,153,99,-0.0364630286152603
132,02,v1,207,153,-0.10926749258385272
133,02,v1,207,207,0.14258012837950745
134,02,v1,207,45,0.030252851375467994
135,02,v1,207,99,-0.062360971513333474
136,02,v1,45,153,-0.004220600127051423
137,02,v1,45,207,-0.14443138577958856
138,02,v1,45,45,0.08802916075778025
139,02,v1,45,99,0.060156894057503074
140,02,v1,99,153,0.016178433514715092
141,02,v1,99,207,-0.016867661291424915
142,02,v1,99,45,-0.03677199180692137
143,02,v1,99,99,0.04155930104798126
144,02,sup_parietal,153,153,0.00797650602570259
145,02,sup_parietal,153,207,0.043872774984602556
146,02,sup_parietal,153,45,-0.08573537020611807
147,02,sup_parietal,153,99,0.0176342280363399
148,02,sup_parietal,207,153,-0.027118386454275167
149,02,sup_parietal,207,207,0.025834093155108456
150,02,sup_parietal,207,45,0.07155587710779249
151,02,sup_parietal,207,99,-0.0565488443661127
152,02,sup_parietal,45,153,0.028850110446344918
153,02,sup_parietal,45,207,-0.08283598258488566
154,02,sup_parietal,45,45,0.013139049850055318
155,02,sup_parietal,45,99,0.0640858578423886
156,02,sup_parietal,99,153,-0.006144421026670565
157,02,sup_parietal,99,207,-0.024786977255553906
158,02,sup_parietal,99,45,0.002146086014046259
159,02,sup_parietal,99,99,0.007510452237723201
160,02,inf_parietal,153,153,0.0036537481424853656
161,02,inf_parietal,153,207,0.013559990111275096
162,02,inf_parietal,153,45,0.02303959929524696
163,02,inf_parietal,153,99,-0.01760002955088474
164,02,inf_parietal,207,153,-0.08152300709100614
165,02,inf_parietal,207,207,-0.0050597431045368525
166,02,inf_parietal,207,45,0.0018089071456152857
167,02,inf_parietal,207,99,0.09870321747339893
168,02,inf_parietal,45,153,0.0904079157671187
169,02,inf_parietal,45,207,-0.060094103175286386
170,02,inf_parietal,45,45,0.05372639234387871
171,02,inf_parietal,45,99,-0.10728429501281267
172,02,inf_parietal,99,153,-0.027248185343333745
173,02,inf_parietal,99,207,0.03753853670798803
174,02,inf_parietal,99,45,-0.046404379562247314
175,02,inf_parietal,99,99,0.024891121282657455
176,02,v5,153,153,0.1405352416926119
177,02,v5,153,207,-0.010857993078267333
178,02,v5,153,45,-0.0632980956802395
179,02,v5,153,99,-0.06750907113658461
180,02,v5,207,153,-0.13915874943560305
181,02,v5,207,207,0.1767340170382386
182,02,v5,207,45,-0.01577708363244787
183,02,v5,207,99,-0.013170148090268539
184,02,v5,45,153,-0.12775473914915608
185,02,v5,45,207,-0.17800284326423083
186,02,v5,45,45,0.15798226548454927
187,02,v5,45,99,0.11017018984021919
188,02,v5,99,153,0.15174570464425047
189,02,v5,99,207,-0.05961827293776269
190,02,v5,99,45,-0.09322137223779103
191,02,v5,99,99,0.004167228181943549
192,03,premotor,153,153,-0.013471200896977826
193,03,premotor,153,207,0.04125080075034615
194,03,premotor,153,45,-0.03212117475209065
195,03,premotor,153,99,0.004328106203589087
196,03,premotor,207,153,-0.04098330804239789
197,03,premotor,207,207,0.028916834451132568
198,03,premotor,207,45,0.03693124098174266
199,03,premotor,207,99,-0.01889359600408868
200,03,premotor,45,153,0.007287336122329548
201,03,premotor,45,207,-0.06597211617181116
202,03,premotor,45,45,0.0018544943662852972
203,03,premotor,45,99,0.06413463394268393
204,03,premotor,99,153,0.035326094825539486
205,03,premotor,99,207,-0.010275085480394599
206,03,premotor,99,45,-0.008709516961654642
207,03,premotor,99,99,-0.02641391768298971
208,03,motor,153,153,-0.11413732712893356
209,03,motor,153,207,0.08876590485157222
210,03,motor,153,45,0.02914303958963891
211,03,motor,153,99,-0.012889193946240452
212,03,motor,207,153,0.04393451782677006
213,03,motor,207,207,-0.0668481894077194
214,03,motor,207,45,-0.010703915483544884
215,03,motor,207,99,0.05220224862370727
216,03,motor,45,153,0.018398099792773587
217,03,motor,45,207,-0.0391216323113128
218,03,motor,45,45,-0.05551017541907388
219,03,motor,45,99,0.07404430671625517
220,03,motor,99,153,0.048286802253214176
221,03,motor,99,207,0.018082096206912465
222,03,motor,99,45,0.025371290506278905
223,03,motor,99,99,-0.09538042733542589
224,03,v1,153,153,0.11724401961012579
225,03,v1,153,207,0.018132882896877856
226,03,v1,153,45,-0.04435262855761636
227,03,v1,153,99,-0.09895539144552813
228,03,v1,207,153,-0.03605786766159454
229,03,v1,207,207,0.09154795492171293
230,03,v1,207,45,-0.0181730259232689
231,03,v1,207,99,-0.04146241717296069
232,03,v1,45,153,-0.06761295019105504
233,03,v1,45,207,-0.110324249031648
234,03,v1,45,45,0.17437434987320272
235,03,v1,45,99,0.013638638318451496
236,03,v1,99,153,-0.0013652831697991627
237,03,v1,99,207,-0.004549477896800075
238,03,v1,99,45,-0.12292240467409327
239,03,v1,99,99,0.1349044483451488
240,03,sup_parietal,153,153,0.08490854568122541
241,03,sup_parietal,153,207,-0.014916870421025803
242,03,sup_parietal,153,45,-0.12419875725859872
243,03,sup_parietal,153,99,0.05090250443146617
244,03,sup_parietal,207,153,0.05157117078146571
245,03,sup_parietal,207,207,0.020131176783451374
246,03,sup_parietal,207,45,-0.04125165918056789
247,03,sup_parietal,207,99,-0.024360375104079655
248,03,sup_parietal,45,153,-0.08420150033034737
249,03,sup_parietal,45,207,-0.01980394561355507
250,03,sup_parietal,45,45,0.10385651732025064
251,03,sup_parietal,45,99,-0.014921948905621934
252,03,sup_parietal,99,153,-0.053514968077167324
253,03,sup_parietal,99,207,-0.031077495821105628
254,03,sup_parietal,99,45,0.051211241530422724
255,03,sup_parietal,99,99,0.01421136892147429
256,03,inf_parietal,153,153,-0.054348415643587805
257,03,inf_parietal,153,207,0.029195474343948435
258,03,inf_parietal,153,45,0.03160385000155099
259,03,inf_parietal,153,99,-0.0063321247766352125
260,03,inf_parietal,207,153,0.009498753687976078
261,03,inf_parietal,207,207,-0.05326213156050868
262,03,inf_parietal,207,45,-0.020638691610280233
263,03,inf_parietal,207,99,0.05786766078331817
264,03,inf_parietal,45,153,0.07454242891241712
265,03,inf_parietal,45,207,-0.04678423883067243
266,03,inf_parietal,45,45,0.0057036306742819995
267,03,inf_parietal,45,99,0.0022872092817244755
268,03,inf_parietal,99,153,-0.0422833070722197
269,03,inf_parietal,99,207,0.03310024464993523
270,03,inf_parietal,99,45,0.01103542523249695
271,03,inf_parietal,99,99,-0.017427487280565427
272,03,v5,153,153,-0.024934800524497286
273,03,v5,153,207,-0.003088418786997685
274,03,v5,153,45,-0.10941187453828116
275,03,v5,153,99,0.05354945241161303
276,03,v5,207,153,-0.05598532227132899
277,03,v5,207,207,0.02681106773001305
278,03,v5,207,45,0.05240588325691814
279,03,v5,207,99,-0.06893268054073885
280,03,v5,45,153,0.03823945214935857
281,03,v5,45,207,-0.11115912580729376
282,03,v5,45,45,0.19892489653738274
283,03,v5,45,99,-0.05972837513708976
284,03,v5,99,153,0.040470844968275486
285,03,v5,99,207,0.02513796040244247
286,03,v5,99,45,-0.0993821907847346
287,03,v5,99,99,0.07833931152206056
288,04,premotor,153,153,0.00258101599659475
289,04,premotor,153,207,0.031694051812396956
290,04,premotor,153,45,-0.010630101836447166
291,04,premotor,153,99,-0.042144848109304564
292,04,premotor,207,153,-0.009740833359220026
293,04,premotor,207,207,-0.018509202477380266
294,04,premotor,207,45,0.02835202212331708
295,04,premotor,207,99,0.005321632519011781
296,04,premotor,45,153,-0.012937748005254601
297,04,premotor,45,207,-0.033930323539457505
298,04,premotor,45,45,0.03864401690718695
299,04,premotor,45,99,0.004745123482168174
300,04,premotor,99,153,0.020800310425021593
301,04,premotor,99,207,0.01969648154269345
302,04,premotor,99,45,-0.05094209769936878
303,04,premotor,99,99,0.026091524049568278
304,04,motor,153,153,0.0069779675398596915
305,04,motor,153,207,0.013467405387828875
306,04,motor,153,45,0.03920304341546086
307,04,motor,153,99,-0.056112667314978666
308,04,motor,207,153,-0.0024665710664026376
309,04,motor,207,207,-0.09780987010599537
310,04,motor,207,45,0.02275988431164233
311,04,motor,207,99,0.05320627033595553
312,04,motor,45,153,0.01919357838652942
313,04,motor,45,207,0.03690363192753078
314,04,motor,45,45,-0.0008355635563901537
315,04,motor,45,99,-0.053718046091195196
316,04,motor,99,153,-0.029033554666316103
317,04,motor,99,207,0.0502673424297831
318,04,motor,99,45,-0.03937355147218004
319,04,motor,99,99,0.04542200545868662
320,04,v1,153,153,0.17629135176244665
321,04,v1,153,207,-0.030607677523181914
322,04,v1,153,45,-0.07908392336573332
323,04,v1,153,99,-0.07108344371571917
324,04,v1,207,153,-0.11035234742791131
325,04,v1,207,207,0.2356485402604721
326,04,v1,207,45,-0.04131890261589985
327,04,v1,207,99,-0.08005325366521464
328,04,v1,45,153,-0.08049654322552141
329,04,v1,45,207,-0.14809183851027946
330,04,v1,45,45,0.24713890247098602
331,04,v1,45,99,-0.013377044412086748
332,04,v1,99,153,6.267499151803128e-06
333,04,v1,99,207,-0.07307862937989346
334,04,v1,99,45,-0.12644629848250838
335,04,v1,99,99,0.1943241482902176
336,04,sup_parietal,153,153,-0.013165918795605133
337,04,sup_parietal,153,207,-0.001247245677978361
338,04,sup_parietal,153,45,-0.08155861689185327
339,04,sup_parietal,153,99,0.06606486340499731
340,04,sup_parietal,207,153,-0.03176679294271495
341,04,sup_parietal,207,207,0.08996172753925265
342,04,sup_parietal,207,45,0.03225770856098506
343,04,sup_parietal,207,99,-0.119419335577239
344,04,sup_parietal,45,153,0.03533454745501373
345,04,sup_parietal,45,207,-0.0945283483887772
346,04,sup_parietal,45,45,0.059927536545081796
347,04,sup_parietal,45,99,0.01864071601215328
348,04,sup_parietal,99,153,0.035329636078379696
349,04,sup_parietal,99,207,-0.01623823193186805
350,04,sup_parietal,99,45,0.011210404946256934
351,04,sup_parietal,99,99,0.0011389252881217372
352,04,inf_parietal,153,153,-0.10264381767231347
353,04,inf_parietal,153,207,0.022410261792327253
354,04,inf_parietal,153,45,0.0010708077697062762
355,04,inf_parietal,153,99,0.06201677602927394
356,04,inf_parietal,207,153,-0.053215610850099127
357,04,inf_parietal,207,207,-0.005992711119917879
358,04,inf_parietal,207,45,0.08425598635961654
359,04,inf_parietal,207,99,-0.01815985246680536
360,04,inf_parietal,45,153,0.05290209361741165
361,04,inf_parietal,45,207,-0.08722338680286844
362,04,inf_parietal,45,45,-0.006805594198755821
363,04,inf_parietal,45,99,0.026379198288408984
364,04,inf_parietal,99,153,0.11257972919452461
365,04,inf_parietal,99,207,0.05012823097590691
366,04,inf_parietal,99,45,-0.08933512238143966
367,04,inf_parietal,99,99,-0.03945647345906354
368,04,v5,153,153,-0.001221398762634815
369,04,v5,153,207,0.06326963949900467
370,04,v5,153,45,0.06403298554160791
371,04,v5,153,99,-0.11125972430157718
372,04,v5,207,153,-0.11018053453862606
373,04,v5,207,207,0.012357799448063075
374,04,v5,207,45,0.0758338333652241
375,04,v5,207,99,0.07329053149147118
376,04,v5,45,153,0.06945521662328803
377,04,v5,45,207,-0.11241483287654427
378,04,v5,45,45,0.09069363839419281
379,04,v5,45,99,-0.09259797434847859
380,04,v5,99,153,0.1023034283230892
381,04,v5,99,207,-0.03063476123751077
382,04,v5,99,45,-0.2094444493715259
383,04,v5,99,99,0.11503107375785859
384,05,premotor,153,153,-0.014631639545645812
385,05,premotor,153,207,0.06134866879112081
386,05,premotor,153,45,-0.0025455136396666704
387,05,premotor,153,99,-0.03059380365221756
388,05,premotor,207,153,0.012937123784432455
389,05,premotor,207,207,-0.05412395559380237
390,05,premotor,207,45,0.0006765554234248392
391,05,premotor,207,99,0.02654071153641655
392,05,premotor,45,153,0.01989080659297595
393,05,premotor,45,207,-0.039536908809049295
394,05,premotor,45,45,-0.006716336665362488
395,05,premotor,45,99,0.029948241479511667
396,05,premotor,99,153,-0.00956958285090111
397,05,premotor,99,207,0.024187911478253055
398,05,premotor,99,45,0.02218126915462354
399,05,premotor,99,99,-0.04088361914860773
400,05,motor,153,153,-0.06752292520628662
401,05,motor,153,207,0.0470376125844128
402,05,motor,153,45,-0.06625825462087694
403,05,motor,153,99,0.06558421965292655
404,05,motor,207,153,0.03598552370767399
405,05,motor,207,207,-0.053211158034843956
406,05,motor,207,45,0.02669669438377744
407,05,motor,207,99,0.008871853017882915
408,05,motor,45,153,0.006665573785422006
409,05,motor,45,207,0.03246292059440204
410,05,motor,45,45,-0.013454746450547221
411,05,motor,45,99,-0.028619485995764082
412,05,motor,99,153,0.004769299404739233
413,05,motor,99,207,-0.008648075259219887
414,05,motor,99,45,0.09302524073152518
415,05,motor,99,99,-0.06779825390387989
416,05,v1,153,153,-0.031760770682129694
417,05,v1,153,207,0.14067314593479283
418,05,v1,153,45,0.032954974560081784
419,05,v1,153,99,-0.11458091501873076
420,05,v1,207,153,-0.07078130259843995
421,05,v1,207,207,0.15906141667635093
422,05,v1,207,45,-0.12496968494935812
423,05,v1,207,99,0.07158339512295514
424,05,v1,45,153,-0.05221047270016663
425,05,v1,45,207,-0.21995641619433906
426,05,v1,45,45,0.17756116813941122
427,05,v1,45,99,0.07772381972033438
428,05,v1,99,153,0.23681260604512255
429,05,v1,99,207,-0.13050633924237967
430,05,v1,99,45,-0.09938675710996797
431,05,v1,99,99,-0.03857577769618224
432,05,sup_parietal,153,153,-0.018001396339304754
433,05,sup_parietal,153,207,0.09425241071201021
434,05,sup_parietal,153,45,-0.044336994854316955
435,05,sup_parietal,153,99,-0.05637746586727953
436,05,sup_parietal,207,153,0.06287160541710436
437,05,sup_parietal,207,207,0.05493782111709997
438,05,sup_parietal,207,45,-0.017260819262010202
439,05,sup_parietal,207,99,-0.04329291544003512
440,05,sup_parietal,45,153,-0.0023928091896578095
441,05,sup_parietal,45,207,-0.11836407543235683
442,05,sup_parietal,45,45,0.041293744101208084
443,05,sup_parietal,45,99,0.05205789913295206
444,05,sup_parietal,99,153,-0.08351689058913504
445,05,sup_parietal,99,207,0.006980982049854187
446,05,sup_parietal,99,45,0.02544100644432764
447,05,sup_parietal,99,99,0.02342663884201989
448,05,inf_parietal,153,153,0.02858876748886377
449,05,inf_parietal,153,207,0.046890673310738845
450,05,inf_parietal,153,45,-0.07178246364594887
451,05,inf_parietal,153,99,0.0161313573664489
452,05,inf_parietal,207,153,-0.03179145162879092
453,05,inf_parietal,207,207,0.008171943357189999
454,05,inf_parietal,207,45,0.03608143432957057
455,05,inf_parietal,207,99,-0.0023206038742865105
456,05,inf_parietal,45,153,-0.007646199322149656
457,05,inf_parietal,45,207,-0.072618531089536
458,05,inf_parietal,45,45,0.03162006797694164
459,05,inf_parietal,45,99,0.05775831187771304
460,05,inf_parietal,99,153,-0.0011546585313255628
461,05,inf_parietal,99,207,0.021269393262487314
462,05,inf_parietal,99,45,-0.00027988304407119274
