,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,0.04980954139006826
1,01,premotor,153,207,0.015334953171257264
2,01,premotor,153,45,0.013430187079372255
3,01,premotor,153,99,0.01653930154637928
4,01,premotor,207,153,0.0021077744121505114
5,01,premotor,207,207,0.010790197781008891
6,01,premotor,207,45,0.0036655780840963775
7,01,premotor,207,99,-0.033362976873118406
8,01,premotor,45,153,0.005294465436760898
9,01,premotor,45,207,0.024374907339291818
10,01,premotor,45,45,0.0241988091444908
11,01,premotor,45,99,-0.00043670956135991273
12,01,premotor,99,153,0.06419057139807538
13,01,premotor,99,207,0.08775356565249909
14,01,premotor,99,45,0.04583780631569599
15,01,premotor,99,99,0.0627740495898662
16,01,motor,153,153,-0.017283444028597852
17,01,motor,153,207,0.024769558419965268
18,01,motor,153,45,0.00834410193848327
19,01,motor,153,99,0.02870346330319276
20,01,motor,207,153,-0.012876362960086606
21,01,motor,207,207,0.013642708358954453
22,01,motor,207,45,-0.011988048550426882
23,01,motor,207,99,-0.02842136514871368
24,01,motor,45,153,0.03246765014642356
25,01,motor,45,207,0.15162949208993276
26,01,motor,45,45,0.02893990212820849
27,01,motor,45,99,0.07184968314708769
28,01,motor,99,153,0.006590896682031803
29,01,motor,99,207,0.10717988013214591
30,01,motor,99,45,0.027775860108901405
31,01,motor,99,99,0.09802328436560007
32,01,v1,153,153,0.11163263433979151
33,01,v1,153,207,0.10201342241160313
34,01,v1,153,45,0.10431939645455006
35,01,v1,153,99,0.13334994750444473
36,01,v1,207,153,0.08362104257705505
37,01,v1,207,207,0.0890141596317939
38,01,v1,207,45,0.08055026863264936
39,01,v1,207,99,0.11654938690074634
40,01,v1,45,153,0.11592684803701725
41,01,v1,45,207,0.1167525743815985
42,01,v1,45,45,0.07067264193401467
43,01,v1,45,99,0.11396446116636216
44,01,v1,99,153,0.09555101269693639
45,01,v1,99,207,0.0598326405100731
46,01,v1,99,45,0.10794515174276235
47,01,v1,99,99,0.09560695901202798
48,01,sup_parietal,153,153,0.15957328478777527
49,01,sup_parietal,153,207,0.15187722328833136
50,01,sup_parietal,153,45,0.06349965734197177
51,01,sup_parietal,153,99,0.05759213681358017
52,01,sup_parietal,207,153,0.06136612734464052
53,01,sup_parietal,207,207,0.04577052565398747
54,01,sup_parietal,207,45,0.08670391441221799
55,01,sup_parietal,207,99,0.08893172794453394
56,01,sup_parietal,45,153,0.0846556504038006
57,01,sup_parietal,45,207,0.11760673470525758
58,01,sup_parietal,45,45,0.09383447718640833
59,01,sup_parietal,45,99,0.08394476106625419
60,01,sup_parietal,99,153,0.09317964820156498
61,01,sup_parietal,99,207,0.07137210915143755
62,01,sup_parietal,99,45,0.1887844368187863
63,01,sup_parietal,99,99,0.0623780794366052
64,01,inf_parietal,153,153,0.0656883072781213
65,01,inf_parietal,153,207,0.013972394004743389
66,01,inf_parietal,153,45,0.027997339297508184
67,01,inf_parietal,153,99,0.034067737441036854
68,01,inf_parietal,207,153,0.025204733787398608
69,01,inf_parietal,207,207,0.030005720441905408
70,01,inf_parietal,207,45,0.044780475509921286
71,01,inf_parietal,207,99,-0.016125589224797784
72,01,inf_parietal,45,153,0.05591951352872368
73,01,inf_parietal,45,207,0.04777869380836881
74,01,inf_parietal,45,45,0.012883790982718149
