,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,-0.012954058779611501
1,01,premotor,153,207,0.01604981164510043
2,01,premotor,153,45,0.005814484912158153
3,01,premotor,153,99,-0.001224311185272874
4,01,premotor,207,153,-0.01189728259267631
5,01,premotor,207,207,-0.01891604274287577
6,01,premotor,207,45,0.01168669799557984
7,01,premotor,207,99,0.03730875383921684
8,01,premotor,45,153,0.0052648236616415055
9,01,premotor,45,207,0.012297997293212813
10,01,premotor,45,45,0.0010926717758457227
11,01,premotor,45,99,-0.02331091866926368
12,01,premotor,99,153,0.02934109413646735
13,01,premotor,99,207,0.00502901584595461
14,01,premotor,99,45,-0.02831465529995103
15,01,premotor,99,99,-0.02461367856161048
16,01,motor,153,153,-0.02854583009246905
17,01,motor,153,207,0.005621376098110252
18,01,motor,153,45,0.022880914515621492
19,01,motor,153,99,-0.005299933399305142
20,01,motor,207,153,0.0484555694144691
21,01,motor,207,207,0.05154801632481017
22,01,motor,207,45,-0.07658079672529379
23,01,motor,207,99,-0.013815184962296218
24,01,motor,45,153,0.027363114317491728
25,01,motor,45,207,-0.028009604803823453
26,01,motor,45,45,0.014451093015647783
27,01,motor,45,99,-0.02035159238897407
28,01,motor,99,153,-0.06125229629915721
29,01,motor,99,207,-0.026888530756862684
30,01,motor,99,45,0.061332547411345834
31,01,motor,99,99,0.03087498510891036
32,01,v1,153,153,0.0543524905566162
33,01,v1,153,207,-0.04708512099549365
34,01,v1,153,45,-0.024316652796047784
35,01,v1,153,99,0.03806321195874427
36,01,v1,207,153,-0.011707929378895842
37,01,v1,207,207,0.01859250277583296
38,01,v1,207,45,0.0067587904493823054
39,01,v1,207,99,-0.03199895933574435
40,01,v1,45,153,-0.006796413432442479
41,01,v1,45,207,0.01888890746836007
42,01,v1,45,45,0.024902928483578172
43,01,v1,45,99,-0.03613972806435441
44,01,v1,99,153,-0.03789488020738519
45,01,v1,99,207,0.006721515817084888
46,01,v1,99,45,0.006152015817007163
47,01,v1,99,99,0.020755313647335703
48,01,sup_parietal,153,153,-0.015085868744116108
49,01,sup_parietal,153,207,0.032346742243950725
50,01,sup_parietal,153,45,0.008615780011052026
51,01,sup_parietal,153,99,0.006879938636205889
52,01,sup_parietal,207,153,0.033672444520024644
53,01,sup_parietal,207,207,-0.027751645694140452
54,01,sup_parietal,207,45,0.031880842295424386
55,01,sup_parietal,207,99,-0.0691714709316637
56,01,sup_parietal,45,153,-0.004599055535600917
57,01,sup_parietal,45,207,0.06462308467058146
58,01,sup_parietal,45,45,-0.04020051017769613
59,01,sup_parietal,45,99,-0.03157580948083354
60,01,sup_parietal,99,153,-0.006298727010092611
61,01,sup_parietal,99,207,-0.09674204444299231
62,01,sup_parietal,99,45,0.003205086385782624
63,01,sup_parietal,99,99,0.12087967991877706
64,01,inf_parietal,153,153,-0.01870470469218808
65,01,inf_parietal,153,207,0.014844608708681492
66,01,inf_parietal,153,45,0.01333078606541848
67,01,inf_parietal,153,99,0.012822851180153501
68,01,inf_parietal,207,153,0.010004707337459198
69,01,inf_parietal,207,207,0.005856054770292361
70,01,inf_parietal,207,45,-0.020812921518352227
71,01,inf_parietal,207,99,0.011009558367858087
72,01,inf_parietal,45,153,-0.0607697903798851
73,01,inf_parietal,45,207,0.020984479596892015
74,01,inf_parietal,45,45,0.01228921865585828
75,01,inf_parietal,45,99,0.010712720675267169
76,01,inf_parietal,99,153,0.08955351803578455
77,01,inf_parietal,99,207,-0.05433202128080722
78,01,inf_parietal,99,45,-0.03328834874753814
79,01,inf_parietal,99,99,-0.01985277614928963
80,01,v5,153,153,0.0487492751002746
81,01,v5,153,207,0.0686258158519237
82,01,v5,153,45,-0.17502174464421713
83,01,v5,153,99,0.15447262328180725
84,01,v5,207,153,-0.0447455103136562
85,01,v5,207,207,-0.04056843309359794
86,01,v5,207,45,0.06507799434016966
87,01,v5,207,99,-0.07464963229157495
88,01,v5,45,153,0.011682079031862806
89,01,v5,45,207,-0.06434404242018706
90,01,v5,45,45,0.07151573600943195
91,01,v5,45,99,-0.04919625589601854
92,01,v5,99,153,-0.0024010169202865438
93,01,v5,99,207,0.09217363741406631
94,01,v5,99,45,-0.016389490560895514
95,01,v5,99,99,-0.08341461035302214
96,02,premotor,153,153,-0.009764910528467303
97,02,premotor,153,207,0.05933811915751887
98,02,premotor,153,45,-0.028024475849341524
99,02,premotor,153,99,-0.02282177138938519
100,02,premotor,207,153,-0.037251550490701446
101,02,premotor,207,207,-0.029520614468590778
102,02,premotor,207,45,-0.005040656561624212
103,02,premotor,207,99,0.05992765801608385
104,02,premotor,45,153,0.020826235590735587
105,02,premotor,45,207,-0.0947334862667852
106,02,premotor,45,45,0.07401287285262312
107,02,premotor,45,99,0.021642056744685584
108,02,premotor,99,153,0.03249857188216765
109,02,premotor,99,207,0.05635511323606837
110,02,premotor,99,45,-0.041398353472284544
111,02,premotor,99,99,-0.05059625156412388
112,02,motor,153,153,-0.012666501115590312
113,02,motor,153,207,0.07213828468132322
114,02,motor,153,45,-0.09370499508493747
115,02,motor,153,99,0.04668156304870186
116,02,motor,207,153,-0.01714646121240668
117,02,motor,207,207,-0.04604814935492062
118,02,motor,207,45,0.05118260844037499
119,02,motor,207,99,0.011726759087684691
120,02,motor,45,153,-0.01694660052130703
121,02,motor,45,207,-0.07214250598805945
122,02,motor,45,45,0.0777456385198349
123,02,motor,45,99,0.0011434492829756789
124,02,motor,99,153,0.05410647987053767
125,02,motor,99,207,0.05282099484484716
126,02,motor,99,45,-0.009292079421843288
127,02,motor,99,99,-0.08570315572482927
128,02,v1,153,153,0.10963730508714967
129,02,v1,153,207,-0.003909888462318845
130,02,v1,153,45,-0.07826901348319945
131,02,v1,153,99,-0.03683772001112172
132,02,v1,207,153,-0.10622884198413941
133,02,v1,207,207,0.14024145833433668
134,02,v1,207,45,0.026141127513790535
135,02,v1,207,99,-0.05802180325795212
136,02,v1,45,153,-0.008126910810333248
137,02,v1,45,207,-0.14182353214996862
