,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,-0.011589797481772409
1,01,premotor,153,207,-0.0041128947634359115
2,01,premotor,153,45,0.01047409809791602
3,01,premotor,153,99,-0.007836408113210767
4,01,premotor,207,153,-0.004208087761613612
5,01,premotor,207,207,-0.023619084835475902
6,01,premotor,207,45,0.010630144756734164
7,01,premotor,207,99,0.019747546894809186
8,01,premotor,45,153,0.036786594265793046
9,01,premotor,45,207,0.029091181557558663
10,01,premotor,45,45,0.005259809404594534
11,01,premotor,45,99,0.010255714914895981
12,01,premotor,99,153,0.05015682059325481
13,01,premotor,99,207,0.010142746836555791
14,01,premotor,99,45,-0.014115442092103803
15,01,premotor,99,99,-0.006562907569448518
16,01,motor,153,153,-0.017777502140669584
17,01,motor,153,207,0.015454062641054724
18,01,motor,153,45,0.009707380312491415
19,01,motor,153,99,-0.0029741534908376485
20,01,motor,207,153,0.06666040390277148
21,01,motor,207,207,0.07823648287683853
22,01,motor,207,45,-0.037803351667359306
23,01,motor,207,99,-0.006490848482837312
24,01,motor,45,153,0.03724751670450531
25,01,motor,45,207,-0.002325326308366826
26,01,motor,45,45,0.002958434019716182
27,01,motor,45,99,-0.032011615134857827
28,01,motor,99,153,-0.05038177573740342
29,01,motor,99,207,-0.024425764579994687
30,01,motor,99,45,0.05822566200532482
31,01,motor,99,99,0.02811696544347335
32,01,v1,153,153,0.04459460839816276
33,01,v1,153,207,-0.04971607158055252
34,01,v1,153,45,-0.022972933448648022
35,01,v1,153,99,0.025759551382669443
36,01,v1,207,153,0.010912866018852704
37,01,v1,207,207,0.02396425170664438
38,01,v1,207,45,0.02435435488005861
39,01,v1,207,99,-0.018057824736610065
40,01,v1,45,153,0.00799885932943082
41,01,v1,45,207,0.03387146232560853
42,01,v1,45,45,0.019322002934370038
43,01,v1,45,99,0.008221227630995509
44,01,v1,99,153,-0.03477812633316728
45,01,v1,99,207,-0.00758294116335056
46,01,v1,99,45,-0.005667120957671781
47,01,v1,99,99,0.012116749683059301
48,01,sup_parietal,153,153,0.02752864599941137
49,01,sup_parietal,153,207,0.014877207851354568
50,01,sup_parietal,153,45,0.048463929310847864
51,01,sup_parietal,153,99,0.027555982138157752
52,01,sup_parietal,207,153,0.035500543813048346
53,01,sup_parietal,207,207,-0.0008159467007614156
54,01,sup_parietal,207,45,0.015396335271656422
55,01,sup_parietal,207,99,-0.03825406313146767
56,01,sup_parietal,45,153,0.015068659890599698
57,01,sup_parietal,45,207,0.037169988510985935
58,01,sup_parietal,45,45,0.022768923996863793
59,01,sup_parietal,45,99,-0.013524744676848072
60,01,sup_parietal,99,153,0.02668876881853228
61,01,sup_parietal,99,207,-0.07214869120835743
62,01,sup_parietal,99,45,0.02393899014146457
63,01,sup_parietal,99,99,0.13714565514491067
64,01,inf_parietal,153,153,0.003973017590928737
65,01,inf_parietal,153,207,-0.009433685175678153
66,01,inf_parietal,153,45,0.020101567470996656
67,01,inf_parietal,153,99,-0.020936973988945125
68,01,inf_parietal,207,153,0.0175766259915681
69,01,inf_parietal,207,207,0.05701189724605742
70,01,inf_parietal,207,45,0.013124668065250141
71,01,inf_parietal,207,99,0.02856939731885642
72,01,inf_parietal,45,153,-0.0372085948352195
73,01,inf_parietal,45,207,0.052531428990924015
74,01,inf_parietal,45,45,-0.005321560831231479
75,01,inf_parietal,45,99,-0.025915312187979468
76,01,inf_parietal,99,153,0.06749252609295454
77,01,inf_parietal,99,207,-0.028831412319350956
78,01,inf_parietal,99,45,-0.01728447144234799
79,01,inf_parietal,99,99,-0.08540894516819748
80,01,v5,153,153,0.05841155754308916
81,01,v5,153,207,0.06453643112783167
82,01,v5,153,45,-0.10467947936543467
83,01,v5,153,99,0.049224471111330964
84,01,v5,207,153,-0.05909195195172999
85,01,v5,207,207,0.0035922037933760823
86,01,v5,207,45,0.03868004025124638
87,01,v5,207,99,0.025208651424824625
88,01,v5,45,153,0.04495386658712061
89,01,v5,45,207,0.014831411801270962
90,01,v5,45,45,-0.013093980812004212
91,01,v5,45,99,-0.06809647743607984
92,01,v5,99,153,-0.11417984452463534
93,01,v5,99,207,0.03187906284551923
94,01,v5,99,45,-0.06983401193233683
95,01,v5,99,99,-0.0633605850442639
96,02,premotor,153,153,0.0355493101917158
97,02,premotor,153,207,0.04927709197067927
98,02,premotor,153,45,0.0006194929221854557
99,02,premotor,153,99,0.002958243140920372
100,02,premotor,207,153,-0.00875726812594589
101,02,premotor,207,207,0.006427343473114713
102,02,premotor,207,45,0.02103095778737507
103,02,premotor,207,99,0.07969885450641784
104,02,premotor,45,153,0.04617418738909002
105,02,premotor,45,207,-0.04419916642364835
106,02,premotor,45,45,0.10337579655066412
107,02,premotor,45,99,0.04359236019388446
108,02,premotor,99,153,0.05559288838293596
109,02,premotor,99,207,0.07074712138524952
110,02,premotor,99,45,0.0010770251473979637
111,02,premotor,99,99,-0.015874084392372513
112,02,motor,153,153,0.019173618474393354
113,02,motor,153,207,0.0997540172966904
114,02,motor,153,45,-0.04741234824538709
115,02,motor,153,99,0.056682179274607156
116,02,motor,207,153,-0.0015920070342687865
117,02,motor,207,207,-0.01891611677051852
118,02,motor,207,45,0.04704313575955323
119,02,motor,207,99,0.020328534613733445
120,02,motor,45,153,-0.0017909600903557466
121,02,motor,45,207,-0.012107223472861646
122,02,motor,45,45,0.07581512452820902
123,02,motor,45,99,0.04180232744275476
124,02,motor,99,153,0.0844958759872417
125,02,motor,99,207,0.0761416592709112
126,02,motor,99,45,0.03990041793090024
127,02,motor,99,99,-0.03780744943709827
128,02,v1,153,153,0.1081705270778271
129,02,v1,153,207,-0.01832189513959146
130,02,v1,153,45,-0.05460692507087894
131,02,v1,153,99,0.01898184441864467
132,02,v1,207,153,-0.05009280882924483
133,02,v1,207,207,0.16268147476327924
134,02,v1,207,45,0.04954416653194252
135,02,v1,207,99,-0.01148939807666726
136,02,v1,45,153,0.04458073984486073
137,02,v1,45,207,-0.10419927182904529
138,02,v1,45,45,0.08581377296388998
139,02,v1,45,99,0.0859299243024795
140,02,v1,99,153,0.03176561010914272
141,02,v1,99,207,-0.007724862499520107
142,02,v1,99,45,-0.0006893843354472337
143,02,v1,99,99,0.07830550819151381
144,02,sup_parietal,153,153,0.01746399437484482
145,02,sup_parietal,153,207,0.05610746241646765
146,02,sup_parietal,153,45,-0.02905881049332738
147,02,sup_parietal,153,99,0.02791555294569866
148,02,sup_parietal,207,153,-0.018082397932056876
149,02,sup_parietal,207,207,0.057448789336289614
150,02,sup_parietal,207,45,0.08629554209039036
151,02,sup_parietal,207,99,-0.017726523629732722
152,02,sup_parietal,45,153,0.02575680328052655
153,02,sup_parietal,45,207,-0.05155793496591385
154,02,sup_parietal,45,45,0.027062964432613242
155,02,sup_parietal,45,99,0.08880041243554493
156,02,sup_parietal,99,153,0.019083546932672373
157,02,sup_parietal,99,207,-0.004532413234092557
158,02,sup_parietal,99,45,0.0016132178364046401
159,02,sup_parietal,99,99,0.023198248613699696
160,02,inf_parietal,153,153,-0.008795069616368867
161,02,inf_parietal,153,207,0.04117485024333582
162,02,inf_parietal,153,45,0.0662604523213079
163,02,inf_parietal,153,99,0.016619134356098467
164,02,inf_parietal,207,153,-0.0749891685597816
165,02,inf_parietal,207,207,0.02729608288531516
166,02,inf_parietal,207,45,0.03246366724421595
167,02,inf_parietal,207,99,0.10790379059595677
168,02,inf_parietal,45,153,0.08055768961964141
169,02,inf_parietal,45,207,-0.0066467093448553845
170,02,inf_parietal,45,45,0.05693440125307969
171,02,inf_parietal,45,99,-0.07464054006441818
172,02,inf_parietal,99,153,-0.013760624978204442
173,02,inf_parietal,99,207,0.04585573570844173
174,02,inf_parietal,99,45,0.01733661833976515
175,02,inf_parietal,99,99,0.07001764241719623
176,02,v5,153,153,0.21782048740472382
177,02,v5,153,207,0.038418509379128434
178,02,v5,153,45,-0.00826021155933274
179,02,v5,153,99,-0.01181579723555444
180,02,v5,207,153,-0.017573217536665485
181,02,v5,207,207,0.19812835225767994
182,02,v5,207,45,0.0152407909732701
183,02,v5,207,99,0.014273396159387067
184,02,v5,45,153,-0.0643065827548446
185,02,v5,45,207,-0.07218147994066498
186,02,v5,45,45,0.08722706165879411
187,02,v5,45,99,0.007203868890367584
188,02,v5,99,153,0.11554163746212277
189,02,v5,99,207,-0.02042796652297392
190,02,v5,99,45,-0.001751941098268952
191,02,v5,99,99,0.0072526955112653495
192,03,premotor,153,153,0.017621759631190566
193,03,premotor,153,207,0.06195829084307971
194,03,premotor,153,45,0.00302161624826073
195,03,premotor,153,99,0.042277664721733325
196,03,premotor,207,153,-0.01824920217009235
197,03,premotor,207,207,0.038736449887190744
198,03,premotor,207,45,0.04839027405017348
199,03,premotor,207,99,0.0038708148285171214
200,03,premotor,45,153,0.035796734854367025
201,03,premotor,45,207,-0.019128236608903438
202,03,premotor,45,45,0.029325809740089265
203,03,premotor,45,99,0.07904285129006029
204,03,premotor,99,153,0.041073119212364194
205,03,premotor,99,207,-0.00522597170729037
206,03,premotor,99,45,0.00847005989630004
207,03,premotor,99,99,0.009252535716727635
208,03,motor,153,153,-0.039003924059706804
209,03,motor,153,207,0.055295727193826916
210,03,motor,153,45,0.05186287845527715
211,03,motor,153,99,0.032758394477932926
212,03,motor,207,153,0.051743171809538996
213,03,motor,207,207,-0.08316112453124583
214,03,motor,207,45,-0.0362896792525698
215,03,motor,207,99,0.06048019065056197
216,03,motor,45,153,0.04811580736571679
217,03,motor,45,207,-0.0016234044032241756
218,03,motor,45,45,-0.02695403707710179
219,03,motor,45,99,0.0919731477656978
220,03,motor,99,153,0.08245644372347585
221,03,motor,99,207,0.004072605760525221
222,03,motor,99,45,0.058696506628235334
223,03,motor,99,99,-0.020344202959538454
224,03,v1,153,153,0.14829743662635553
225,03,v1,153,207,0.041706501289950376
226,03,v1,153,45,0.03635135500938523
227,03,v1,153,99,-0.00553126389078102
228,03,v1,207,153,0.0080329796208977
229,03,v1,207,207,0.09210969187192419
230,03,v1,207,45,0.027896853079028564
231,03,v1,207,99,0.030740242313316343
232,03,v1,45,153,-0.026640242210067215
233,03,v1,45,207,-0.06120059232421825
234,03,v1,45,45,0.15303343271890257
235,03,v1,45,99,0.03980226227056809
236,03,v1,99,153,0.01948882639871536
237,03,v1,99,207,-0.005659432524420856
238,03,v1,99,45,-0.05691339523210759
239,03,v1,99,99,0.12670428892756916
240,03,sup_parietal,153,153,0.08843394411711444
241,03,sup_parietal,153,207,0.0293411149574231
242,03,sup_parietal,153,45,-0.10764505570396993
243,03,sup_parietal,153,99,0.08289918105059858
244,03,sup_parietal,207,153,0.06312700378023657
245,03,sup_parietal,207,207,0.05775242563832474
246,03,sup_parietal,207,45,-0.022917840813819392
247,03,sup_parietal,207,99,0.012752074120337666
248,03,sup_parietal,45,153,-0.08364585669500543
249,03,sup_parietal,45,207,0.003332126857889979
250,03,sup_parietal,45,45,0.07904729088133225
251,03,sup_parietal,45,99,-0.007087777116158881
252,03,sup_parietal,99,153,-0.033191573022148604
253,03,sup_parietal,99,207,0.028324659229479354
254,03,sup_parietal,99,45,0.04359367334384824
255,03,sup_parietal,99,99,0.05507004699328369
256,03,inf_parietal,153,153,-0.04405857373764872
257,03,inf_parietal,153,207,0.039660419524324246
258,03,inf_parietal,153,45,0.07841978652921074
259,03,inf_parietal,153,99,0.019647492780165525
260,03,inf_parietal,207,153,0.046195769769055116
261,03,inf_parietal,207,207,-0.02570177754813572
