,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,-0.013057914273867778
1,01,premotor,153,207,0.00357318025599457
2,01,premotor,153,45,0.005461152178456832
3,01,premotor,153,99,0.017620745410650947
4,01,premotor,207,153,-0.0088219462183773
5,01,premotor,207,207,-0.004491065602436868
6,01,premotor,207,45,0.024871666015494218
7,01,premotor,207,99,0.0051674434699860725
8,01,premotor,45,153,0.0014868484263872335
9,01,premotor,45,207,-0.011910933735285057
10,01,premotor,45,45,-0.0033846035395130487
11,01,premotor,45,99,-0.0007730691943494961
12,01,premotor,99,153,0.043110461803761116
13,01,premotor,99,207,-0.00018660146835402722
14,01,premotor,99,45,-0.027332205093139043
15,01,premotor,99,99,-0.030041418855570854
16,01,motor,153,153,-0.022773945707727526
17,01,motor,153,207,0.008764026469022447
18,01,motor,153,45,0.02410838881939438
19,01,motor,153,99,-0.027524220117220083
20,01,motor,207,153,0.01255582549152416
21,01,motor,207,207,0.03854263087357369
22,01,motor,207,45,-0.06758721358901523
23,01,motor,207,99,0.011059729471265765
24,01,motor,45,153,0.009889247008671892
25,01,motor,45,207,-0.02803151904632596
26,01,motor,45,45,0.025599754912781738
27,01,motor,45,99,0.017847537587385234
28,01,motor,99,153,-0.019344246850639367
29,01,motor,99,207,-0.03503994907267501
30,01,motor,99,45,0.01998503046767417
31,01,motor,99,99,0.033019974282506755
32,01,v1,153,153,0.02299403400125825
33,01,v1,153,207,-0.009255143287512601
34,01,v1,153,45,-0.032143247145558704
35,01,v1,153,99,0.03738425895525061
36,01,v1,207,153,-0.023046488693374462
37,01,v1,207,207,0.01006317593228654
38,01,v1,207,45,0.004549073211709605
39,01,v1,207,99,-0.03181753932953359
40,01,v1,45,153,-0.010383159649179668
41,01,v1,45,207,-0.006243718410985748
42,01,v1,45,45,0.04002851215135396
43,01,v1,45,99,-0.018314923369753683
44,01,v1,99,153,-0.03256684093836812
45,01,v1,99,207,0.02390457379799945
46,01,v1,99,45,-0.010888389199377718
47,01,v1,99,99,0.030938676553894092
48,01,sup_parietal,153,153,-0.0003220764022155258
49,01,sup_parietal,153,207,0.07831333981485107
50,01,sup_parietal,153,45,0.0038355602870250236
51,01,sup_parietal,153,99,-0.06367623507628098
52,01,sup_parietal,207,153,-0.018883888356966725
53,01,sup_parietal,207,207,0.017197370348686115
54,01,sup_parietal,207,45,0.02377092858623582
55,01,sup_parietal,207,99,-0.02398936572529859
