,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,-0.042399619476247714
1,01,premotor,153,207,-0.03832051996889661
2,01,premotor,153,45,-0.0137124973431572
3,01,premotor,153,99,-0.0021505160198114154
4,01,premotor,207,153,-0.030903148076331027
5,01,premotor,207,207,-0.021638019719732716
6,01,premotor,207,45,0.007378889206197104
7,01,premotor,207,99,0.005118174794725801
8,01,premotor,45,153,0.00013907056958137494
9,01,premotor,45,207,-0.007095461078740052
10,01,premotor,45,45,6.904264331461518e-05
11,01,premotor,45,99,0.011823190719683411
12,01,premotor,99,153,0.024502112178987064
13,01,premotor,99,207,0.012170870829517398
14,01,premotor,99,45,-0.007203560092031942
15,01,premotor,99,99,0.004029363992029158
16,01,motor,153,153,-0.03760827738557675
17,01,motor,153,207,-0.017371898503110172
18,01,motor,153,45,-0.012481077223955273
19,01,motor,153,99,-0.046903674861668035
20,01,motor,207,153,0.010536487266861964
21,01,motor,207,207,0.06529416733692514
22,01,motor,207,45,-0.0234076931501962
23,01,motor,207,99,0.01993662205303507
24,01,motor,45,153,0.019643106906077124
25,01,motor,45,207,0.0036353361663504936
26,01,motor,45,45,0.027992294369859873
27,01,motor,45,99,0.02549182685968074
28,01,motor,99,153,-0.004076015289861896
29,01,motor,99,207,-0.005406318055001708
30,01,motor,99,45,0.03932335977687595
31,01,motor,99,99,0.0009300894832731839
32,01,v1,153,153,0.02852485252027565
33,01,v1,153,207,-0.02095112425735491
34,01,v1,153,45,-0.022534094459425127
35,01,v1,153,99,0.03562474256889399
36,01,v1,207,153,-0.0017142769765794378
37,01,v1,207,207,0.04974158345890947
38,01,v1,207,45,0.04054333241091122
39,01,v1,207,99,0.03992483068440461
40,01,v1,45,153,0.01608841860251787
41,01,v1,45,207,0.009752187658441554
42,01,v1,45,45,0.037637647749769194
43,01,v1,45,99,0.014663077151070264
44,01,v1,99,153,-0.026792632892784003
45,01,v1,99,207,-0.011034178874897462
46,01,v1,99,45,-0.02463964493026709
47,01,v1,99,99,0.008948507848861274
48,01,sup_parietal,153,153,-0.0033249186442669346
49,01,sup_parietal,153,207,0.05351866559079761
50,01,sup_parietal,153,45,0.024157358277832098
51,01,sup_parietal,153,99,-0.004663010858098393
52,01,sup_parietal,207,153,-0.011332504443108795
53,01,sup_parietal,207,207,0.021072907713823145
54,01,sup_parietal,207,45,0.03595098780461197
55,01,sup_parietal,207,99,0.04505519402007054
56,01,sup_parietal,45,153,-0.01770645971607626
57,01,sup_parietal,45,207,-0.0470611469609194
58,01,sup_parietal,45,45,-0.015270909237374394
59,01,sup_parietal,45,99,0.01459351301152717
60,01,sup_parietal,99,153,0.012729915808843181
61,01,sup_parietal,99,207,-0.11061927683702957
62,01,sup_parietal,99,45,0.017385998920766598
63,01,sup_parietal,99,99,0.14203444776445912
64,01,inf_parietal,153,153,-0.02039972426913584
65,01,inf_parietal,153,207,0.0210571461442673
66,01,inf_parietal,153,45,0.0039589371763716335
67,01,inf_parietal,153,99,-0.0453042693193904
68,01,inf_parietal,207,153,0.022941546067983584
69,01,inf_parietal,207,207,0.05517904173601258
70,01,inf_parietal,207,45,-0.007845214693874227
71,01,inf_parietal,207,99,0.03564579494785012
72,01,inf_parietal,45,153,-0.00987577094699225
73,01,inf_parietal,45,207,0.003127605486578186
74,01,inf_parietal,45,45,-0.023171630692871766
75,01,inf_parietal,45,99,0.03977774911161772
76,01,inf_parietal,99,153,0.025338682710688856
77,01,inf_parietal,99,207,-0.04819861502578298
78,01,inf_parietal,99,45,-0.0007219765617004804
79,01,inf_parietal,99,99,-0.0690640271656017
80,01,v5,153,153,0.06965330131898016
81,01,v5,153,207,-0.016330174762748353
82,01,v5,153,45,-0.1652159203664148
83,01,v5,153,99,0.049217793105594126
84,01,v5,207,153,-0.08769079432131022
85,01,v5,207,207,-0.020591891187189456
86,01,v5,207,45,0.10730698286678522
87,01,v5,207,99,0.0829060536392883
88,01,v5,45,153,-0.03010912927554219
89,01,v5,45,207,-0.03220859141960835
90,01,v5,45,45,-0.020745576386724085
91,01,v5,45,99,-0.08584221065417715
92,01,v5,99,153,-0.1576912401236392
93,01,v5,99,207,0.08557867666309109
94,01,v5,99,45,0.02122419944451862
95,01,v5,99,99,-0.16703226114563252
96,02,premotor,153,153,0.051086108071414844
97,02,premotor,153,207,0.06245260984664887
98,02,premotor,153,45,0.0528856813512033
99,02,premotor,153,99,0.03332931692457852
100,02,premotor,207,153,-0.01834270775443851
101,02,premotor,207,207,0.001031258198313961
102,02,premotor,207,45,0.058216666943437516
103,02,premotor,207,99,0.1069154987381016
104,02,premotor,45,153,0.05926937441530187
105,02,premotor,45,207,-0.014428353634276069
106,02,premotor,45,45,0.07985412581315457
107,02,premotor,45,99,0.04733110847008984
108,02,premotor,99,153,0.08006909206502687
109,02,premotor,99,207,0.0866275427221653
110,02,premotor,99,45,0.004966264593000036
111,02,premotor,99,99,0.015805437462274006
112,02,motor,153,153,0.06323707552291247
113,02,motor,153,207,0.07500329178757179
114,02,motor,153,45,-0.011248091905216499
115,02,motor,153,99,0.04330333309773622
116,02,motor,207,153,0.02274100545915767
117,02,motor,207,207,0.01886174750758632
118,02,motor,207,45,0.050819847537419624
119,02,motor,207,99,0.05380667351587162
120,02,motor,45,153,0.01573570373826608
121,02,motor,45,207,0.0237127211807817
122,02,motor,45,45,0.11015927509113795
123,02,motor,45,99,0.04250826080020552
124,02,motor,99,153,0.08288678397099428
125,02,motor,99,207,0.07074731878151383
126,02,motor,99,45,-0.017468749163783475
127,02,motor,99,99,-0.033072457689597747
128,02,v1,153,153,0.08703426379180929
129,02,v1,153,207,0.020343945195349475
130,02,v1,153,45,-0.036724079149903256
131,02,v1,153,99,0.054602118831346295
132,02,v1,207,153,-0.027003278052356385
133,02,v1,207,207,0.052869714199259
134,02,v1,207,45,0.05182107128420575
135,02,v1,207,99,0.003608942826006346
136,02,v1,45,153,0.04080633963963752
137,02,v1,45,207,-0.033314980037934955
138,02,v1,45,45,0.051212285900137156
139,02,v1,45,99,0.09136062799813091
140,02,v1,99,153,0.042399803120198004
141,02,v1,99,207,0.02791043506305281
142,02,v1,99,45,-0.002510976268761441
143,02,v1,99,99,0.04628526081755992
144,02,sup_parietal,153,153,-0.04225694544501875
145,02,sup_parietal,153,207,0.09610677855614046
146,02,sup_parietal,153,45,0.008931972857533487
147,02,sup_parietal,153,99,0.048967651091755444
148,02,sup_parietal,207,153,0.02363904443876729
149,02,sup_parietal,207,207,0.007735722481478986
150,02,sup_parietal,207,45,0.0987309472481491
151,02,sup_parietal,207,99,0.03783305637158767
152,02,sup_parietal,45,153,0.04483391699094194
153,02,sup_parietal,45,207,-0.034438038437167175
154,02,sup_parietal,45,45,0.010903243583360396
155,02,sup_parietal,45,99,0.034570893374314696
156,02,sup_parietal,99,153,-0.020946899982211366
157,02,sup_parietal,99,207,0.009336567524322074
158,02,sup_parietal,99,45,0.032384982985418816
159,02,sup_parietal,99,99,0.03824885662436428
160,02,inf_parietal,153,153,0.05337251274076403
161,02,inf_parietal,153,207,0.04257820109890157
162,02,inf_parietal,153,45,0.02768569436188171
163,02,inf_parietal,153,99,0.013696332322497111
164,02,inf_parietal,207,153,-0.05494242981367775
