,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,0.0665770631566319
1,01,premotor,153,207,0.0229296257895368
2,01,premotor,153,45,0.024906415643413084
3,01,premotor,153,99,0.05186429791456953
4,01,premotor,207,153,-0.014862590643268543
5,01,premotor,207,207,-0.00970293979466382
6,01,premotor,207,45,-0.025892233849642475
7,01,premotor,207,99,-0.03125590052881349
8,01,premotor,45,153,-0.004856323837682079
9,01,premotor,45,207,-0.009922813238441273
10,01,premotor,45,45,-0.0036314256651992964
11,01,premotor,45,99,-0.016215489710378075
12,01,premotor,99,153,0.05665753086267113
13,01,premotor,99,207,0.0805192248939184
14,01,premotor,99,45,0.033811402053860413
15,01,premotor,99,99,0.051291887997748
16,01,motor,153,153,0.04957971326249706
17,01,motor,153,207,0.03607952036079727
18,01,motor,153,45,0.03487786663561822
19,01,motor,153,99,-0.017310988101825037
20,01,motor,207,153,-0.03154931658676979
21,01,motor,207,207,-0.023514632971893205
22,01,motor,207,45,-0.011856836555839554
23,01,motor,207,99,-0.04984803507389282
24,01,motor,45,153,0.011726901661900695
25,01,motor,45,207,0.08022333095843225
26,01,motor,45,45,0.006384491281304378
27,01,motor,45,99,0.006971962468777973
28,01,motor,99,153,0.029760439606786565
29,01,motor,99,207,0.07325046460079843
30,01,motor,99,45,-0.008069848798365479
31,01,motor,99,99,0.03565946509150814
32,01,v1,153,153,0.07656482022802329
33,01,v1,153,207,0.10468581342572159
34,01,v1,153,45,0.07506189559491873
35,01,v1,153,99,0.12989230034059454
36,01,v1,207,153,0.044523941742255255
37,01,v1,207,207,0.08602886708196594
38,01,v1,207,45,0.04564294587216729
39,01,v1,207,99,0.06356391250244446
40,01,v1,45,153,0.07458147327399176
41,01,v1,45,207,0.11052566559009905
42,01,v1,45,45,0.03984843780436132
43,01,v1,45,99,0.08949427589594838
44,01,v1,99,153,0.0714232787106368
45,01,v1,99,207,0.09658848051366567
46,01,v1,99,45,0.07435824411868829
47,01,v1,99,99,0.0716730982263267
48,01,sup_parietal,153,153,0.12305587679072895
49,01,sup_parietal,153,207,0.18531514327173254
50,01,sup_parietal,153,45,0.10397969306327325
51,01,sup_parietal,153,99,0.04899092144192804
52,01,sup_parietal,207,153,0.05057048977463073
53,01,sup_parietal,207,207,0.021660183082958986
54,01,sup_parietal,207,45,0.07676112476500936
55,01,sup_parietal,207,99,0.06644382731526262
56,01,sup_parietal,45,153,0.10490983977429405
57,01,sup_parietal,45,207,0.05701011723386001
