,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,0.02109065511612753
1,01,premotor,153,207,-0.002007798636946133
2,01,premotor,153,45,0.0010345112208235137
3,01,premotor,153,99,0.013625651066160678
4,01,premotor,207,153,0.036764375385859215
5,01,premotor,207,207,-0.022345890456724887
6,01,premotor,207,45,0.005091127432230715
7,01,premotor,207,99,0.001505779608549404
8,01,premotor,45,153,-0.031660037269936284
9,01,premotor,45,207,0.08521000370211579
10,01,premotor,45,45,0.013442039006739629
11,01,premotor,45,99,-0.01147036683682068
12,01,premotor,99,153,-0.013687445236823033
13,01,premotor,99,207,0.024461022361821492
14,01,premotor,99,45,0.04583085044297191
15,01,premotor,99,99,0.021040156731967793
16,01,motor,153,153,-0.02438970558644723
17,01,motor,153,207,-0.00740937959358517
18,01,motor,153,45,0.0683084174372419
19,01,motor,153,99,-0.05816295680416915
20,01,motor,207,153,0.0019575007412801076
21,01,motor,207,207,0.05671391688199853
22,01,motor,207,45,0.032729436848562395
23,01,motor,207,99,-0.056052146059976715
24,01,motor,45,153,0.012849816618512725
25,01,motor,45,207,0.007561598200079651
26,01,motor,45,45,-0.050193198467889756
27,01,motor,45,99,0.12277118109404246
28,01,motor,99,153,0.009386612690225327
29,01,motor,99,207,0.04208156715350669
30,01,motor,99,45,-0.020343707244338847
31,01,motor,99,99,0.023417917559675608
32,01,v1,153,153,0.033850574721686955
33,01,v1,153,207,-0.026238057146013235
34,01,v1,153,45,-0.08447314666780165
35,01,v1,153,99,0.06287339192046684
36,01,v1,207,153,0.0621057436735189
37,01,v1,207,207,0.028873659674982684
38,01,v1,207,45,-0.0437608710137572
39,01,v1,207,99,-0.021793603292195485
40,01,v1,45,153,0.007621132961341893
41,01,v1,45,207,0.03927728567968068
42,01,v1,45,45,0.011267127528366155
43,01,v1,45,99,-0.007272478185120747
44,01,v1,99,153,-0.05468027821919063
45,01,v1,99,207,0.013384556349942154
46,01,v1,99,45,0.03618316662958504
47,01,v1,99,99,0.012199683560930258
48,01,sup_parietal,153,153,0.04627722215826566
49,01,sup_parietal,153,207,0.026640936849035683
50,01,sup_parietal,153,45,0.037748367590013016
51,01,sup_parietal,153,99,-0.05469366267235402
52,01,sup_parietal,207,153,0.06799640469275653
53,01,sup_parietal,207,207,0.04711211466295892
54,01,sup_parietal,207,45,-0.031605116029414834
55,01,sup_parietal,207,99,-0.032864270790807906
56,01,sup_parietal,45,153,0.005225159261362175
57,01,sup_parietal,45,207,0.05399052716100111
58,01,sup_parietal,45,45,-0.019100644506171473
59,01,sup_parietal,45,99,0.053550219924246426
60,01,sup_parietal,99,153,-0.008753973714791974
61,01,sup_parietal,99,207,-0.016115060334482244
62,01,sup_parietal,99,45,-0.035058673060564004
63,01,sup_parietal,99,99,0.038603758806544736
64,01,inf_parietal,153,153,-0.02637173762841992
65,01,inf_parietal,153,207,0.08830890883204384
66,01,inf_parietal,153,45,0.05985288351698316
67,01,inf_parietal,153,99,-0.0336681381315795
68,01,inf_parietal,207,153,0.02046363315268928
69,01,inf_parietal,207,207,-0.016721660050805016
70,01,inf_parietal,207,45,-0.0048368411213701445
71,01,inf_parietal,207,99,-0.03526333784513107
72,01,inf_parietal,45,153,-0.01618090612474866
73,01,inf_parietal,45,207,-0.010929942426694483
74,01,inf_parietal,45,45,0.03738371845656013
75,01,inf_parietal,45,99,0.028426686466562448
76,01,inf_parietal,99,153,0.08367237835703262
77,01,inf_parietal,99,207,-0.022981527294426783
78,01,inf_parietal,99,45,-0.05769674696779424
79,01,inf_parietal,99,99,0.050358868289322026
80,01,v5,153,153,-0.056429491560738836
81,01,v5,153,207,-0.05734974005379903
82,01,v5,153,45,0.019767871396663295
83,01,v5,153,99,-0.0006175329380489931
84,01,v5,207,153,0.11688038872395463
85,01,v5,207,207,0.10910323419023166
86,01,v5,207,45,-0.04153174861074663
87,01,v5,207,99,-0.110571920103234
88,01,v5,45,153,-0.02222496802697524
89,01,v5,45,207,-0.012239937266762285
90,01,v5,45,45,-0.0013171835620672812
91,01,v5,45,99,0.031396343599767014
92,01,v5,99,153,-0.0801527137526798
93,01,v5,99,207,-0.1939104503885827
94,01,v5,99,45,0.11645661479248703
95,01,v5,99,99,0.08096881340961362
96,02,premotor,153,153,-0.013698410005930561
97,02,premotor,153,207,0.00528616657898087
98,02,premotor,153,45,0.027859014168705676
99,02,premotor,153,99,0.03828892649512437
100,02,premotor,207,153,-0.011048586230028409
101,02,premotor,207,207,0.040775390178064044
102,02,premotor,207,45,0.02762607892488234
103,02,premotor,207,99,0.01618751373462489
104,02,premotor,45,153,0.021053572156552194
105,02,premotor,45,207,0.015429551273494008
106,02,premotor,45,45,-0.01867390497645392
107,02,premotor,45,99,0.011862437605648611
108,02,premotor,99,153,0.07467512130820994
109,02,premotor,99,207,-0.03268649198582563
110,02,premotor,99,45,0.010843939835464785
111,02,premotor,99,99,0.018992201544653697
112,02,motor,153,153,0.03422344632013334
113,02,motor,153,207,0.0012378512227949386
114,02,motor,153,45,0.03926204251734064
115,02,motor,153,99,0.004821649552389581
116,02,motor,207,153,0.005444668458243044
117,02,motor,207,207,0.01072520391263767
118,02,motor,207,45,0.05016439537575629
119,02,motor,207,99,0.013252094428121069
120,02,motor,45,153,-0.060983676101431364
