,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,0.038890579429130746
1,01,premotor,153,207,-0.006888050592723979
2,01,premotor,153,45,-0.02787651271123131
3,01,premotor,153,99,-0.0004691771073367327
4,01,premotor,207,153,0.015230172496650492
5,01,premotor,207,207,-0.022993532384523854
6,01,premotor,207,45,0.021818882138737856
7,01,premotor,207,99,-0.015436150059487317
8,01,premotor,45,153,-0.040784377777109755
9,01,premotor,45,207,0.06975266797687062
10,01,premotor,45,45,-0.007823168213290455
11,01,premotor,45,99,-0.028279886073708696
12,01,premotor,99,153,-0.011325403437067432
13,01,premotor,99,207,-0.047580853900669504
14,01,premotor,99,45,0.015059085764961476
15,01,premotor,99,99,0.04780022870043418
16,01,motor,153,153,0.014127499690411166
17,01,motor,153,207,-0.0934233524456276
18,01,motor,153,45,0.03189325381094883
19,01,motor,153,99,0.050089046878837126
20,01,motor,207,153,0.0005959878978579053
21,01,motor,207,207,0.07633383489318961
22,01,motor,207,45,-0.05642675761907314
23,01,motor,207,99,-0.039702853125475196
24,01,motor,45,153,0.064765771242976
25,01,motor,45,207,-0.0430209888586167
26,01,motor,45,45,0.03221024640216529
27,01,motor,45,99,-0.03812859249970016
28,01,motor,99,153,-0.09380070423450892
29,01,motor,99,207,0.0740240251902021
30,01,motor,99,45,-0.0017029148469642208
31,01,motor,99,99,0.02840042761372629
32,01,v1,153,153,0.044347830548787374
33,01,v1,153,207,-0.025609932850362907
34,01,v1,153,45,-0.01949813810762123
35,01,v1,153,99,0.00923627830182339
36,01,v1,207,153,0.00676797340607814
37,01,v1,207,207,-0.025176566363949483
38,01,v1,207,45,0.002869583094168247
39,01,v1,207,99,0.015431913285675185
40,01,v1,45,153,0.007851705118519339
41,01,v1,45,207,0.015343660275302621
42,01,v1,45,45,-0.009307694322325479
43,01,v1,45,99,-0.013806782342836048
44,01,v1,99,153,-0.070964734912939
45,01,v1,99,207,0.03151785727778975
46,01,v1,99,45,0.018723869740936903
47,01,v1,99,99,0.010228177670822139
48,01,sup_parietal,153,153,-0.13636315900854235
49,01,sup_parietal,153,207,-0.0006400522983638496
50,01,sup_parietal,153,45,0.10710432632009316
51,01,sup_parietal,153,99,0.03664272820590356
52,01,sup_parietal,207,153,0.0587110831727674
53,01,sup_parietal,207,207,-0.019532425463967176
54,01,sup_parietal,207,45,-0.06276238066374192
55,01,sup_parietal,207,99,0.04009703891233972
56,01,sup_parietal,45,153,0.08875804891146832
57,01,sup_parietal,45,207,0.06891235097582737
58,01,sup_parietal,45,45,-0.07372630726671317
59,01,sup_parietal,45,99,-0.07645002197437172
60,01,sup_parietal,99,153,-0.018611951640229402
61,01,sup_parietal,99,207,-0.02867956616843535
62,01,sup_parietal,99,45,0.0242250762108421
63,01,sup_parietal,99,99,-0.008935820525455693
64,01,inf_parietal,153,153,-0.06808055670991649
65,01,inf_parietal,153,207,0.041640782610440394
66,01,inf_parietal,153,45,0.00612517194452703
67,01,inf_parietal,153,99,0.011826891697561452
68,01,inf_parietal,207,153,-0.0035729925095217795
69,01,inf_parietal,207,207,0.004055885170224379
70,01,inf_parietal,207,45,-0.011107005222216373
71,01,inf_parietal,207,99,0.018195945912490272
72,01,inf_parietal,45,153,-0.005208922214509395
73,01,inf_parietal,45,207,-0.02136292694038486
74,01,inf_parietal,45,45,0.05076822159539697
75,01,inf_parietal,45,99,-0.018097059858476525
76,01,inf_parietal,99,153,0.06976794926244863
77,01,inf_parietal,99,207,-0.04697197238002921
78,01,inf_parietal,99,45,-0.023605756210910135
79,01,inf_parietal,99,99,-0.0016164947421447341
80,01,v5,153,153,-0.0876071776603489
81,01,v5,153,207,0.057035978333490604
82,01,v5,153,45,0.016708788740680942
83,01,v5,153,99,-0.023939373038224902
84,01,v5,207,153,0.0908331968957816
85,01,v5,207,207,-0.04627845306907763
86,01,v5,207,45,0.031621960059484054
87,01,v5,207,99,-0.07968542232700845
88,01,v5,45,153,0.0820174679323956
89,01,v5,45,207,0.01777950945508705
90,01,v5,45,45,-0.05844774695082023
91,01,v5,45,99,-0.031162150318354745
92,01,v5,99,153,-0.1729786996628609
93,01,v5,99,207,0.035250096232379693
94,01,v5,99,45,0.10520192925991495
95,01,v5,99,99,0.030297495929154927
96,02,premotor,153,153,-0.04837674782059209
97,02,premotor,153,207,0.0483047439244263
98,02,premotor,153,45,0.016056185709705587
99,02,premotor,153,99,-0.005757761386164833
100,02,premotor,207,153,-0.027504453483573103
101,02,premotor,207,207,0.013552242679764704
102,02,premotor,207,45,0.017882730121225144
103,02,premotor,207,99,0.016242452247861038
104,02,premotor,45,153,0.057379588860746754
105,02,premotor,45,207,-0.06900409618333178
106,02,premotor,45,45,-0.011990136684541536
107,02,premotor,45,99,0.012735618189200016
108,02,premotor,99,153,0.021436198401594345
109,02,premotor,99,207,0.0037455214461464314
110,02,premotor,99,45,-0.02283142805531341
111,02,premotor,99,99,-0.022578996255190387
112,02,motor,153,153,-0.03253626588410373
113,02,motor,153,207,0.052321593587272855
114,02,motor,153,45,-0.03485472005862493
115,02,motor,153,99,-0.0022427786841394256
116,02,motor,207,153,-0.03313990662868781
117,02,motor,207,207,-0.026004780766231434
118,02,motor,207,45,0.06320897215208637
119,02,motor,207,99,-0.002751703328504128
120,02,motor,45,153,0.0049733319602544655
121,02,motor,45,207,-0.0390028659016655
122,02,motor,45,45,-0.013993676331151134
123,02,motor,45,99,0.058679854952007435
124,02,motor,99,153,0.05475274027268082
125,02,motor,99,207,0.011136879726495907
126,02,motor,99,45,-0.003929996926933653
127,02,motor,99,99,-0.052924989235722086
128,02,v1,153,153,0.3470100914048019
129,02,v1,153,207,-0.13895846597717504
130,02,v1,153,45,-0.03226677736208368
131,02,v1,153,99,-0.19105426421910107
132,02,v1,207,153,-0.2091062728437289
133,02,v1,207,207,0.41693057743647727
134,02,v1,207,45,-0.10911873669313582
135,02,v1,207,99,-0.1123126795567227
136,02,v1,45,153,-0.10786633839210175
137,02,v1,45,207,-0.1556707633069334
138,02,v1,45,45,0.3133920269168855
139,02,v1,45,99,-0.0038155050030781647
140,02,v1,99,153,-0.04335870212959715
141,02,v1,99,207,-0.09223166435449992
142,02,v1,99,45,-0.1638008121378744
143,02,v1,99,99,0.2962203348195815
144,02,sup_parietal,153,153,0.029711167637046967
145,02,sup_parietal,153,207,0.08111784357924368
146,02,sup_parietal,153,45,-0.06254590283167205
147,02,sup_parietal,153,99,-0.026582358749035775
148,02,sup_parietal,207,153,0.0028027446941142654
149,02,sup_parietal,207,207,0.12278867207262442
150,02,sup_parietal,207,45,-0.03586773816592265
151,02,sup_parietal,207,99,-0.0900106654456776
152,02,sup_parietal,45,153,-0.015347074069477013
153,02,sup_parietal,45,207,-0.18620988317038512
154,02,sup_parietal,45,45,0.08485416656302938
155,02,sup_parietal,45,99,0.09897403683440394
156,02,sup_parietal,99,153,-0.005400185735259369
157,02,sup_parietal,99,207,-0.02312401555011312
158,02,sup_parietal,99,45,-0.027649980570761883
159,02,sup_parietal,99,99,0.03977208456950248
160,02,inf_parietal,153,153,-0.05657369649771272
161,02,inf_parietal,153,207,0.02492720171886099
162,02,inf_parietal,153,45,0.05477812579167252
163,02,inf_parietal,153,99,-0.02338615933172923
164,02,inf_parietal,207,153,-0.0034224405650232284
165,02,inf_parietal,207,207,0.018080659544156424
166,02,inf_parietal,207,45,-0.002439319536073452
167,02,inf_parietal,207,99,0.0155413998348745
168,02,inf_parietal,45,153,0.05898271443738175
169,02,inf_parietal,45,207,-0.007016180962373365
170,02,inf_parietal,45,45,-0.01522400604324427
171,02,inf_parietal,45,99,-0.03040953866301161
172,02,inf_parietal,99,153,-0.005271495557259604
173,02,inf_parietal,99,207,-0.011511145277084616
174,02,inf_parietal,99,45,-0.043021682144224485
175,02,inf_parietal,99,99,0.04714658222900609
176,02,v5,153,153,0.36315918171902795
177,02,v5,153,207,0.01896510498987883
178,02,v5,153,45,-0.30637906630800293
179,02,v5,153,99,-0.0619934463614792
